CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.56,0,66.7,0.01,0.86,1.28,0,0,69.4,78.79,0,49.6,0,24.1,0,6.42,0,497.56,0,246.79,11.84,12.14,17067.32,324822.08,171641,176576.2,26.61,0,0,2.88,0.645449148,1.724589018,6.613543992,0.114616504,0.749640488,1,0.645449148,0,0,8500,379319,6559,0,70,108,4.6,6726.2,17,1622,97.83,70.92,1.39E-13,default,nginx_http_long
0.53,0,66.72,0.01,0.85,1.27,0,0,69.37,80.29,0,11,0,1.37,0,8.33,0,127.42,0,32.82,2.56,0.34,16809.48,319955.28,169048,174603.6,26.21,0,0,2.82,0.646744703,1.714424534,6.610701826,0.113374542,0.742049235,1,0.646744703,0,0,1402,374561,5668,0,70,74,4.6,5656.2,106,1622,100.49,71.92,1.42E-13,default,nginx_http_long
0.53,0,70.24,0,0.85,1.28,0,0,72.9,83.46,0,1.2,0,0.01,0,53.85,0,7.33,0,5,0.48,0,16855.31,320782.39,169505.8,174115.4,26.28,0,0,2.82,0.642501951,1.7075121,6.616618855,0.113541892,0.742867843,1,0.642501951,0,0,9,374724,5537,0,73,105,4.8,5613.2,108,1621,102.69,72.85,1.42E-13,default,nginx_http_long
0.53,0,70.93,0,0.85,1.27,0,0,73.58,80.56,0,1.8,0,0.01,0,35.71,0,5.33,0,3.89,0.56,0.01,16651.67,316876.16,167459.2,171522.6,25.96,0,0,2.74,0.639197997,1.706115079,6.566112485,0.11196263,0.737312195,1,0.639197997,0,0,10,370655,6296,0,74,107,4.6,6421.6,108,1615,104.72,73.76,1.42E-13,default,nginx_http_long
0.5,0,71.41,0.02,0.86,1.29,0,0,74.06,82.06,0,10.4,0,0.63,0,14.75,0,61.77,0,5.88,3.68,0.04,16724.45,318247.54,168193.4,172442.6,26.07,0,0,2.71,0.637934784,1.716474563,6.522478547,0.113317549,0.745589126,1,0.637934784,0,0,642,371846,6000,0,74,108,4.8,5983.6,106,1612,108.44,75.58,1.42E-13,default,nginx_http_long
0.54,0,74.58,0.02,0.87,1.28,0,0,77.27,82.72,0,92.8,0,45.38,0,1.07,0,500.78,0,231.7,18.4,21.32,16553.45,314884.39,166479.4,169094.2,25.8,0,0,2.83,0.640678594,1.713669105,6.547179293,0.113255053,0.742426785,1,0.640678594,0,0,46472,367676,6006,0,78,74,4.6,6288.4,79,1611,110.01,76.45,1.42E-13,default,nginx_http_long
0.52,0,73.44,0,0.87,1.28,0,0,76.11,84.77,0,22.6,0,7.8,0,5.04,0,353.49,0,51.24,4.8,1.1,16824.84,320075.79,169200.2,171871.2,26.22,0,0,2.81,0.642003576,1.732964695,6.62018248,0.11438957,0.747135009,1,0.642003576,0,0,7989,372603,5877,0,77,114,4.6,5904.2,114,1612,111.45,77.31,1.36E-13,default,nginx_http_long
0.56,0,75.19,0,0.85,1.27,0,0,77.87,85.2,0,0.6,0,0,0,57.14,0,8,0,5,0.24,0,16655.25,316803.81,167497.8,169583.2,25.95,0,0,2.75,0.637894538,1.727185828,6.63061697,0.113186986,0.742601001,1,0.637894538,0,0,5,369196,6243,0,78,106,7.2,6400.8,109,1610,112.78,78.15,1.39E-13,default,nginx_http_long
0.55,0,77.97,0,0.87,1.29,0,0,80.68,86.7,0,0.6,0,0,0,25,0,4,0,6.67,0.4,0,16644.53,316599.11,167380.8,169046.4,25.94,0,0,2.78,0.637131991,1.743284877,6.677934387,0.113101082,0.740942092,1,0.637131991,0,0,2,368435,5480,0,81,115,4.6,5474.6,85,1612,114,78.98,1.36E-13,default,nginx_http_long
0.56,0,75.62,0,0.86,1.28,0,0,78.32,85.25,0,0.6,0,0,0,25,0,4,0,4.67,0.24,0,16662.67,316943.64,167568.4,169577,25.96,0,0,2.72,0.637059846,1.718244715,6.5832801,0.113145327,0.742161393,1,0.637059846,0,0,2,369134,5581,0,79,114,4.8,5959.6,103,1611,115.2,79.81,1.33E-13,default,nginx_http_long
