CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
36.57,0.0,6.75,0.0,0.85,2.51,0.0,0.0,46.68,46.68770833333336,0.0,21.8,0.0,1.89,0.0,22.7,0.0,88.66,0.0,8.11,0.32,0.14,36120.17,78035.17,247945.0,243611.0,6.39,0.0,0.0,3.8250368480120027,0.4583067166672398,2.81065062222994,12.01173582621098,0.26887472782127153,0.6513620315043269,0.958543384088974,0.4393068711449226,0,8192,13922,654155,402128,0,46,1.9791666666666667,102.8,401554.4,185.0,1289.0,127.89,186.69,6.661338147750938e-14,default,mariadb
67.93,0.0,14.27,0.0,1.86,5.7,0.0,0.0,89.76,89.71864583333334,0.0,1.2,0.0,0.01,0.0,70.0,0.0,12.0,0.0,0.17,0.0,0.0,83673.21,157454.51,574888.2,566339.2,12.9,0.0,0.0,7.792771514478621,0.4771374538570097,3.0525116628288513,13.198864510450678,0.2933075134681782,0.6980627534931844,0.7836119943303406,0.3738906317865922,0,8192,20808,1340882,810138,0,90,1.8333333333333333,17.2,809941.6,172.0,1290.0,132.47,186.66,6.661338147750938e-14,default,mariadb
67.72,0.0,14.22,0.0,1.84,5.7,0.0,0.0,89.48,89.47989583333334,0.0,12.8,0.0,0.89,0.0,4.48,0.0,70.94,0.0,4.39,0.16,0.03,83930.47,150893.38,576655.8,567740.0,12.36,0.0,0.0,7.8606815351837955,0.4707471217973394,3.098530042873628,13.41998531288444,0.295784553272013,0.7062870231205673,0.7948198099743446,0.37415913789293104,0,8192,19245,1329659,823920,0,90,1.9166666666666667,17.6,824314.2,185.0,1290.0,135.47,186.39,6.661338147750938e-14,default,mariadb
67.8,0.0,14.2,0.12,1.84,5.7,0.0,0.0,89.54,89.52812500000003,0.0,4.0,0.0,0.03,0.0,52.38,0.0,8.2,0.0,0.3,0.0,0.0,82338.3,140509.63,565512.2,556448.8,11.51,0.0,0.0,7.7752527411852945,0.4565894453632294,3.1585536515813057,13.680760543116882,0.302558496296853,0.7211944866452509,0.8506454233526499,0.388395722049356,0,8192,18355,1342601,780473,0,90,2.052083333333333,18.2,780363.2,201.0,1291.0,139.76,186.43,6.661338147750938e-14,default,mariadb
70.38,0.0,14.75,0.0,1.96,5.99,0.0,0.0,93.07999999999998,93.07270833333332,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,0.0,0.0,0.0,86936.16,137392.19,597161.8,587501.6,11.26,0.0,0.0,7.9619996135033775,0.44928882969424705,3.2519818712841606,14.096672962689949,0.3119976559162787,0.7399983611629446,0.8617969492819846,0.3871957427769752,0,8192,19106,1436696,804262,0,93,2.1979166666666665,18.0,804158.0,194.0,1290.0,143.3,186.39,6.661338147750938e-14,default,mariadb
70.92,0.0,15.0,0.0,2.0,6.08,0.0,0.0,94.0,93.99354166666667,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,0.0,0.08,0.0,88225.91,128941.25,605770.0,595597.8,10.56,0.0,0.0,8.04200927351838,0.44006837629945705,3.3281863247199186,14.431069332580245,0.31920817994547124,0.7549201500615821,0.8878815776388332,0.3907286042177217,0,8192,20434,1461455,793857,0,94,2.052083333333333,17.8,793848.6,211.0,1290.0,148.24,186.7,6.661338147750938e-14,default,mariadb
70.77,0.0,15.12,0.0,1.98,6.07,0.0,0.0,93.94,93.93666666666668,0.0,1.6,0.0,0.17,0.0,75.76,0.0,108.0,0.0,0.88,0.0,0.0,87625.89,116311.61,599368.0,592448.0,9.53,0.0,0.0,8.023760717779444,0.4276364740711708,3.4153011198347807,14.815488937616381,0.3262813799989242,0.7740223942173657,0.9289135692114412,0.3972373234544471,0,8192,17074,1449240,786586,0,94,2.0729166666666665,18.2,786412.4,210.0,1290.0,151.75,186.79,6.661338147750938e-14,default,mariadb
68.59,0.0,14.31,0.0,1.87,5.75,0.0,0.0,90.52,90.50489583333336,0.0,1.0,0.0,0.01,0.0,70.59,0.0,12.0,0.0,0.2,0.08,0.0,83002.83,99947.18,566251.8,566206.6,8.19,0.0,0.0,7.480256240060013,0.4048392292815254,3.530980795636172,15.330449378468131,0.3352215743717035,0.7945236368942319,1.031543973766451,0.417609467309612,0,8192,17869,1388765,782514,0,91,2.125,18.2,782403.2,222.0,1290.0,155.93,187.07,6.661338147750938e-14,default,mariadb
72.37,0.0,13.6,0.0,1.78,5.56,0.0,0.0,93.31,93.3135416666667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,78930.54,94647.53,544663.2,544676.2,7.75,0.0,0.0,6.5468288480120025,0.36348699913396576,3.60409690343522,15.662795244393065,0.3467711432102668,0.8040662942441342,1.3113747333003511,0.4766676665474493,0,8192,1357,1332041,735724,0,93,2.1875,18.2,735916.8,202.0,1290.0,160.74,187.55,6.661338147750938e-14,default,mariadb
70.75,0.0,13.58,0.75,1.72,5.54,0.0,0.0,91.59,91.57979166666662,0.0,2.2,0.0,0.01,0.0,21.43,0.0,4.73,0.0,0.18,0.0,0.0,74720.47,89801.14,515791.0,516038.6,7.36,0.0,0.0,6.928396905626407,0.35219363141121096,3.606766474746638,15.671489882192962,0.3381998661311639,0.7953722367773548,1.391989133357021,0.4902497077619537,0,8192,43,1240752,728842,0,92,2.114583333333333,18.2,728680.0,203.0,1290.0,158.52,186.65,6.661338147750938e-14,default,mariadb
