"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
0.06,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,20.6,0.0,2.1,0.0,26.43,0.0,104.62,0.0,10.2,0.4,0.17,0.76,0.4,5.8,2.6,0.0,0.0,0.0,0.044704168042010495,1.1745641253271486,1.004498072395021,3.659157894383799,0.011169712375568753,0.5966658782572656,0.264760631182386,0.3109783391858031,0,8192,2155,1879,1014,0,0,0.020833333333333332,63.4,1038.8,2.0,1101.0,106.35,168.94,5.204170427930421e-14,"default","mariadb"
0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,1.2,0.0,0.01,0.0,45.45,0.0,6.0,0.0,0.17,0.0,0.0,0.78,0.11,3.6,0.6,0.0,0.0,0.0,0.0118464432108027,0.9796597857990087,1.1979322299862045,4.942370506492262,0.018159435232630264,0.37293650453460014,0.3996350672100387,0.391506404340759,0,8192,7,779,568,0,0,0.03125,18.0,564.4,0.0,1102.0,97.83,166.13,5.204170427930421e-14,"default","mariadb"
0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,1.14,0.29,6.2,2.0,0.0,0.0,0.0,0.014349212903225807,0.993287630050346,1.3072560026917577,5.376283664540943,0.018888546723746246,0.5255886770972297,0.37833897780174286,0.3757994266163636,0,8192,3,757,532,0,0,0.0625,17.2,533.4,0.0,1101.0,90.0,163.37,5.204170427930421e-14,"default","mariadb"
0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,0.0,0.0,0.0,1.22,0.26,6.6,1.8,0.0,0.0,0.0,0.01600328402100525,1.0530633746253464,1.086243004306562,4.792220395449891,0.017739090228023106,0.34175674750987467,0.3654667689424993,0.3848596690160101,0,8192,3,774,538,0,0,0.010416666666666666,18.4,544.0,0.0,1102.0,82.79,160.66,5.204170427930421e-14,"default","mariadb"
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,13.8,0.0,1.11,0.0,4.17,0.0,82.03,0.0,4.88,0.24,0.04,0.89,0.12,4.6,0.6,0.0,0.0,0.0,0.016177509977494373,1.0521210480180685,1.1946242573724686,5.20596319948175,0.01741402315601585,0.3624412101125737,0.3604268733484995,0.3792126997212989,0,8192,1132,791,578,0,0,0.020833333333333332,18.4,581.2,2.0,1102.0,76.16,157.99,5.204170427930421e-14,"default","mariadb"
0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4.0,0.0,0.03,0.0,42.86,0.0,6.8,0.0,0.25,0.0,0.0,0.9,0.39,5.6,3.4,0.0,0.0,0.0,0.016066275768942238,1.051677828054591,1.0749977823118182,4.752781581886795,0.017182632523948586,0.34236600084462704,0.36115518354529186,0.3798188990215697,0,8192,27,844,589,0,0,0.010416666666666666,18.2,589.6,0.0,1100.0,70.06,155.37,5.204170427930421e-14,"default","mariadb"
0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,3.2,0.0,0.18,0.0,65.22,0.0,56.75,0.0,0.56,0.0,0.0,0.98,0.38,6.4,3.2,0.0,0.0,0.0,0.016317628207051762,1.0730016696146683,1.1450280350521516,4.914309355132938,0.01568022001572324,0.3963846156915414,0.34918302566827275,0.37467396954315824,0,8192,182,809,594,0,0,0.0,17.6,590.4,0.0,1100.0,64.45,152.79,5.204170427930421e-14,"default","mariadb"
0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.2,0.0,0.01,0.0,50.0,0.0,6.67,0.0,0.0,0.0,0.0,1.27,0.22,6.8,2.0,0.0,0.0,0.0,0.015761764441110278,1.0195861258557004,1.1224789132977389,5.05625510227646,0.017086326085879577,0.30055644484809924,0.38345512576003726,0.39096552611318675,0,8192,8,804,563,0,0,0.0,18.2,558.4,0.0,1100.0,59.29,150.26,5.204170427930421e-14,"default","mariadb"
0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,1.6,0.0,0.02,0.0,27.27,0.0,11.5,0.0,0.12,0.0,0.0,0.68,0.4,4.8,3.2,0.0,0.0,0.0,0.05426938814703676,0.799628509743024,1.5365698148796947,7.030844686004079,0.015277815370016282,0.34333015091622987,0.6642931639396022,0.5311877527135025,0,8192,18,867,592,0,0,0.0,20.4,588.0,0.0,1100.0,54.54,147.76,5.412337245047638e-14,"default","mariadb"
0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.2,0.0,0.01,0.0,45.45,0.0,6.0,0.0,0.17,0.0,0.0,1.05,0.25,5.6,2.2,0.0,0.0,0.0,0.015912637359339836,0.994457391837899,1.1022789279267984,4.8781040800155395,0.016392816686174507,0.34756860620524066,0.4145819849110085,0.4122841194175807,0,8192,7,819,587,0,0,0.020833333333333332,18.2,584.6,0.0,1100.0,50.17,145.31,5.412337245047638e-14,"default","mariadb"
