cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.9,0.0,3.17,0.01,0.23,2.38,0.0,0.0,6.680000000000001,100.0,0.0,0.6,0.0,0.01,0.0,75.0,0.0,14.67,0.0,10.67,0.0,0.0,28852.89,307443.92,292859.8,292862.6,25.19,0.0,0.0,9.13988753188297,0.62,14.36,5.38,0.53,1.4,0.82,0.51,0,0,9,295917,18059,0,7,5,18.6,18072.4,5.0,1163.0,2.52,3.8,0.011307155419472859,throughput_performance,redis
0.89,0.0,3.02,0.01,0.24,2.38,0.0,0.0,6.53,99.9975,0.0,1.6,0.0,0.01,0.0,27.27,0.0,5.0,0.0,5.38,0.16,0.0,28846.43,307370.61,292788.2,292792.8,25.18,0.0,0.0,9.100297986496624,0.621,14.29,5.37,0.53,1.4,0.82,0.51,1,0,9,296536,17982,0,7,5,9.4,17975.2,6.0,1163.0,2.72,3.82,0.01349563711356438,throughput_performance,redis
0.88,0.0,3.09,0.01,0.25,2.35,0.0,0.0,6.57,100.0,0.0,1.0,0.0,0.0,0.0,28.57,0.0,4.8,0.0,8.6,0.0,0.0,28840.38,307292.48,292719.4,292718.6,25.17,0.0,0.0,9.142530112528133,0.622,14.37,5.37,0.52,1.4,0.82,0.51,1,0,4,296566,18088,0,7,5,17.4,18083.0,7.0,1163.0,2.82,3.83,0.01349563711356438,throughput_performance,redis
1.0,0.0,3.06,0.0,0.23,2.4,0.0,0.0,6.690000000000001,100.0,0.0,0.4,0.0,0.0,0.0,50.0,0.0,6.0,0.0,6.0,0.08,0.0,28801.13,306874.2,292322.8,292328.6,25.14,0.0,0.0,9.165502127531882,0.615,14.47,5.42,0.52,1.4,0.84,0.52,1,0,3,295595,18213,0,7,7,16.2,18207.8,5.0,1163.0,2.92,3.83,0.013130890164549127,throughput_performance,redis
0.88,0.0,3.03,0.01,0.23,2.36,0.0,0.0,6.5,100.0025,0.0,1.2,0.0,0.01,0.0,33.33,0.0,6.67,0.0,5.33,0.08,0.0,28792.65,306786.73,292233.8,292236.6,25.13,0.0,0.0,9.121782781695423,0.62,14.4,5.42,0.53,1.4,0.82,0.51,1,0,8,296393,18001,0,7,6,9.0,18000.4,5.0,1163.0,3.0,3.83,0.013130890164549127,throughput_performance,redis
0.88,0.0,3.08,0.01,0.24,2.38,0.0,0.0,6.58,100.0,0.0,2.6,0.0,0.01,0.0,31.58,0.0,5.23,0.0,7.54,0.24,0.01,28742.71,306263.73,291738.0,291738.4,25.09,0.0,0.2,9.15349374943736,0.621,14.49,5.45,0.52,1.4,0.82,0.51,1,0,14,295161,18017,0,7,6,16.2,18026.6,5.0,1163.0,3.08,3.83,0.013130890164549127,throughput_performance,redis
0.93,0.0,3.04,0.01,0.24,2.36,0.0,0.0,6.57,100.0,0.0,1.0,0.0,0.03,0.0,72.22,0.0,26.4,0.0,6.0,0.08,0.0,28721.76,306046.98,291520.6,291531.8,25.07,0.0,0.0,9.15295294223556,0.62,14.52,5.45,0.52,1.4,0.82,0.51,1,0,26,295245,17984,0,7,8,15.8,17966.4,6.0,1163.0,3.24,3.85,0.013130890164549127,throughput_performance,redis
0.91,0.0,3.01,0.01,0.23,2.38,0.0,0.0,6.53,100.0,0.0,2.8,0.0,0.01,0.0,30.0,0.0,5.14,0.0,8.07,0.24,0.01,28698.81,305786.6,291289.0,291285.4,25.05,0.0,0.0,9.137122040510128,0.62,14.55,5.5,0.53,1.4,0.83,0.51,1,0,14,294761,17937,0,7,6,9.4,17941.0,5.0,1163.0,3.3,3.86,0.013130890164549127,throughput_performance,redis
0.94,0.0,3.02,0.01,0.24,2.35,0.0,0.0,6.550000000000001,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.67,0.08,0.0,28666.6,305454.45,290968.4,290967.6,25.02,0.0,0.0,9.162859546886722,0.621,14.5,5.46,0.53,1.4,0.82,0.51,1,0,3,295324,17952,0,7,5,15.8,17948.8,6.0,1163.0,3.44,3.87,0.013130890164549127,throughput_performance,redis
0.92,0.0,3.03,0.01,0.23,2.37,0.0,0.0,6.55,99.995,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.33,0.0,0.0,28640.19,305174.63,290697.2,290701.6,25.0,0.0,0.0,9.16185167891973,0.618,14.62,5.51,0.53,1.4,0.83,0.51,1,0,3,294381,17907,0,7,4,16.2,17905.0,6.0,1164.0,3.48,3.88,0.013130890164549127,throughput_performance,redis
0.88,0.0,3.08,0.01,0.24,2.36,0.0,0.0,6.5600000000000005,100.0025,0.0,1.4,0.0,0.01,0.0,56.25,0.0,8.0,0.0,8.43,0.08,0.0,28644.05,305227.48,290742.2,290753.0,25.0,0.0,0.0,9.148577320330082,0.616,14.64,5.53,0.53,1.4,0.83,0.51,1,0,11,294059,17923,0,7,5,13.2,17922.4,7.0,1163.0,3.92,3.96,0.012766143215533874,throughput_performance,redis
0.9,0.0,3.05,0.01,0.25,2.36,0.0,0.0,6.559999999999999,100.005,0.0,1.2,0.0,0.01,0.0,64.71,0.0,10.0,0.0,8.33,0.0,0.0,28641.97,305180.9,290713.6,290711.0,25.0,0.0,0.2,9.157168780195049,0.62,14.55,5.49,0.52,1.4,0.83,0.51,1,0,12,294675,17949,0,7,4,16.2,17950.4,5.0,1163.0,3.93,3.96,0.012766143215533874,throughput_performance,redis
0.94,0.0,3.03,0.01,0.24,2.35,0.0,0.0,6.5600000000000005,100.0025,0.0,3.0,0.0,0.01,0.0,21.05,0.0,4.8,0.0,5.33,0.16,0.01,28637.01,305120.06,290648.0,290650.2,25.0,0.0,0.0,9.148589611402851,0.62,14.58,5.5,0.52,1.4,0.83,0.51,0,0,14,293099,17919,0,7,4,15.8,17913.4,8.0,1167.0,3.94,3.96,0.013130890164549127,throughput_performance,redis
0.89,0.0,3.02,0.0,0.23,2.36,0.0,0.0,6.5,100.0,0.0,2.2,0.0,0.03,0.0,56.0,0.0,14.55,0.0,8.09,0.16,0.01,28587.99,304613.82,290163.4,290166.8,24.95,0.0,0.0,9.108963192798198,0.615,14.61,5.54,0.53,1.41,0.83,0.51,0,0,32,292984,17817,0,7,4,9.4,17814.2,6.0,1163.0,4.02,3.98,0.012766143215533874,throughput_performance,redis
0.9,0.0,3.09,0.01,0.24,2.35,0.0,0.0,6.58,100.0,0.0,1.6,0.0,0.01,0.0,27.27,0.0,5.5,0.0,5.38,0.08,0.0,28593.51,304659.18,290205.6,290210.2,24.96,0.0,0.0,9.148368372093024,0.618,14.55,5.49,0.53,1.4,0.83,0.51,0,0,8,293509,17826,0,7,4,17.4,17818.8,5.0,1163.0,4.1,4.0,0.012766143215533874,throughput_performance,redis
0.91,0.0,3.04,0.0,0.24,2.36,0.0,0.0,6.550000000000001,99.9975,0.0,0.4,0.0,0.0,0.0,50.0,0.0,6.0,0.0,4.5,0.0,0.0,28570.61,304423.97,289987.2,289986.0,24.94,0.0,0.0,9.159725323330832,0.615,14.58,5.51,0.52,1.4,0.83,0.51,1,0,3,294418,17933,0,7,4,15.6,17933.4,7.0,1168.0,4.09,4.0,0.012766143215533874,throughput_performance,redis
0.92,0.0,3.01,0.01,0.24,2.35,0.0,0.0,6.52,100.0025,0.0,1.2,0.0,0.01,0.0,33.33,0.0,5.33,0.0,6.67,0.0,0.0,28573.85,304455.21,290016.8,290017.6,24.94,0.0,0.0,9.118550229557389,0.619,14.59,5.53,0.53,1.4,0.83,0.51,0,0,6,294241,17855,0,7,5,9.6,17858.0,5.0,1163.0,4.08,4.0,0.013130890164549127,throughput_performance,redis
0.91,0.0,3.03,0.01,0.22,2.37,0.0,0.0,6.53,100.0,0.0,1.0,0.0,0.01,0.0,50.0,0.0,6.4,0.0,8.2,0.0,0.0,28555.82,304252.88,289829.2,289830.2,24.92,0.0,0.2,9.151010952738185,0.616,14.65,5.56,0.53,1.41,0.83,0.51,1,0,7,292497,17855,0,7,4,16.2,17858.4,5.0,1163.0,4.16,4.02,0.013130890164549127,throughput_performance,redis
0.92,0.0,3.04,0.01,0.25,2.33,0.0,0.0,6.54,99.9975,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.33,0.0,0.0,28565.48,304384.27,289945.0,289948.2,24.94,0.0,0.0,9.161913134283571,0.619,14.66,5.54,0.52,1.4,0.83,0.51,1,0,3,292802,17824,0,7,4,15.2,17803.6,7.0,1168.0,4.14,4.02,0.013130890164549127,throughput_performance,redis
0.88,0.0,3.05,0.01,0.24,2.37,0.0,0.0,6.54,99.99999999999999,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,28529.12,304001.91,289580.2,289584.0,24.9,0.0,0.0,9.1283216324081,0.618,14.65,5.57,0.53,1.4,0.83,0.51,0,0,3,293052,17719,0,7,4,10.0,17726.4,5.0,1163.0,4.13,4.02,0.013130890164549127,throughput_performance,redis
0.93,0.0,3.06,0.0,0.24,2.34,0.0,0.0,6.57,100.0,0.0,1.8,0.0,0.03,0.0,60.87,0.0,17.33,0.0,3.78,0.08,0.0,28522.01,303927.77,289504.4,289514.4,24.9,0.0,0.0,9.170947072768191,0.613,14.63,5.54,0.52,1.4,0.84,0.51,0,0,31,292639,17897,0,7,5,15.8,17892.4,6.0,1163.0,4.12,4.02,0.013130890164549127,throughput_performance,redis
0.91,0.0,3.04,0.01,0.23,2.34,0.0,0.0,6.5200000000000005,100.0,0.0,0.8,0.0,0.0,0.0,42.86,0.0,6.0,0.0,7.0,0.08,0.0,28548.52,304193.42,289769.4,289766.4,24.92,0.0,0.0,9.175076873218305,0.617,14.72,5.58,0.53,1.4,0.83,0.51,0,0,5,292166,17776,0,7,6,15.6,17773.0,6.0,1168.0,4.11,4.01,0.013130890164549127,throughput_performance,redis
0.88,0.0,3.03,0.0,0.23,2.35,0.0,0.0,6.49,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.0,0.0,0.0,28492.17,303597.18,289197.4,289198.4,24.87,0.0,0.0,9.129526157539384,0.617,14.7,5.59,0.53,1.4,0.83,0.51,0,0,3,292872,17806,0,7,5,9.6,17812.2,5.0,1163.0,4.1,4.01,0.012766143215533874,throughput_performance,redis
0.91,0.0,3.04,0.01,0.24,2.36,0.0,0.0,6.550000000000001,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.67,0.0,0.0,28510.05,303784.67,289382.0,289384.4,24.89,0.0,0.2,9.187847297824456,0.616,14.72,5.59,0.52,1.4,0.83,0.51,0,0,3,293677,17903,0,7,5,16.2,17906.0,5.0,1163.0,4.09,4.01,0.012766143215533874,throughput_performance,redis
0.95,0.0,3.01,0.0,0.25,2.33,0.0,0.0,6.54,100.0,0.0,1.2,0.0,0.01,0.0,25.0,0.0,4.67,0.0,6.17,0.16,0.0,28486.16,303560.56,289145.8,289163.4,24.87,0.0,0.0,9.172458874718679,0.615,14.7,5.56,0.52,1.4,0.83,0.51,1,0,6,293525,17846,0,7,5,15.2,17833.6,7.0,1168.0,4.09,4.01,0.013130890164549127,throughput_performance,redis
0.86,0.0,3.07,0.01,0.22,2.35,0.0,0.0,6.5,99.995,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,9.75,0.08,0.0,28500.72,303683.02,289292.4,289281.8,24.88,0.0,0.0,9.135524201050261,0.617,14.73,5.6,0.53,1.4,0.83,0.51,0,0,3,292065,17730,0,7,6,10.0,17730.4,6.0,1163.0,4.08,4.01,0.013130890164549127,throughput_performance,redis
0.91,0.0,3.05,0.01,0.24,2.36,0.0,0.0,6.5600000000000005,100.0,0.0,0.4,0.0,0.0,0.0,71.43,0.0,6.0,0.0,6.0,0.32,0.0,28487.14,303542.65,289146.2,289146.6,24.87,0.0,0.0,9.175162910727682,0.615,14.72,5.59,0.52,1.4,0.83,0.51,1,0,21,291924,17781,0,7,4,17.4,17779.0,6.0,1163.0,4.07,4.01,0.013130890164549127,throughput_performance,redis
