CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.93,0.0,3.24,0.01,0.23,2.42,0.0,0.0,6.82,99.9975,0.0,0.2,0.0,0.01,0.0,87.5,0.0,32.0,0.0,3.0,0.08,0.0,114595.66,219724.32,290755.8,290762.6,18.0,0.0,0.0,9.273442328582146,0.617,15.39,5.76,0.58,1.4,0.81,0.5,0,0,0,296513,18073,0,7,5,11.4,18058.6,6.0,1168.0,4.14,4.61,0.010942408470457606,throughput_performance,redis
0.91,0.0,3.08,0.01,0.23,2.39,0.0,0.0,6.610000000000001,100.0025,0.0,4.81,0.0,0.02,0.0,22.58,0.0,4.0,0.0,7.42,0.24,0.02,114304.29,219131.8,289990.0,289990.6,17.95,0.0,0.2,9.319288030007502,0.616,15.57,5.8,0.58,1.41,0.81,0.5,0,0,30,296828,18012,0,7,6,15.2,17996.4,6.0,1167.0,4.12,4.6,0.013130890164549129,throughput_performance,redis
0.94,0.0,3.03,0.01,0.24,2.4,0.0,0.0,6.6099999999999985,99.9975,0.0,1.8,0.0,0.01,0.0,47.06,0.0,6.22,0.0,4.44,0.0,0.0,114163.96,218902.27,289675.4,289686.6,17.93,0.0,0.0,9.354563408852213,0.622,15.67,5.85,0.57,1.41,0.81,0.51,2,0,13,296666,18007,0,7,8,13.2,18012.0,5.0,1168.0,4.19,4.61,0.013130890164549129,throughput_performance,redis
0.91,0.0,3.07,0.01,0.25,2.39,0.0,0.0,6.620000000000001,100.0,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,9.67,0.08,0.0,114239.64,219019.5,289848.0,289840.0,17.94,0.0,0.0,9.332304276069015,0.623,15.6,5.85,0.58,1.41,0.81,0.51,2,0,3,296557,18096,0,7,5,12.0,18086.2,4.0,1167.0,4.18,4.6,0.013130890164549129,throughput_performance,redis
0.92,0.0,3.08,0.01,0.23,2.41,0.0,0.0,6.6400000000000015,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.33,0.08,0.0,114106.12,218800.74,289558.4,289559.8,17.92,0.0,0.0,9.350851504876216,0.621,15.62,5.86,0.57,1.41,0.82,0.51,1,0,4,296174,18079,0,7,5,15.8,18069.6,5.0,1167.0,4.24,4.61,0.013130890164549129,throughput_performance,redis
0.94,0.0,3.07,0.01,0.23,2.39,0.0,0.0,6.630000000000001,100.0,0.0,0.6,0.0,0.0,0.0,62.5,0.0,5.33,0.0,9.0,0.08,0.0,113915.45,218408.13,289026.0,289030.8,17.89,0.0,0.0,9.360598325581394,0.616,15.64,5.87,0.58,1.41,0.82,0.5,1,0,6,294804,17995,0,7,6,13.6,17990.6,5.0,1172.0,4.47,4.65,0.013130890164549129,throughput_performance,redis
0.92,0.0,3.05,0.01,0.23,2.39,0.0,0.0,6.59,100.0025,0.0,1.6,0.0,0.03,0.0,63.64,0.0,18.5,0.0,8.38,0.08,0.0,113754.6,218089.47,288615.4,288617.0,17.87,0.0,0.0,9.328924231057764,0.62,15.57,5.87,0.58,1.41,0.82,0.51,1,0,29,295805,17974,0,7,4,11.6,17976.2,5.0,1167.0,4.43,4.64,0.013130890164549129,throughput_performance,redis
1.12,0.0,2.88,0.0,0.23,2.16,0.0,0.0,6.3900000000000015,100.0,0.0,1.0,0.0,0.02,0.0,75.0,0.0,18.4,0.0,5.6,0.0,0.0,103099.22,197702.33,261586.4,262078.2,16.2,0.0,0.2,8.841915054763689,0.6629999999999999,18.96,5.98,0.48,1.28,0.71,0.47,1,0,14,269325,16448,0,6,7,16.8,16442.6,7.0,1169.0,4.63,4.67,0.013130890164549129,throughput_performance,redis
1.55,0.0,2.46,0.07,0.2,1.82,0.0,0.0,6.03,100.0,0.0,30.8,0.0,12.49,0.0,16.76,0.0,415.27,0.0,35.96,6.96,0.65,86315.05,165538.01,219038.0,219416.4,13.56,0.0,0.0,8.170601242310576,0.75,18.65,5.36,0.45,1.23,0.66,0.49,0,0,12790,227357,14071,0,6,4,12.2,14070.8,4.0,1166.0,4.66,4.68,0.013130890164549129,throughput_performance,redis
0.91,0.0,3.03,0.0,0.22,2.34,0.0,0.0,6.5,100.0,0.0,1.0,0.0,0.01,0.0,66.67,0.0,11.2,0.0,5.6,0.08,0.0,111803.23,214353.88,283659.8,283659.4,17.56,0.0,0.0,9.260979180795198,0.62,15.94,6.03,0.58,1.41,0.82,0.51,0,0,11,284974,17291,0,7,4,13.2,17290.0,5.0,1166.0,4.85,4.72,0.013130890164549129,throughput_performance,redis
0.9,0.0,3.05,0.01,0.24,2.34,0.0,0.0,6.5299999999999985,100.0025,0.0,0.6,0.0,0.0,0.0,66.67,0.0,4.0,0.0,9.33,0.0,0.0,111643.73,214068.92,283277.8,283285.2,17.54,0.0,0.0,9.299708351087773,0.615,15.94,6.02,0.58,1.41,0.82,0.51,1,0,8,284479,17307,0,7,4,16.6,17306.0,5.0,1166.0,4.86,4.72,0.013130890164549129,throughput_performance,redis
0.93,0.0,3.01,0.01,0.23,2.32,0.0,0.0,6.49,100.0,0.0,1.0,0.0,0.01,0.0,50.0,0.0,7.2,0.0,5.0,0.08,0.0,111758.8,214270.02,283561.0,283558.6,17.55,0.0,0.0,9.299106088522132,0.619,15.98,6.01,0.57,1.41,0.82,0.51,1,0,7,285560,17397,0,7,4,13.2,17393.6,5.0,1166.0,4.87,4.73,0.013130890164549129,throughput_performance,redis
0.94,0.0,3.01,0.01,0.23,2.34,0.0,0.0,6.52,100.0,0.0,1.4,0.0,0.01,0.0,41.67,0.0,6.29,0.0,8.14,0.0,0.0,111630.57,214035.01,283243.0,283250.0,17.53,0.0,0.0,9.254514076519133,0.617,16.02,6.06,0.58,1.41,0.83,0.51,1,0,8,285424,17428,0,7,6,12.8,17431.2,4.0,1166.0,4.8,4.72,0.01349563711356438,throughput_performance,redis
0.97,0.0,3.0,0.01,0.23,2.34,0.0,0.0,6.54,100.0,0.0,2.6,0.0,0.03,0.0,56.67,0.0,12.92,0.0,7.77,0.16,0.01,111599.96,213963.94,283150.6,283148.2,17.53,0.0,0.2,9.301662631657914,0.619,16.06,6.06,0.58,1.41,0.82,0.51,1,0,37,284655,17370,0,7,4,16.2,17362.0,4.0,1166.0,4.74,4.7,0.013130890164549129,throughput_performance,redis
0.93,0.0,2.99,0.01,0.23,2.31,0.0,0.0,6.460000000000001,100.0,0.0,1.6,0.0,0.01,0.0,46.67,0.0,8.0,0.0,8.5,0.16,0.0,111491.43,213766.21,282888.0,282891.0,17.51,0.0,0.0,9.29171915378845,0.615,16.06,6.08,0.58,1.41,0.82,0.51,1,0,10,283629,17241,0,7,5,12.0,17238.2,5.0,1166.0,4.76,4.71,0.013130890164549129,throughput_performance,redis
0.93,0.0,3.01,0.01,0.22,2.33,0.0,0.0,6.49,100.0025,0.0,3.4,0.0,0.02,0.0,15.0,0.0,5.18,0.0,2.76,0.08,0.0,111191.59,213190.76,282128.8,282132.8,17.46,0.0,0.0,9.2459471987997,0.612,16.07,6.09,0.58,1.41,0.83,0.51,1,0,15,283754,17232,0,7,5,13.2,17233.2,5.0,1166.0,4.7,4.7,0.013130890164549129,throughput_performance,redis
0.96,0.0,2.98,0.01,0.22,2.33,0.0,0.0,6.49,99.9525,0.0,1.2,0.0,0.01,0.0,45.45,0.0,4.67,0.0,11.17,0.0,0.0,111306.97,213409.57,282411.6,282412.2,17.48,0.0,0.0,9.30026144936234,0.617,16.13,6.1,0.57,1.41,0.83,0.51,1,0,7,283388,17224,0,7,4,15.8,17219.6,4.0,1166.0,4.64,4.69,0.013130890164549129,throughput_performance,redis
0.92,0.0,3.01,0.01,0.24,2.34,0.0,0.0,6.51,100.0,0.0,1.2,0.0,0.01,0.0,53.85,0.0,6.0,0.0,10.33,0.0,0.0,111475.24,213733.42,282838.8,282840.0,17.51,0.0,0.0,9.309602664666167,0.618,16.17,6.11,0.57,1.41,0.82,0.51,1,0,9,284677,17299,0,7,5,12.4,17295.8,4.0,1166.0,4.59,4.67,0.013130890164549129,throughput_performance,redis
0.94,0.0,3.01,0.01,0.22,2.3,0.0,0.0,6.47,99.9,0.0,1.2,0.0,0.01,0.0,53.85,0.0,7.33,0.0,9.83,0.08,0.0,111180.0,213172.57,282090.8,282101.8,17.46,0.0,0.0,9.288867624906226,0.61,16.16,6.15,0.58,1.41,0.83,0.51,1,0,9,283548,17270,0,7,4,12.8,17267.6,6.0,1166.0,4.78,4.71,0.013130890164549129,throughput_performance,redis
0.92,0.0,3.05,0.01,0.23,2.33,0.0,0.0,6.53,99.9975,0.0,0.6,0.0,0.01,0.0,66.67,0.0,10.67,0.0,6.0,0.0,0.0,111248.13,213283.64,282258.4,282254.8,17.47,0.0,0.2,9.314457638409603,0.616,16.27,6.16,0.58,1.41,0.83,0.51,1,0,6,282775,17204,0,7,7,16.2,17200.8,5.0,1166.0,4.72,4.7,0.012766143215533873,throughput_performance,redis
1.4,0.0,2.58,0.01,0.19,1.9,0.0,0.0,6.07,100.0,0.0,2.4,0.0,0.05,0.0,68.42,0.0,19.67,0.0,7.08,0.16,0.0,90650.12,173855.57,230036.0,230656.0,14.24,0.0,0.0,8.269347720930233,0.7440000000000001,21.49,5.76,0.41,1.17,0.63,0.47,1,0,42,238305,14542,0,6,9,12.8,14545.0,8.0,1170.0,4.98,4.76,0.012766143215533873,throughput_performance,redis
1.32,0.0,2.76,0.1,0.22,2.02,0.0,0.0,6.32,100.0025,0.0,31.2,0.0,12.49,0.0,15.22,0.0,409.9,0.0,28.04,6.96,0.56,96097.35,184265.3,243822.6,243983.0,15.1,0.0,0.0,8.839567459864966,0.653,17.19,5.87,0.52,1.33,0.76,0.5,0,0,12788,250701,15590,0,6,7,27.8,15583.6,6.0,1171.0,4.91,4.74,0.012766143215533873,throughput_performance,redis
0.96,0.0,3.03,0.01,0.22,2.31,0.0,0.0,6.52,99.9475,0.0,2.6,0.0,0.03,0.0,64.86,0.0,12.31,0.0,7.0,0.08,0.0,110869.03,212568.33,281313.6,281309.2,17.41,0.0,0.0,9.37844496324081,0.615,16.24,6.18,0.57,1.41,0.83,0.51,0,0,32,282803,17367,0,7,6,16.6,17360.6,4.0,1171.0,4.91,4.75,0.012766143215533873,throughput_performance,redis
0.97,0.0,2.99,0.01,0.24,2.33,0.0,0.0,6.53,100.0,0.0,2.8,0.0,0.02,0.0,51.72,0.0,8.0,0.0,7.79,0.16,0.01,110961.79,212750.65,281536.6,281540.4,17.43,0.0,0.0,9.356542271567893,0.614,16.25,6.17,0.57,1.41,0.83,0.51,0,0,22,282207,17248,0,7,7,16.2,17254.8,5.0,1171.0,4.84,4.74,0.012766143215533873,throughput_performance,redis
0.9,0.0,3.04,0.02,0.22,2.3,0.0,0.0,6.46,99.995,0.0,3.2,0.0,0.02,0.0,36.0,0.0,5.5,0.0,6.44,0.24,0.01,110711.08,212279.45,280922.4,280925.0,17.39,0.0,0.0,9.319583015753938,0.613,16.24,6.2,0.58,1.41,0.83,0.51,1,0,21,283458,17293,0,7,6,13.0,17287.2,4.0,1169.0,4.77,4.72,0.013130890164549129,throughput_performance,redis
0.91,0.0,3.05,0.01,0.24,2.32,0.0,0.0,6.52,100.0025,0.0,1.2,0.0,0.01,0.0,50.0,0.0,4.67,0.0,9.83,0.08,0.0,110881.81,212592.0,281326.0,281330.0,17.42,0.0,0.2,9.360684363090774,0.616,16.33,6.21,0.57,1.41,0.83,0.51,1,0,8,282982,17224,0,7,6,16.2,17222.4,4.0,1169.0,4.71,4.71,0.013130890164549129,throughput_performance,redis
0.94,0.0,3.01,0.01,0.22,2.33,0.0,0.0,6.5,99.95,0.0,1.0,0.0,0.01,0.0,50.0,0.0,7.2,0.0,6.4,0.08,0.0,110818.57,212483.21,281197.4,281204.0,17.41,0.0,0.0,9.35616124831208,0.615,16.3,6.21,0.57,1.41,0.83,0.51,1,0,7,284160,17302,0,7,8,12.0,17303.8,6.0,1169.0,4.65,4.7,0.013130890164549129,throughput_performance,redis
0.93,0.0,3.02,0.01,0.23,2.31,0.0,0.0,6.49,100.005,0.0,5.0,0.0,0.02,0.0,21.88,0.0,4.8,0.0,7.12,0.4,0.02,110917.89,212659.65,281422.8,281418.0,17.42,0.0,0.0,9.336077635408852,0.615,16.35,6.24,0.58,1.41,0.83,0.51,1,0,24,282970,17233,0,7,6,13.2,17224.4,4.0,1169.0,4.76,4.72,0.01349563711356438,throughput_performance,redis
0.92,0.0,3.04,0.01,0.24,2.31,0.0,0.0,6.51,99.945,0.0,1.8,0.0,0.01,0.0,50.0,0.0,5.78,0.0,7.56,0.08,0.0,110560.85,211988.19,280537.8,280542.2,17.37,0.0,0.0,9.345738418604652,0.6,16.39,6.24,0.58,1.41,0.84,0.5,1,0,13,282699,17212,0,7,5,15.8,17208.4,6.0,1169.0,4.78,4.72,0.01349563711356438,throughput_performance,redis
0.99,0.0,2.96,0.01,0.23,2.33,0.0,0.0,6.510000000000002,100.0,0.0,3.0,0.0,0.04,0.0,58.33,0.0,12.8,0.0,6.4,0.08,0.0,110738.1,212312.7,280952.4,280954.6,17.39,0.0,0.0,9.360401668417103,0.615,16.41,6.25,0.58,1.41,0.83,0.51,1,0,42,282661,17236,0,7,4,12.4,17241.0,5.0,1169.0,4.72,4.71,0.013860384062579636,throughput_performance,redis
0.93,0.0,3.01,0.01,0.22,2.31,0.0,0.0,6.4700000000000015,100.0,0.0,0.6,0.0,0.01,0.0,40.0,0.0,18.67,0.0,7.0,0.0,0.0,110743.58,212339.78,281006.6,281014.4,17.39,0.0,0.0,9.340563876969242,0.615,16.41,6.29,0.58,1.41,0.83,0.51,1,0,3,282089,17141,0,7,4,12.8,17139.6,6.0,1169.0,4.66,4.7,0.01349563711356438,throughput_performance,redis
0.95,0.0,3.02,0.01,0.24,2.33,0.0,0.0,6.54,99.9975,0.0,1.0,0.0,0.0,0.0,54.55,0.0,4.0,0.0,10.8,0.08,0.0,110525.33,211904.86,280431.8,280428.4,17.36,0.0,0.2,9.373159801950488,0.615,16.46,6.27,0.57,1.41,0.83,0.51,1,0,7,282504,17258,0,7,5,16.2,17254.6,5.0,1169.0,4.69,4.71,0.01349563711356438,throughput_performance,redis
0.94,0.0,2.98,0.01,0.23,2.3,0.0,0.0,6.45,99.9975,0.0,1.6,0.0,0.01,0.0,46.67,0.0,6.5,0.0,6.88,0.08,0.0,110624.06,212111.43,280684.0,280695.4,17.38,0.0,0.0,9.343267912978243,0.606,16.51,6.3,0.58,1.41,0.83,0.51,1,0,10,281187,17074,0,7,5,12.0,17070.8,6.0,1169.0,4.79,4.73,0.01349563711356438,throughput_performance,redis
1.65,0.0,2.39,0.01,0.18,1.7,0.0,0.0,5.92,99.9525,0.0,1.2,0.0,0.02,0.0,70.0,0.0,16.0,0.0,7.5,0.0,0.0,80713.8,154792.92,204782.8,205521.8,12.68,0.0,0.0,7.908617026256564,0.79,22.76,5.63,0.38,1.1,0.59,0.46,1,0,14,216381,13193,0,6,8,14.0,13203.4,10.0,1173.0,5.05,4.78,0.013130890164549129,throughput_performance,redis
1.01,0.0,2.96,0.09,0.21,2.21,0.0,0.0,6.39,100.0,0.0,31.0,0.0,12.49,0.0,15.3,0.0,412.57,0.0,38.14,6.72,0.54,105726.79,202709.45,268267.2,268268.6,16.61,0.0,0.0,9.26525647411853,0.621,16.67,6.27,0.57,1.4,0.82,0.51,0,0,12789,271816,16646,0,6,4,16.6,16628.0,6.0,1169.0,4.97,4.77,0.012766143215533873,throughput_performance,redis
0.94,0.0,3.03,0.01,0.25,2.32,0.0,0.0,6.539999999999999,100.0,0.0,1.0,0.0,0.01,0.0,75.0,0.0,15.2,0.0,7.2,0.08,0.0,110298.74,211472.29,279853.2,279855.0,17.32,0.0,0.0,9.353199099774944,0.61,16.49,6.3,0.58,1.41,0.83,0.51,0,0,15,281529,17173,0,7,5,13.2,17179.2,5.0,1169.0,4.89,4.76,0.013130890164549129,throughput_performance,redis
0.96,0.0,3.01,0.03,0.23,2.31,0.0,0.0,6.51,99.9975,0.0,2.8,0.0,0.04,0.0,56.25,0.0,13.43,0.0,25.79,0.08,0.0,110254.49,211408.73,279763.6,279768.8,17.32,0.0,0.0,9.351711879969992,0.61,16.5,6.33,0.58,1.41,0.84,0.51,0,0,38,281924,17215,0,7,4,12.8,17206.8,5.0,1169.0,4.82,4.74,0.013130890164549129,throughput_performance,redis
0.96,0.0,3.0,0.0,0.22,2.3,0.0,0.0,6.48,99.95,0.0,1.4,0.0,0.01,0.0,65.0,0.0,10.86,0.0,6.29,0.16,0.0,110110.43,211104.21,279363.6,279363.0,17.29,0.0,0.2,9.381456276069015,0.612,16.56,6.33,0.57,1.41,0.83,0.51,0,0,15,281915,17154,0,7,4,16.2,17157.2,5.0,1169.0,4.75,4.73,0.013130890164549129,throughput_performance,redis
