cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.9,0.0,3.3,0.01,0.24,2.43,0.0,0.0,6.870000000000001,99.9975,0.0,0.6,0.0,0.01,0.0,72.73,0.0,13.33,0.0,9.33,0.0,0.0,312706.07,20007.38,288519.2,288517.6,25.62,0.0,0.0,9.551073080270067,0.647,17.16,6.06,0.6,1.4,0.78,0.5,0,0,8,311539,18954,0,7,5,14.8,18941.0,7.0,1166.0,1.83,0.7,0.010942408470457606,throughput_performance,redis
0.92,0.0,3.05,0.01,0.22,2.43,0.0,0.0,6.619999999999999,99.9975,0.0,0.8,0.0,0.0,0.0,42.86,0.0,5.0,0.0,12.0,0.0,0.0,312437.13,19989.29,288265.6,288263.8,25.59,0.0,0.0,9.565527381845461,0.642,17.24,6.1,0.6,1.4,0.78,0.5,1,0,6,308631,18708,0,7,5,13.4,18698.2,4.0,1168.0,2.0,0.75,0.012036649317503367,throughput_performance,redis
0.9,0.0,3.07,0.01,0.25,2.43,0.0,0.0,6.65,100.005,0.0,6.2,0.0,0.03,0.0,20.51,0.0,4.77,0.0,7.19,0.32,0.03,311303.79,19917.42,287217.4,287221.6,25.5,0.0,0.0,9.511225422355588,0.64,17.24,6.12,0.6,1.41,0.78,0.5,1,0,30,308106,18684,0,7,5,13.2,18680.8,4.0,1167.0,2.32,0.84,0.012036649317503367,throughput_performance,redis
0.95,0.0,3.1,0.0,0.24,2.43,0.0,0.0,6.720000000000001,100.0025,0.0,1.4,0.0,0.01,0.0,12.5,0.0,4.0,0.0,5.57,0.08,0.0,311010.32,19900.05,286948.2,286958.8,25.48,0.0,0.0,9.565011156789197,0.64,17.3,6.13,0.6,1.41,0.79,0.5,1,0,6,309778,18914,0,7,5,16.2,18916.2,5.0,1167.0,2.54,0.91,0.012036649317503367,throughput_performance,redis
0.89,0.0,3.07,0.01,0.23,2.42,0.0,0.0,6.61,99.99499999999999,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.0,0.0,310872.61,19888.88,286819.0,286817.0,25.47,0.0,0.2,9.57062817704426,0.646,17.3,6.14,0.6,1.41,0.78,0.5,1,0,2,310672,18850,0,7,5,13.2,18847.6,5.0,1172.0,2.66,0.96,0.012036649317503367,throughput_performance,redis
0.97,0.0,2.99,0.01,0.24,2.42,0.0,0.0,6.62,99.9975,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.08,0.0,310664.26,19875.87,286629.4,286627.2,25.45,0.0,0.0,9.53853618604651,0.645,17.33,6.18,0.6,1.41,0.78,0.5,1,0,2,309914,18760,0,7,4,12.0,18754.2,5.0,1168.0,2.76,1.01,0.012036649317503367,throughput_performance,redis
0.93,0.0,3.07,0.0,0.22,2.42,0.0,0.0,6.64,99.9975,0.0,0.8,0.0,0.02,0.0,75.0,0.0,29.0,0.0,7.25,0.08,0.0,310274.28,19851.28,286267.2,286271.4,25.42,0.0,0.0,9.572729950487622,0.642,17.37,6.17,0.6,1.4,0.78,0.5,1,0,25,307851,18732,0,7,5,15.8,18737.2,4.0,1167.0,2.86,1.06,0.012036649317503367,throughput_performance,redis
0.88,0.0,3.11,0.0,0.25,2.4,0.0,0.0,6.640000000000001,100.0025,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,6.0,0.0,0.0,309940.44,19831.7,285968.6,285976.2,25.39,0.0,0.0,9.570873998499625,0.642,17.4,6.2,0.6,1.4,0.78,0.5,1,0,2,308870,18778,0,7,4,12.2,18772.2,5.0,1168.0,2.95,1.11,0.012036649317503367,throughput_performance,redis
1.73,0.0,2.33,0.01,0.19,1.72,0.0,0.0,5.970000000000001,99.99999999999999,0.0,6.79,0.0,3.02,0.0,30.61,0.0,456.24,0.0,33.65,2.48,0.22,217753.81,13962.72,200907.8,201369.2,17.84,0.0,0.0,7.854524015003752,0.809,23.95,5.55,0.39,1.1,0.56,0.45,4,0,3100,232420,14145,0,6,7,13.8,14146.2,7.0,1171.0,3.04,1.16,0.012036649317503367,throughput_performance,redis
0.96,0.0,3.03,0.05,0.24,2.37,0.0,0.0,6.6,100.0025,0.0,20.44,0.0,9.47,0.0,12.07,0.0,474.27,0.0,44.11,6.41,0.86,303985.57,19450.48,280465.6,280480.4,24.9,0.0,0.0,9.55547328432108,0.643,17.42,6.21,0.6,1.4,0.78,0.5,0,0,9675,306903,18765,0,7,7,15.8,18729.6,5.0,1167.0,3.19,1.22,0.01240139626651862,throughput_performance,redis
0.93,0.0,3.04,0.0,0.23,2.41,0.0,0.0,6.61,100.0025,0.0,0.6,0.0,0.01,0.0,80.0,0.0,18.67,0.0,8.67,0.08,0.0,309310.25,19788.52,285381.0,285371.2,25.34,0.0,0.2,9.585242262565641,0.637,17.43,6.2,0.6,1.4,0.78,0.5,0,0,11,309408,18721,0,7,6,12.4,18723.2,4.0,1167.0,3.42,1.3,0.01240139626651862,throughput_performance,redis
