CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.86,0.06,4.61,0.05,0.35,3.03,0.0,0.0,8.91,86.73200000000001,0.0,9.8,0.0,0.1,0.0,59.5,0.0,9.96,0.0,7.98,0.56,0.04,169808.12,21232.07,287236.6,287232.0,13.91,0.0,0.0,9.553174853713427,0.53,32.85,11.82,0.52,1.44,1.04,0.55,0,0,88,534643,34166,0,9,7,21.6,34170.4,9.0,1219.0,4.39,2.23,0.0156841188076559,throughput_performance,redis
0.81,0.03,4.14,0.03,0.34,3.01,0.0,0.0,8.329999999999998,100.0,0.0,2.8,0.0,0.02,0.0,56.25,0.0,8.86,0.0,9.5,0.0,0.0,170651.41,21157.54,288635.6,288636.8,13.98,0.0,0.0,9.292849932483119,0.546,32.93,11.81,0.52,1.41,1.0,0.55,0,0,32,537851,32638,0,9,4,13.0,32606.6,5.0,1217.0,4.52,2.29,0.017143106603716915,throughput_performance,redis
0.8,0.0,3.49,0.01,0.34,3.03,0.0,0.0,7.66,86.00200000000001,0.0,1.2,0.0,0.01,0.0,64.71,0.0,8.67,0.0,10.0,0.08,0.0,171582.34,21087.5,290261.2,290263.0,14.06,0.0,0.0,8.914481548387098,0.5760000000000001,32.68,11.57,0.54,1.44,0.93,0.54,0,0,13,530759,31544,0,8,4,1.2,31541.4,5.0,1217.0,4.48,2.32,0.017143106603716915,throughput_performance,redis
0.98,0.0,3.42,0.03,0.33,2.93,0.0,0.0,7.66,100.0,0.0,4.4,0.0,0.71,0.0,50.0,0.0,166.36,0.0,9.05,0.4,0.01,166931.93,20427.13,282373.8,282381.0,13.68,0.0,0.0,8.776415927981997,0.578,33.03,11.39,0.53,1.42,0.94,0.54,0,0,732,524194,31368,0,8,5,2.0,31340.8,5.0,1217.0,4.52,2.36,0.017143106603716915,throughput_performance,redis
0.86,0.39,3.69,0.01,0.35,3.02,0.0,0.0,8.309999999999999,86.426,0.0,0.8,0.0,0.01,0.0,85.71,0.0,17.0,0.0,9.0,0.0,0.0,170674.68,20911.42,288681.2,288681.0,13.98,0.0,0.2,9.038437017254317,0.6970000000000001,32.56,8.88,0.44,1.21,0.74,0.51,1,0,25,535375,31995,0,8,5,2.4,31998.6,6.0,1219.0,4.64,2.42,0.017143106603716915,throughput_performance,redis
0.85,0.42,3.83,0.01,0.54,2.98,0.0,0.0,8.62,86.012,0.0,6.0,0.0,0.04,0.0,28.57,0.0,7.1,0.0,5.37,0.0,0.0,169625.29,21346.18,286952.8,286956.0,13.9,0.0,0.0,9.254563240810203,0.664,32.66,9.36,0.44,1.23,0.78,0.52,1,0,35,535949,32176,0,8,4,7.0,32174.6,5.0,1241.0,4.99,2.53,0.017143106603716915,throughput_performance,redis
0.82,0.08,3.74,0.01,0.75,2.96,0.0,0.0,8.350000000000001,86.06800000000001,0.0,2.0,0.0,0.04,0.0,68.75,0.0,20.0,0.0,8.0,0.0,0.0,168474.47,21132.49,284970.6,284972.0,13.8,0.0,0.0,9.301404519129782,0.593,32.61,10.91,0.49,1.35,0.91,0.54,1,0,38,531186,32672,0,8,4,6.4,32674.6,5.0,1243.0,4.91,2.56,0.018602094399777933,throughput_performance,redis
0.82,0.1,3.73,0.0,0.74,2.97,0.0,0.0,8.360000000000001,76.73333333333333,0.0,4.4,0.0,0.02,0.0,18.52,0.0,4.55,0.0,5.27,0.16,0.02,169144.99,21294.34,286111.0,286116.0,13.86,0.0,0.0,9.341006355588897,0.5920000000000001,32.58,10.8,0.49,1.35,0.9,0.54,1,0,20,529444,31934,0,8,4,6.4,31928.0,5.0,1243.0,4.83,2.58,0.018966841348793183,throughput_performance,redis
0.81,0.06,3.45,0.01,0.78,2.93,0.0,0.0,8.030000000000001,76.74333333333334,0.0,1.2,0.0,0.01,0.0,64.71,0.0,7.33,0.0,12.83,0.0,0.0,169259.72,21476.64,286328.4,286328.4,13.87,0.0,0.0,9.286753560390098,0.596,32.55,10.88,0.49,1.35,0.89,0.53,1,0,13,519221,31018,0,8,5,1.2,31017.2,6.0,1219.0,4.77,2.61,0.018602094399777933,throughput_performance,redis
0.8,0.07,3.74,0.01,0.74,2.95,0.0,0.0,8.3,86.03999999999998,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.0,0.0,168794.76,21388.5,285519.6,285521.4,13.83,0.0,0.0,9.22141421755439,0.581,32.03,11.23,0.53,1.41,0.92,0.53,1,0,3,526381,32049,0,8,4,6.4,32045.0,6.0,1241.0,4.79,2.65,0.016778359654701664,throughput_performance,redis
0.83,0.1,3.71,0.01,0.73,2.97,0.0,0.0,8.34,86.05199999999998,0.0,1.2,0.0,0.01,0.0,40.0,0.0,5.33,0.0,10.0,0.08,0.0,168597.32,21455.48,285209.4,285209.4,13.81,0.0,0.2,9.319177410352587,0.596,32.37,10.71,0.49,1.35,0.9,0.54,1,0,6,526510,32980,0,8,4,6.4,32973.6,5.0,1241.0,4.72,2.67,0.018602094399777933,throughput_performance,redis
0.85,0.1,4.05,0.02,0.5,2.96,0.0,0.0,8.46,86.02799999999998,0.0,1.4,0.0,0.01,0.0,50.0,0.0,6.86,0.0,9.71,0.16,0.0,168895.08,21141.91,285691.4,285696.0,13.84,0.0,0.0,9.494448108027006,0.551,32.81,11.41,0.5,1.39,0.99,0.55,1,0,10,531840,32841,0,9,5,10.6,32838.6,6.0,1219.0,4.83,2.72,0.01823734745076268,throughput_performance,redis
0.85,0.06,4.45,0.04,0.35,3.0,0.0,0.0,8.71,100.0,0.0,6.6,0.0,0.07,0.0,63.33,0.0,10.91,0.0,5.97,0.4,0.0,168718.48,21444.69,285390.2,285392.4,13.82,0.0,0.0,9.642887393848461,0.529,32.76,11.8,0.52,1.44,1.04,0.55,1,0,72,533225,33650,0,9,7,22.4,33646.0,6.0,1222.0,4.84,2.76,0.01641361270568641,throughput_performance,redis
0.9,0.03,4.16,0.02,0.33,3.0,0.0,0.0,8.42,100.0,0.0,4.4,0.0,0.05,0.0,59.26,0.0,12.55,0.0,7.05,0.56,0.01,169623.64,21572.59,286911.2,286915.4,13.9,0.0,0.0,9.41563774943736,0.541,32.95,11.9,0.52,1.43,1.01,0.55,1,0,58,537804,32722,0,9,4,13.8,32716.0,5.0,1217.0,4.85,2.8,0.01641361270568641,throughput_performance,redis
0.84,0.0,3.46,0.01,0.33,3.0,0.0,0.0,7.63,100.0,0.0,4.8,0.0,0.03,0.0,35.14,0.0,6.83,0.0,3.75,0.0,0.0,171233.89,21770.99,289632.0,289632.4,14.03,0.0,0.0,8.973060801200301,0.578,32.66,11.51,0.54,1.44,0.93,0.54,1,0,30,538290,31977,0,8,5,1.2,31981.6,6.0,1217.0,4.79,2.82,0.01641361270568641,throughput_performance,redis
0.84,0.0,3.46,0.0,0.35,3.0,0.0,0.0,7.649999999999999,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,10.0,0.0,0.0,171334.73,22184.16,289827.2,289835.0,14.04,0.0,0.0,8.948085341335334,0.5870000000000001,32.78,11.33,0.53,1.43,0.91,0.53,1,0,3,539312,32038,0,8,4,1.2,32025.0,5.0,1217.0,4.72,2.84,0.01641361270568641,throughput_performance,redis
0.93,0.37,3.59,0.03,0.33,2.9,0.0,0.0,8.12,100.0,0.0,4.4,0.0,1.03,0.0,60.0,0.0,240.18,0.0,7.68,0.4,0.01,165406.88,21307.4,279776.0,279774.8,13.55,0.0,0.2,8.9827215843961,0.698,32.71,8.94,0.43,1.2,0.74,0.51,0,0,1054,520769,31073,0,8,5,3.2,31073.6,6.0,1219.0,4.74,2.88,0.01641361270568641,throughput_performance,redis
0.83,0.38,3.9,0.01,0.49,2.96,0.0,0.0,8.559999999999999,87.61399999999999,0.0,2.0,0.0,0.02,0.0,58.33,0.0,7.7,0.0,7.1,0.08,0.0,170594.19,21598.22,288564.8,288569.4,13.98,0.0,0.0,9.373676027006752,0.67,32.3,9.28,0.45,1.23,0.77,0.52,0,0,15,515761,30943,0,8,4,7.2,30938.2,5.0,1243.0,4.85,2.93,0.01641361270568641,throughput_performance,redis
0.82,0.09,3.74,0.01,0.68,2.95,0.0,0.0,8.280000000000001,100.0,0.0,1.2,0.0,0.02,0.0,70.0,0.0,18.67,0.0,5.0,0.0,0.0,170343.75,22265.61,288144.0,288141.2,13.95,0.0,0.0,9.403481878469618,0.593,32.26,10.87,0.5,1.34,0.9,0.53,1,0,26,518172,31393,0,8,6,6.4,31393.4,6.0,1243.0,4.78,2.95,0.01823734745076268,throughput_performance,redis
0.84,0.1,3.54,0.01,0.73,2.92,0.0,0.0,8.13,100.0,0.0,2.0,0.0,0.02,0.0,56.52,0.0,9.2,0.0,7.1,0.0,0.0,170428.27,22257.4,288303.0,288310.0,13.96,0.0,0.0,9.456161416354087,0.6,32.0,10.54,0.5,1.33,0.89,0.54,1,0,18,513799,31149,0,8,8,4.8,31143.2,8.0,1236.0,4.71,2.96,0.018602094399777933,throughput_performance,redis
0.82,0.04,3.64,0.01,0.76,2.9,0.0,0.0,8.16,99.9975,0.0,3.8,0.0,0.03,0.0,40.62,0.0,9.05,0.0,6.32,0.24,0.01,169622.4,21652.24,286917.0,286918.8,13.9,0.0,0.0,9.210303087771944,0.608,32.52,10.9,0.51,1.41,0.88,0.53,1,0,38,491474,29539,0,8,4,2.8,29535.6,5.0,1231.0,4.66,2.98,0.016778359654701664,throughput_performance,redis
0.76,0.09,3.81,0.01,0.69,2.92,0.0,0.0,8.27,100.0,0.0,4.2,0.0,0.02,0.0,27.59,0.0,5.9,0.0,5.71,0.16,0.01,170295.22,22138.53,288055.4,288059.2,13.95,0.0,0.0,9.435450958739686,0.5820000000000001,32.19,11.09,0.51,1.38,0.91,0.53,1,0,22,506561,30639,0,8,6,6.4,30634.2,5.0,1241.0,4.77,3.03,0.018966841348793183,throughput_performance,redis
0.84,0.11,3.73,0.01,0.72,2.91,0.0,0.0,8.309999999999999,100.0,0.0,1.2,0.0,0.01,0.0,25.0,0.0,5.33,0.0,10.0,0.08,0.0,169386.99,22668.69,286519.2,286519.4,13.88,0.0,0.2,9.396070361590397,0.591,32.63,10.71,0.49,1.33,0.91,0.54,1,0,6,502251,30353,0,8,6,6.4,30350.4,5.0,1241.0,4.7,3.05,0.01933158829780844,throughput_performance,redis
0.83,0.1,3.92,0.01,0.51,2.95,0.0,0.0,8.309999999999999,100.0,0.0,1.2,0.0,0.01,0.0,40.0,0.0,5.33,0.0,9.67,0.0,0.0,169046.15,22308.2,285939.8,285939.4,13.85,0.0,0.0,9.474106382595648,0.5579999999999999,32.89,11.29,0.5,1.38,0.97,0.54,1,0,6,511646,31652,0,8,7,8.2,31651.6,6.0,1219.0,4.73,3.08,0.018966841348793183,throughput_performance,redis
0.89,0.06,4.43,0.06,0.35,2.96,0.0,0.0,8.69,100.0,0.0,7.4,0.0,0.08,0.0,63.73,0.0,10.92,0.0,6.97,0.4,0.01,169328.67,22683.81,286428.2,286432.4,13.87,0.0,0.0,9.634111567891972,0.531,32.71,11.78,0.51,1.44,1.04,0.55,1,0,81,524778,33855,0,9,9,21.0,33851.6,6.0,1220.0,4.83,3.13,0.016778359654701664,throughput_performance,redis
0.89,0.04,4.39,0.02,0.34,2.99,0.0,0.0,8.649999999999999,86.148,0.0,3.0,0.0,0.03,0.0,57.14,0.0,11.2,0.0,6.8,0.08,0.0,169661.03,22147.51,286972.2,286981.2,13.9,0.0,0.0,9.577253065266316,0.5329999999999999,32.97,11.97,0.52,1.42,1.04,0.55,1,0,34,524249,32528,0,9,6,18.0,32519.4,5.0,1218.0,4.84,3.16,0.016778359654701664,throughput_performance,redis
0.79,0.0,3.5,0.0,0.34,2.99,0.0,0.0,7.62,100.0025,0.0,0.8,0.0,0.01,0.0,42.86,0.0,8.0,0.0,6.75,0.08,0.0,169408.85,22536.34,286556.0,286550.2,13.88,0.0,0.0,8.817603312828208,0.57,32.56,11.53,0.54,1.43,0.95,0.54,1,0,6,525543,31236,0,8,5,1.2,31245.0,5.0,1218.0,4.78,3.17,0.016778359654701664,throughput_performance,redis
0.8,0.0,3.51,0.01,0.32,2.98,0.0,0.0,7.6099999999999985,100.0,0.0,2.4,0.0,0.04,0.0,63.64,0.0,16.0,0.0,6.83,0.08,0.0,169213.02,22608.76,286221.2,286230.2,13.86,0.0,0.0,8.84941260915229,0.5710000000000001,32.5,11.44,0.54,1.45,0.95,0.54,1,0,42,524876,31356,0,8,5,1.2,31342.4,5.0,1218.0,4.71,3.19,0.016778359654701664,throughput_performance,redis
0.88,0.39,3.66,0.03,0.32,2.88,0.0,0.0,8.129999999999999,100.0025,0.0,8.4,0.0,1.36,0.0,42.47,0.0,166.38,0.0,7.86,1.28,0.03,163147.32,21551.05,275966.4,275967.2,13.37,0.0,0.2,8.825973533383348,0.72,32.82,8.5,0.42,1.19,0.71,0.51,0,0,1391,508387,30424,0,8,6,3.2,30422.4,6.0,1220.0,4.74,3.22,0.016778359654701664,throughput_performance,redis
0.81,0.38,3.96,0.01,0.5,2.96,0.0,0.0,8.61,86.17399999999999,0.0,2.0,0.0,0.02,0.0,62.96,0.0,9.3,0.0,6.0,0.0,0.0,169539.67,22216.73,286702.2,286705.6,13.89,0.0,0.0,9.295603132783194,0.655,32.32,9.39,0.45,1.23,0.8,0.52,0,0,19,521316,31332,0,8,4,7.0,31329.2,5.0,1244.0,4.92,3.28,0.016778359654701664,throughput_performance,redis
0.83,0.1,3.7,0.01,0.77,2.95,0.0,0.0,8.350000000000001,86.02799999999998,0.0,1.2,0.0,0.01,0.0,70.0,0.0,12.67,0.0,6.0,0.0,0.0,169016.06,22256.2,285922.8,285925.6,13.85,0.0,0.0,9.315072192048014,0.596,32.39,10.88,0.49,1.33,0.9,0.54,1,0,18,532821,31924,0,8,4,6.4,31921.4,5.0,1244.0,4.84,3.29,0.018602094399777933,throughput_performance,redis
0.85,0.1,3.69,0.01,0.75,2.96,0.0,0.0,8.35,100.0,0.0,1.8,0.0,0.02,0.0,50.0,0.0,8.89,0.0,9.11,0.24,0.0,168848.87,22703.19,285644.0,285643.4,13.83,0.0,0.0,9.330239375843961,0.604,32.48,10.91,0.48,1.33,0.89,0.54,1,0,16,532090,31871,0,8,5,6.4,31870.0,6.0,1244.0,4.78,3.31,0.018602094399777933,throughput_performance,redis
0.81,0.03,3.43,0.0,0.84,2.93,0.0,0.0,8.040000000000001,86.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.0,0.0,0.0,168374.8,22370.57,284784.0,284786.2,13.79,0.0,0.0,9.201490388597149,0.597,33.04,10.74,0.49,1.34,0.89,0.53,1,0,3,530384,31684,0,8,4,1.2,31677.2,5.0,1221.0,4.71,3.32,0.018966841348793183,throughput_performance,redis
