CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.15,0.0,20.67,0.01,0.79,15.25,0.0,0.0,41.86,56.91140624999999,0.4,1.8,0.0,0.02,0.0,65.38,4.0,11.56,9.0,4.44,0.32,0.01,110393.46,1155092.62,1131145.2,1100296.2,94.63,0.0,0.0,43.517858280570145,0.373,29.35,14.17,0.74,1.67,1.64,0.61,0,70656,15,519007,407164,0,42,30,0.6,406966.6,33.0,1290.0,23.73,31.33,0.05273313584855336,throughput_performance,redis
4.88,0.0,20.0,0.01,0.83,14.67,0.0,0.0,40.38,54.66384615384616,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.0,0.0,109929.48,1152807.99,1125137.6,1098117.8,94.44,0.0,0.2,42.53859163990998,0.379,28.89,13.83,0.75,1.66,1.59,0.6,0,70656,6,563061,433245,0,40,30,0.6,433207.4,30.0,1290.0,24.31,31.33,0.056395159171369565,throughput_performance,redis
4.92,0.0,20.09,0.0,0.82,14.67,0.0,0.0,40.5,55.61234375000001,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.78,0.0,3.67,0.0,0.0,110148.28,1153965.43,1127858.0,1099220.8,94.53,0.0,0.0,42.651472852213054,0.377,28.99,13.91,0.75,1.66,1.6,0.61,0,70656,19,559407,426154,0,41,31,1.2,426013.6,33.0,1290.0,24.77,31.3,0.056395159171369565,throughput_performance,redis
4.83,0.0,20.13,0.01,0.8,14.96,0.0,0.0,40.72,54.863650793650805,0.0,1.4,0.0,0.02,0.0,61.11,0.0,13.14,0.0,5.0,0.08,0.0,110106.21,1152950.1,1127799.0,1098255.8,94.45,0.0,0.0,43.35616921830458,0.374,29.44,14.17,0.74,1.66,1.63,0.61,0,70656,15,536701,413468,0,41,36,1.2,413496.0,32.0,1290.0,25.51,31.35,0.056395159171369565,throughput_performance,redis
4.91,0.0,20.58,0.01,0.8,15.26,0.0,0.0,41.55,60.38733333333335,0.0,1.0,0.0,0.01,0.0,72.22,0.0,14.4,0.0,4.6,0.0,0.0,109947.65,1152010.51,1125773.0,1097365.2,94.37,0.0,0.0,43.52574914928733,0.373,29.7,14.32,0.74,1.66,1.64,0.61,0,70656,18,537618,408720,0,42,29,1.2,408602.4,29.0,1290.0,25.95,31.34,0.056395159171369565,throughput_performance,redis
4.78,0.0,20.38,0.01,0.8,14.76,0.0,0.0,40.72,57.45225806451614,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,9.0,0.08,0.0,109964.16,1153584.71,1125265.8,1098858.6,94.5,0.0,0.0,43.0579263375844,0.376,29.28,14.06,0.75,1.66,1.61,0.61,0,70656,6,553702,420689,0,41,37,1.2,420659.2,28.0,1290.0,26.59,31.39,0.056395159171369565,throughput_performance,redis
4.73,0.0,20.07,0.0,0.85,14.45,0.0,0.0,40.1,54.81406249999999,0.0,1.8,0.0,0.02,0.0,59.09,0.0,8.89,0.0,3.89,0.0,0.0,109802.45,1150190.57,1124429.8,1095632.0,94.22,0.0,0.0,42.85227210802701,0.37799999999999995,29.14,13.97,0.75,1.66,1.6,0.6,1,70656,21,573070,431370,0,40,31,1.2,431430.8,34.0,1290.0,27.27,31.45,0.056395159171369565,throughput_performance,redis
4.73,0.0,20.15,0.0,0.81,14.74,0.0,0.0,40.43,53.78925373134329,0.0,2.6,0.0,0.02,0.0,31.58,0.0,8.31,0.0,3.46,0.08,0.0,110118.15,1152534.46,1128152.6,1097857.8,94.42,0.0,0.2,43.32557673818454,0.375,29.31,14.13,0.74,1.66,1.62,0.61,1,70656,19,555717,416349,0,41,31,1.2,416222.8,30.0,1290.0,27.65,31.46,0.056395159171369565,throughput_performance,redis
4.68,0.0,20.11,0.01,0.81,14.77,0.0,0.0,40.37,55.09323076923078,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,6.22,0.08,0.0,110122.07,1152780.66,1128095.6,1098092.8,94.44,0.0,0.0,43.08159894373593,0.377,29.39,14.1,0.75,1.66,1.61,0.61,1,70656,19,552310,421700,0,41,28,1.2,421594.4,35.0,1290.0,28.0,31.47,0.056395159171369565,throughput_performance,redis
4.85,0.0,20.61,0.0,0.8,15.25,0.0,0.0,41.51000000000001,55.94578125000002,0.0,0.6,0.0,0.01,0.0,66.67,0.0,10.67,0.0,7.33,0.0,0.0,109974.25,1151697.27,1126388.6,1097062.4,94.35,0.0,0.0,43.62884666766692,0.37200000000000005,29.68,14.36,0.74,1.66,1.64,0.61,1,70656,2,529734,406143,0,42,31,1.2,406114.6,33.0,1290.0,28.48,31.51,0.056395159171369565,throughput_performance,redis
4.78,0.0,20.11,0.0,0.83,14.75,0.0,0.0,40.47,54.67609375,0.0,2.2,0.0,0.02,0.0,38.89,0.0,8.0,0.0,3.27,0.0,0.0,109993.65,1153467.23,1125750.6,1098747.0,94.49,0.0,0.0,42.94520490922729,0.37799999999999995,29.24,14.03,0.75,1.66,1.6,0.61,1,70656,22,574563,428277,0,41,24,1.2,428196.0,29.0,1290.0,28.04,31.37,0.056395159171369565,throughput_performance,redis
4.8,0.0,19.95,0.0,0.8,14.62,0.0,0.0,40.17,56.67032258064516,0.0,2.2,0.0,0.02,0.0,52.17,0.0,8.73,0.0,8.36,0.24,0.01,109863.66,1151936.44,1124508.8,1097287.4,94.37,0.0,0.0,42.788837881470364,0.37799999999999995,29.06,13.97,0.75,1.66,1.6,0.6,1,70656,18,556108,426279,0,40,28,1.2,426216.6,32.0,1290.0,28.68,31.44,0.056395159171369565,throughput_performance,redis
4.87,0.0,19.97,0.0,0.85,14.48,0.0,0.0,40.17,54.37348484848485,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,6.67,0.08,0.0,109620.91,1149181.5,1122117.2,1094670.8,94.14,0.0,0.0,42.785347216804205,0.379,29.19,13.98,0.75,1.66,1.59,0.6,1,70656,2,578228,434007,0,40,31,1.2,433885.4,27.0,1290.0,28.86,31.44,0.056395159171369565,throughput_performance,redis
