CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.52,0.0,20.68,0.0,0.73,13.64,0.0,0.0,40.57,53.753731343283576,0.0,0.2,0.0,0.01,0.0,85.71,0.0,28.0,0.0,7.0,0.08,0.0,426192.36,813814.64,1103654.6,1076967.6,66.67,0.0,0.0,42.31300129032258,0.369,29.78,14.13,0.78,1.68,1.65,0.61,0,70400,0,411443,357243,0,41,32,0.4,357368.2,34.0,1282.0,20.43,5.49,0.04247947054466799,throughput_performance,redis
5.53,0.0,20.7,0.01,0.71,13.58,0.0,0.0,40.52,54.474477611940316,0.0,1.2,0.0,0.01,0.0,60.0,0.0,8.67,0.0,9.17,0.16,0.0,427289.15,816499.94,1102911.2,1080513.0,66.89,0.0,0.0,42.446605251312825,0.369,29.97,14.2,0.77,1.68,1.66,0.61,0,70400,14,408634,355372,0,41,21,1.0,355135.8,32.0,1282.0,21.27,5.92,0.04687389853204744,throughput_performance,redis
5.56,0.0,20.82,0.0,0.71,13.53,0.0,0.0,40.62,56.84000000000002,0.0,1.2,0.0,0.01,0.0,25.0,0.0,4.67,0.0,5.83,0.16,0.0,426775.16,815079.9,1104347.2,1078623.4,66.77,0.0,0.0,42.46322278169543,0.368,29.95,14.26,0.77,1.68,1.66,0.61,0,70400,6,407761,352740,0,41,27,1.2,352771.8,30.0,1282.0,21.97,6.32,0.04687389853204744,throughput_performance,redis
5.49,0.0,20.86,0.01,0.73,13.65,0.0,0.0,40.73,57.85333333333334,0.0,9.62,0.0,0.06,0.0,36.0,0.0,6.25,0.0,8.9,0.32,0.07,427579.95,816633.07,1106508.8,1080675.4,66.9,0.0,0.0,42.68164743585896,0.36700000000000005,30.23,14.36,0.77,1.68,1.67,0.61,0,70400,62,404507,348581,0,40,31,1.2,348456.2,29.0,1282.0,23.42,6.88,0.04687389853204744,throughput_performance,redis
5.58,0.0,20.82,0.01,0.72,13.63,0.0,0.0,40.75,58.03650793650795,0.0,2.6,0.0,0.01,0.0,13.33,0.0,4.92,0.0,8.85,0.32,0.02,426697.82,814718.25,1105341.4,1078159.0,66.74,0.0,0.0,42.844282910727685,0.368,30.41,14.48,0.77,1.68,1.66,0.61,0,70400,15,409812,353495,0,41,39,1.2,353388.0,28.0,1282.0,23.62,7.19,0.04687389853204744,throughput_performance,redis
5.6,0.0,20.87,0.0,0.7,13.85,0.0,0.0,41.02,54.95955223880598,0.0,1.4,0.0,0.02,0.0,58.82,0.0,14.29,0.0,6.14,0.24,0.0,427177.28,815310.15,1109022.2,1078929.4,66.79,0.0,0.2,42.95018279369842,0.365,30.25,14.43,0.77,1.68,1.68,0.61,1,70400,22,396891,341859,0,41,32,1.2,341292.4,36.0,1282.0,24.13,7.57,0.04687389853204744,throughput_performance,redis
5.67,0.0,20.57,0.0,0.72,13.91,0.0,0.0,40.87000000000001,56.50969696969697,0.0,1.8,0.0,0.02,0.0,55.0,0.0,8.89,0.0,6.11,0.24,0.01,425793.0,812991.42,1103315.0,1075867.6,66.6,0.0,0.0,42.84075537284321,0.366,30.39,14.45,0.77,1.68,1.68,0.61,1,70400,16,402771,348044,0,41,36,1.2,348005.6,30.0,1282.0,25.08,8.04,0.04687389853204744,throughput_performance,redis
5.67,0.0,20.74,0.0,0.73,13.55,0.0,0.0,40.69,53.9613432835821,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,8.33,0.16,0.0,425103.87,812087.0,1098781.0,1074671.8,66.53,0.0,0.0,42.14993562790698,0.37,29.82,14.19,0.78,1.68,1.65,0.61,1,70400,3,417953,364034,0,41,26,1.2,363979.6,28.0,1282.0,25.56,8.43,0.04687389853204744,throughput_performance,redis
5.74,0.0,20.69,0.0,0.71,13.53,0.0,0.0,40.67,54.253432835820895,0.0,2.0,0.0,0.02,0.0,47.37,0.0,8.8,0.0,3.8,0.16,0.0,425614.42,812784.08,1101690.8,1075589.4,66.58,0.0,0.0,42.50747064366092,0.369,29.93,14.26,0.78,1.68,1.65,0.61,1,70400,21,413653,357488,0,41,33,1.2,357456.6,24.0,1282.0,25.59,8.72,0.04687389853204744,throughput_performance,redis
5.7,0.0,20.71,0.0,0.73,13.52,0.0,0.0,40.66,58.3004918032787,0.0,2.2,0.0,0.02,0.0,54.17,0.0,8.73,0.0,5.36,0.16,0.0,426663.85,814969.32,1103438.0,1078476.6,66.76,0.0,0.0,42.61477170892723,0.368,29.84,14.22,0.77,1.68,1.67,0.61,1,70400,19,408935,351569,0,41,30,1.2,351511.4,35.0,1282.0,25.87,9.05,0.04687389853204744,throughput_performance,redis
