cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
5.46,0.0,21.02,0.0,0.72,14.19,0.0,0.0,41.39,57.902857142857144,0.0,0.2,0.0,0.0,0.0,83.33,0.0,24.0,0.0,2.0,0.0,0.0,418070.75,797304.53,1089475.0,1055139.4,65.32,0.0,0.0,42.44576945836459,0.366,30.43,14.43,0.78,1.69,1.66,0.61,0,70400,0,420599,374600,0,41,26,0.8,374620.4,31.0,1286.0,5.1,2.42,0.06738122913981819,throughput_performance,redis
5.46,0.0,21.11,0.01,0.72,14.5,0.0,0.0,41.79,55.62560606060606,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.08,0.0,421577.95,804544.38,1095192.0,1064684.6,65.91,0.0,0.0,42.97989031657914,0.365,30.87,14.65,0.78,1.69,1.68,0.61,0,70400,6,406999,363620,0,41,28,1.4,363486.8,34.0,1287.0,7.66,3.0,0.07250806179176086,throughput_performance,redis
5.58,0.0,21.12,0.01,0.73,14.4,0.0,0.0,41.830000000000005,58.67516666666667,0.0,5.41,0.0,0.04,0.0,46.0,0.0,7.41,0.0,6.85,0.24,0.03,419855.02,801234.41,1090405.6,1060326.4,65.64,0.0,0.0,43.09409896474119,0.364,30.85,14.67,0.78,1.69,1.68,0.61,0,70400,45,408143,361279,0,42,31,1.2,361291.6,31.0,1287.0,9.69,3.5,0.07250806179176086,throughput_performance,redis
5.73,0.0,21.01,0.01,0.71,14.64,0.0,0.0,42.09,57.84075757575757,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,8.0,0.08,0.0,420644.09,802572.53,1094076.0,1062081.6,65.75,0.0,0.0,43.3504415783946,0.362,31.09,14.8,0.78,1.69,1.7,0.61,1,70400,2,399279,359549,0,42,26,1.2,359488.8,30.0,1287.0,11.56,3.99,0.07250806179176086,throughput_performance,redis
5.62,0.0,21.41,0.01,0.7,14.96,0.0,0.0,42.69,58.09328125,0.0,1.6,0.0,0.02,0.0,60.0,0.0,12.0,0.0,4.88,0.08,0.0,419797.1,798066.34,1110784.6,1056130.2,65.38,0.0,0.0,43.671570436609144,0.358,31.29,14.96,0.77,1.7,1.73,0.62,1,70400,21,382611,344978,0,43,35,1.2,344871.2,34.0,1287.0,13.27,4.47,0.07250806179176086,throughput_performance,redis
5.57,0.0,20.89,0.0,0.73,14.32,0.0,0.0,41.510000000000005,58.50000000000004,0.0,1.8,0.0,0.02,0.0,55.0,0.0,8.89,0.0,4.78,0.16,0.0,418473.53,797651.38,1093881.6,1055561.6,65.34,0.0,0.2,42.69953094673668,0.367,30.82,14.64,0.79,1.7,1.66,0.61,1,70400,16,418422,376714,0,42,26,1.2,376683.8,30.0,1287.0,14.77,4.93,0.07250806179176086,throughput_performance,redis
8.63,0.0,22.06,0.83,0.73,14.22,0.0,0.0,45.64,57.4737142857143,0.0,34.6,0.0,16.12,0.0,19.91,0.0,477.04,0.0,52.12,6.0,0.58,418005.01,798179.74,1082760.2,1056303.8,65.39,0.0,0.0,45.649167171792946,0.439,32.74,12.17,0.63,1.53,1.38,0.61,11,70400,19930,407097,351782,0,46,30,5.0,351700.6,32.0,1305.0,16.23,5.39,0.07250806179176086,throughput_performance,redis
5.77,0.0,21.58,0.45,0.73,14.41,0.0,0.0,42.489999999999995,56.542343750000015,0.0,29.2,0.0,13.17,0.0,14.62,0.0,461.95,0.0,47.68,7.36,0.53,420200.53,802350.87,1088391.4,1061790.8,65.73,0.0,0.0,43.34697549587397,0.364,30.8,14.65,0.78,1.69,1.68,0.61,0,70400,10062,410220,361882,0,43,30,1.2,361830.0,27.0,1287.0,18.86,6.12,0.07250806179176086,throughput_performance,redis
5.57,0.0,21.09,0.01,0.74,14.37,0.0,0.0,41.769999999999996,56.762615384615394,0.0,0.6,0.0,0.03,0.0,90.91,0.0,42.67,0.0,10.0,0.08,0.0,420401.85,802778.76,1088696.8,1062350.0,65.76,0.0,0.0,43.225134091522875,0.366,31.08,14.8,0.78,1.69,1.67,0.61,0,70400,26,414537,368613,0,42,38,1.2,368545.0,36.0,1287.0,20.07,6.58,0.07250806179176086,throughput_performance,redis
5.71,0.0,21.0,0.0,0.73,14.43,0.0,0.0,41.870000000000005,57.04870967741934,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,420650.56,802931.59,1091553.4,1062565.0,65.78,0.0,0.0,43.07777642010503,0.366,31.18,14.85,0.79,1.69,1.67,0.61,1,70400,2,413758,370871,0,42,34,1.2,370838.0,35.0,1287.0,21.11,7.02,0.07250806179176086,throughput_performance,redis
7.7,0.0,21.91,0.58,0.73,14.48,0.0,0.0,44.82,59.27227272727273,0.0,40.2,0.0,15.51,0.0,18.29,0.0,395.1,0.0,29.95,7.36,0.61,420554.28,802771.17,1091095.0,1062333.6,65.76,0.0,0.0,45.12274052513129,0.414,32.73,13.05,0.67,1.58,1.47,0.61,3,70400,17408,397893,348798,0,45,36,3.8,348743.2,35.0,1300.0,22.06,7.45,0.07250806179176086,throughput_performance,redis
5.67,0.0,21.43,0.1,0.74,14.47,0.0,0.0,42.31,55.48238805970151,0.0,11.8,0.0,4.68,0.0,45.87,0.0,405.9,0.0,49.36,1.44,0.11,419576.12,800580.76,1090874.2,1059443.8,65.58,0.0,0.2,43.23040696174043,0.364,31.05,14.81,0.78,1.69,1.68,0.61,0,70400,3262,409795,362409,0,43,33,1.2,362364.8,30.0,1287.0,22.37,7.76,0.07250806179176086,throughput_performance,redis
5.46,0.0,21.15,0.0,0.75,14.2,0.0,0.0,41.56,54.04507042253522,0.0,0.6,0.0,0.01,0.0,76.92,0.0,16.0,0.0,7.33,0.0,0.0,418924.82,799559.8,1087596.4,1058089.2,65.5,0.0,0.0,42.88340539534883,0.366,30.97,14.77,0.79,1.69,1.67,0.61,0,70400,10,419273,371587,0,41,32,1.2,371508.6,22.0,1287.0,22.82,8.09,0.07324046645632411,throughput_performance,redis
5.69,0.0,21.1,0.0,0.74,14.25,0.0,0.0,41.78,56.56723076923076,0.0,5.6,0.0,0.04,0.0,42.86,0.0,7.29,0.0,5.5,0.24,0.03,419705.53,801199.36,1088741.0,1060254.6,65.63,0.0,0.0,43.20761931282821,0.365,31.19,14.91,0.78,1.69,1.68,0.61,1,70400,46,415936,365927,0,42,31,1.4,365859.8,30.0,1288.0,23.48,8.47,0.07324046645632411,throughput_performance,redis
5.63,0.0,21.27,0.01,0.71,14.37,0.0,0.0,41.98,56.90530303030302,0.0,0.8,0.0,0.01,0.0,20.0,0.0,9.0,0.0,7.0,0.08,0.0,419850.6,801322.01,1089851.8,1060435.6,65.64,0.0,0.0,43.406611780945234,0.363,31.34,15.0,0.78,1.69,1.69,0.61,1,70400,2,409665,361484,0,42,36,1.2,361533.2,29.0,1288.0,23.68,8.77,0.07324046645632411,throughput_performance,redis
5.61,0.0,21.17,0.01,0.75,14.32,0.0,0.0,41.85,56.342461538461556,0.0,2.0,0.0,0.01,0.0,54.55,0.0,7.6,0.0,4.1,0.08,0.0,419409.56,800149.5,1091189.4,1058876.0,65.55,0.0,0.0,43.30239577494374,0.364,31.47,15.03,0.78,1.7,1.68,0.61,1,70400,20,412575,367021,0,42,34,1.2,366897.0,34.0,1288.0,24.35,9.15,0.07324046645632411,throughput_performance,redis
5.83,0.0,21.05,0.01,0.74,14.37,0.0,0.0,41.99,57.61230769230768,0.0,2.4,0.0,0.02,0.0,42.86,0.0,9.33,0.0,8.08,0.24,0.01,419659.29,800831.46,1090421.2,1059774.8,65.6,0.0,0.0,43.42754347786947,0.363,31.52,15.04,0.78,1.7,1.69,0.61,1,70400,18,410850,363741,0,42,29,1.2,363647.2,31.0,1288.0,24.8,9.5,0.07324046645632411,throughput_performance,redis
5.64,0.0,21.14,0.01,0.71,14.55,0.0,0.0,42.040000000000006,60.250983606557384,0.0,2.0,0.0,0.02,0.0,60.0,0.0,10.0,0.0,7.1,0.24,0.01,418760.93,798381.29,1092993.6,1056535.4,65.4,0.0,0.2,43.684131912978245,0.36,31.76,15.19,0.78,1.7,1.71,0.62,1,70400,20,398245,354038,0,42,30,1.2,353965.4,30.0,1288.0,25.46,9.89,0.07324046645632411,throughput_performance,redis
5.62,0.0,21.51,0.01,0.71,14.83,0.0,0.0,42.67,58.46984615384615,0.0,2.2,0.0,0.02,0.0,57.69,0.0,9.45,0.0,7.45,0.24,0.01,418657.41,796066.17,1106933.4,1053482.8,65.21,0.0,0.0,43.86098815903976,0.356,31.77,15.29,0.77,1.7,1.74,0.62,1,70400,21,385457,341731,0,43,35,1.2,341790.0,30.0,1288.0,26.3,10.32,0.07324046645632411,throughput_performance,redis
8.82,0.0,22.95,0.78,0.69,15.03,0.0,0.0,47.49,59.03222222222222,0.2,64.8,0.0,29.3,0.0,20.2,4.0,463.05,33.0,44.75,14.16,1.04,417339.8,793164.8,1106448.2,1050152.6,64.98,0.0,0.0,47.02773389347337,0.427,34.34,12.77,0.61,1.53,1.45,0.62,0,70400,30005,363816,314526,0,48,32,5.0,314452.8,26.0,1288.0,26.92,10.72,0.07324046645632411,throughput_performance,redis
5.61,0.0,21.3,0.0,0.73,14.63,0.0,0.0,42.27,57.68939393939395,0.0,0.6,0.0,0.02,0.0,90.32,0.0,40.0,0.0,9.67,0.08,0.0,418175.26,794940.59,1107264.4,1051980.6,65.12,0.0,0.0,43.88275564891222,0.358,32.27,15.42,0.78,1.7,1.73,0.62,0,70400,24,394479,352263,0,43,31,1.2,352118.8,31.0,1288.0,27.41,11.09,0.07324046645632411,throughput_performance,redis
5.54,0.0,21.39,0.0,0.72,14.57,0.0,0.0,42.22,56.09223880597014,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,418311.82,795139.84,1108002.6,1052247.8,65.14,0.0,0.0,43.72523326031508,0.359,32.25,15.38,0.78,1.7,1.72,0.62,1,70400,2,394249,354439,0,43,34,1.2,354463.2,37.0,1288.0,27.53,11.38,0.07324046645632411,throughput_performance,redis
5.58,0.0,21.11,0.01,0.73,14.5,0.0,0.0,41.92,55.189705882352946,0.0,7.4,0.0,0.05,0.0,27.45,0.0,6.49,0.0,6.35,0.24,0.04,418117.99,795665.81,1101603.4,1052941.2,65.18,0.0,0.0,43.617391387846965,0.361,32.07,15.28,0.79,1.69,1.7,0.61,1,70400,55,404124,365154,0,42,35,1.2,365058.4,33.0,1288.0,27.97,11.74,0.07324046645632411,throughput_performance,redis
7.99,0.0,22.53,0.67,0.7,15.06,0.0,0.0,46.28,60.61492537313435,0.2,44.6,0.0,20.14,0.0,26.4,4.0,462.39,62.0,45.26,8.08,0.71,418571.36,795157.75,1111773.0,1052353.0,65.14,0.0,0.2,46.28171494073519,0.406,33.75,13.43,0.66,1.58,1.52,0.62,0,70400,20613,366163,323752,0,46,34,3.8,323736.0,27.0,1288.0,28.85,12.19,0.07324046645632411,throughput_performance,redis
5.73,0.0,21.15,0.01,0.73,14.72,0.0,0.0,42.33,56.064558823529396,0.0,0.6,0.0,0.01,0.0,76.92,0.0,16.0,0.0,10.33,0.0,0.0,418598.87,795440.5,1110242.4,1052640.6,65.16,0.0,0.0,43.99178975543885,0.359,32.26,15.41,0.78,1.69,1.72,0.62,0,70400,10,393601,355502,0,43,32,1.2,355429.0,38.0,1288.0,29.35,12.57,0.07324046645632411,throughput_performance,redis
5.56,0.0,21.22,0.0,0.71,14.21,0.0,0.0,41.7,56.10552238805968,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,418885.8,798888.89,1091805.6,1057195.8,65.44,0.0,0.0,43.435864534133536,0.364,31.66,15.09,0.79,1.7,1.68,0.61,1,70400,2,414023,366009,0,42,30,1.2,365938.0,33.0,1288.0,29.48,12.88,0.07324046645632411,throughput_performance,redis
