CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.9,0.0,22.55,0.03,0.77,15.44,0.0,0.0,43.66,61.30483870967739,2.4,0.8,0.05,0.02,7.69,84.0,19.33,24.0,24.25,13.0,0.8,0.03,1147293.23,73316.72,1076743.2,1057410.8,93.99,0.0,0.0,39.23209640810202,0.36700000000000005,26.99,11.7,0.87,1.73,1.68,0.62,0,70656,19,511873,341921,0,44,33,3.8,341701.4,36.0,1287.0,14.04,3.52,0.04687389853204744,throughput_performance,redis
4.81,0.0,22.35,0.01,0.77,15.44,0.0,0.0,43.37,59.68936507936508,0.0,2.8,0.0,0.02,0.0,61.11,0.0,8.29,0.0,7.93,0.32,0.02,1145904.67,73208.57,1078622.8,1055849.8,93.87,0.0,0.2,39.436017596399104,0.36700000000000005,27.16,11.78,0.87,1.73,1.68,0.62,1,70656,33,509817,341492,0,44,37,1.2,341814.4,45.0,1287.0,15.48,4.0,0.050535921854863636,throughput_performance,redis
4.87,0.0,22.5,0.01,0.74,15.76,0.0,0.0,43.87,58.200147058823525,0.0,2.0,0.0,0.02,0.0,37.5,0.0,9.6,0.0,38.1,0.24,0.0,1144993.77,73137.89,1080956.8,1054831.6,93.8,0.0,0.0,39.930339960990246,0.364,27.57,12.0,0.86,1.73,1.71,0.62,0,70656,10,489653,327453,0,44,36,1.2,326666.07,36.0,1287.0,17.04,4.51,0.050535921854863636,throughput_performance,redis
4.75,0.0,22.65,0.01,0.75,15.48,0.0,0.0,43.63,57.399552238805974,0.0,2.0,0.0,0.02,0.0,61.54,0.0,11.6,0.0,7.2,0.16,0.0,1145603.1,73194.94,1077997.2,1055653.4,93.85,0.0,0.0,39.51851527681921,0.366,27.47,11.88,0.87,1.73,1.68,0.62,0,70656,23,504712,337024,0,44,35,1.2,336759.8,35.0,1287.0,18.64,5.05,0.050535921854863636,throughput_performance,redis
4.71,0.0,22.67,0.0,0.75,15.15,0.0,0.0,43.28,59.02453125000001,0.0,4.6,0.0,0.03,0.0,37.84,0.0,6.96,0.0,8.17,0.4,0.03,1147016.12,73304.36,1074367.6,1057230.6,93.96,0.0,0.0,39.346145272318076,0.368,27.28,11.79,0.87,1.73,1.67,0.62,0,70656,32,517801,342777,0,44,35,1.2,342893.6,38.0,1287.0,20.03,5.57,0.050535921854863636,throughput_performance,redis
4.81,0.0,22.59,0.0,0.77,15.1,0.0,0.0,43.27,60.10516129032258,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,10.0,0.0,0.0,1144972.46,73175.97,1072202.0,1055379.4,93.8,0.0,0.0,39.409653245311326,0.369,27.24,11.8,0.87,1.73,1.67,0.62,0,70656,4,523352,347298,0,43,36,1.2,347093.6,40.0,1287.0,21.23,6.06,0.050535921854863636,throughput_performance,redis
5.06,0.0,23.08,0.36,0.76,15.36,0.0,0.0,44.26,59.68611940298508,2.8,9.8,0.01,2.1,0.0,57.76,4.0,218.94,21.21,24.04,2.32,0.07,1144442.71,73132.65,1073718.4,1054755.8,93.75,0.0,0.0,39.92153955288822,0.369,27.93,11.92,0.85,1.71,1.68,0.62,0,70656,2145,506292,323349,9,44,31,7.6,323581.4,35.0,1287.0,22.41,6.55,0.050535921854863636,throughput_performance,redis
4.86,0.0,22.84,0.01,0.73,15.56,0.0,0.0,43.99,58.60376811594201,0.0,3.6,0.0,0.06,0.0,76.62,0.0,17.56,0.0,7.67,0.24,0.01,1145841.21,73217.74,1076109.4,1055982.0,93.87,0.0,0.2,39.48558749287322,0.364,27.73,12.04,0.87,1.72,1.7,0.62,0,70656,63,496962,328677,0,44,34,1.2,328271.2,37.0,1287.0,23.26,6.99,0.050535921854863636,throughput_performance,redis
4.81,0.0,22.72,0.0,0.75,15.47,0.0,0.0,43.75,59.32727272727272,0.0,10.0,0.0,0.06,0.0,31.51,0.0,6.0,0.0,4.06,0.32,0.03,1145417.7,73192.73,1075114.4,1055622.6,93.83,0.0,0.0,39.56315645311328,0.364,27.91,12.11,0.87,1.73,1.7,0.62,0,70656,61,499800,329369,0,44,33,1.2,329254.2,37.0,1287.0,24.28,7.47,0.050535921854863636,throughput_performance,redis
4.96,0.0,22.69,0.0,0.74,15.69,0.0,0.0,44.08,58.79522388059701,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,10.33,0.0,0.0,1145504.17,73183.01,1077034.6,1055481.2,93.84,0.0,0.0,39.808523138784686,0.361,28.07,12.23,0.86,1.73,1.73,0.62,0,70656,4,488208,322024,0,44,33,1.2,322575.0,48.0,1287.0,25.38,7.98,0.050535921854863636,throughput_performance,redis
