CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.2,0.0,1.04,0.01,0.16,0.83,0.0,0.0,2.23,98.0,0.0,0.6,0.0,0.01,0.0,75.0,0.0,14.67,0.0,9.0,0.0,0.0,7676.21,7923.72,77060.0,77346.4,0.65,0.0,0.2,3.0305975213803453,0.5670000000000001,31.51,12.81,0.08,1.4,0.97,0.55,0,68864,9,181775,10471,0,2,1,0.8,10461.0,4.0,1170.0,0.6,0.83,0.019042521278644267,throughput_performance,redis
0.22,0.0,0.85,0.0,0.17,0.85,0.0,0.0,2.09,97.21,0.0,1.8,0.0,0.01,0.0,25.0,0.0,5.33,0.0,4.78,0.16,0.0,7604.6,7832.11,76344.2,76421.0,0.64,0.0,0.0,3.0026599129782445,0.5670000000000001,31.94,12.96,0.08,1.4,0.97,0.55,0,68864,7,180159,10370,0,2,1,0.4,10363.2,3.0,1170.0,0.63,0.83,0.02343694926602372,throughput_performance,redis
0.22,0.0,0.84,0.0,0.13,0.81,0.0,0.0,2.0,97.6,0.0,1.0,0.0,0.0,0.0,28.57,0.0,3.2,0.0,7.4,0.08,0.0,7561.41,7843.15,75910.6,76830.4,0.64,0.0,0.0,3.0062980705176297,0.5670000000000001,32.14,13.03,0.08,1.39,0.97,0.55,0,68864,6,179792,10291,0,2,1,1.2,10285.8,2.0,1170.0,0.66,0.83,0.02343694926602372,throughput_performance,redis
0.26,0.0,0.83,0.03,0.15,0.84,0.0,0.0,2.08,97.59,0.0,3.2,0.0,0.02,0.0,30.43,0.0,5.25,0.0,14.62,0.0,0.0,7565.65,7814.19,75953.2,76335.2,0.64,0.0,0.0,2.9386234238559634,0.557,31.83,12.93,0.08,1.39,1.0,0.56,0,68864,17,179561,10398,0,2,1,1.2,10396.4,2.0,1170.0,0.69,0.84,0.02343694926602372,throughput_performance,redis
0.22,0.0,0.84,0.01,0.15,0.83,0.0,0.0,2.04,97.01000000000002,0.0,1.0,0.0,0.0,0.0,28.57,0.0,4.8,0.0,5.8,0.0,0.0,7559.24,7778.44,75888.8,75917.0,0.64,0.0,0.0,2.9767503315828967,0.5670000000000001,32.14,13.08,0.08,1.4,0.98,0.55,0,68864,5,178856,10221,0,2,1,1.2,10229.4,2.0,1170.0,0.72,0.84,0.02343694926602372,throughput_performance,redis
0.22,0.0,0.83,0.0,0.16,0.85,0.0,0.0,2.06,97.61,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,7575.93,7842.12,76056.4,76670.8,0.64,0.0,0.0,2.977106772693173,0.5670000000000001,32.42,13.18,0.09,1.4,0.97,0.55,0,68864,3,179757,10252,0,2,1,1.2,10239.6,2.0,1170.0,0.74,0.84,0.02343694926602372,throughput_performance,redis
0.21,0.0,0.84,0.01,0.14,0.84,0.0,0.0,2.03,98.4,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,7.25,0.08,0.0,7596.67,7831.16,76264.2,76434.8,0.64,0.0,0.2,2.9846657824456115,0.5670000000000001,32.48,13.2,0.08,1.4,0.97,0.55,0,68864,24,179712,10284,0,2,1,1.2,10286.6,2.0,1170.0,0.76,0.85,0.02343694926602372,throughput_performance,redis
0.21,0.0,0.85,0.01,0.15,0.83,0.0,0.0,2.04,97.8,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,6.75,0.0,0.0,7608.09,7856.13,76379.2,76775.6,0.64,0.0,0.0,2.9669912198049517,0.565,32.48,13.19,0.08,1.4,0.98,0.55,0,68864,6,180219,10341,0,2,1,1.2,10347.2,2.0,1170.0,0.78,0.85,0.02343694926602372,throughput_performance,redis
0.21,0.0,0.84,0.01,0.16,0.85,0.0,0.0,2.06,97.99,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,8.0,0.08,0.0,7603.42,7838.65,76329.6,76542.0,0.64,0.0,0.0,2.9892134793698424,0.565,32.49,13.22,0.08,1.4,0.98,0.55,0,68864,5,180033,10364,0,2,1,1.2,10362.0,2.0,1170.0,0.8,0.85,0.02343694926602372,throughput_performance,redis
0.29,0.0,0.85,0.01,0.14,0.82,0.0,0.0,2.1,97.6,0.0,0.8,0.0,0.01,0.0,33.33,0.0,7.0,0.0,9.5,0.08,0.0,7595.55,7828.76,76253.4,76400.0,0.64,0.0,0.0,2.9842601770442614,0.5429999999999999,32.36,13.08,0.08,1.39,1.05,0.57,0,68864,3,180099,10394,0,2,1,1.2,10383.6,2.0,1170.0,0.81,0.85,0.02343694926602372,throughput_performance,redis
