cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
4.59,0.0,23.43,0.0,0.71,16.61,0.0,0.0,45.34,60.41820895522388,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,108197.55,1132954.9,1108294.8,1079434.0,92.81,0.0,0.0,41.7397087831958,0.34,30.34,14.02,0.69,1.69,1.89,0.64,0,0,0,487925,291176,0,46,27,15.6,291449.6,37.0,1237.0,9.56,6.87,0.02990924981925079,throughput_performance,redis
4.7,0.0,23.07,0.06,0.74,16.31,0.0,0.0,44.81999999999999,59.794117647058826,0.0,0.8,0.0,0.02,0.0,76.47,0.0,20.0,0.0,114.5,0.96,0.01,107936.96,1134453.62,1103466.6,1080774.2,92.93,0.0,0.0,41.33372235858964,0.342,30.02,13.77,0.7,1.69,1.87,0.64,1,0,20,528227,309375,0,45,37,9.6,309156.6,40.0,1232.0,11.76,7.37,0.03209773151334231,throughput_performance,redis
4.71,0.0,23.11,0.0,0.74,16.43,0.0,0.0,44.989999999999995,62.169538461538444,0.0,2.4,0.0,0.02,0.0,47.83,0.0,8.67,0.0,7.42,0.24,0.01,107967.65,1133683.27,1104226.8,1080003.6,92.87,0.0,0.0,41.699897998499615,0.341,30.29,13.98,0.69,1.69,1.88,0.64,1,0,22,515199,304213,0,45,40,16.2,303984.2,41.0,1232.0,13.86,7.88,0.03209773151334231,throughput_performance,redis
4.69,0.0,23.58,0.01,0.71,17.19,0.0,0.0,46.17,58.4919718309859,0.0,0.8,0.0,0.01,0.0,33.33,0.0,9.0,0.0,9.25,0.08,0.0,108956.33,1145459.96,1113691.6,1091197.2,93.84,0.0,0.0,42.54970276969242,0.334,31.14,14.4,0.68,1.7,1.95,0.65,1,0,3,463265,273897,0,46,41,12.8,273857.2,43.0,1232.0,15.71,8.37,0.03209773151334231,throughput_performance,redis
4.72,0.0,24.02,0.01,0.69,17.64,0.0,0.0,47.07,62.98073529411766,0.0,1.4,0.0,0.02,0.0,63.16,0.0,12.0,0.0,4.71,0.0,0.0,112336.89,1181128.62,1148317.6,1125251.4,96.76,0.0,0.2,42.416590451612905,0.336,30.35,13.99,0.67,1.7,1.94,0.65,1,0,21,409058,248010,0,47,33,14.2,247980.6,37.0,1233.0,17.82,8.93,0.03209773151334231,throughput_performance,redis
4.85,0.0,24.38,0.0,0.69,17.52,0.0,0.0,47.44,62.77529411764705,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,5.44,0.16,0.0,112798.95,1182653.33,1154606.6,1126613.4,96.88,0.0,0.0,42.717045725431355,0.335,29.99,13.86,0.67,1.7,1.95,0.65,1,0,17,449527,255028,0,48,28,15.8,254981.4,34.0,1233.0,19.03,9.33,0.03209773151334231,throughput_performance,redis
4.76,0.0,24.04,0.01,0.7,17.6,0.0,0.0,47.099999999999994,64.89830769230768,0.0,0.8,0.0,0.01,0.0,33.33,0.0,9.0,0.0,6.5,0.08,0.0,112544.37,1182462.3,1150726.4,1126583.0,96.87,0.0,0.0,42.73674831507876,0.336,30.39,14.01,0.67,1.7,1.94,0.65,1,0,3,447845,257548,0,47,36,9.4,257529.0,36.0,1233.0,20.55,9.8,0.03209773151334231,throughput_performance,redis
4.65,0.0,23.99,0.0,0.75,17.11,0.0,0.0,46.5,61.26275362318842,0.0,2.2,0.0,0.02,0.0,52.17,0.0,7.27,0.0,9.64,0.16,0.01,112259.56,1182021.58,1146502.8,1126081.2,96.83,0.0,0.0,42.40674530232558,0.342,29.97,13.8,0.68,1.7,1.89,0.65,1,0,22,494773,286827,0,47,40,15.6,286810.0,38.0,1233.0,22.03,10.29,0.03209773151334231,throughput_performance,redis
4.62,0.0,23.98,0.01,0.71,17.34,0.0,0.0,46.650000000000006,62.026716417910436,0.0,2.4,0.0,0.02,0.0,52.0,0.0,8.67,0.0,9.42,0.24,0.01,112075.82,1178924.64,1145270.4,1123001.2,96.58,0.0,0.0,42.815325143285826,0.341,30.26,14.01,0.68,1.7,1.9,0.65,1,0,21,481625,277529,0,47,39,13.6,277466.2,37.0,1233.0,23.39,10.76,0.032462478462357565,throughput_performance,redis
4.77,0.0,23.96,0.01,0.74,17.38,0.0,0.0,46.849999999999994,64.10000000000001,0.0,2.4,0.0,0.02,0.0,53.85,0.0,8.67,0.0,7.0,0.16,0.01,112271.6,1180093.58,1147676.0,1124219.6,96.67,0.0,0.0,43.04891698124531,0.34,30.51,14.12,0.68,1.7,1.91,0.65,1,0,21,483353,279166,0,47,38,11.6,279134.4,38.0,1233.0,24.56,11.22,0.03282722541137282,throughput_performance,redis
