cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.16,0.0,1.07,0.0,0.19,0.93,0.0,0.0,2.35,98.60000000000001,0.0,0.4,0.0,0.01,0.0,84.62,0.0,26.0,0.0,1.5,0.08,0.0,9997.13,8418.25,90926.6,90923.8,0.82,0.0,0.0,2.2010484381095274,0.614,22.1,7.13,0.13,1.33,0.82,0.51,0,69120,1,206913,11998,0,2,2,0.8,11987.6,5.0,1167.0,0.75,0.92,0.01318328396213834,throughput_performance,redis
0.18,0.0,0.88,0.01,0.16,0.94,0.0,0.0,2.16,98.4,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,14.0,0.0,0.0,10034.96,8449.13,91267.4,91267.4,0.82,0.0,0.0,2.154071957989497,0.617,22.22,7.12,0.13,1.33,0.82,0.51,0,69120,10,207052,11983,0,2,1,0.4,11973.4,2.0,1167.0,0.77,0.92,0.016112902620391306,throughput_performance,redis
0.19,0.0,0.86,0.0,0.16,0.94,0.0,0.0,2.15,99.4,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,6.0,0.0,0.0,10073.15,8482.81,91625.0,91627.0,0.83,0.0,0.0,2.151232720180045,0.618,22.41,7.15,0.13,1.34,0.82,0.51,0,69120,4,207024,12021,0,2,1,1.2,12020.6,3.0,1167.0,0.79,0.92,0.016112902620391306,throughput_performance,redis
0.16,0.0,0.9,0.01,0.18,0.94,0.0,0.0,2.1799999999999997,97.80000000000001,0.0,4.2,0.0,0.02,0.0,22.22,0.0,4.95,0.0,8.43,0.32,0.03,9991.08,8410.31,90852.6,90850.4,0.82,0.0,0.2,2.095922892723181,0.613,22.49,7.12,0.13,1.33,0.83,0.51,0,69120,21,206117,11984,0,2,1,1.2,11985.8,2.0,1167.0,0.8,0.93,0.016112902620391306,throughput_performance,redis
0.16,0.0,0.89,0.01,0.17,0.95,0.0,0.0,2.17,98.4,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,8.0,0.08,0.0,10077.2,8486.95,91663.0,91665.2,0.83,0.0,0.0,2.1312351447861966,0.62,22.91,7.25,0.13,1.34,0.81,0.5,0,69120,4,208470,12081,0,2,1,1.2,12075.4,2.0,1167.0,0.82,0.93,0.016112902620391306,throughput_performance,redis
0.15,0.0,0.9,0.01,0.16,0.93,0.0,0.0,2.14,99.00000000000001,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,7.75,0.08,0.0,10046.08,8457.89,91366.4,91362.8,0.82,0.0,0.0,2.129711051762941,0.617,22.9,7.27,0.13,1.33,0.82,0.51,0,69120,4,207823,12019,0,2,1,1.2,12014.0,2.0,1167.0,0.83,0.93,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.89,0.0,0.17,0.95,0.0,0.0,2.19,97.41000000000001,0.0,0.8,0.0,0.02,0.0,77.78,0.0,30.0,0.0,5.75,0.0,0.0,9997.13,8418.66,90934.2,90935.4,0.82,0.0,0.0,2.1183172273068265,0.614,22.72,7.27,0.13,1.33,0.83,0.51,0,69120,24,206414,11878,0,2,1,1.4,11881.2,2.0,1167.0,0.85,0.93,0.016112902620391306,throughput_performance,redis
0.15,0.0,0.9,0.01,0.18,0.94,0.0,0.0,2.17,98.60000000000001,0.0,0.8,0.0,0.01,0.0,73.33,0.0,9.0,0.0,7.75,0.0,0.0,10002.38,8423.53,90984.0,90981.8,0.82,0.0,0.0,2.1287400570142534,0.616,22.81,7.28,0.13,1.33,0.82,0.51,0,69120,7,207323,12064,0,2,1,1.4,12059.6,2.0,1168.0,0.86,0.93,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.87,0.01,0.15,0.93,0.0,0.0,2.13,97.99,0.0,0.6,0.0,0.01,0.0,50.0,0.0,16.0,0.0,6.33,0.0,0.0,9982.19,8405.17,90793.8,90792.6,0.82,0.0,0.0,2.1082262565641408,0.615,22.75,7.27,0.13,1.33,0.83,0.51,0,69120,10,206483,11963,0,2,1,1.2,11961.6,2.0,1168.0,0.87,0.93,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.89,0.0,0.19,0.95,0.0,0.0,2.21,98.6,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,9.0,0.08,0.0,10061.97,8472.61,91513.4,91512.4,0.82,0.0,0.2,2.1171987396849214,0.617,22.81,7.27,0.13,1.33,0.82,0.51,0,69120,4,208034,11990,0,2,1,1.2,11990.6,2.0,1168.0,0.88,0.93,0.016112902620391306,throughput_performance,redis
