CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.21,0.0,1.06,0.01,0.16,0.94,0.0,0.0,2.37,98.59,0.0,0.8,0.0,0.02,0.0,81.82,0.0,21.0,0.0,7.5,0.0,0.0,10072.35,8479.33,91602.6,91602.6,0.83,0.0,0.0,2.105546802700676,0.61,22.74,7.01,0.13,1.35,0.84,0.51,0,68864,17,209191,12154,0,2,1,0.8,12148.6,4.0,1168.0,0.23,0.08,0.01318328396213834,throughput_performance,redis
0.16,0.0,0.9,0.0,0.19,0.95,0.0,0.0,2.2,98.2,0.0,0.2,0.0,0.0,0.0,50.0,0.0,8.0,0.0,1.0,0.08,0.0,10163.02,8559.47,92445.2,92445.4,0.83,0.0,0.0,2.1028058934733687,0.623,23.04,7.16,0.13,1.35,0.81,0.5,0,68864,0,209382,12090,0,2,1,0.4,12083.4,2.0,1168.0,0.29,0.1,0.016112902620391306,throughput_performance,redis
0.17,0.0,0.88,0.01,0.15,0.92,0.0,0.0,2.12,98.81,0.0,4.4,0.0,0.02,0.0,21.43,0.0,4.18,0.0,8.32,0.24,0.03,10103.74,8507.54,91895.6,91894.6,0.83,0.0,0.0,2.1132164321080267,0.621,23.09,7.26,0.13,1.36,0.81,0.5,0,68864,20,207874,11981,0,2,1,1.2,11982.2,2.0,1168.0,0.35,0.11,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.87,0.0,0.18,0.95,0.0,0.0,2.18,98.61,0.0,1.0,0.0,0.01,0.0,50.0,0.0,6.4,0.0,7.0,0.08,0.0,10099.73,8503.53,91856.6,91855.6,0.83,0.0,0.2,2.089027600900225,0.62,23.13,7.27,0.13,1.36,0.81,0.5,0,68864,6,208661,11982,0,2,1,1.2,11976.6,2.0,1168.0,0.4,0.13,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.88,0.01,0.17,0.93,0.0,0.0,2.16,98.4,0.0,0.6,0.0,0.01,0.0,25.0,0.0,9.33,0.0,8.67,0.0,0.0,10105.96,8508.69,91912.0,91911.2,0.83,0.0,0.0,2.052031471867967,0.62,23.1,7.22,0.13,1.35,0.81,0.5,0,68864,6,207811,11983,0,2,1,1.2,11984.0,2.0,1168.0,0.45,0.14,0.016112902620391306,throughput_performance,redis
0.2,0.0,0.86,0.01,0.16,0.94,0.0,0.0,2.16,99.0,0.0,0.8,0.0,0.0,0.0,20.0,0.0,4.0,0.0,6.75,0.08,0.0,10159.0,8552.63,92385.6,92387.4,0.83,0.0,0.0,2.0750403600900227,0.623,23.3,7.3,0.13,1.35,0.8,0.5,0,68864,3,208557,12030,0,2,1,1.2,12024.0,2.0,1168.0,0.49,0.16,0.016112902620391306,throughput_performance,redis
0.25,0.0,0.89,0.01,0.18,0.93,0.0,0.0,2.25,98.59000000000002,0.0,0.8,0.0,0.02,0.0,75.0,0.0,29.0,0.0,8.75,0.08,0.0,10146.92,8544.92,92295.6,92294.8,0.83,0.0,0.0,2.073000042010503,0.613,23.26,7.26,0.13,1.34,0.83,0.51,0,68864,23,208885,12134,0,2,1,1.2,12135.2,2.0,1168.0,0.53,0.17,0.016112902620391306,throughput_performance,redis
0.16,0.0,0.9,0.01,0.16,0.95,0.0,0.0,2.17,98.2,0.0,0.8,0.0,0.01,0.0,50.0,0.0,7.0,0.0,6.75,0.0,0.0,10080.94,8488.83,91692.4,91693.2,0.83,0.0,0.0,2.073061497374344,0.619,23.16,7.31,0.13,1.35,0.81,0.5,0,68864,6,208320,11987,0,2,1,1.2,11982.6,2.0,1168.0,0.57,0.18,0.016112902620391306,throughput_performance,redis
0.17,0.0,0.88,0.0,0.18,0.93,0.0,0.0,2.16,98.8,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,8.0,0.0,0.0,10106.16,8510.39,91927.8,91927.0,0.83,0.0,0.0,2.077412537134283,0.621,23.15,7.32,0.13,1.35,0.81,0.5,0,68864,4,208503,11967,0,2,1,1.2,11970.0,2.0,1168.0,0.61,0.2,0.016112902620391306,throughput_performance,redis
0.18,0.0,0.88,0.0,0.15,0.94,0.0,0.0,2.15,98.8,0.0,2.0,0.0,0.01,0.0,9.09,0.0,4.0,0.0,8.0,0.16,0.01,10121.39,8522.45,92056.4,92056.6,0.83,0.0,0.2,2.0405884831207803,0.619,23.03,7.25,0.13,1.34,0.81,0.5,0,68864,8,208204,11989,0,2,1,1.2,11987.2,2.0,1168.0,0.64,0.21,0.016112902620391306,throughput_performance,redis
0.21,0.0,0.86,0.0,0.18,0.93,0.0,0.0,2.18,98.01000000000002,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,10.0,0.08,0.0,10090.5,8496.07,91772.6,91772.8,0.83,0.0,0.0,2.0474100285071266,0.622,23.11,7.26,0.13,1.35,0.81,0.5,0,68864,2,208513,11999,0,2,1,1.2,11996.6,3.0,1168.0,0.67,0.23,0.016112902620391306,throughput_performance,redis
