CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.65,0.0,21.11,0.0,0.79,14.45,0.0,0.0,41.0,55.556451612903224,0.0,0.2,0.0,0.01,0.0,85.71,0.0,28.0,0.0,3.0,0.08,0.0,415317.64,793501.23,1072590.4,1050080.0,65.0,0.0,0.2,41.494870613653404,0.371,29.5,13.54,0.8,1.35,1.64,0.61,0,0,0,487054,428262,0,41,35,15.4,428319.4,37.0,1179.0,16.74,20.03,0.025228330640221702,throughput_performance,redis
4.75,0.0,20.7,0.0,0.8,14.37,0.0,0.0,40.62,55.476190476190474,0.0,9.0,0.0,0.05,0.0,35.71,0.0,5.96,0.0,4.69,0.32,0.03,414722.71,791951.03,1074006.4,1048014.2,64.88,0.0,0.0,41.536180909227305,0.37200000000000005,29.69,13.6,0.8,1.35,1.64,0.61,0,0,59,493877,432861,0,41,29,10.0,432881.2,26.0,1181.0,17.8,20.2,0.02814630623234373,throughput_performance,redis
4.68,0.0,20.79,0.01,0.81,14.4,0.0,0.0,40.68,55.34328125000001,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,11.0,0.08,0.0,414675.99,791996.63,1072592.8,1048095.8,64.88,0.0,0.0,41.632026694673655,0.371,29.79,13.67,0.8,1.35,1.64,0.61,0,0,5,494116,430689,0,41,19,14.4,430618.0,24.0,1179.0,18.86,20.38,0.02814630623234373,throughput_performance,redis
4.76,0.0,20.67,0.01,0.81,14.4,0.0,0.0,40.64,54.02545454545455,0.0,1.4,0.0,0.01,0.0,63.16,0.0,10.86,0.0,13.29,0.48,0.01,413996.24,791187.38,1067877.2,1047015.0,64.81,0.0,0.0,41.711119747936976,0.371,29.92,13.74,0.8,1.35,1.65,0.61,0,0,15,491661,432315,0,41,32,16.2,432191.8,31.0,1179.0,19.43,20.47,0.02814630623234373,throughput_performance,redis
4.73,0.0,20.68,0.0,0.78,14.34,0.0,0.0,40.53,57.59968253968252,0.0,1.2,0.0,0.02,0.0,70.0,0.0,16.67,0.0,5.83,0.08,0.0,414323.0,791615.52,1069832.4,1047575.4,64.85,0.0,0.0,41.65313046661665,0.37200000000000005,29.91,13.7,0.8,1.35,1.64,0.61,0,0,20,494820,430545,0,41,23,10.4,430406.4,30.0,1181.0,20.12,20.6,0.02814630623234373,throughput_performance,redis
4.88,0.0,20.39,0.0,0.82,14.33,0.0,0.0,40.42,54.845245901639345,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.78,0.0,6.78,0.24,0.01,413724.28,790460.33,1068672.6,1046055.4,64.75,0.0,0.0,41.64950460015003,0.37200000000000005,29.99,13.74,0.8,1.35,1.64,0.61,0,0,18,503333,435459,0,41,30,19.4,435401.2,28.0,1179.0,21.07,20.79,0.02814630623234373,throughput_performance,redis
4.83,0.0,20.63,0.01,0.8,14.34,0.0,0.0,40.6,56.157777777777774,0.0,1.8,0.0,0.01,0.0,30.77,0.0,6.67,0.0,8.0,0.08,0.0,413552.37,790358.92,1066600.6,1045909.6,64.75,0.0,0.2,42.05395464066017,0.37,30.3,13.89,0.8,1.35,1.65,0.61,0,0,10,491327,424965,0,41,24,15.8,424874.8,34.0,1179.0,21.62,20.91,0.02814630623234373,throughput_performance,redis
4.81,0.0,20.59,0.0,0.8,14.35,0.0,0.0,40.55,56.533166666666666,0.0,3.0,0.0,0.02,0.0,34.78,0.0,6.13,0.0,6.87,0.16,0.01,414645.98,792102.81,1071576.2,1048226.4,64.89,0.0,0.0,42.10842867516879,0.37,30.33,13.94,0.8,1.35,1.66,0.61,0,0,21,490951,425027,0,41,37,10.6,424854.0,36.0,1184.0,22.61,21.12,0.02814630623234373,throughput_performance,redis
4.73,0.0,20.61,0.0,0.8,14.33,0.0,0.0,40.47,58.37131147540983,0.0,2.0,0.0,0.02,0.0,52.38,0.0,8.4,0.0,6.3,0.16,0.01,414418.18,791988.06,1068972.8,1048071.2,64.88,0.0,0.0,41.898927339834955,0.371,30.32,13.9,0.8,1.35,1.65,0.61,0,0,17,494072,427254,0,41,26,14.6,427367.4,34.0,1179.0,23.29,21.29,0.02814630623234373,throughput_performance,redis
4.93,0.0,21.3,0.0,0.77,14.99,0.0,0.0,41.99,59.0390625,0.0,2.99,0.0,0.02,0.0,42.31,0.0,8.53,0.0,7.4,0.24,0.01,421090.95,805131.82,1083405.0,1065472.2,65.96,0.0,0.0,42.616049980495134,0.366,30.55,14.05,0.79,1.35,1.69,0.62,0,0,20,462782,401900,0,42,33,16.2,401722.8,36.0,1179.0,23.82,21.43,0.02814630623234373,throughput_performance,redis
