CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.56,0.0,20.27,0.0,0.75,14.29,0.0,0.0,40.87,61.01734375,0.0,0.2,0.0,0.0,0.0,83.33,0.0,24.0,0.0,4.0,0.08,0.0,419780.04,802168.36,1083076.4,1061552.0,65.71,0.0,0.0,42.758503513878466,0.395,32.58,14.51,0.8,1.37,1.47,0.58,0,0,0,602912,466491,0,41,25,0.2,466477.6,25.0,1268.0,7.55,5.28,0.02668731843628272,throughput_performance,redis
5.93,0.0,21.67,0.0,0.7,15.45,0.0,0.0,43.75,65.55343750000003,0.0,1.6,0.0,0.02,0.0,60.0,0.0,10.5,0.0,3.38,0.08,0.0,444068.87,849190.52,1141806.0,1123771.4,69.57,0.0,0.0,45.10028473518379,0.387,33.22,14.8,0.77,1.37,1.53,0.59,0,0,18,542450,388723,0,44,25,1.2,388669.2,30.0,1268.0,9.11,5.64,0.02851105318135898,throughput_performance,redis
5.97,0.0,21.74,0.0,0.71,15.2,0.0,0.0,43.62,65.29203125,0.0,1.0,0.0,0.01,0.0,70.59,0.0,15.2,0.0,7.2,0.08,0.0,444535.42,849958.74,1143846.0,1124782.6,69.63,0.0,0.0,45.002914856714185,0.389,33.2,14.79,0.77,1.37,1.52,0.59,0,0,15,551318,396296,0,44,28,1.2,396281.6,32.0,1268.0,10.78,6.04,0.02851105318135898,throughput_performance,redis
5.82,0.0,21.19,0.0,0.72,14.82,0.0,0.0,42.55,63.72265625000001,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,445859.61,852427.69,1147592.4,1128054.0,69.83,0.0,0.2,44.49455608702175,0.395,32.86,14.57,0.78,1.37,1.48,0.58,0,0,4,568137,416152,0,43,27,1.2,416035.6,28.0,1268.0,12.08,6.39,0.02851105318135898,throughput_performance,redis
5.86,0.0,21.21,0.01,0.7,14.88,0.0,0.0,42.65,63.89093749999999,0.0,1.2,0.0,0.02,0.0,70.0,0.0,14.67,0.0,5.33,0.08,0.0,444825.07,850577.69,1144104.6,1125609.8,69.68,0.0,0.0,44.65398359189796,0.39299999999999996,32.91,14.63,0.78,1.37,1.49,0.59,0,0,21,563216,408689,0,43,30,1.2,408598.6,26.0,1268.0,13.2,6.72,0.02851105318135898,throughput_performance,redis
5.89,0.0,21.64,0.0,0.7,15.45,0.0,0.0,43.68,65.41609374999999,0.0,1.8,0.0,0.02,0.0,55.0,0.0,8.89,0.0,8.11,0.24,0.01,445399.46,851541.54,1146471.0,1126880.0,69.76,0.0,0.0,45.24740887621904,0.385,33.33,14.88,0.76,1.37,1.54,0.59,1,0,17,540261,383424,0,44,26,1.2,383432.6,27.0,1268.0,13.9,6.97,0.02851105318135898,throughput_performance,redis
6.22,0.0,22.14,0.0,0.69,15.64,0.0,0.0,44.69,66.94500000000001,0.0,0.6,0.0,0.0,0.0,0.0,0.0,6.67,0.0,7.67,0.0,0.0,444005.87,848735.09,1143774.4,1123174.2,69.53,0.0,0.0,45.509995354838715,0.382,33.61,15.04,0.76,1.37,1.56,0.6,1,0,2,529939,370932,0,44,26,1.2,370920.4,26.0,1268.0,15.19,7.35,0.02851105318135898,throughput_performance,redis
6.29,0.0,21.98,0.0,0.68,15.43,0.0,0.0,44.38,66.4803125,0.0,2.4,0.0,0.02,0.0,36.84,0.0,7.33,0.0,3.17,0.0,0.0,444716.85,850125.34,1145558.4,1125007.8,69.64,0.0,0.0,45.457438727681925,0.384,33.63,15.04,0.76,1.37,1.55,0.6,1,0,21,537737,377695,0,44,25,1.2,377565.8,26.0,1268.0,16.38,7.73,0.02851105318135898,throughput_performance,redis
6.94,0.0,21.81,0.11,0.7,14.59,0.0,0.0,44.04,65.9278125,0.4,18.6,0.0,8.53,0.0,48.33,4.0,469.76,60.0,40.24,2.88,0.26,425960.55,813988.55,1099651.4,1078438.8,66.68,0.0,0.0,44.72580033008252,0.409,34.34,14.23,0.71,1.32,1.44,0.59,0,0,8732,541678,361243,0,44,20,7.6,361247.6,23.0,1268.0,17.39,8.08,0.02851105318135898,throughput_performance,redis
6.0,0.0,21.27,0.0,0.72,14.63,0.0,0.0,42.62,63.82124999999998,0.0,0.6,0.0,0.04,0.0,94.23,0.0,68.0,0.0,7.0,0.0,0.0,437836.55,836114.14,1133631.4,1106464.8,68.49,0.0,0.2,44.162869197299315,0.39399999999999996,33.18,14.76,0.79,1.37,1.48,0.58,0,0,41,577991,428454,0,43,24,1.2,428392.2,26.0,1268.0,17.84,8.33,0.02851105318135898,throughput_performance,redis
