cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.8,0.0,3.03,0.0,0.2,2.02,0.0,0.0,6.050000000000001,100.0,0.0,0.2,0.0,0.01,0.0,90.0,0.0,40.0,0.0,4.0,0.08,0.0,130430.15,250112.03,330912.6,330965.6,20.49,0.0,0.2,3.0748085101275318,0.769,10.78,1.16,0.63,1.3,0.56,0.43,0,0,0,322864,19124,0,6,4,0.4,19105.0,6.0,1134.0,1.36,1.15,0.01203665297611374,throughput_performance,redis
0.78,0.0,2.95,0.01,0.22,2.01,0.0,0.0,5.960000000000001,100.0,0.0,1.6,0.0,0.02,0.0,65.22,0.0,10.0,0.0,5.12,0.0,0.0,130190.39,249609.18,330336.6,330334.0,20.45,0.0,0.0,3.075951579894974,0.768,10.87,1.17,0.63,1.3,0.57,0.43,0,0,28,323393,19211,0,6,5,1.2,19212.0,6.0,1134.0,1.57,1.19,0.014225135335407148,throughput_performance,redis
0.81,0.0,2.94,0.01,0.21,1.99,0.0,0.0,5.95,100.0,0.0,1.0,0.0,0.02,0.0,70.59,0.0,16.0,0.0,5.8,0.16,0.0,130001.66,249216.89,329845.2,329789.6,20.42,0.0,0.0,3.078188555138784,0.767,10.93,1.18,0.63,1.3,0.57,0.44,1,0,17,321945,19077,0,6,7,1.2,19053.4,7.0,1134.0,1.77,1.24,0.014225135335407148,throughput_performance,redis
0.84,0.0,2.91,0.01,0.22,2.02,0.0,0.0,5.99,100.0,0.0,1.2,0.0,0.02,0.0,57.14,0.0,14.0,0.0,5.33,0.0,0.0,129925.74,249135.55,329633.8,329694.0,20.41,0.0,0.0,3.0701993578394595,0.767,10.79,1.16,0.63,1.3,0.57,0.44,1,0,17,322494,19144,0,6,4,1.2,19140.8,5.0,1134.0,2.02,1.3,0.014225135335407148,throughput_performance,redis
0.79,0.0,2.95,0.0,0.2,2.0,0.0,0.0,5.94,100.0,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,8.33,0.0,0.0,129911.94,249075.81,329627.8,329622.4,20.4,0.0,0.0,3.071194934733684,0.767,10.8,1.17,0.63,1.31,0.57,0.44,1,0,3,320946,19044,0,6,4,1.2,19044.2,5.0,1134.0,2.18,1.35,0.014225135335407148,throughput_performance,redis
0.79,0.0,2.95,0.0,0.22,1.99,0.0,0.0,5.95,100.0,0.0,1.6,0.0,0.02,0.0,57.89,0.0,11.5,0.0,3.88,0.0,0.0,129913.58,249053.35,329648.2,329588.8,20.4,0.0,0.0,3.065270637659415,0.767,10.68,1.15,0.63,1.3,0.57,0.44,1,0,20,322571,19173,0,6,6,1.2,19170.0,8.0,1134.0,2.41,1.41,0.014225135335407148,throughput_performance,redis
0.83,0.0,2.96,0.0,0.21,2.01,0.0,0.0,6.01,100.0,0.0,1.8,0.0,0.02,0.0,55.0,0.0,8.89,0.0,7.0,0.16,0.01,129928.44,249149.44,329644.0,329704.8,20.41,0.0,0.2,3.0735056564141034,0.761,10.76,1.16,0.63,1.3,0.58,0.44,1,0,16,322215,19215,0,6,4,1.2,19211.4,6.0,1134.0,2.62,1.47,0.014225135335407148,throughput_performance,redis
0.8,0.0,2.93,0.0,0.21,2.01,0.0,0.0,5.95,100.0,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,7.33,0.0,0.0,129918.97,249092.68,329629.0,329630.0,20.41,0.0,0.0,3.07251007951988,0.767,10.83,1.17,0.63,1.3,0.57,0.44,1,0,3,320489,18955,0,6,4,1.2,18953.0,5.0,1134.0,2.73,1.51,0.014225135335407148,throughput_performance,redis
0.9,0.0,2.85,0.01,0.21,1.92,0.0,0.0,5.88,100.0,0.0,3.2,0.0,0.58,0.0,63.64,0.0,185.75,0.0,6.69,0.4,0.01,125116.19,239880.85,317443.2,317444.4,19.65,0.0,0.0,3.021280888222055,0.775,11.16,1.17,0.61,1.28,0.57,0.44,2,0,828,311142,18408,0,6,7,2.0,18405.2,8.0,1137.0,3.07,1.6,0.014225135335407148,throughput_performance,redis
0.81,0.0,2.93,0.01,0.23,2.01,0.0,0.0,5.98,100.0,0.0,2.0,0.0,0.53,0.0,58.33,0.0,270.4,0.0,10.8,0.32,0.0,130274.99,249783.27,330559.4,330554.0,20.46,0.0,0.0,3.124599645911478,0.769,10.87,1.18,0.63,1.3,0.56,0.43,0,0,304,323568,19214,0,6,6,1.2,19208.6,5.0,1134.0,3.14,1.64,0.014225135335407148,throughput_performance,redis
