cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.67,0.0,3.5,0.0,0.25,2.92,0.0,0.0,7.34,70.41000000000001,0.0,0.2,0.0,0.01,0.0,90.0,0.0,40.0,0.0,4.0,0.08,0.0,111883.24,214521.37,283887.6,283890.2,17.57,0.0,0.0,2.906310193548387,0.571,22.94,2.47,0.52,1.25,0.96,0.55,0,0,0,417997,24916,0,8,4,1.0,24902.8,7.0,1133.0,1.23,1.31,0.01203665297611374,throughput_performance,redis
0.64,0.0,3.42,0.0,0.26,2.87,0.0,0.0,7.1899999999999995,67.79833333333333,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,9.5,0.0,0.0,111390.58,213571.84,282634.8,282632.0,17.5,0.0,0.0,2.9084611312828206,0.571,22.98,2.47,0.53,1.25,0.96,0.55,0,0,9,422379,25135,0,8,4,1.2,25128.6,5.0,1133.0,1.45,1.36,0.013860388275524913,throughput_performance,redis
0.67,0.0,3.39,0.01,0.25,2.89,0.0,0.0,7.200000000000001,78.828,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,111453.94,213690.49,282788.0,282789.6,17.51,0.0,0.2,2.918035876969242,0.57,22.81,2.47,0.52,1.25,0.96,0.55,0,0,3,424030,25173,0,8,4,1.2,25189.4,6.0,1133.0,1.65,1.4,0.013860388275524913,throughput_performance,redis
0.65,0.0,3.4,0.01,0.25,2.88,0.0,0.0,7.18,76.934,0.0,3.6,0.0,0.02,0.0,21.74,0.0,4.89,0.0,9.11,0.24,0.02,110415.39,211689.15,280129.4,280125.4,17.34,0.0,0.0,2.912898208552138,0.567,22.84,2.49,0.52,1.25,0.97,0.55,0,0,18,417015,24891,0,8,4,1.2,24875.0,6.0,1133.0,1.84,1.44,0.013860388275524913,throughput_performance,redis
0.66,0.0,3.4,0.01,0.26,2.83,0.0,0.0,7.1499999999999995,75.44,0.0,0.8,0.0,0.01,0.0,33.33,0.0,7.0,0.0,7.75,0.0,0.0,110274.99,211430.23,279807.6,279810.4,17.32,0.0,0.0,2.9109930922730682,0.569,22.85,2.49,0.52,1.25,0.97,0.55,0,0,3,416658,24836,0,7,4,1.2,24833.6,5.0,1133.0,2.01,1.49,0.013860388275524913,throughput_performance,redis
0.67,0.0,3.4,0.01,0.24,2.89,0.0,0.0,7.200000000000001,80.962,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,12.5,0.0,0.0,110700.45,212252.44,280865.6,280868.0,17.39,0.0,0.0,2.9365462325581397,0.567,22.69,2.48,0.52,1.25,0.97,0.55,0,0,3,419198,24986,0,8,4,1.2,24976.6,4.0,1133.0,2.17,1.53,0.013860388275524913,throughput_performance,redis
0.69,0.0,3.39,0.01,0.24,2.88,0.0,0.0,7.2,77.378,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,9.5,0.16,0.0,110715.49,212264.21,280900.4,280899.2,17.39,0.0,0.0,2.9441666976744183,0.568,22.64,2.48,0.52,1.24,0.97,0.55,0,0,28,419330,25138,0,8,4,1.2,25139.6,6.0,1133.0,2.32,1.57,0.013860388275524913,throughput_performance,redis
0.67,0.0,3.4,0.0,0.25,2.88,0.0,0.0,7.2,75.148,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,6.25,0.0,0.0,110736.2,212318.83,280981.6,280978.6,17.39,0.0,0.0,2.9394346346586646,0.568,22.6,2.48,0.52,1.25,0.97,0.55,1,0,6,414164,24715,0,8,6,1.2,24706.8,6.0,1133.0,2.45,1.61,0.013860388275524913,throughput_performance,redis
0.66,0.0,3.48,0.01,0.25,2.98,0.0,0.0,7.369999999999999,92.75,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,11.0,0.08,0.0,109807.14,210526.47,278600.4,278600.0,17.25,0.0,0.2,3.0253246511627907,0.553,29.38,3.17,0.5,1.23,1.01,0.56,1,0,3,451476,26830,0,8,5,1.2,26834.6,6.0,1133.0,2.66,1.67,0.013860388275524913,throughput_performance,redis
0.79,0.0,3.49,0.05,0.28,3.02,0.0,0.0,7.58,100.0,0.0,4.2,0.0,1.03,0.0,55.32,0.0,251.05,0.0,13.81,0.72,0.01,108729.17,208470.56,275872.0,275873.2,17.08,0.0,0.0,3.0955066766691672,0.56,31.4,3.26,0.48,1.21,1.0,0.56,0,0,1052,467582,27935,0,8,7,2.0,27927.4,8.0,1133.0,2.77,1.7,0.013860388275524913,throughput_performance,redis
