CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.34,0.0,7.04,0.0,0.3,5.56,0.0,0.0,14.240000000000002,82.78125000000001,0.0,0.2,0.0,0.01,0.0,92.31,0.0,52.0,0.0,2.0,0.0,0.0,203681.22,390518.71,516778.6,516782.4,31.99,0.0,0.0,6.108024030007503,0.513,27.8,3.37,0.56,1.25,1.14,0.58,0,0,0,505149,30853,0,14,8,1.2,30843.8,10.0,1187.0,2.36,2.8,0.014954629455171618,throughput_performance,redis
1.31,0.0,6.99,0.0,0.29,5.63,0.0,0.0,14.22,84.97888888888889,0.0,1.8,0.0,0.02,0.0,65.38,0.0,10.22,0.0,3.89,0.0,0.0,204803.07,392678.74,519641.0,519645.4,32.17,0.0,0.0,6.22020465116279,0.515,28.1,3.4,0.56,1.25,1.13,0.58,0,0,29,529402,32295,0,14,8,1.2,32286.2,12.0,1187.0,2.81,2.89,0.01677836475458279,throughput_performance,redis
1.34,0.0,6.87,0.0,0.3,5.51,0.0,0.0,14.02,72.4890909090909,0.0,1.0,0.0,0.02,0.0,70.59,0.0,16.0,0.0,5.4,0.08,0.0,203110.77,389423.63,515345.2,515381.2,31.9,0.0,0.2,6.000710673668418,0.518,26.13,3.18,0.57,1.25,1.12,0.58,0,0,16,508041,31037,0,14,8,1.2,31029.2,10.0,1187.0,3.31,2.99,0.01677836475458279,throughput_performance,redis
1.36,0.0,6.95,0.01,0.3,5.64,0.0,0.0,14.25,97.19625,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,10.0,0.08,0.0,202947.61,389091.05,514919.2,514891.8,31.87,0.0,0.0,6.0468513608402095,0.511,27.35,3.32,0.56,1.25,1.15,0.59,0,0,5,530500,32450,0,14,8,1.2,32454.0,11.0,1187.0,3.68,3.07,0.01677836475458279,throughput_performance,redis
1.38,0.0,6.95,0.01,0.28,5.65,0.0,0.0,14.26,90.28666666666668,0.0,1.2,0.0,0.02,0.0,68.42,0.0,15.33,0.0,5.17,0.0,0.0,201480.79,386312.62,511203.2,511229.6,31.65,0.0,0.0,6.1380757029257325,0.505,27.7,3.37,0.56,1.25,1.16,0.59,0,0,18,525641,32050,0,14,8,1.2,32045.4,10.0,1187.0,4.11,3.17,0.01677836475458279,throughput_performance,redis
1.31,0.0,7.05,0.01,0.31,5.67,0.0,0.0,14.34,87.36333333333334,0.0,2.2,0.0,0.02,0.0,50.0,0.0,8.0,0.0,5.27,0.08,0.0,200523.74,384462.65,508773.6,508772.6,31.5,0.0,0.0,6.243459360840211,0.503,28.46,3.46,0.56,1.25,1.17,0.59,0,0,22,541821,33048,0,14,11,1.2,33039.8,11.0,1187.0,4.42,3.25,0.01677836475458279,throughput_performance,redis
1.29,0.0,7.05,0.0,0.3,5.74,0.0,0.0,14.38,99.20125,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.0,0.0,203335.14,389868.72,515926.0,515932.0,31.94,0.0,0.0,6.232274484621155,0.508,28.01,3.4,0.56,1.25,1.15,0.59,1,0,4,547922,33362,0,14,9,1.2,33361.2,10.0,1187.0,4.79,3.35,0.01677836475458279,throughput_performance,redis
1.28,0.0,7.06,0.0,0.3,5.74,0.0,0.0,14.38,100.0,0.0,2.4,0.0,0.02,0.0,55.56,0.0,7.67,0.0,5.67,0.08,0.01,203240.68,389663.21,515655.8,515652.0,31.92,0.0,0.0,6.231033086271568,0.507,27.94,3.39,0.56,1.25,1.16,0.59,1,0,24,548157,33371,0,14,9,1.2,33361.4,10.0,1187.0,5.05,3.43,0.01677836475458279,throughput_performance,redis
1.32,0.0,7.04,0.0,0.3,5.71,0.0,0.0,14.37,100.0,0.0,2.8,0.0,0.02,0.0,48.15,0.0,8.29,0.0,7.57,0.16,0.02,203069.86,389343.32,515239.0,515241.0,31.9,0.0,0.2,6.274334535633909,0.511,28.07,3.38,0.55,1.25,1.15,0.59,1,0,22,548033,33348,0,14,12,1.2,33344.4,11.0,1187.0,5.28,3.5,0.01677836475458279,throughput_performance,redis
1.53,0.0,7.04,0.08,0.3,5.67,0.0,0.0,14.54,88.31111111111113,0.0,7.2,0.0,1.96,0.0,52.0,0.0,278.89,0.0,15.47,2.88,0.05,202633.26,388520.2,514136.2,514246.0,31.83,0.0,0.0,6.341001314328582,0.521,28.01,3.33,0.54,1.24,1.12,0.58,0,0,2001,542412,33357,0,15,11,2.8,33352.4,14.0,1187.0,5.5,3.58,0.01677836475458279,throughput_performance,redis
1.36,0.0,6.95,0.01,0.29,5.6,0.0,0.0,14.2,93.84,0.0,0.6,0.0,0.01,0.0,85.0,0.0,25.33,0.0,11.33,0.0,0.0,204646.57,392349.81,519223.0,519222.8,32.14,0.0,0.0,6.2281569752438095,0.518,27.71,3.38,0.56,1.26,1.12,0.58,0,0,15,532051,32676,0,14,8,1.2,32672.2,11.0,1187.0,5.78,3.67,0.01677836475458279,throughput_performance,redis
