CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.29,0.0,4.31,0.01,0.27,3.01,0.0,0.0,8.879999999999997,90.91285714285713,0.0,0.2,0.0,0.01,0.0,85.71,0.0,28.0,0.0,1.0,0.0,0.0,177448.79,340186.8,450234.4,450190.4,27.87,0.0,0.0,5.3186052993248305,0.71,15.36,1.85,0.61,1.56,0.68,0.48,0,0,2461,345938,21174,0,9,6,1.0,21161.2,7.0,1249.0,3.53,3.46,0.011671905916231507,throughput_performance,redis
1.31,0.0,4.2,0.01,0.25,3.05,0.0,0.0,8.809999999999997,90.88714285714286,0.0,1.6,0.0,0.02,0.0,61.9,0.0,11.0,0.0,3.62,0.0,0.0,177289.79,339925.66,449829.2,449838.8,27.85,0.0,0.0,5.311292111027758,0.7090000000000001,15.34,1.84,0.61,1.56,0.68,0.48,0,0,2070,345713,21098,0,8,9,1.2,21089.0,9.0,1249.0,3.81,3.52,0.013495641215642678,throughput_performance,redis
1.36,0.0,4.17,0.01,0.27,3.02,0.0,0.0,8.82,90.93428571428569,0.0,0.8,0.0,0.01,0.0,76.47,0.0,15.0,0.0,8.0,0.08,0.0,177317.89,339970.78,449897.4,449905.8,27.85,0.0,0.0,5.317413065266317,0.7090000000000001,15.31,1.84,0.61,1.56,0.68,0.48,1,0,2070,345080,21041,0,8,8,1.2,21046.2,9.0,1249.0,3.98,3.56,0.013495641215642678,throughput_performance,redis
1.34,0.0,4.16,0.01,0.25,3.02,0.0,0.0,8.77,90.88428571428572,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,10.0,0.0,0.0,176938.99,339246.64,448953.2,448942.8,27.79,0.0,0.0,5.318187402850713,0.708,15.36,1.85,0.61,1.56,0.68,0.48,2,0,2051,346255,21053,0,8,9,1.2,21039.4,9.0,1249.0,4.23,3.62,0.013495641215642678,throughput_performance,redis
1.29,0.0,4.23,0.01,0.26,3.01,0.0,0.0,8.79,90.89571428571428,0.0,1.2,0.0,0.02,0.0,68.42,0.0,15.33,0.0,5.17,0.08,0.0,176904.3,339203.29,448855.0,448880.4,27.79,0.0,0.0,5.333809356339084,0.708,15.44,1.86,0.61,1.56,0.68,0.48,1,0,2481,344603,21098,0,9,7,1.2,21085.4,10.0,1249.0,4.37,3.66,0.013495641215642678,throughput_performance,redis
1.3,0.0,4.23,0.01,0.26,3.02,0.0,0.0,8.81,90.88428571428572,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,8.0,0.16,0.01,176774.94,338859.47,448520.2,448437.4,27.76,0.0,0.2,5.333133347336835,0.7070000000000001,15.47,1.87,0.61,1.56,0.68,0.48,1,0,2068,345016,21028,0,8,8,1.2,21028.4,8.0,1249.0,4.58,3.71,0.013495641215642678,throughput_performance,redis
1.27,0.0,4.25,0.01,0.27,3.0,0.0,0.0,8.79,90.90285714285713,0.0,2.2,0.0,0.02,0.0,52.17,0.0,7.64,0.0,6.27,0.16,0.01,176686.64,338802.55,448287.8,448353.4,27.75,0.0,0.0,5.329028129032259,0.708,15.54,1.87,0.61,1.55,0.68,0.48,1,0,2070,344476,20980,0,9,9,1.2,20973.8,8.0,1249.0,4.77,3.77,0.013495641215642678,throughput_performance,redis
1.44,0.0,4.09,0.05,0.25,2.9,0.0,0.0,8.68,90.68714285714285,0.0,7.8,0.0,2.4,0.0,40.91,0.0,314.67,0.0,18.36,1.36,0.04,168246.01,322590.3,426888.6,426904.6,26.43,0.0,0.0,5.254851504876219,0.727,16.3,1.87,0.59,1.52,0.66,0.48,0,0,4907,337212,20704,0,8,9,2.4,20706.0,8.0,1249.0,4.95,3.82,0.013495641215642678,throughput_performance,redis
1.3,0.0,4.19,0.01,0.27,3.03,0.0,0.0,8.79,90.91428571428571,0.0,0.6,0.0,0.01,0.0,83.33,0.0,22.67,0.0,9.67,0.0,0.0,176981.04,339336.71,449046.2,449059.4,27.8,0.0,0.0,5.3963463345836455,0.7070000000000001,15.76,1.91,0.61,1.56,0.68,0.48,0,0,2064,346715,21151,0,8,9,1.2,21149.8,8.0,1249.0,5.04,3.86,0.013495641215642678,throughput_performance,redis
1.27,0.0,4.24,0.01,0.25,3.02,0.0,0.0,8.78,90.91428571428571,0.0,4.8,0.0,0.03,0.0,35.14,0.0,6.0,0.0,8.71,0.32,0.04,176717.53,338825.19,448372.6,448381.8,27.76,0.0,0.0,5.401287345836459,0.7070000000000001,15.84,1.92,0.61,1.56,0.68,0.48,1,0,2084,344583,21012,0,9,11,1.2,21010.2,10.0,1249.0,5.11,3.9,0.013130894155760443,throughput_performance,redis
1.33,0.0,4.18,0.02,0.26,3.03,0.0,0.0,8.799999999999997,90.88714285714286,0.0,2.0,0.0,0.02,0.0,54.55,0.0,10.4,0.0,5.7,0.08,0.0,176721.23,338775.78,448395.2,448315.2,27.75,0.0,0.0,5.401606913728432,0.7070000000000001,15.83,1.91,0.61,1.55,0.69,0.48,1,0,2479,344839,21039,0,8,8,1.2,21036.0,10.0,1249.0,5.27,3.95,0.013130894155760443,throughput_performance,redis
1.28,0.0,4.24,0.01,0.26,3.02,0.0,0.0,8.8,90.88571428571429,0.0,0.6,0.0,0.01,0.0,40.0,0.0,9.33,0.0,8.67,0.0,0.0,176548.52,338511.59,447965.4,447980.0,27.73,0.0,0.2,5.413074484621156,0.706,15.92,1.93,0.61,1.56,0.69,0.48,1,0,2054,344224,21005,0,9,8,1.2,20999.8,9.0,1249.0,5.4,4.0,0.013130894155760443,throughput_performance,redis
1.3,0.0,4.21,0.01,0.26,3.0,0.0,0.0,8.77,90.89571428571428,0.0,1.6,0.0,0.02,0.0,63.64,0.0,10.5,0.0,4.0,0.08,0.0,176542.89,338520.7,447935.4,447981.6,27.73,0.0,0.0,5.423632516129032,0.706,16.0,1.94,0.61,1.56,0.69,0.48,1,0,2072,344012,20954,0,8,7,1.2,20948.6,8.0,1249.0,5.53,4.05,0.013130894155760443,throughput_performance,redis
1.29,0.0,4.21,0.01,0.26,3.03,0.0,0.0,8.79,90.87428571428572,0.0,2.0,0.0,0.02,0.0,58.33,0.0,10.8,0.0,5.7,0.16,0.0,176325.62,338040.44,447397.2,447347.6,27.69,0.0,0.0,5.4258694913728425,0.706,16.02,1.94,0.61,1.56,0.69,0.48,1,0,2072,344358,20978,0,8,6,1.2,20980.8,8.0,1249.0,5.57,4.08,0.013130894155760443,throughput_performance,redis
1.33,0.0,4.17,0.01,0.26,3.01,0.0,0.0,8.77,90.88571428571429,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,10.67,0.08,0.0,175985.88,337445.72,446506.4,446555.4,27.64,0.0,0.0,5.436808546136534,0.705,16.08,1.95,0.61,1.56,0.69,0.49,1,0,2461,343876,20957,0,8,7,1.2,20951.8,8.0,1249.0,5.6,4.11,0.013130894155760443,throughput_performance,redis
