CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.69,0.0,3.15,0.0,0.27,2.19,0.0,0.0,6.299999999999999,100.0,0.0,0.2,0.0,0.01,0.0,91.67,0.0,48.0,0.0,0.0,0.0,0.0,36642.43,30862.94,333280.4,333347.4,3.0,0.0,0.0,8.53852221455364,0.746,10.39,3.39,0.69,1.25,0.6,0.45,0,0,0,361641,21549,0,7,8,0.6,21537.2,5.0,1119.0,1.11,1.27,0.00911867372538134,throughput_performance,redis
0.72,0.0,2.99,0.01,0.25,2.16,0.0,0.0,6.12,99.9975,0.0,1.2,0.0,0.0,0.0,25.0,0.0,4.0,0.0,11.0,0.08,0.0,36591.94,30815.22,332831.4,332835.4,3.0,0.0,0.2,8.548293617404351,0.746,10.44,3.41,0.69,1.26,0.6,0.45,0,0,13,362119,21546,0,6,4,1.2,21543.6,5.0,1119.0,1.5,1.35,0.010942408470457606,throughput_performance,redis
0.71,0.0,2.98,0.01,0.25,2.18,0.0,0.0,6.12,100.0025,0.0,0.4,0.0,0.0,0.0,33.33,0.0,2.0,0.0,14.5,0.08,0.0,36599.22,30808.42,332870.0,332767.2,3.0,0.0,0.0,8.549866874718681,0.746,10.47,3.42,0.69,1.25,0.6,0.45,0,0,2,363071,21617,0,6,4,1.2,21619.8,6.0,1119.0,1.78,1.41,0.010942408470457606,throughput_performance,redis
0.9,0.0,3.0,0.01,0.27,2.17,0.0,0.0,6.34,100.0,0.0,3.6,0.0,0.02,0.0,28.0,0.0,5.33,0.0,5.72,0.24,0.01,36495.5,30737.15,331932.6,331983.0,2.99,0.0,0.0,8.571449998499624,0.725,10.54,3.44,0.69,1.26,0.64,0.46,1,0,21,362226,21894,0,6,7,1.6,21886.4,7.0,1121.0,2.04,1.47,0.010942408470457606,throughput_performance,redis
0.75,0.0,2.94,0.0,0.27,2.17,0.0,0.0,6.13,100.005,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.33,0.0,0.0,36489.21,30729.84,331852.8,331912.8,2.99,0.0,0.0,8.600407765941487,0.7440000000000001,10.63,3.49,0.7,1.25,0.6,0.45,1,0,2,361448,21560,0,6,5,1.2,21555.4,6.0,1121.0,2.27,1.53,0.010942408470457606,throughput_performance,redis
0.71,0.0,2.99,0.01,0.26,2.15,0.0,0.0,6.1099999999999985,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.0,0.0,36515.01,30749.29,332113.2,332120.2,2.99,0.0,0.0,8.574276945236308,0.745,10.5,3.45,0.69,1.25,0.6,0.45,1,0,2,362247,21554,0,6,4,1.2,21553.0,5.0,1121.0,2.49,1.59,0.010942408470457606,throughput_performance,redis
0.7,0.0,2.99,0.0,0.25,2.17,0.0,0.0,6.11,99.9975,0.0,1.0,0.0,0.02,0.0,66.67,0.0,24.0,0.0,6.4,0.16,0.0,36554.92,30780.51,332472.8,332470.0,2.99,0.0,0.0,8.578910679669917,0.745,10.47,3.43,0.69,1.25,0.6,0.45,1,0,26,362132,21531,0,6,6,1.2,21522.6,7.0,1121.0,2.69,1.65,0.010942408470457606,throughput_performance,redis
0.7,0.0,3.0,0.01,0.26,2.17,0.0,0.0,6.13,100.0,0.0,1.4,0.0,0.01,0.0,36.36,0.0,5.14,0.0,6.43,0.08,0.0,36530.19,30760.79,332247.4,332253.8,2.99,0.0,0.2,8.578296126031507,0.745,10.46,3.43,0.69,1.25,0.6,0.45,1,0,7,361872,21460,0,6,4,1.2,21458.8,5.0,1121.0,2.88,1.7,0.010942408470457606,throughput_performance,redis
0.69,0.0,3.0,0.01,0.26,2.16,0.0,0.0,6.11,100.005,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,10.67,0.08,0.0,36496.74,30727.33,331931.6,331887.0,2.99,0.0,0.0,8.608900897224308,0.7440000000000001,10.57,3.47,0.69,1.25,0.6,0.45,1,0,2,360713,21434,0,6,4,1.2,21438.6,6.0,1121.0,3.05,1.76,0.010942408470457606,throughput_performance,redis
0.74,0.0,2.96,0.03,0.27,2.14,0.0,0.0,6.11,100.0025,0.0,4.2,0.0,0.96,0.0,56.25,0.0,234.29,0.0,14.9,1.52,0.02,36077.36,30384.44,328140.2,328190.2,2.96,0.0,0.0,8.55435311627907,0.745,10.76,3.51,0.69,1.25,0.6,0.45,0,0,982,358432,21358,0,6,4,2.0,21353.6,5.0,1121.0,3.2,1.81,0.010942408470457606,throughput_performance,redis
0.71,0.0,3.0,0.01,0.26,2.17,0.0,0.0,6.14,99.9975,0.0,0.6,0.0,0.01,0.0,78.57,0.0,17.33,0.0,9.33,0.0,0.0,36526.05,30759.06,332223.0,332226.2,2.99,0.0,0.0,8.583200264066019,0.7440000000000001,10.52,3.46,0.69,1.25,0.6,0.45,0,0,10,362799,21610,0,6,4,1.2,21610.4,5.0,1121.0,3.27,1.85,0.010942408470457606,throughput_performance,redis
0.75,0.0,2.93,0.0,0.25,2.17,0.0,0.0,6.1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,36509.69,30742.06,332050.0,332053.8,2.99,0.0,0.0,8.571327087771943,0.7440000000000001,10.45,3.43,0.7,1.25,0.6,0.45,1,0,2,362780,21537,0,6,5,1.2,21531.0,6.0,1121.0,3.41,1.9,0.010942408470457606,throughput_performance,redis
0.76,0.0,2.94,0.0,0.27,2.17,0.0,0.0,6.1400000000000015,99.9975,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.67,0.0,0.0,36499.18,30723.85,331957.8,331850.6,2.99,0.0,0.0,8.597052303075769,0.7440000000000001,10.51,3.46,0.69,1.25,0.6,0.45,1,0,2,362141,21582,0,6,7,1.2,21581.0,7.0,1121.0,3.46,1.94,0.010942408470457606,throughput_performance,redis
0.73,0.0,2.96,0.01,0.27,2.14,0.0,0.0,6.1,100.0,0.0,3.8,0.0,0.03,0.0,20.83,0.0,8.42,0.0,7.42,0.72,0.01,36448.32,30700.26,331491.2,331602.2,2.99,0.0,0.2,8.596560660165041,0.743,10.57,3.48,0.69,1.25,0.6,0.45,1,0,35,361815,21499,0,6,5,1.2,21494.8,6.0,1121.0,3.5,1.97,0.010942408470457606,throughput_performance,redis
0.76,0.0,2.94,0.01,0.27,2.17,0.0,0.0,6.1400000000000015,100.0,0.0,1.2,0.0,0.01,0.0,45.45,0.0,6.67,0.0,5.33,0.0,0.0,36364.58,30617.02,330730.2,330691.2,2.98,0.0,0.0,8.601440216054014,0.742,10.68,3.52,0.69,1.25,0.61,0.45,1,0,6,361567,21580,0,6,6,1.2,21581.2,7.0,1121.0,3.62,2.02,0.010942408470457606,throughput_performance,redis
0.74,0.0,2.96,0.01,0.25,2.16,0.0,0.0,6.11,100.0025,0.0,0.8,0.0,0.01,0.0,50.0,0.0,7.0,0.0,7.0,0.08,0.0,36360.29,30620.95,330702.2,330745.0,2.98,0.0,0.0,8.583556705176294,0.743,10.68,3.52,0.69,1.26,0.61,0.45,1,0,4,360563,21403,0,6,5,1.2,21398.0,6.0,1121.0,3.65,2.05,0.010942408470457606,throughput_performance,redis
0.76,0.0,2.92,0.01,0.26,2.17,0.0,0.0,6.1099999999999985,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.0,0.0,36344.59,30604.23,330557.8,330564.4,2.98,0.0,0.0,8.579058172543139,0.742,10.7,3.53,0.69,1.26,0.61,0.45,1,0,2,361935,21524,0,6,6,1.2,21524.6,5.0,1121.0,3.68,2.09,0.010942408470457606,throughput_performance,redis
