cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.83,0.0,3.45,0.0,0.32,3.15,0.0,0.0,7.75,100.0,0.0,0.2,0.0,0.01,0.0,92.31,0.0,52.0,0.0,4.0,0.0,0.0,35197.25,29637.87,320136.6,320139.8,2.88,0.0,0.0,9.436348207051761,0.605,27.52,8.95,0.49,1.17,0.88,0.53,0,0,0,588963,34975,0,8,4,0.4,34972.6,5.0,1177.0,0.92,1.31,0.010577661521442353,throughput_performance,redis
0.79,0.0,3.38,0.0,0.34,3.13,0.0,0.0,7.64,100.00000000000001,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,10.5,0.0,0.0,35142.4,29591.64,319642.6,319642.4,2.88,0.0,0.0,9.439642214553638,0.604,27.43,8.93,0.5,1.17,0.88,0.53,0,0,12,590588,35002,0,8,5,1.2,34993.6,5.0,1177.0,1.16,1.35,0.01240139626651862,throughput_performance,redis
0.84,0.0,3.34,0.01,0.32,3.11,0.0,0.0,7.609999999999999,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,10.33,0.0,0.0,35098.62,29553.81,319229.8,319231.4,2.88,0.0,0.0,9.446648126031508,0.604,27.33,8.95,0.5,1.18,0.89,0.53,2,0,5,580188,34427,0,8,4,1.2,34419.0,5.0,1177.0,1.39,1.4,0.01240139626651862,throughput_performance,redis
0.81,0.0,3.38,0.0,0.31,3.13,0.0,0.0,7.629999999999999,100.0,0.0,3.8,0.0,0.02,0.0,29.63,0.0,5.89,0.0,5.68,0.24,0.01,35042.55,29505.5,318709.8,318708.8,2.87,0.0,0.2,9.47838367591898,0.604,27.49,8.99,0.5,1.18,0.88,0.53,1,0,21,586905,34797,0,8,4,1.2,34767.0,7.0,1177.0,1.6,1.44,0.01240139626651862,throughput_performance,redis
0.85,0.0,3.35,0.0,0.31,3.13,0.0,0.0,7.64,100.0,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,10.5,0.0,0.0,34991.91,29462.66,318241.4,318245.8,2.87,0.0,0.0,9.492014475618904,0.603,27.4,8.99,0.49,1.18,0.89,0.53,1,0,3,586108,34880,0,8,4,1.2,34873.6,6.0,1177.0,1.79,1.48,0.01240139626651862,throughput_performance,redis
0.85,0.0,3.32,0.01,0.32,3.12,0.0,0.0,7.61,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.67,0.0,0.0,34969.74,29444.04,318046.8,318041.0,2.86,0.0,0.0,9.480817308327081,0.603,27.38,8.97,0.5,1.17,0.89,0.53,1,0,3,587488,34931,0,8,4,1.2,34927.4,5.0,1177.0,1.97,1.53,0.01240139626651862,throughput_performance,redis
0.84,0.0,3.35,0.01,0.33,3.12,0.0,0.0,7.640000000000001,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.33,0.0,0.0,35014.82,29482.87,318464.6,318464.6,2.87,0.0,0.0,9.473307462865716,0.603,27.35,8.95,0.49,1.17,0.89,0.53,1,0,3,589074,35033,0,8,4,1.2,35022.8,5.0,1177.0,2.13,1.57,0.01240139626651862,throughput_performance,redis
0.83,0.0,3.37,0.0,0.3,3.12,0.0,0.0,7.62,100.00000000000001,0.0,1.0,0.0,0.03,0.0,73.68,0.0,26.4,0.0,5.8,0.08,0.0,35012.59,29479.93,318435.0,318433.2,2.87,0.0,0.0,9.45641952888222,0.603,27.22,8.91,0.49,1.17,0.89,0.53,1,0,30,589136,34939,0,8,7,1.2,34937.0,7.0,1177.0,2.28,1.61,0.01240139626651862,throughput_performance,redis
0.83,0.0,3.36,0.0,0.32,3.13,0.0,0.0,7.64,100.0,0.0,0.8,0.0,0.01,0.0,55.56,0.0,10.0,0.0,7.25,0.0,0.0,35025.84,29492.68,318570.2,318572.2,2.87,0.0,0.0,9.453236141035259,0.603,27.16,8.89,0.49,1.18,0.89,0.54,1,0,6,586781,34827,0,8,6,1.2,34820.8,5.0,1177.0,2.5,1.66,0.01240139626651862,throughput_performance,redis
0.84,0.0,3.34,0.0,0.35,3.13,0.0,0.0,7.659999999999999,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,8.67,0.0,0.0,34982.14,29454.46,318154.4,318156.6,2.87,0.0,0.2,9.446488342085521,0.605,27.28,8.89,0.49,1.17,0.88,0.53,1,0,3,586713,34867,0,8,6,1.2,34866.2,5.0,1177.0,2.62,1.7,0.01240139626651862,throughput_performance,redis
