cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
4.51,0.0,20.63,0.01,0.95,14.23,0.0,0.0,40.32,54.886935483870964,0.4,1.8,0.0,0.02,0.0,66.67,4.0,11.56,10.5,6.67,0.56,0.01,104538.92,1101270.68,1067413.0,1049033.2,90.22,0.0,0.2,41.05127350637659,0.379,29.58,13.62,0.75,1.32,1.59,0.6,0,0,21,741067,494614,0,41,28,16.2,494565.4,30.0,1178.0,16.08,16.87,0.024498836742191193,throughput_performance,redis
4.56,0.0,19.97,0.01,0.96,14.09,0.0,0.0,39.58,53.689375000000005,0.0,3.4,0.0,0.03,0.0,52.78,0.0,8.71,0.0,7.65,0.24,0.01,104615.49,1101601.15,1068433.8,1049341.4,90.24,0.0,0.0,40.71900893623406,0.384,29.48,13.49,0.76,1.32,1.56,0.6,0,0,26,763896,508755,0,40,34,8.2,508765.4,28.0,1177.0,17.27,17.1,0.026322571487267462,throughput_performance,redis
4.65,0.0,20.26,0.0,0.94,14.22,0.0,0.0,40.07000000000001,56.961129032258064,0.0,2.0,0.0,0.01,0.0,9.09,0.0,3.2,0.0,6.5,0.08,0.0,104278.05,1100581.92,1063699.6,1048369.2,90.16,0.0,0.0,41.22001764441111,0.38,29.77,13.7,0.76,1.32,1.58,0.6,0,0,10,749464,497919,0,40,20,15.8,497862.6,35.0,1178.0,18.45,17.35,0.026322571487267462,throughput_performance,redis
4.58,0.0,20.23,0.0,0.95,14.24,0.0,0.0,40.0,55.4117741935484,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,6.44,0.08,0.0,104418.63,1100935.25,1065755.0,1048705.4,90.19,0.0,0.0,41.10375638709677,0.382,29.87,13.67,0.76,1.32,1.57,0.6,0,0,17,763320,502495,0,40,36,16.2,502353.6,37.0,1178.0,19.3,17.54,0.026322571487267462,throughput_performance,redis
4.57,0.0,20.01,0.0,0.96,14.27,0.0,0.0,39.81,55.68619047619048,0.0,1.6,0.0,0.02,0.0,61.9,0.0,11.5,0.0,7.25,0.08,0.0,104754.3,1103216.68,1069770.0,1050878.4,90.38,0.0,0.0,40.96382252363091,0.382,29.78,13.6,0.76,1.32,1.57,0.6,0,0,18,764555,502852,0,40,18,9.0,502786.8,39.0,1178.0,19.51,17.62,0.026322571487267462,throughput_performance,redis
4.63,0.0,20.21,0.0,0.97,14.23,0.0,0.0,40.04,55.97790322580645,0.0,1.8,0.0,0.02,0.0,59.09,0.0,8.89,0.0,6.22,0.08,0.0,104576.22,1101305.56,1067978.6,1049060.2,90.22,0.0,0.0,41.363847777944486,0.379,29.97,13.76,0.76,1.32,1.59,0.6,0,0,16,759125,496397,0,40,30,17.8,496214.8,35.0,1178.0,20.11,17.77,0.02668731843628272,throughput_performance,redis
4.71,0.0,21.28,0.0,0.93,14.71,0.0,0.0,41.63,56.4898484848485,0.0,0.6,0.0,0.01,0.0,25.0,0.0,10.67,0.0,7.0,0.0,0.0,106736.87,1127715.34,1088179.8,1074224.4,92.38,0.0,0.2,42.27228096624156,0.374,30.25,13.95,0.75,1.32,1.63,0.61,0,0,6,703718,461180,0,42,25,15.8,461016.2,30.0,1178.0,21.39,18.08,0.02668731843628272,throughput_performance,redis
4.77,0.0,21.02,0.0,0.91,14.72,0.0,0.0,41.42,55.18850746268655,0.0,3.2,0.0,0.02,0.0,36.0,0.0,6.25,0.0,3.25,0.08,0.0,106800.52,1127795.74,1089152.2,1074291.2,92.39,0.0,0.0,42.422305800450104,0.375,30.36,13.95,0.75,1.32,1.62,0.61,0,0,20,707021,463240,0,42,22,9.4,463131.2,38.0,1178.0,22.08,18.27,0.02668731843628272,throughput_performance,redis
4.68,0.0,20.9,0.0,0.94,14.68,0.0,0.0,41.2,55.24765625000001,0.0,3.0,0.0,0.02,0.0,44.44,0.0,8.27,0.0,5.07,0.16,0.01,107595.67,1131743.34,1099483.0,1078053.4,92.71,0.0,0.0,42.03620633158289,0.378,30.11,13.79,0.75,1.32,1.6,0.61,0,0,19,722221,476386,0,42,27,15.8,476308.2,37.0,1178.0,22.55,18.44,0.02668731843628272,throughput_performance,redis
4.76,0.0,21.05,0.01,0.94,14.71,0.0,0.0,41.46000000000001,59.3925396825397,0.0,0.4,0.0,0.0,0.0,33.33,0.0,2.0,0.0,13.5,0.0,0.0,106824.22,1125650.46,1090603.8,1072249.2,92.21,0.0,0.0,42.047747648912235,0.375,30.25,13.94,0.75,1.32,1.62,0.61,0,0,6,712707,469274,0,42,27,16.2,469110.4,38.0,1178.0,23.31,18.66,0.02668731843628272,throughput_performance,redis
4.72,0.0,21.09,0.0,0.91,14.75,0.0,0.0,41.47,55.130769230769246,0.0,2.2,0.0,0.02,0.0,52.17,0.0,8.0,0.0,6.82,0.24,0.01,106803.61,1127846.73,1089151.8,1074342.4,92.39,0.0,0.0,42.23776763390848,0.376,30.24,13.94,0.75,1.32,1.62,0.61,1,0,24,710185,466294,0,42,37,9.0,465911.0,40.0,1178.0,23.76,18.83,0.02668731843628272,throughput_performance,redis
