cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.8,0.0,3.47,0.0,0.31,3.03,0.0,0.0,7.609999999999999,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,32390.58,345147.91,328779.2,328780.8,28.27,0.0,0.0,3.9682711717929484,0.63,34.4,3.64,0.39,1.23,0.82,0.51,0,0,0,547168,32354,0,8,4,0.8,32274.45,5.0,1147.0,1.66,1.88,0.013860388275524913,throughput_performance,redis
0.79,0.0,3.38,0.01,0.27,3.02,0.0,0.0,7.459999999999999,100.0,0.0,0.8,0.0,0.01,0.0,33.33,0.0,16.0,0.0,8.5,0.16,0.0,32389.45,345142.62,328771.6,328768.6,28.27,0.0,0.0,3.9747731492873215,0.629,34.34,3.63,0.39,1.23,0.82,0.51,1,0,16,552993,32724,0,8,5,3.0,32717.2,4.0,1148.0,1.85,1.91,0.015684123574936086,throughput_performance,redis
0.8,0.0,3.39,0.01,0.31,3.01,0.0,0.0,7.51,100.0025,0.0,1.2,0.0,0.01,0.0,62.5,0.0,9.33,0.0,8.5,0.0,0.0,32294.84,344101.41,327775.4,327776.6,28.19,0.0,0.2,3.976776594148537,0.628,34.59,3.67,0.39,1.22,0.82,0.51,1,0,10,554444,32845,0,8,5,1.2,32841.0,4.0,1148.0,2.02,1.95,0.015684123574936086,throughput_performance,redis
0.79,0.0,3.38,0.0,0.28,3.02,0.0,0.0,7.470000000000001,100.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,5.33,0.0,9.67,0.08,0.0,32297.0,344135.42,327807.0,327809.0,28.19,0.0,0.0,3.980304132033008,0.629,34.6,3.67,0.39,1.23,0.82,0.51,1,0,4,555139,32720,0,8,4,1.2,32690.8,4.0,1148.0,2.18,1.98,0.015684123574936086,throughput_performance,redis
0.91,0.0,3.37,0.01,0.3,3.03,0.0,0.0,7.609999999999999,100.0025,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,32295.71,344096.37,327773.0,327771.8,28.19,0.0,0.0,3.983843960990248,0.622,34.43,3.64,0.4,1.23,0.84,0.52,1,0,3,555396,32978,0,8,6,1.2,32975.4,5.0,1148.0,2.32,2.01,0.015684123574936086,throughput_performance,redis
0.83,0.0,3.34,0.0,0.28,3.01,0.0,0.0,7.46,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,32270.89,343870.03,327556.2,327556.2,28.17,0.0,0.0,3.971884747186797,0.628,34.41,3.64,0.4,1.22,0.82,0.51,1,0,3,555881,32875,0,8,5,1.2,32872.0,5.0,1148.0,2.46,2.05,0.015684123574936086,throughput_performance,redis
0.76,0.0,3.41,0.0,0.31,3.0,0.0,0.0,7.4799999999999995,100.0,0.0,0.8,0.0,0.02,0.0,73.33,0.0,30.0,0.0,7.25,0.0,0.0,32313.22,344293.91,327964.8,327966.4,28.2,0.0,0.0,3.972757413353338,0.629,34.33,3.63,0.39,1.22,0.82,0.51,1,0,26,555395,32833,0,8,4,1.2,32824.6,4.0,1148.0,2.58,2.08,0.015684123574936086,throughput_performance,redis
0.76,0.0,3.42,0.01,0.29,3.04,0.0,0.0,7.51,100.0,0.0,2.8,0.0,0.02,0.0,44.0,0.0,7.43,0.0,4.29,0.08,0.0,32291.11,344074.83,327753.8,327752.2,28.19,0.0,0.0,3.972179732933233,0.628,34.36,3.64,0.39,1.22,0.82,0.51,1,0,21,557554,32914,0,8,4,1.2,32916.8,4.0,1148.0,2.7,2.11,0.015684123574936086,throughput_performance,redis
0.78,0.0,3.38,0.01,0.29,3.02,0.0,0.0,7.470000000000001,100.0,0.0,2.4,0.0,0.01,0.0,40.0,0.0,6.0,0.0,5.67,0.08,0.0,32240.79,343525.7,327229.4,327228.2,28.14,0.0,0.2,3.983253989497374,0.627,34.57,3.67,0.4,1.22,0.82,0.51,1,0,13,556801,32872,0,8,6,1.2,32864.0,4.0,1148.0,2.8,2.14,0.015684123574936086,throughput_performance,redis
0.81,0.0,3.36,0.01,0.29,3.0,0.0,0.0,7.46,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,10.33,0.0,0.0,32167.68,342771.31,326510.0,326509.6,28.08,0.0,0.0,3.9822952858214555,0.627,34.68,3.69,0.39,1.22,0.82,0.51,1,0,3,552679,32622,0,8,6,1.2,32619.2,4.0,1148.0,2.9,2.18,0.015684123574936086,throughput_performance,redis
