cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.77,0.06,3.19,0.0,0.24,2.28,0.0,0.0,6.539999999999999,100.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,3.0,0.16,0.0,33810.42,360241.32,343190.4,343161.4,29.51,0.0,0.0,3.0726575723930982,0.749,14.54,1.52,0.56,1.39,0.61,0.46,0,0,1,360460,21773,0,7,4,1.6,21758.8,5.0,1238.0,1.52,2.4,0.015684123574936086,throughput_performance,redis
0.75,0.0,3.08,0.01,0.24,2.28,0.0,0.0,6.35,100.0025,0.0,2.2,0.0,0.03,0.0,68.57,0.0,12.73,0.0,6.36,0.0,0.0,33649.21,358594.55,341554.4,341587.8,29.38,0.0,0.0,3.0317897554388593,0.746,14.62,1.53,0.56,1.36,0.62,0.46,0,0,30,363004,21870,0,7,4,1.2,21864.0,5.0,1238.0,1.88,2.46,0.01750785887434726,throughput_performance,redis
0.79,0.0,3.05,0.0,0.22,2.28,0.0,0.0,6.34,100.0,0.0,1.0,0.0,0.01,0.0,70.59,0.0,12.0,0.0,7.4,0.08,0.0,33595.38,357962.55,340977.2,340985.0,29.32,0.0,0.2,3.0395700045011256,0.745,14.77,1.55,0.56,1.36,0.62,0.46,1,0,18,363156,21856,0,7,5,1.2,21857.4,4.0,1238.0,2.13,2.5,0.01750785887434726,throughput_performance,redis
0.79,0.0,3.07,0.01,0.23,2.27,0.0,0.0,6.359999999999999,100.005,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,8.33,0.0,0.0,33585.36,357800.28,340884.4,340830.4,29.31,0.0,0.0,3.044437269317329,0.745,14.8,1.56,0.56,1.36,0.62,0.46,2,0,2,363490,21898,0,7,5,1.2,21888.0,6.0,1238.0,2.6,2.6,0.01750785887434726,throughput_performance,redis
0.77,0.0,3.08,0.0,0.24,2.27,0.0,0.0,6.359999999999999,99.9975,0.0,1.4,0.0,0.02,0.0,65.0,0.0,12.57,0.0,4.29,0.0,0.0,33576.89,357765.52,340781.6,340798.8,29.31,0.0,0.0,3.042876303075769,0.745,14.69,1.55,0.55,1.37,0.62,0.46,2,0,19,363342,21922,0,7,5,1.2,21923.0,6.0,1238.0,2.79,2.64,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.05,0.01,0.23,2.27,0.0,0.0,6.35,100.0,0.0,1.8,0.0,0.02,0.0,52.63,0.0,8.89,0.0,5.78,0.16,0.0,33611.15,358112.35,341158.8,341127.4,29.34,0.0,0.0,3.049230787696924,0.745,14.69,1.55,0.56,1.36,0.62,0.46,1,0,17,362589,21842,0,7,8,1.2,21827.8,5.0,1238.0,2.89,2.66,0.01750785887434726,throughput_performance,redis
0.75,0.0,3.08,0.01,0.21,2.28,0.0,0.0,6.32,100.0025,0.0,10.8,0.0,0.06,0.0,1.82,0.0,5.56,0.0,2.74,0.32,0.02,33621.59,358280.38,341250.0,341287.6,29.35,0.0,0.0,3.0564825206301576,0.745,14.74,1.55,0.56,1.36,0.62,0.46,1,0,58,362792,21810,0,7,5,1.2,21808.4,4.0,1238.0,2.98,2.68,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.08,0.01,0.24,2.28,0.0,0.0,6.380000000000001,99.9975,0.0,2.2,0.0,0.02,0.0,54.17,0.0,7.64,0.0,4.0,0.0,0.0,33663.8,358729.39,341681.4,341722.8,29.39,0.0,0.0,3.0645454643660917,0.746,14.63,1.54,0.56,1.36,0.62,0.46,1,0,22,363976,21888,0,7,4,1.2,21885.0,5.0,1238.0,3.22,2.74,0.01750785887434726,throughput_performance,redis
0.81,0.0,3.05,0.01,0.22,2.28,0.0,0.0,6.359999999999999,100.0,0.0,4.8,0.0,0.03,0.0,41.46,0.0,7.17,0.0,8.71,0.24,0.02,33653.12,358579.47,341571.4,341574.0,29.37,0.0,0.2,3.0718340705176295,0.745,14.57,1.54,0.56,1.36,0.62,0.46,1,0,33,363574,21890,0,7,5,1.2,21890.0,4.0,1238.0,3.28,2.76,0.01750785887434726,throughput_performance,redis
0.77,0.0,3.07,0.01,0.24,2.28,0.0,0.0,6.359999999999999,99.995,0.0,2.0,0.0,0.02,0.0,54.55,0.0,9.2,0.0,5.1,0.08,0.0,33609.8,358151.45,341161.2,341164.8,29.34,0.0,0.0,3.0599731852963243,0.745,14.67,1.55,0.56,1.36,0.62,0.46,1,0,18,363204,21863,0,7,6,1.2,21860.0,4.0,1238.0,3.42,2.8,0.01750785887434726,throughput_performance,redis
0.76,0.0,3.08,0.01,0.22,2.27,0.0,0.0,6.33,99.9975,0.0,0.6,0.0,0.01,0.0,25.0,0.0,10.67,0.0,9.67,0.08,0.0,33588.77,357890.77,340913.2,340916.4,29.32,0.0,0.0,3.0525985416354087,0.745,14.74,1.55,0.55,1.36,0.62,0.46,1,0,2,363668,21912,0,7,6,1.2,21913.2,4.0,1238.0,3.47,2.82,0.01750785887434726,throughput_performance,redis
0.77,0.0,3.08,0.01,0.22,2.28,0.0,0.0,6.35,100.0025,0.0,1.8,0.0,0.02,0.0,57.14,0.0,9.33,0.0,4.11,0.0,0.0,33565.06,357638.29,340676.6,340676.0,29.3,0.0,0.0,3.0551182115528883,0.744,14.67,1.55,0.56,1.36,0.62,0.46,1,0,21,362598,21882,0,7,6,1.2,21877.0,4.0,1238.0,3.67,2.87,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.07,0.0,0.23,2.27,0.0,0.0,6.35,100.0,0.0,2.2,0.0,0.02,0.0,47.62,0.0,8.73,0.0,8.0,0.16,0.01,33568.56,357674.5,340706.8,340712.0,29.3,0.0,0.0,3.050472186046511,0.744,14.64,1.55,0.55,1.36,0.62,0.46,1,0,18,363008,21861,0,7,6,1.2,21854.2,5.0,1238.0,3.7,2.89,0.01750785887434726,throughput_performance,redis
0.81,0.0,3.02,0.01,0.24,2.27,0.0,0.0,6.34,100.0025,0.0,0.6,0.0,0.0,0.0,25.0,0.0,8.0,0.0,11.67,0.08,0.0,33548.49,357429.65,340483.0,340484.6,29.28,0.0,0.0,3.0475714928732183,0.744,14.58,1.54,0.56,1.37,0.62,0.46,1,0,2,362573,21868,0,7,8,1.2,21869.2,4.0,1238.0,3.88,2.94,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.05,0.01,0.22,2.27,0.0,0.0,6.34,100.0,0.0,2.6,0.0,0.02,0.0,56.67,0.0,8.62,0.0,4.92,0.08,0.0,33536.82,357345.0,340397.4,340396.6,29.27,0.0,0.2,3.0491078769692423,0.744,14.56,1.54,0.55,1.37,0.62,0.46,1,0,26,362656,21779,0,7,6,1.2,21778.2,5.0,1238.0,3.89,2.96,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.04,0.01,0.24,2.27,0.0,0.0,6.35,100.0,0.0,2.2,0.0,0.02,0.0,50.0,0.0,8.73,0.0,5.55,0.08,0.0,33541.99,357401.7,340447.0,340450.8,29.28,0.0,0.0,3.049021839459865,0.744,14.44,1.53,0.55,1.37,0.62,0.46,1,0,18,363454,21954,0,7,4,1.2,21947.2,4.0,1238.0,3.9,2.97,0.01750785887434726,throughput_performance,redis
0.75,0.0,3.1,0.01,0.22,2.27,0.0,0.0,6.34,100.005,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,5.56,0.16,0.0,33486.49,356707.45,339895.0,339791.0,29.22,0.0,0.0,3.062406817704426,0.743,14.69,1.56,0.56,1.37,0.62,0.46,1,0,17,362229,21788,0,7,4,1.2,21786.4,6.0,1238.0,3.91,2.99,0.01750785887434726,throughput_performance,redis
0.79,0.0,3.06,0.01,0.24,2.26,0.0,0.0,6.35,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,8.0,0.0,7.67,0.0,0.0,33507.19,357105.08,340092.2,340168.2,29.25,0.0,0.0,3.0642996429107274,0.743,14.57,1.55,0.55,1.36,0.63,0.46,1,0,2,362654,21855,0,7,4,1.2,21851.6,6.0,1238.0,3.92,3.01,0.01750785887434726,throughput_performance,redis
0.76,0.0,3.09,0.0,0.23,2.26,0.0,0.0,6.34,100.0,0.0,2.0,0.0,0.02,0.0,66.67,0.0,8.8,0.0,5.7,0.08,0.0,33508.16,357106.37,340124.0,340169.2,29.25,0.0,0.0,3.0772913068267065,0.743,14.55,1.54,0.55,1.37,0.62,0.46,1,0,26,362608,21755,0,7,5,1.2,21755.0,4.0,1238.0,3.92,3.03,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.07,0.0,0.22,2.28,0.0,0.0,6.35,100.0,0.0,3.0,0.0,0.03,0.0,44.44,0.0,9.33,0.0,9.0,0.16,0.02,33529.68,357271.52,340339.0,340333.8,29.27,0.0,0.0,3.076209692423106,0.744,14.4,1.52,0.55,1.37,0.62,0.46,1,0,22,362520,21868,0,7,8,1.2,21862.4,5.0,1238.0,3.93,3.04,0.01750785887434726,throughput_performance,redis
0.81,0.0,3.04,0.0,0.23,2.26,0.0,0.0,6.34,100.0,0.0,2.0,0.0,0.02,0.0,50.0,0.0,8.0,0.0,6.0,0.08,0.0,33476.28,356633.29,339787.2,339720.2,29.22,0.0,0.2,3.063426976744186,0.743,14.51,1.54,0.56,1.37,0.63,0.46,1,0,16,362524,21844,0,7,6,1.2,21835.6,4.0,1238.0,3.93,3.06,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.05,0.0,0.22,2.26,0.0,0.0,6.329999999999999,100.0025,0.0,0.6,0.0,0.0,0.0,25.0,0.0,8.0,0.0,9.67,0.0,0.0,33448.28,356442.76,339500.4,339537.0,29.2,0.0,0.0,3.0548109347336836,0.742,14.67,1.55,0.56,1.37,0.63,0.47,1,0,2,361722,21695,0,7,5,1.2,21698.6,4.0,1238.0,3.94,3.07,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.05,0.01,0.23,2.27,0.0,0.0,6.35,100.0,0.0,2.0,0.0,0.02,0.0,60.0,0.0,8.8,0.0,6.2,0.08,0.0,33427.29,356220.42,339287.2,339325.2,29.18,0.0,0.0,3.050779462865716,0.738,14.69,1.55,0.55,1.36,0.63,0.47,1,0,23,361049,21763,0,7,5,1.2,21762.0,6.0,1238.0,4.1,3.12,0.01750785887434726,throughput_performance,redis
0.91,0.0,3.06,0.01,0.22,2.25,0.0,0.0,6.44,100.0,0.0,2.8,0.0,0.02,0.0,46.15,0.0,7.71,0.0,9.5,0.16,0.02,33363.9,355522.27,338651.4,338659.8,29.12,0.0,0.0,3.0579205761440362,0.736,14.76,1.56,0.55,1.37,0.64,0.47,1,0,21,360064,21969,0,7,5,1.2,21966.0,4.0,1238.0,4.1,3.14,0.01750785887434726,throughput_performance,redis
0.79,0.0,3.07,0.0,0.23,2.26,0.0,0.0,6.35,100.0,0.0,3.4,0.0,0.02,0.0,34.62,0.0,6.35,0.0,7.35,0.24,0.02,33272.17,354488.03,337716.2,337674.6,29.04,0.0,0.0,3.0568512528132032,0.74,14.77,1.57,0.55,1.37,0.63,0.47,1,0,21,359705,21719,0,7,6,1.2,21717.6,6.0,1238.0,4.09,3.15,0.01750785887434726,throughput_performance,redis
0.79,0.0,3.07,0.01,0.22,2.27,0.0,0.0,6.35,100.0,0.0,0.6,0.0,0.01,0.0,25.0,0.0,10.67,0.0,11.67,0.0,0.0,33323.97,355134.24,338250.4,338292.0,29.09,0.0,0.0,3.056568558139535,0.741,14.71,1.57,0.55,1.37,0.63,0.47,1,0,2,360158,21715,0,7,6,1.2,21714.6,6.0,1238.0,4.16,3.18,0.01750785887434726,throughput_performance,redis
0.77,0.0,3.07,0.01,0.24,2.26,0.0,0.0,6.34,100.0025,0.0,2.2,0.0,0.02,0.0,56.0,0.0,8.0,0.0,3.82,0.0,0.0,33297.67,354775.27,337948.0,337956.0,29.06,0.0,0.2,3.059088228057014,0.74,14.75,1.57,0.55,1.37,0.63,0.47,1,0,23,359393,21644,0,7,5,1.2,21634.8,5.0,1238.0,4.15,3.2,0.01750785887434726,throughput_performance,redis
0.84,0.0,3.0,0.01,0.22,2.24,0.0,0.0,6.3,100.0,0.0,2.6,0.0,0.02,0.0,48.0,0.0,8.31,0.0,6.69,0.16,0.01,33298.36,354786.56,337958.0,337959.4,29.06,0.0,0.0,3.0619766301575395,0.741,14.63,1.56,0.55,1.37,0.63,0.47,1,0,21,360219,21681,0,6,5,1.2,21681.4,4.0,1238.0,4.22,3.23,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.07,0.01,0.24,2.28,0.0,0.0,6.369999999999999,100.0075,0.0,2.6,0.0,0.02,0.0,43.48,0.0,8.31,0.0,7.23,0.16,0.01,33372.73,355531.52,338727.4,338669.4,29.13,0.0,0.0,3.0715267936984247,0.741,14.74,1.57,0.55,1.36,0.63,0.47,1,0,19,360842,21678,0,7,5,1.2,21676.8,5.0,1238.0,4.2,3.24,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.08,0.01,0.22,2.27,0.0,0.0,6.35,100.0,0.0,2.0,0.0,0.02,0.0,60.0,0.0,8.8,0.0,7.4,0.16,0.0,33492.12,356900.98,339912.8,339975.4,29.24,0.0,0.0,3.0752878619654913,0.743,14.61,1.55,0.56,1.36,0.63,0.47,1,0,21,363076,21830,0,7,5,1.2,21828.8,4.0,1238.0,4.18,3.25,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.08,0.0,0.24,2.27,0.0,0.0,6.370000000000001,100.0,0.0,0.6,0.0,0.01,0.0,25.0,0.0,13.33,0.0,7.67,0.0,0.0,33499.99,356951.06,340019.4,340021.4,29.24,0.0,0.0,3.0770454853713427,0.743,14.61,1.55,0.56,1.36,0.63,0.47,1,0,2,362890,21832,0,7,4,1.2,21826.4,5.0,1238.0,4.17,3.27,0.017872605934229496,throughput_performance,redis
0.8,0.0,3.04,0.0,0.22,2.29,0.0,0.0,6.35,99.995,0.0,2.6,0.0,0.02,0.0,50.0,0.0,7.08,0.0,8.46,0.16,0.02,33469.62,356644.87,339720.8,339729.4,29.22,0.0,0.0,3.066303087771943,0.742,14.64,1.55,0.56,1.36,0.63,0.47,1,0,23,362169,21814,0,7,4,1.2,21819.0,4.0,1238.0,4.15,3.28,0.017872605934229496,throughput_performance,redis
0.81,0.0,3.03,0.01,0.22,2.26,0.0,0.0,6.319999999999999,100.0,0.0,2.6,0.0,0.02,0.0,40.91,0.0,8.31,0.0,8.38,0.16,0.01,33425.73,356044.01,339277.4,339164.6,29.17,0.0,0.2,3.062615765941486,0.742,14.76,1.57,0.56,1.36,0.63,0.47,1,0,19,361008,21758,0,7,4,1.2,21755.4,5.0,1238.0,4.14,3.29,0.017872605934229496,throughput_performance,redis
0.79,0.0,3.06,0.01,0.24,2.26,0.0,0.0,6.35,100.0,0.0,2.0,0.0,0.02,0.0,58.33,0.0,8.8,0.0,5.3,0.08,0.0,33469.24,356728.47,339695.2,339811.0,29.22,0.0,0.0,3.0535449542385593,0.742,14.69,1.56,0.56,1.36,0.63,0.47,1,0,21,362965,21841,0,7,4,1.2,21836.0,4.0,1238.0,4.13,3.3,0.017872605934229496,throughput_performance,redis
0.78,0.0,3.07,0.01,0.22,2.28,0.0,0.0,6.35,100.0025,0.0,0.6,0.0,0.01,0.0,25.0,0.0,13.33,0.0,9.67,0.0,0.0,33413.51,356014.07,339130.6,339128.6,29.16,0.0,0.0,3.061546442610653,0.742,14.8,1.58,0.56,1.36,0.63,0.47,1,0,2,361785,21775,0,7,4,1.2,21763.8,6.0,1238.0,4.12,3.31,0.017872605934229496,throughput_performance,redis
0.8,0.0,3.04,0.0,0.24,2.25,0.0,0.0,6.33,100.0,0.0,2.8,0.0,0.02,0.0,39.13,0.0,6.86,0.0,3.79,0.0,0.0,33419.0,356096.42,339202.4,339207.4,29.17,0.0,0.0,3.0699904096024007,0.742,14.9,1.59,0.56,1.36,0.63,0.47,1,0,22,360814,21736,0,7,4,1.2,21741.6,5.0,1238.0,4.11,3.33,0.017872605934229496,throughput_performance,redis
0.79,0.0,3.05,0.01,0.23,2.26,0.0,0.0,6.33,99.9975,0.0,2.0,0.0,0.02,0.0,54.55,0.0,8.4,0.0,7.6,0.24,0.01,33471.5,356641.6,339725.8,339726.6,29.22,0.0,0.0,3.071416174043511,0.743,14.74,1.56,0.56,1.36,0.63,0.47,1,0,19,361801,21777,0,7,4,1.2,21774.2,5.0,1238.0,4.1,3.34,0.017872605934229496,throughput_performance,redis
0.82,0.0,3.04,0.01,0.22,2.28,0.0,0.0,6.359999999999999,100.0,0.0,2.2,0.0,0.02,0.0,57.69,0.0,9.45,0.0,6.27,0.16,0.01,33508.5,356944.28,340105.0,340016.4,29.24,0.0,0.0,3.078864564141035,0.743,14.66,1.56,0.56,1.35,0.63,0.47,1,0,22,362742,21869,0,7,5,1.2,21869.2,4.0,1238.0,4.09,3.35,0.017872605934229496,throughput_performance,redis
