CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.52,0.0,5.77,0.0,0.29,3.49,0.0,0.0,11.07,99.99875,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,57448.2,612177.65,583071.2,583134.8,50.15,0.0,0.0,7.203736294073518,0.72,16.64,2.02,0.57,1.31,0.66,0.48,0,0,0,439975,26713,0,12,10,1.2,26705.4,9.0,1123.0,3.27,5.03,0.01203665297611374,throughput_performance,redis
1.56,0.0,5.67,0.01,0.29,3.46,0.0,0.0,10.98,100.0,0.0,0.6,0.0,0.01,0.0,72.73,0.0,18.67,0.0,9.33,0.08,0.0,57303.99,610522.1,581628.0,581557.8,50.01,0.0,0.0,7.233406943735933,0.718,16.92,2.05,0.57,1.31,0.67,0.48,1,0,14,437469,26657,0,11,10,1.2,26647.6,12.0,1123.0,3.89,5.13,0.013860388275524913,throughput_performance,redis
1.6,0.0,5.61,0.0,0.29,3.48,0.0,0.0,10.98,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.0,0.08,0.0,57189.18,609357.92,580456.0,580456.2,49.92,0.0,0.0,7.240117869467367,0.7170000000000001,17.04,2.07,0.57,1.31,0.67,0.48,1,0,4,437854,26595,0,11,12,1.2,26575.6,13.0,1123.0,4.3,5.19,0.013860388275524913,throughput_performance,redis
1.56,0.0,5.66,0.01,0.28,3.45,0.0,0.0,10.95,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,57124.73,608764.52,579819.2,579883.6,49.87,0.0,0.0,7.234660633158289,0.7170000000000001,17.06,2.07,0.57,1.31,0.67,0.48,1,0,3,438306,26608,0,11,12,1.2,26604.6,11.0,1123.0,4.68,5.26,0.013860388275524913,throughput_performance,redis
1.55,0.0,5.65,0.01,0.29,3.48,0.0,0.0,10.97,99.99875,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,11.33,0.08,0.0,57088.91,608333.89,579438.0,579473.4,49.83,0.0,0.2,7.224717155288823,0.716,17.07,2.08,0.58,1.31,0.67,0.48,1,0,3,438295,26426,0,11,11,1.2,26423.2,12.0,1123.0,5.02,5.32,0.013860388275524913,throughput_performance,redis
1.58,0.0,5.62,0.0,0.28,3.48,0.0,0.0,10.96,99.9975,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.0,0.0,0.0,57101.44,608353.42,579546.0,579492.0,49.84,0.0,0.0,7.224987558889722,0.7170000000000001,17.06,2.08,0.58,1.31,0.67,0.48,1,0,3,439587,26432,0,11,9,1.2,26426.4,10.0,1123.0,5.26,5.37,0.013860388275524913,throughput_performance,redis
1.57,0.0,5.64,0.0,0.29,3.46,0.0,0.0,10.96,100.0,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,9.25,0.16,0.0,57118.55,608518.66,579739.4,579649.4,49.85,0.0,0.0,7.239515606901724,0.716,17.16,2.09,0.58,1.31,0.67,0.48,1,0,26,437652,26407,0,11,9,1.2,26407.4,10.0,1123.0,5.56,5.43,0.013860388275524913,throughput_performance,redis
1.54,0.0,5.66,0.01,0.27,3.48,0.0,0.0,10.95,100.0,0.0,2.2,0.0,0.01,0.0,45.0,0.0,6.91,0.0,6.45,0.16,0.0,57056.38,607959.95,579116.4,579117.2,49.8,0.0,0.0,7.241445305326331,0.716,17.2,2.1,0.58,1.31,0.67,0.48,1,0,15,438670,26598,0,11,13,1.2,26596.6,10.0,1123.0,5.92,5.5,0.013860388275524913,throughput_performance,redis
1.52,0.0,5.7,0.01,0.29,3.46,0.0,0.0,10.97,99.99875,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,10.67,0.08,0.0,57079.15,608354.52,579369.8,579500.4,49.84,0.0,0.0,7.2562437569392335,0.716,17.26,2.1,0.57,1.31,0.67,0.48,1,0,3,436976,26540,0,11,10,1.4,26534.0,10.0,1124.0,6.24,5.58,0.013860388275524913,throughput_performance,redis
1.53,0.0,5.69,0.0,0.28,3.46,0.0,0.0,10.96,99.99875,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.33,0.0,0.0,57039.22,607584.75,578956.4,578759.8,49.77,0.0,0.0,7.249913854463616,0.716,17.25,2.1,0.57,1.31,0.67,0.48,1,0,3,438051,26538,0,11,12,1.2,26539.6,11.0,1124.0,6.46,5.63,0.013860388275524913,throughput_performance,redis
