CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.07,0.0,21.97,0.01,0.77,15.25,0.0,0.0,43.06,55.62671641791046,0.2,1.8,0.0,0.01,0.0,52.63,4.0,8.0,23.0,5.22,0.56,0.01,108756.37,1142371.31,1112152.0,1088178.4,93.58,0.0,0.0,42.245756831207814,0.35700000000000004,29.91,13.9,0.71,1.8,1.75,0.62,0,233952,12,555675,360855,0,43,35,18.2,360790.4,36.0,1309.0,21.59,29.99,0.054197953447436914,throughput_performance,redis
5.19,0.0,21.79,0.01,0.75,15.36,0.0,0.0,43.09,57.36575757575757,0.0,2.4,0.0,0.02,0.0,58.62,0.0,10.0,0.0,5.75,0.08,0.0,108675.68,1140273.68,1111957.8,1086181.2,93.41,0.0,0.0,42.48063923180796,0.355,30.07,13.99,0.71,1.8,1.77,0.63,0,233952,36,545342,356410,0,43,35,13.8,356422.8,33.0,1310.0,22.59,30.06,0.0585923821053372,throughput_performance,redis
5.12,0.0,21.67,0.0,0.76,15.17,0.0,0.0,42.72000000000001,57.201969696969684,0.0,1.8,0.0,0.02,0.0,57.14,0.0,10.22,0.0,5.11,0.16,0.0,108513.15,1139147.3,1110009.8,1085113.2,93.32,0.0,0.2,42.30380756789197,0.35600000000000004,30.17,14.01,0.71,1.8,1.76,0.63,0,233952,24,560130,362673,0,43,36,11.4,362571.8,34.0,1309.0,22.3,29.87,0.0585923821053372,throughput_performance,redis
5.06,0.0,21.65,0.01,0.75,15.14,0.0,0.0,42.6,54.705,0.0,1.0,0.0,0.01,0.0,68.75,0.0,14.4,0.0,5.2,0.16,0.0,108201.87,1138130.97,1105681.6,1084139.2,93.24,0.0,0.0,42.184129392348076,0.35700000000000004,30.06,13.91,0.72,1.8,1.75,0.62,0,233952,22,566419,362402,0,43,32,16.0,362355.0,36.0,1310.0,22.52,29.79,0.0585923821053372,throughput_performance,redis
5.09,0.0,21.95,0.01,0.74,15.28,0.0,0.0,43.06,55.46970588235297,0.0,0.8,0.0,0.0,0.0,20.0,0.0,4.0,0.0,9.5,0.08,0.0,108659.84,1141511.29,1111082.8,1087359.2,93.51,0.0,0.0,42.37834063315829,0.354,29.87,13.9,0.71,1.81,1.77,0.63,0,233952,10,533561,344518,0,43,29,13.4,344452.8,29.0,1310.0,23.27,29.83,0.0585923821053372,throughput_performance,redis
5.15,0.0,21.89,0.0,0.76,15.37,0.0,0.0,43.17,58.50046875,0.0,1.2,0.0,0.02,0.0,71.43,0.0,16.0,0.0,3.0,0.08,0.0,108794.58,1142165.13,1112846.6,1087981.6,93.57,0.0,0.0,42.58346634658665,0.353,30.03,14.03,0.71,1.81,1.78,0.63,0,233952,29,557861,345093,0,43,41,11.6,345055.4,36.0,1309.0,23.89,29.85,0.0585923821053372,throughput_performance,redis
5.32,0.0,22.09,0.01,0.73,15.52,0.0,0.0,43.66,61.357,0.0,2.0,0.0,0.01,0.0,44.44,0.0,7.6,0.0,7.8,0.16,0.01,108695.27,1139753.6,1112532.8,1085683.4,93.37,0.0,0.0,43.10621796249062,0.35100000000000003,30.31,14.2,0.7,1.81,1.8,0.63,1,233952,22,527349,332163,0,43,35,16.2,332129.2,34.0,1309.0,25.18,30.02,0.0585923821053372,throughput_performance,redis
5.08,0.0,21.71,0.01,0.75,15.11,0.0,0.0,42.65,60.26859375,0.0,2.6,0.0,0.02,0.0,43.48,0.0,7.38,0.0,8.92,0.16,0.01,108483.17,1139585.48,1109315.0,1085523.4,93.35,0.0,0.0,42.11547145986497,0.35600000000000004,29.96,13.96,0.71,1.81,1.76,0.63,1,233952,26,541555,353250,0,43,35,12.2,353190.6,32.0,1310.0,25.41,29.98,0.0585923821053372,throughput_performance,redis
5.12,0.0,21.72,0.0,0.73,15.36,0.0,0.0,42.93,58.924920634920646,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.0,0.0,108313.96,1137670.77,1107649.2,1083702.2,93.2,0.0,0.2,42.96230179144786,0.35100000000000003,30.41,14.27,0.71,1.81,1.8,0.63,1,233952,15,529682,338398,0,43,34,13.2,338379.8,36.0,1310.0,26.1,30.05,0.05932478688165393,throughput_performance,redis
5.24,0.0,21.8,0.0,0.74,15.3,0.0,0.0,43.08,57.35272727272727,0.0,2.4,0.0,0.02,0.0,52.0,0.0,9.67,0.0,3.0,0.0,0.0,108592.61,1141014.15,1110272.6,1086892.2,93.47,0.0,0.0,42.94106281770443,0.35200000000000004,30.64,14.25,0.71,1.81,1.79,0.63,1,233952,31,542811,341000,0,43,34,15.8,340982.8,38.0,1310.0,27.13,30.2,0.06005719165797064,throughput_performance,redis
5.18,0.0,21.96,0.01,0.73,15.5,0.0,0.0,43.37000000000001,59.613076923076925,0.0,2.0,0.0,0.02,0.0,50.0,0.0,8.8,0.0,6.5,0.08,0.01,108851.9,1142674.85,1113484.4,1088467.0,93.61,0.0,0.0,42.984806745686406,0.35100000000000003,30.53,14.27,0.71,1.81,1.8,0.63,1,233952,25,527910,333853,0,43,38,10.6,333754.0,36.0,1315.0,27.52,30.23,0.06005719165797064,throughput_performance,redis
5.11,0.0,21.98,0.01,0.75,15.46,0.0,0.0,43.3,59.70076923076922,0.0,1.8,0.0,0.02,0.0,52.63,0.0,8.89,0.0,6.33,0.16,0.0,108664.77,1141785.02,1111001.4,1087618.4,93.54,0.0,0.0,42.588456522130535,0.354,30.29,14.12,0.71,1.81,1.78,0.63,1,233952,16,533720,342388,0,43,31,16.2,342288.0,41.0,1310.0,27.96,30.28,0.06005719165797064,throughput_performance,redis
5.21,0.0,21.86,0.01,0.74,15.28,0.0,0.0,43.09,56.47710144927538,0.0,1.8,0.0,0.02,0.0,59.09,0.0,10.22,0.0,7.0,0.24,0.0,108728.71,1141803.23,1112021.0,1087638.2,93.54,0.0,0.0,42.703378052513116,0.354,30.14,14.03,0.71,1.81,1.77,0.63,1,233952,32,552639,346332,0,43,35,16.2,346367.2,34.0,1310.0,28.6,30.37,0.06005719165797064,throughput_performance,redis
5.04,0.0,21.96,0.01,0.73,15.38,0.0,0.0,43.11,58.009402985074615,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,10.67,0.08,0.0,108465.09,1138487.53,1109585.4,1084479.6,93.26,0.0,0.0,42.70640165641411,0.35100000000000003,30.28,14.18,0.7,1.81,1.79,0.63,1,233952,2,542897,339609,0,43,27,9.0,339403.2,39.0,1310.0,28.8,30.38,0.06005719165797064,throughput_performance,redis
5.16,0.0,21.82,0.01,0.76,15.34,0.0,0.0,43.08,57.972461538461545,0.0,1.8,0.0,0.02,0.0,64.0,0.0,12.89,0.0,5.22,0.0,0.0,108333.51,1139236.56,1107141.6,1085192.0,93.33,0.0,0.2,42.67423591897974,0.35200000000000004,30.34,14.15,0.71,1.81,1.79,0.63,1,233952,36,547732,336765,0,43,30,16.2,336741.6,37.0,1310.0,28.81,30.36,0.06005719165797064,throughput_performance,redis
5.14,0.0,21.65,0.0,0.74,15.11,0.0,0.0,42.64,59.05078125000001,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,7.11,0.16,0.01,108665.59,1141981.38,1110902.8,1087815.4,93.55,0.0,0.0,42.151619504876216,0.35600000000000004,30.07,13.98,0.72,1.81,1.76,0.63,1,233952,18,557202,354459,0,43,37,15.2,354370.2,36.0,1315.0,28.75,30.32,0.06005719165797064,throughput_performance,redis
5.08,0.0,21.85,0.01,0.76,15.17,0.0,0.0,42.86,54.96913043478261,0.0,1.6,0.0,0.02,0.0,57.89,0.0,10.5,0.0,4.62,0.0,0.0,108812.86,1141714.15,1113361.2,1087552.6,93.53,0.0,0.0,42.29504403300825,0.355,29.9,13.96,0.71,1.81,1.77,0.63,1,233952,37,540771,350174,0,43,38,10.0,350203.0,40.0,1310.0,28.85,30.31,0.06005719165797064,throughput_performance,redis
5.25,0.0,21.84,0.0,0.75,15.25,0.0,0.0,43.09,58.33777777777779,0.0,1.8,0.0,0.02,0.0,64.0,0.0,11.11,0.0,5.44,0.16,0.0,108871.38,1141944.91,1114166.2,1087772.2,93.55,0.0,0.0,42.40051372843211,0.354,30.04,14.04,0.71,1.81,1.77,0.63,1,233952,20,540730,342342,0,43,28,15.8,342267.0,35.0,1310.0,29.02,30.33,0.06005719165797064,throughput_performance,redis
5.2,0.0,21.94,0.01,0.73,15.43,0.0,0.0,43.3,56.39238805970149,0.0,0.8,0.0,0.0,0.0,20.0,0.0,3.0,0.0,10.5,0.0,0.0,108818.72,1139825.24,1114384.6,1085751.8,93.37,0.0,0.0,42.981561902475626,0.35100000000000003,30.41,14.27,0.7,1.81,1.8,0.63,1,233952,10,528174,334426,0,43,34,14.0,334561.0,35.0,1311.0,29.42,30.39,0.06078959643428735,throughput_performance,redis
5.17,0.0,21.82,0.01,0.75,15.29,0.0,0.0,43.03,57.96446153846154,0.0,2.4,0.0,0.03,0.0,57.14,0.0,10.67,0.0,8.75,0.24,0.01,108620.62,1141238.87,1110630.0,1087097.6,93.49,0.0,0.0,42.675342115528885,0.354,30.39,14.18,0.71,1.81,1.77,0.63,1,233952,32,542467,343097,0,43,33,11.2,342890.4,39.0,1310.0,29.22,30.33,0.06078959643428735,throughput_performance,redis
5.32,0.0,21.82,0.0,0.73,15.29,0.0,0.0,43.16,59.77258064516131,0.0,3.0,0.0,0.02,0.0,40.0,0.0,6.67,0.0,8.13,0.16,0.02,108609.18,1142387.34,1109848.0,1088192.0,93.58,0.0,0.2,42.749260627156794,0.353,30.35,14.2,0.71,1.81,1.78,0.63,1,233952,20,526242,337781,0,43,35,16.2,337842.0,41.0,1310.0,29.45,30.36,0.06078959643428735,throughput_performance,redis
5.19,0.0,21.89,0.0,0.73,15.45,0.0,0.0,43.26000000000001,55.09352112676056,0.0,2.0,0.0,0.02,0.0,58.33,0.0,9.6,0.0,7.2,0.24,0.01,108561.38,1140730.8,1109948.8,1086620.6,93.45,0.0,0.0,42.93826045311327,0.35100000000000003,30.41,14.25,0.7,1.81,1.8,0.63,1,233952,20,530741,333192,0,43,34,13.4,333062.6,34.0,1310.0,29.89,30.44,0.06078959643428735,throughput_performance,redis
5.14,0.0,22.07,0.01,0.74,15.55,0.0,0.0,43.5,58.1162121212121,0.0,0.4,0.0,0.0,0.0,33.33,0.0,4.0,0.0,6.0,0.08,0.0,108939.98,1144613.36,1113861.6,1090312.6,93.77,0.0,0.0,43.097392972243064,0.349,30.68,14.38,0.7,1.81,1.82,0.63,1,233952,12,518488,326023,0,43,29,11.8,325913.0,35.0,1310.0,30.14,30.48,0.06078959643428735,throughput_performance,redis
5.32,0.0,22.21,0.01,0.67,15.91,0.0,0.0,44.11,57.49787878787879,0.0,2.6,0.0,0.02,0.0,50.0,0.0,8.92,0.0,4.46,0.0,0.0,110494.56,1158547.57,1130977.4,1103586.8,94.91,0.0,0.0,43.232656228057024,0.349,30.55,14.34,0.7,1.82,1.82,0.64,1,233952,22,457301,312723,0,44,39,17.4,312967.4,34.0,1310.0,30.45,30.54,0.06078959643428735,throughput_performance,redis
5.26,0.0,22.31,0.0,0.72,15.67,0.0,0.0,43.96,58.22073529411765,0.0,2.4,0.0,0.02,0.0,50.0,0.0,8.0,0.0,7.08,0.24,0.01,110576.19,1159857.88,1131586.8,1104835.0,95.02,0.0,0.0,42.83837090472618,0.353,30.04,14.06,0.71,1.82,1.79,0.63,1,233952,37,472604,322402,0,44,35,13.8,322121.0,37.0,1311.0,30.5,30.55,0.06078959643428735,throughput_performance,redis
5.29,0.0,22.26,0.01,0.7,15.6,0.0,0.0,43.85,57.36057142857143,0.0,2.6,0.0,0.02,0.0,50.0,0.0,8.31,0.0,7.08,0.24,0.01,110597.77,1159443.68,1132116.6,1104440.6,94.98,0.0,0.0,43.014256156039025,0.35200000000000004,30.24,14.15,0.71,1.82,1.8,0.63,1,233952,29,478137,321086,0,44,34,11.4,321065.4,37.0,1310.0,31.1,30.67,0.06078959643428735,throughput_performance,redis
5.39,0.0,22.4,0.01,0.69,15.76,0.0,0.0,44.24,58.44402985074627,0.0,3.0,0.0,0.02,0.0,34.78,0.0,6.13,0.0,6.87,0.24,0.01,110781.52,1161786.77,1133794.0,1106675.2,95.17,0.0,0.2,43.35506302175544,0.35,30.33,14.21,0.7,1.82,1.82,0.64,1,233952,30,461310,305640,0,44,30,16.2,305682.8,35.0,1310.0,31.49,30.76,0.06078959643428735,throughput_performance,redis
5.34,0.0,22.31,0.01,0.68,15.8,0.0,0.0,44.13,59.841692307692306,0.0,0.6,0.0,0.0,0.0,66.67,0.0,4.0,0.0,8.33,0.24,0.0,111000.3,1163801.46,1136131.2,1108594.4,95.34,0.0,0.0,43.32759247411854,0.35,30.3,14.22,0.7,1.82,1.82,0.64,2,233952,22,461785,308111,0,44,35,12.0,308228.4,38.0,1310.0,31.45,30.76,0.06078959643428735,throughput_performance,redis
5.31,0.0,22.68,0.02,0.69,15.92,0.0,0.0,44.6,59.11060606060606,0.2,3.4,0.0,0.03,0.0,32.0,4.0,7.53,19.0,10.06,0.48,0.01,111045.13,1162313.44,1137624.2,1107179.8,95.22,0.0,0.0,43.75351501875469,0.348,30.48,14.37,0.7,1.82,1.83,0.64,1,233952,16,456158,300412,1,44,31,13.2,300149.4,29.0,1310.0,31.17,30.72,0.061522001210604076,throughput_performance,redis
