CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.23,0.0,0.93,0.0,0.13,0.75,0.0,0.0,2.04,95.4,0.0,0.2,0.0,0.01,0.0,85.71,0.0,28.0,0.0,0.0,0.0,0.0,8961.76,9189.56,90183.2,89749.2,0.75,0.0,0.0,3.4802664186046512,0.652,17.06,6.79,0.07,1.0,0.73,0.48,0,0,0,134360,7701,0,2,1,11.2,7716.0,6.0,1158.0,0.15,0.14,0.011671902368488113,throughput_performance,redis
0.25,0.0,0.87,0.06,0.13,0.79,0.0,0.0,2.04,99.99,0.0,1.2,0.0,0.01,0.0,70.0,0.0,11.33,0.0,81.33,0.48,0.0,9291.16,9570.3,93276.6,93306.6,0.78,0.0,0.0,3.6106747006751694,0.662,17.46,7.09,0.07,1.0,0.74,0.49,1,0,22,138287,7977,0,2,2,16.2,7951.0,1.0,1158.0,0.22,0.16,0.014225131011594887,throughput_performance,redis
0.27,0.0,0.85,0.01,0.14,0.78,0.0,0.0,2.04,100.01,0.0,2.4,0.0,0.02,0.0,45.45,0.0,9.33,0.0,3.83,0.0,0.0,9316.88,9586.5,93536.0,93440.6,0.79,0.0,0.0,3.5788531132783192,0.665,17.36,7.07,0.07,1.01,0.74,0.49,1,0,20,138437,7910,0,2,1,13.2,7901.2,1.0,1159.0,0.28,0.17,0.014954624909625397,throughput_performance,redis
0.24,0.0,0.87,0.01,0.12,0.79,0.0,0.0,2.02,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.33,0.0,0.0,9328.88,9607.3,93653.6,93646.8,0.79,0.0,0.0,3.5792587186796703,0.665,17.28,7.05,0.07,1.0,0.74,0.49,1,0,2,138401,7938,0,2,1,12.0,7934.2,1.0,1158.0,0.34,0.19,0.015319371858640646,throughput_performance,redis
0.25,0.0,0.89,0.0,0.12,0.78,0.0,0.0,2.04,100.0,0.0,1.2,0.0,0.02,0.0,64.71,0.0,13.33,0.0,4.5,0.0,0.0,9320.91,9604.72,93574.8,93642.4,0.79,0.0,0.2,3.592631405851463,0.665,17.37,7.02,0.07,1.01,0.74,0.49,1,0,19,138235,7954,0,2,6,17.4,7962.8,7.0,1158.0,0.39,0.2,0.015319371858640646,throughput_performance,redis
0.23,0.0,0.87,0.0,0.12,0.79,0.0,0.0,2.01,100.0,0.0,1.8,0.0,0.02,0.0,55.0,0.0,8.89,0.0,4.0,0.08,0.0,9299.27,9570.72,93359.0,93285.0,0.78,0.0,0.0,3.5662547636909228,0.649,17.29,7.08,0.07,1.0,0.75,0.49,1,0,16,138221,7942,0,2,2,13.6,7928.8,2.0,1163.0,0.44,0.21,0.014954624909625397,throughput_performance,redis
0.24,0.0,0.86,0.0,0.15,0.79,0.0,0.0,2.04,100.0,0.0,2.6,0.0,0.02,0.0,50.0,0.0,7.38,0.0,7.92,0.16,0.01,9316.89,9604.64,93535.6,93617.2,0.79,0.0,0.0,3.5647798349587405,0.67,17.1,6.97,0.07,1.01,0.74,0.49,1,0,22,138437,7897,0,2,1,11.6,7897.2,1.0,1158.0,0.49,0.23,0.014954624909625397,throughput_performance,redis
0.24,0.0,0.88,0.01,0.13,0.77,0.0,0.0,2.02,100.01,0.0,1.2,0.0,0.01,0.0,40.0,0.0,8.67,0.0,9.0,0.08,0.0,9330.61,9607.93,93672.4,93674.4,0.79,0.0,0.0,3.591684993248312,0.6659999999999999,17.31,7.06,0.06,1.01,0.74,0.49,1,0,6,138437,7939,0,2,3,16.2,7939.0,1.0,1158.0,0.53,0.24,0.015319371858640646,throughput_performance,redis
0.24,0.0,0.85,0.0,0.12,0.79,0.0,0.0,2.0,100.0,0.0,3.4,0.0,0.02,0.0,41.38,0.0,6.35,0.0,2.59,0.0,0.0,9346.01,9624.98,93827.4,93830.4,0.79,0.0,0.0,3.5712941035258816,0.6679999999999999,17.19,7.0,0.07,1.01,0.74,0.49,1,0,26,138611,7901,0,2,4,12.0,7887.8,9.0,1158.0,0.57,0.25,0.0156841188076559,throughput_performance,redis
0.28,0.0,0.86,0.0,0.13,0.77,0.0,0.0,2.04,100.01,0.0,2.2,0.0,0.02,0.0,54.17,0.0,8.73,0.0,6.82,0.16,0.01,9303.11,9579.91,93394.0,93395.6,0.78,0.0,0.0,3.5704091462865715,0.6609999999999999,17.26,7.03,0.07,1.0,0.75,0.49,1,0,19,138210,8002,0,2,3,13.2,8012.2,1.0,1158.0,0.6,0.27,0.015319371858640646,throughput_performance,redis
0.23,0.0,0.9,0.01,0.15,0.8,0.0,0.0,2.08,100.0,0.0,0.6,0.0,0.01,0.0,25.0,0.0,10.67,0.0,9.33,0.08,0.0,9328.7,9605.32,93652.8,93663.2,0.79,0.0,0.2,3.5876166481620406,0.6659999999999999,17.24,7.0,0.07,1.01,0.74,0.49,1,0,2,138423,7938,0,2,3,15.8,7939.6,1.0,1158.0,0.63,0.28,0.014954624909625397,throughput_performance,redis
0.24,0.0,0.86,0.0,0.13,0.77,0.0,0.0,2.0,100.0,0.0,2.2,0.0,0.02,0.0,50.0,0.0,8.0,0.0,3.45,0.0,0.0,9341.72,9624.31,93785.2,93808.8,0.79,0.0,0.0,3.5879362160540142,0.665,17.29,7.08,0.06,1.0,0.74,0.49,1,0,20,138581,7917,0,2,1,12.4,7912.0,1.0,1158.0,0.66,0.29,0.014954624909625397,throughput_performance,redis
