CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.58,0.0,25.37,0.07,0.65,17.32,0.0,0.0,47.92,64.05161764705883,14.6,5.4,1.7,0.04,3.95,51.79,119.12,6.67,12.86,2.56,4.16,0.17,1168204.54,74629.28,1103346.0,1076343.2,95.7,0.0,0.0,38.81772747186797,0.33899999999999997,28.79,11.87,0.8,1.69,1.94,0.66,1,0,46,429854,215568,0,48,35,19.8,215461.0,36.0,1222.0,26.35,14.49,0.032462478462357565,throughput_performance,redis
4.48,0.0,25.06,0.01,0.63,17.4,0.0,0.0,47.56999999999999,64.08954545454547,0.0,1.4,0.0,0.02,0.0,61.11,0.0,15.43,0.0,7.29,0.16,0.0,1167343.31,74562.84,1102826.6,1075386.0,95.63,0.0,0.2,38.93586926331583,0.337,28.98,11.96,0.79,1.7,1.95,0.66,1,0,12,428804,213843,0,47,35,9.4,213648.6,36.0,1221.0,27.13,14.85,0.03428621320743383,throughput_performance,redis
4.62,0.0,25.1,0.01,0.66,17.31,0.0,0.0,47.69,60.46352112676055,0.0,4.4,0.0,0.03,0.0,33.33,0.0,6.36,0.0,9.45,0.24,0.03,1169038.7,74667.37,1105169.0,1076893.6,95.77,0.0,0.0,38.764740657164296,0.33799999999999997,28.95,11.92,0.8,1.69,1.94,0.66,1,0,32,436296,214141,0,48,37,15.8,214107.8,31.0,1221.0,28.08,15.25,0.03428621320743383,throughput_performance,redis
4.62,0.0,25.26,0.01,0.65,17.46,0.0,0.0,47.99,61.647,0.0,1.8,0.0,0.02,0.0,57.14,0.0,9.78,0.0,4.44,0.16,0.0,1166628.11,74532.53,1098805.8,1074948.8,95.57,0.0,0.0,39.110660609152276,0.336,29.29,12.06,0.79,1.7,1.96,0.66,1,0,18,424352,204458,0,48,37,13.6,204307.0,36.0,1222.0,28.71,15.6,0.03428621320743383,throughput_performance,redis
4.51,0.0,25.3,0.01,0.65,17.44,0.0,0.0,47.90000000000001,63.832428571428565,0.0,1.6,0.0,0.02,0.0,61.9,0.0,11.5,0.0,5.0,0.08,0.0,1167973.48,74627.07,1098594.8,1076312.2,95.68,0.0,0.0,38.842469401350336,0.33799999999999997,29.19,12.03,0.8,1.7,1.95,0.66,1,0,18,431378,211458,0,48,40,11.6,211422.8,38.0,1221.0,29.54,15.99,0.03428621320743383,throughput_performance,redis
4.66,0.0,24.97,0.01,0.65,16.93,0.0,0.0,47.21,60.49647887323943,0.0,1.4,0.0,0.01,0.0,41.67,0.0,5.71,0.0,9.71,0.08,0.0,1168325.98,74645.05,1098620.4,1076571.0,95.71,0.0,0.0,38.6761711867967,0.341,28.83,11.84,0.81,1.69,1.92,0.65,1,0,6,452725,223407,0,48,38,16.0,223460.6,37.0,1221.0,30.13,16.34,0.03501570710546434,throughput_performance,redis
4.56,0.0,25.11,0.01,0.66,17.41,0.0,0.0,47.74,62.69194029850746,0.2,2.6,0.0,0.02,0.0,38.1,4.0,7.38,1.0,5.38,0.24,0.01,1167057.01,74551.72,1101293.2,1075223.6,95.61,0.0,0.0,38.74260443510878,0.33799999999999997,28.88,11.93,0.79,1.69,1.95,0.66,1,0,23,429899,213514,0,48,31,9.0,213475.6,37.0,1221.0,30.44,16.63,0.03501570710546434,throughput_performance,redis
4.61,0.0,25.36,0.01,0.67,17.31,0.0,0.0,47.95,60.53666666666666,0.0,3.6,0.0,0.03,0.0,50.0,0.0,8.0,0.0,4.17,0.0,0.0,1168784.22,74663.22,1102914.4,1076785.6,95.75,0.0,0.2,38.672914052513136,0.33799999999999997,28.9,11.87,0.8,1.7,1.95,0.66,1,0,27,435215,212076,0,48,36,27.8,211965.4,40.0,1225.0,31.05,16.98,0.03501570710546434,throughput_performance,redis
4.64,0.0,25.02,0.01,0.66,17.07,0.0,0.0,47.39,62.97227272727274,0.0,5.8,0.0,0.04,0.0,38.3,0.0,6.48,0.0,7.03,0.48,0.02,1168760.55,74662.56,1102381.8,1076783.4,95.74,0.0,0.0,38.615428705176285,0.33899999999999997,28.84,11.87,0.8,1.71,1.93,0.66,1,0,39,443324,216351,0,48,35,16.0,216373.2,40.0,1224.0,31.37,17.28,0.03501570710546434,throughput_performance,redis
4.91,0.0,25.25,0.13,0.66,17.2,0.0,0.0,48.02,62.005915492957755,0.0,7.4,0.0,1.72,0.0,58.89,0.0,237.95,0.0,19.89,2.24,0.05,1165593.0,74447.38,1102556.2,1073721.0,95.49,0.0,0.0,39.73183913578395,0.341,30.05,12.03,0.76,1.68,1.94,0.66,0,0,1754,429439,205730,0,48,35,18.0,205622.4,39.0,1224.0,31.9,17.63,0.03501570710546434,throughput_performance,redis
4.77,0.0,25.57,0.18,0.64,17.42,0.0,0.0,48.40000000000001,65.36446153846153,9.2,9.8,0.99,1.96,0.0,56.64,110.61,204.49,11.33,31.35,4.48,0.16,1160180.92,74110.19,1100570.6,1068826.8,95.04,0.0,0.0,38.92810130532633,0.337,29.28,12.04,0.8,1.71,1.96,0.66,0,0,2004,413221,198152,0,49,25,19.4,198185.6,38.0,1225.0,32.47,17.98,0.03501570710546434,throughput_performance,redis
4.71,0.0,24.79,0.01,0.66,16.93,0.0,0.0,47.09,64.15075757575758,0.0,6.6,0.0,0.06,0.0,55.41,0.0,8.85,0.0,5.67,0.24,0.02,1169200.33,74703.6,1100985.6,1077340.4,95.78,0.0,0.0,38.60880381695424,0.342,28.91,11.85,0.81,1.7,1.92,0.65,0,0,58,451387,225305,0,47,32,12.2,225285.0,36.0,1224.0,32.91,18.31,0.03501570710546434,throughput_performance,redis
4.67,0.0,24.83,0.01,0.7,16.5,0.0,0.0,46.7,58.72569444444443,0.0,9.4,0.0,0.05,0.0,27.69,0.0,5.45,0.0,3.62,0.16,0.02,1167377.05,74592.79,1097036.8,1075734.8,95.63,0.0,0.0,38.55657904876219,0.34299999999999997,28.69,11.82,0.82,1.7,1.91,0.65,0,0,51,470855,233462,0,47,37,17.6,233328.0,39.0,1225.0,33.4,18.66,0.03501570710546434,throughput_performance,redis
4.66,0.0,25.23,0.01,0.64,17.4,0.0,0.0,47.93,61.76471428571429,0.0,3.2,0.0,0.02,0.0,42.86,0.0,7.25,0.0,7.31,0.24,0.01,1164235.81,74369.27,1099546.8,1072513.8,95.37,0.0,0.2,39.21541742235559,0.336,29.39,12.16,0.79,1.7,1.96,0.66,0,0,23,425059,204074,0,48,34,13.8,204038.6,39.0,1225.0,33.69,18.96,0.03501570710546434,throughput_performance,redis
4.77,0.0,24.85,0.0,0.66,16.77,0.0,0.0,47.05,61.212714285714284,0.0,0.6,0.0,0.01,0.0,70.0,0.0,12.0,0.0,7.67,0.0,0.0,1165581.17,74448.32,1103204.2,1073694.0,95.48,0.0,0.0,38.57467150787697,0.34,29.04,11.98,0.81,1.7,1.93,0.66,0,0,7,460717,225124,0,47,38,11.4,225079.0,36.0,1225.0,33.79,19.23,0.035380454054479586,throughput_performance,redis
4.73,0.0,25.17,0.01,0.66,17.25,0.0,0.0,47.81,61.095352112676075,0.0,3.0,0.0,0.03,0.0,51.61,0.0,8.53,0.0,8.27,0.24,0.01,1167357.58,74557.43,1105494.4,1075228.2,95.63,0.0,0.0,39.05155284021005,0.337,29.46,12.15,0.8,1.7,1.95,0.66,0,0,26,433714,205286,0,48,37,16.2,205249.6,41.0,1226.0,33.89,19.49,0.035380454054479586,throughput_performance,redis
4.74,0.0,25.05,0.01,0.67,17.01,0.0,0.0,47.47,64.21692307692308,0.0,3.4,0.0,0.02,0.0,37.04,0.0,6.59,0.0,6.53,0.32,0.01,1166396.79,74497.33,1103606.4,1074401.8,95.55,0.0,0.0,39.13992565341336,0.33799999999999997,29.55,12.17,0.8,1.7,1.95,0.66,0,0,22,444010,214847,0,48,42,9.2,214821.8,41.0,1226.0,34.14,19.78,0.035380454054479586,throughput_performance,redis
