cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.3,0.0,1.03,0.2,0.12,0.81,0.0,0.0,2.2600000000000002,50.9,0.0,6.4,0.0,0.61,0.0,43.86,0.0,98.0,0.0,6.53,0.4,0.03,10805.18,5507.14,78476.6,79336.6,0.89,0.0,0.0,2.374106742685672,0.625,16.96,6.28,0.58,1.5,0.83,0.52,0,0,627,136644,7953,0,2,1,0.8,7946.2,2.0,1163.0,2.02,2.32,0.0156841188076559,throughput_performance,redis
0.25,0.0,0.86,0.27,0.13,0.83,0.0,0.0,2.07,51.3,0.0,0.8,0.0,0.01,0.0,73.33,0.0,15.0,0.0,9.25,0.08,0.0,10510.17,5302.69,76332.6,76364.4,0.86,0.0,0.2,2.221279543885972,0.606,17.13,6.48,0.57,1.5,0.88,0.53,0,0,12,141309,8034,0,2,1,1.2,8027.0,2.0,1163.0,1.94,2.3,0.01750785355273217,throughput_performance,redis
0.45,0.0,0.94,0.44,0.14,0.84,0.0,0.0,2.3699999999999997,51.34,0.0,1.0,0.0,0.01,0.0,68.75,0.0,12.0,0.0,4.0,0.0,0.0,10554.69,5325.6,76655.4,76712.4,0.86,0.0,0.0,2.274254067516879,0.781,16.98,4.54,0.45,1.21,0.64,0.5,1,0,10,140764,8125,0,2,2,1.6,8120.4,3.0,1165.0,1.95,2.3,0.01750785355273217,throughput_performance,redis
0.26,0.0,0.85,1.05,0.1,0.8,0.0,0.0,2.01,75.85,0.0,1.2,0.0,0.01,0.0,45.45,0.0,4.67,0.0,10.33,0.16,0.0,11085.75,5597.13,80513.6,80576.2,0.91,0.0,0.0,2.4651098454613654,0.639,17.34,6.58,0.6,1.52,0.8,0.51,1,0,8,136206,7939,0,2,1,1.2,7939.8,2.0,1165.0,2.03,2.31,0.01750785355273217,throughput_performance,redis
0.3,0.0,0.82,1.06,0.14,0.83,0.0,0.0,2.09,34.99666666666666,0.0,1.6,0.0,0.01,0.0,46.67,0.0,6.5,0.0,10.38,0.08,0.0,10887.36,5482.87,79071.4,78987.4,0.89,0.0,0.0,2.282575123780945,0.612,16.99,6.08,0.52,1.44,0.88,0.54,2,0,13,140353,8183,0,2,2,1.2,8189.0,2.0,1164.0,2.11,2.32,0.01750785355273217,throughput_performance,redis
0.48,0.0,0.93,0.86,0.12,0.83,0.0,0.0,2.3600000000000003,51.55,0.0,1.2,0.0,0.01,0.0,33.33,0.0,4.67,0.0,7.17,0.08,0.0,10399.65,5245.21,75529.8,75533.4,0.85,0.0,0.0,2.1762204711177797,0.761,16.92,4.64,0.47,1.22,0.66,0.5,3,0,6,142646,8274,0,2,1,1.6,8263.4,3.0,1164.0,2.1,2.31,0.01750785355273217,throughput_performance,redis
0.29,0.0,0.83,1.05,0.13,0.82,0.0,0.0,2.07,51.6,0.0,3.4,0.0,0.03,0.0,45.16,0.0,10.35,0.0,8.24,0.32,0.02,11236.45,5669.98,81607.8,81644.2,0.92,0.0,0.0,2.58982736084021,0.652,17.26,6.55,0.59,1.52,0.78,0.51,3,0,38,136915,8032,0,2,4,1.2,8028.4,4.0,1164.0,2.25,2.34,0.01750785355273217,throughput_performance,redis
0.43,0.0,0.91,0.91,0.13,0.78,0.0,0.0,2.25,55.055,0.0,3.8,0.0,0.02,0.0,32.14,0.0,5.47,0.0,4.42,0.0,0.0,11120.53,5615.51,80764.2,80882.4,0.91,0.0,0.2,2.525434430607652,0.81,17.39,4.76,0.45,1.2,0.59,0.48,1,0,21,135730,7903,0,2,2,1.6,7900.2,3.0,1164.0,2.31,2.35,0.01750785355273217,throughput_performance,redis
0.31,0.0,0.85,0.84,0.11,0.81,0.0,0.0,2.08,53.309999999999995,0.0,1.2,0.0,0.01,0.0,33.33,0.0,6.0,0.0,8.83,0.0,0.0,10989.65,5543.01,79815.2,79832.2,0.9,0.0,0.0,2.487750001500375,0.642,17.4,6.66,0.59,1.52,0.8,0.51,2,0,6,137148,7969,0,2,2,1.4,7966.6,4.0,1165.0,2.37,2.36,0.01750785355273217,throughput_performance,redis
0.26,0.0,0.85,1.05,0.13,0.86,0.0,0.0,2.0999999999999996,51.919999999999995,0.0,1.6,0.0,0.02,0.0,52.94,0.0,10.0,0.0,8.0,0.16,0.0,9986.79,5032.46,72532.8,72428.8,0.82,0.0,0.0,1.9560627756939235,0.574,16.59,6.11,0.58,1.49,0.96,0.55,2,0,16,147266,8588,0,2,1,1.2,8588.2,2.0,1165.0,2.42,2.38,0.01750785355273217,throughput_performance,redis
0.49,0.0,0.88,0.81,0.12,0.78,0.0,0.0,2.2700000000000005,91.97999999999999,0.0,1.2,0.0,0.01,0.0,33.33,0.0,4.67,0.0,8.83,0.0,0.0,11668.31,5886.88,84742.6,84831.0,0.96,0.0,0.0,2.679060549137284,0.819,16.44,4.5,0.46,1.21,0.58,0.48,2,0,6,131858,7690,0,2,1,1.6,7689.8,2.0,1165.0,2.47,2.39,0.01750785355273217,throughput_performance,redis
0.26,0.0,0.86,0.98,0.13,0.82,0.0,0.0,2.07,51.2,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.0,0.0,0.0,10653.43,5380.02,77374.8,77440.2,0.87,0.0,0.0,2.2660190487621903,0.608,17.35,6.59,0.57,1.5,0.87,0.53,3,0,3,139967,8179,0,2,2,1.2,8178.6,3.0,1165.0,2.59,2.41,0.017143106603716915,throughput_performance,redis
0.27,0.0,0.87,1.07,0.13,0.86,0.0,0.0,2.13,51.7,0.0,2.6,0.0,0.59,0.0,43.48,0.0,231.08,0.0,13.31,0.48,0.01,10085.87,5138.24,73251.2,74038.6,0.83,0.0,0.0,2.2100086301575397,0.61,17.23,6.32,0.58,1.49,0.87,0.53,1,0,598,143739,8481,0,2,3,1.4,8481.8,3.0,1165.0,2.7,2.44,0.017143106603716915,throughput_performance,redis
0.3,0.0,1.06,0.62,0.36,0.79,0.0,0.0,2.5100000000000002,51.59,0.0,3.2,0.0,0.04,0.0,50.0,0.0,12.0,0.0,11.81,0.16,0.0,10415.13,5266.74,75641.4,75906.8,0.85,0.0,0.2,2.5791955828957236,0.622,17.84,6.39,0.5,1.4,0.84,0.52,0,0,38,140447,8152,0,2,3,6.6,8145.6,2.0,1187.0,2.56,2.42,0.017143106603716915,throughput_performance,redis
0.37,0.0,1.04,0.2,0.47,0.74,0.0,0.0,2.62,85.6,0.0,1.8,0.0,0.01,0.0,43.75,0.0,6.67,0.0,7.33,0.08,0.0,11193.97,5665.07,81299.8,81569.6,0.92,0.0,0.0,3.049697848462116,0.758,18.35,5.51,0.44,1.22,0.64,0.49,0,0,12,133010,8028,0,2,4,6.4,8031.6,3.0,1188.0,2.76,2.46,0.018966841348793183,throughput_performance,redis
0.36,0.0,1.04,0.23,0.47,0.77,0.0,0.0,2.6399999999999997,51.42,0.0,1.4,0.0,0.01,0.0,50.0,0.0,9.14,0.0,8.29,0.08,0.0,10485.66,5292.85,76154.6,76225.6,0.86,0.0,0.0,2.5321945206301577,0.687,18.18,5.45,0.44,1.19,0.74,0.51,0,0,13,139327,8263,0,2,3,6.4,8262.2,2.0,1189.0,2.86,2.48,0.019331588297808438,throughput_performance,redis
0.41,0.0,1.11,0.19,0.49,0.85,0.0,0.0,2.86,76.8,0.0,0.6,0.0,0.0,0.0,57.14,0.0,5.33,0.0,9.67,0.0,0.0,9394.05,4753.81,68226.6,68455.8,0.77,0.0,0.0,2.2409575513878472,0.679,17.94,5.13,0.45,1.2,0.78,0.53,1,0,6,148855,8897,0,2,3,6.4,8896.2,2.0,1188.0,2.71,2.46,0.01969633524682369,throughput_performance,redis
0.4,0.0,0.83,0.2,0.46,0.73,0.0,0.0,2.42,86.57000000000001,0.0,1.2,0.0,0.01,0.0,40.0,0.0,5.33,0.0,9.17,0.0,0.0,11211.04,5659.69,81423.6,81472.8,0.92,0.0,0.0,3.0023034718679673,0.759,18.63,5.7,0.44,1.23,0.64,0.48,1,0,6,132354,7947,0,2,7,2.8,7931.8,6.0,1171.0,2.57,2.43,0.01969633524682369,throughput_performance,redis
0.3,0.0,1.0,0.21,0.51,0.77,0.0,0.0,2.58,51.655,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.0,0.0,0.0,10371.53,5248.31,75326.0,75598.4,0.85,0.0,0.0,2.459701773443361,0.728,17.21,5.34,0.48,1.24,0.68,0.5,1,0,3,138872,8004,0,2,2,4.8,8013.8,2.0,1186.0,2.45,2.41,0.017872600501747424,throughput_performance,redis
0.36,0.0,0.97,0.27,0.15,0.82,0.0,0.0,2.3,50.959999999999994,0.0,10.6,0.0,0.09,0.0,54.31,0.0,8.68,0.0,6.53,0.56,0.02,10867.13,5480.1,78924.4,78921.2,0.89,0.0,0.2,2.526036693173293,0.627,18.11,6.56,0.57,1.51,0.82,0.51,1,0,92,139291,8813,0,2,2,6.2,8814.8,2.0,1162.0,2.33,2.39,0.020061082195838943,throughput_performance,redis
0.28,0.0,0.84,0.22,0.13,0.84,0.0,0.0,2.09,51.260000000000005,0.0,2.6,0.0,0.04,0.0,67.5,0.0,15.38,0.0,6.38,0.16,0.0,10587.76,5340.77,76897.6,76875.4,0.87,0.0,0.0,2.230350355588897,0.609,17.03,6.37,0.59,1.51,0.87,0.53,2,0,43,140793,8057,0,2,1,1.2,8055.6,2.0,1162.0,2.22,2.36,0.017872600501747424,throughput_performance,redis
0.27,0.0,0.84,0.21,0.11,0.78,0.0,0.0,2.0,79.2,0.0,1.2,0.0,0.01,0.0,33.33,0.0,7.33,0.0,9.5,0.16,0.0,11195.75,5642.75,81311.2,81294.2,0.92,0.0,0.0,2.3729513818454615,0.619,17.15,6.51,0.58,1.5,0.85,0.53,2,0,6,134983,7709,0,2,1,1.2,7717.2,2.0,1162.0,2.21,2.36,0.017872600501747424,throughput_performance,redis
0.29,0.0,0.81,0.2,0.12,0.82,0.0,0.0,2.04,77.44,0.0,4.6,0.0,0.02,0.0,23.33,0.0,5.22,0.0,5.3,0.24,0.02,11148.6,5629.87,80969.0,81086.2,0.91,0.0,0.0,2.4540847531882974,0.642,17.37,6.59,0.6,1.52,0.8,0.51,2,0,24,135950,7784,0,2,1,1.2,7767.4,2.0,1162.0,2.27,2.37,0.017872600501747424,throughput_performance,redis
0.27,0.0,0.86,0.22,0.13,0.85,0.0,0.0,2.11,51.645,0.0,1.4,0.0,0.01,0.0,41.67,0.0,5.71,0.0,10.0,0.08,0.0,10191.22,5138.03,74018.2,73952.0,0.83,0.0,0.0,2.0621716069017255,0.586,17.02,6.29,0.58,1.5,0.92,0.54,2,0,8,144207,8368,0,2,1,2.6,8384.8,2.0,1162.0,2.41,2.4,0.017872600501747424,throughput_performance,redis
0.29,0.0,0.88,0.23,0.12,0.83,0.0,0.0,2.12,51.39999999999999,0.0,3.2,0.0,0.6,0.0,60.0,0.0,191.5,0.0,11.62,0.48,0.01,10234.88,5250.8,74333.6,75707.4,0.84,0.0,0.0,2.2034083240810203,0.595,18.06,6.6,0.55,1.47,0.9,0.53,1,0,610,141877,8275,0,2,2,2.8,8264.0,2.0,1165.0,2.54,2.42,0.017872600501747424,throughput_performance,redis
0.27,0.0,0.84,0.2,0.13,0.86,0.0,0.0,2.0999999999999996,51.940000000000005,0.0,0.6,0.0,0.0,0.0,80.0,0.0,5.33,0.0,10.67,0.0,0.0,9894.03,4994.81,71857.8,71923.6,0.81,0.0,0.2,2.0169281680420106,0.576,16.77,6.24,0.58,1.51,0.95,0.55,2,0,13,145298,8285,0,2,2,1.2,8282.4,2.0,1165.0,2.57,2.43,0.017872600501747424,throughput_performance,redis
0.48,0.0,0.9,0.52,0.13,0.79,0.0,0.0,2.3,51.0,0.0,2.6,0.0,0.02,0.0,18.75,0.0,7.08,0.0,3.85,0.08,0.0,10464.11,5274.26,75998.6,75936.4,0.86,0.0,0.0,2.247250580645161,0.78,15.78,4.2,0.45,1.21,0.64,0.5,1,0,12,134118,7803,0,2,2,1.8,7806.0,2.0,1167.0,2.69,2.46,0.017872600501747424,throughput_performance,redis
0.28,0.0,0.82,1.03,0.11,0.79,0.0,0.0,2.0,78.19999999999999,0.0,2.2,0.0,0.03,0.0,59.26,0.0,14.55,0.0,5.73,0.0,0.0,10636.56,5360.04,77249.2,77229.8,0.87,0.0,0.0,2.328949341335334,0.623,14.92,5.66,0.6,1.54,0.84,0.52,2,0,35,131589,7622,0,2,2,1.2,7609.0,2.0,1166.0,2.71,2.47,0.017872600501747424,throughput_performance,redis
0.24,0.0,0.91,1.05,0.13,0.89,0.0,0.0,2.17,79.4,0.0,1.2,0.0,0.01,0.0,33.33,0.0,7.33,0.0,8.17,0.08,0.0,9572.0,4827.09,69520.0,69473.4,0.78,0.0,0.0,1.9491429017254318,0.572,17.26,6.22,0.53,1.45,0.97,0.55,3,0,6,152919,8972,0,2,2,1.2,8985.6,2.0,1166.0,2.74,2.48,0.01750785355273217,throughput_performance,redis
0.46,0.0,0.93,0.81,0.13,0.81,0.0,0.0,2.33,51.19500000000001,0.0,1.6,0.0,0.01,0.0,42.86,0.0,5.0,0.0,8.5,0.0,0.0,10407.08,5255.81,75584.4,75650.0,0.85,0.0,0.0,2.2481109557389347,0.777,15.37,4.18,0.47,1.24,0.64,0.5,2,0,10,136010,7906,0,2,2,1.6,7902.4,2.0,1166.0,2.76,2.49,0.01750785355273217,throughput_performance,redis
0.31,0.0,0.84,1.05,0.12,0.83,0.0,0.0,2.1,48.39,0.0,4.4,0.0,0.02,0.0,15.38,0.0,5.64,0.0,5.41,0.32,0.02,10279.33,5176.39,74654.2,74586.4,0.84,0.0,0.0,2.154330070517629,0.594,16.02,5.97,0.58,1.53,0.91,0.54,3,0,23,139242,8214,0,2,2,1.2,8218.8,2.0,1166.0,2.78,2.5,0.01750785355273217,throughput_performance,redis
