CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.2,0.0,1.05,0.02,0.15,0.95,0.0,0.0,2.35,100.0,0.2,1.8,0.0,0.01,0.0,50.0,4.0,7.56,3.0,30.33,0.0,0.0,26473.94,50681.68,67101.4,67100.6,4.15,0.0,0.2,1.4019443420855215,0.47600000000000003,15.67,4.8,0.13,1.39,1.17,0.56,0,187416,14,161178,9527,1,2,2,15.8,9514.8,2.0,1156.0,1.26,1.35,0.025634167171085024,throughput_performance,redis
0.17,0.0,0.96,0.02,0.15,0.97,0.0,0.0,2.25,99.6,0.0,2.6,0.0,0.02,0.0,38.1,0.0,6.15,0.0,17.77,0.16,0.0,26394.9,50681.29,67006.0,67005.4,4.15,0.0,0.0,1.3818976024006,0.478,15.58,4.8,0.13,1.39,1.18,0.56,0,187416,16,161362,9511,0,2,3,12.0,9509.2,3.0,1158.0,1.24,1.34,0.0292961910526686,throughput_performance,redis
0.17,0.0,0.96,0.02,0.13,0.97,0.0,0.0,2.2299999999999995,99.8,0.0,1.8,0.0,0.01,0.0,50.0,0.0,7.11,0.0,17.56,0.08,0.0,26413.22,50589.32,67002.0,67001.2,4.14,0.0,0.0,1.36945903675919,0.47,15.51,4.81,0.13,1.4,1.19,0.56,0,187416,13,160162,9367,0,2,1,14.8,9362.4,2.0,1156.0,1.22,1.34,0.03002859582898532,throughput_performance,redis
0.18,0.0,0.96,0.01,0.15,0.96,0.0,0.0,2.25,99.8,0.0,1.2,0.0,0.01,0.0,45.45,0.0,6.67,0.0,9.83,0.08,0.0,26330.51,50506.21,66825.2,66824.4,4.14,0.0,0.0,1.3947786466616654,0.484,15.6,4.78,0.14,1.4,1.17,0.56,0,187416,8,160785,9454,0,2,1,15.8,9455.8,2.0,1156.0,1.2,1.33,0.030761000605302038,throughput_performance,redis
0.15,0.0,0.97,0.0,0.15,0.94,0.0,0.0,2.21,99.8,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,6.67,0.0,0.0,26328.91,50484.75,66812.8,66812.6,4.14,0.0,0.0,1.381037227306827,0.47200000000000003,15.33,4.8,0.13,1.39,1.19,0.56,0,187416,3,160364,9383,0,2,3,10.8,9379.2,4.0,1158.0,1.34,1.36,0.030761000605302038,throughput_performance,redis
0.17,0.0,0.97,0.0,0.15,0.99,0.0,0.0,2.28,99.6,0.0,0.2,0.0,0.0,0.0,87.5,0.0,12.0,0.0,3.0,0.0,0.0,26395.53,50651.7,66978.8,66978.0,4.15,0.0,0.0,1.3754324981245312,0.479,15.37,4.78,0.14,1.39,1.17,0.56,1,187416,16,160687,9445,0,2,1,14.4,9443.8,2.0,1156.0,1.32,1.35,0.030761000605302038,throughput_performance,redis
0.17,0.0,0.98,0.01,0.15,0.95,0.0,0.0,2.25,99.81,0.0,2.6,0.0,0.04,0.0,53.57,0.0,13.85,0.0,6.31,0.16,0.01,26277.22,50440.96,66750.8,66748.6,4.13,0.0,0.2,1.399412381095274,0.47600000000000003,15.34,4.77,0.14,1.39,1.17,0.56,1,187416,34,159795,9404,0,2,1,16.2,9404.0,2.0,1156.0,1.29,1.35,0.030761000605302038,throughput_performance,redis
0.16,0.0,0.97,0.01,0.14,0.94,0.0,0.0,2.21,99.6,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,7.25,0.0,0.0,26437.66,50532.6,66913.6,66913.4,4.14,0.0,0.0,1.378247153788447,0.47700000000000004,15.32,4.78,0.13,1.39,1.18,0.56,1,187416,6,160737,9350,0,2,3,10.4,9353.0,3.0,1158.0,1.27,1.34,0.030761000605302038,throughput_performance,redis
0.18,0.0,0.95,0.01,0.14,0.98,0.0,0.0,2.25,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.08,0.0,26349.25,50505.4,66871.2,66869.4,4.14,0.0,0.0,1.37958688072018,0.473,15.3,4.8,0.13,1.39,1.18,0.56,1,187416,3,161354,9461,0,2,1,14.8,9456.6,2.0,1156.0,1.25,1.34,0.031493405381618746,throughput_performance,redis
0.15,0.0,1.0,0.01,0.14,0.96,0.0,0.0,2.25,99.8,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.67,0.0,0.0,26187.4,50336.21,66556.6,66555.8,4.12,0.0,0.0,1.3996704936234057,0.474,15.36,4.77,0.13,1.39,1.17,0.55,1,187416,3,160325,9449,0,2,2,15.8,9446.8,2.0,1156.0,1.23,1.33,0.031493405381618746,throughput_performance,redis
