cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
5.24,0.0,26.05,0.0,0.54,19.85,0.0,0.0,51.68,67.64617647058824,0.0,2.6,0.0,0.02,0.0,59.38,0.0,9.54,0.0,8.38,0.16,0.01,1191346.35,76140.16,1117037.8,1098134.4,97.6,0.0,0.0,41.6473905356339,0.312,33.04,14.24,0.79,1.77,2.21,0.69,0,2056,25,277142,119799,0,51,32,0.4,119884.0,32.0,1366.0,30.1,18.73,0.027356021176144014,throughput_performance,redis
5.16,0.0,25.97,0.01,0.56,19.76,0.0,0.0,51.45,66.42957142857142,0.0,1.6,0.0,0.01,0.0,33.33,0.0,5.0,0.0,10.0,0.16,0.0,1190605.96,76086.95,1116011.8,1097367.2,97.53,0.0,0.0,41.45032776594149,0.313,32.81,14.11,0.8,1.77,2.2,0.69,0,2056,8,294052,130125,0,51,31,1.0,130080.2,32.0,1366.0,30.25,18.95,0.02917975592122028,throughput_performance,redis
5.13,0.0,26.05,0.01,0.56,19.69,0.0,0.0,51.43,64.87402777777777,0.0,0.6,0.0,0.02,0.0,81.25,0.0,28.0,0.0,1.33,0.0,0.0,1189491.24,76013.37,1115529.4,1096305.8,97.44,0.0,0.0,41.27224241260315,0.312,32.26,13.89,0.79,1.77,2.2,0.69,0,2056,13,296834,127904,0,51,30,1.2,127862.6,31.0,1366.0,30.23,19.13,0.02917975592122028,throughput_performance,redis
5.3,0.0,25.76,0.0,0.55,19.63,0.0,0.0,51.24,68.37230769230769,0.0,1.6,0.0,0.02,0.0,60.0,0.0,11.0,0.0,5.88,0.24,0.0,1189411.99,75954.68,1127639.4,1095459.4,97.44,0.0,0.0,41.15842707876969,0.314,32.13,13.82,0.79,1.76,2.19,0.69,0,2056,22,298474,130996,0,51,28,1.2,130979.0,33.0,1366.0,30.29,19.33,0.02917975592122028,throughput_performance,redis
5.24,0.0,25.88,0.01,0.56,19.7,0.0,0.0,51.379999999999995,69.03279411764709,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.33,0.08,0.0,1190185.42,76024.55,1123717.2,1096467.2,97.5,0.0,0.0,41.36628141035259,0.312,32.22,13.88,0.79,1.77,2.21,0.69,0,2056,5,293730,124886,0,51,32,1.2,124854.6,35.0,1366.0,30.19,19.49,0.02917975592122028,throughput_performance,redis
5.23,0.0,25.92,0.0,0.55,19.71,0.0,0.0,51.410000000000004,66.08608695652174,0.0,1.2,0.0,0.02,0.0,71.43,0.0,16.0,0.0,5.33,0.0,0.0,1190960.12,76085.29,1121907.4,1097341.2,97.56,0.0,0.2,41.227060429107276,0.312,32.2,13.87,0.79,1.77,2.21,0.69,0,2056,18,293294,124918,0,51,29,1.2,124875.6,32.0,1366.0,30.25,19.68,0.02917975592122028,throughput_performance,redis
5.29,0.0,26.03,0.0,0.55,19.78,0.0,0.0,51.650000000000006,63.160675675675705,0.0,2.0,0.0,0.02,0.0,56.52,0.0,10.4,0.0,7.1,0.16,0.01,1190360.43,76058.4,1118937.0,1096955.4,97.51,0.0,0.0,41.49387503675919,0.311,32.38,13.96,0.78,1.77,2.22,0.69,0,2056,19,288111,119046,0,51,31,1.2,119009.0,35.0,1366.0,30.31,19.87,0.02917975592122028,throughput_performance,redis
5.33,0.0,26.31,0.01,0.53,20.08,0.0,0.0,52.25,65.89383561643841,0.0,3.0,0.0,0.02,0.0,40.0,0.0,6.93,0.0,6.8,0.32,0.01,1191718.39,76123.68,1124492.4,1097897.2,97.63,0.0,0.0,41.78211298424607,0.307,32.63,14.11,0.75,1.77,2.26,0.7,0,2056,23,267883,104249,0,52,32,1.2,104206.4,33.0,1366.0,30.45,20.07,0.02917975592122028,throughput_performance,redis
5.96,0.0,27.14,0.55,0.54,19.55,0.0,0.0,53.19,74.706875,3.2,20.8,0.01,8.17,0.0,46.39,4.0,402.19,21.0,32.53,3.92,0.24,1157493.25,73937.2,1094128.4,1066368.2,94.82,0.0,0.0,42.85420180645161,0.32,34.7,13.97,0.69,1.7,2.18,0.7,0,2056,8370,259113,82266,0,53,31,7.6,82246.0,33.0,1366.0,30.57,20.27,0.02917975592122028,throughput_performance,redis
5.12,0.0,25.95,0.0,0.54,19.78,0.0,0.0,51.39,65.62788732394367,0.0,0.6,0.0,0.04,0.0,94.34,0.0,69.33,0.0,9.67,0.0,0.0,1186271.61,75760.38,1123457.88,1092657.49,97.18,0.0,0.0,41.44877909077269,0.313,32.62,14.07,0.79,1.76,2.2,0.69,0,2056,46,292136,129070,0,51,35,1.2,129052.4,32.0,1366.0,30.53,20.43,0.02917975592122028,throughput_performance,redis
