CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.3,0.0,21.11,0.08,0.66,15.06,0.0,0.0,41.13,60.03305084745761,8.6,0.2,1.75,0.01,10.42,88.89,208.93,36.0,11.77,1.0,3.76,0.09,1109378.56,70858.61,1048760.0,1021961.0,90.88,0.0,0.0,35.50319387846962,0.381,24.56,10.19,0.9,1.29,1.59,0.61,0,0,0,461183,409026,0,41,30,18.6,408935.4,30.0,1167.0,7.05,2.98,0.02559307758923696,throughput_performance,redis
4.13,0.0,20.78,0.0,0.69,15.14,0.0,0.0,40.74,57.72000000000001,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,14.0,0.0,0.0,1108332.84,70782.02,1049645.6,1020856.2,90.79,0.0,0.0,35.58136510127532,0.38,24.95,10.34,0.9,1.3,1.6,0.61,0,0,8,483279,407362,0,41,33,9.0,407242.4,30.0,1167.0,8.97,3.45,0.02778155928332848,throughput_performance,redis
4.19,0.0,21.35,0.01,0.7,15.44,0.0,0.0,41.68,57.72634920634922,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.0,0.08,0.0,1116175.35,71307.71,1051711.4,1028438.0,91.44,0.0,0.0,36.18151360240061,0.376,25.35,10.52,0.89,1.31,1.63,0.61,0,0,3,492932,378990,0,41,27,17.8,378881.8,34.0,1167.0,10.81,3.92,0.02778155928332848,throughput_performance,redis
4.12,0.0,21.34,0.0,0.7,15.46,0.0,0.0,41.62000000000001,60.070677966101705,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.33,0.08,0.0,1114247.84,71180.95,1050764.2,1026609.8,91.28,0.0,0.2,36.246508795198785,0.376,25.51,10.56,0.88,1.31,1.64,0.62,0,0,3,499567,372260,0,42,34,15.8,372256.4,31.0,1167.0,12.35,4.36,0.02814630623234373,throughput_performance,redis
4.3,0.0,21.23,0.01,0.73,15.38,0.0,0.0,41.64,56.988064516129036,0.0,9.2,0.0,0.04,0.0,17.86,0.0,4.78,0.0,4.26,0.4,0.03,1114782.12,71205.79,1052937.4,1026966.4,91.32,0.0,0.0,36.489773707426856,0.376,25.92,10.72,0.88,1.31,1.64,0.61,0,0,44,524230,373152,0,41,31,9.8,372902.0,32.0,1169.0,13.68,4.76,0.028875800130374236,throughput_performance,redis
4.27,0.0,21.49,0.0,0.73,15.45,0.0,0.0,41.94,56.83545454545457,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.67,0.0,0.0,1114435.67,71191.22,1051357.2,1026758.0,91.29,0.0,0.0,36.52837996699175,0.375,26.19,10.85,0.88,1.31,1.64,0.62,1,0,6,526315,372209,0,42,29,15.8,372259.2,30.0,1169.0,14.99,5.18,0.028875800130374236,throughput_performance,redis
4.29,0.0,21.27,0.0,0.73,15.41,0.0,0.0,41.7,60.1479661016949,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,8.5,0.08,0.0,1115702.22,71271.05,1052072.4,1027909.4,91.4,0.0,0.0,36.68743873968492,0.375,26.32,10.88,0.88,1.31,1.64,0.62,2,0,26,525836,371103,0,41,34,16.0,371040.6,33.0,1169.0,16.35,5.63,0.028875800130374236,throughput_performance,redis
4.34,0.0,21.2,0.0,0.72,15.41,0.0,0.0,41.67,58.80803278688524,0.0,1.6,0.0,0.01,0.0,42.86,0.0,6.0,0.0,7.0,0.0,0.0,1116524.18,71330.37,1052008.8,1028764.8,91.47,0.0,0.0,36.90012346286572,0.375,26.35,10.91,0.88,1.31,1.64,0.61,3,0,10,525951,372625,0,41,29,9.0,372414.0,33.0,1169.0,17.77,6.1,0.028875800130374236,throughput_performance,redis
4.34,0.0,21.12,0.0,0.76,15.3,0.0,0.0,41.52,55.14492537313432,0.0,0.8,0.0,0.01,0.0,33.33,0.0,7.0,0.0,7.0,0.08,0.0,1115108.87,71238.1,1050354.6,1027434.0,91.35,0.0,0.0,36.69331387246812,0.377,26.18,10.85,0.88,1.31,1.62,0.61,1,0,5,530967,378983,0,41,29,16.2,378961.8,32.0,1169.0,18.59,6.46,0.028875800130374236,throughput_performance,redis
4.36,0.0,21.31,0.0,0.73,15.33,0.0,0.0,41.73,57.347936507936495,0.0,1.4,0.0,0.01,0.0,30.0,0.0,4.57,0.0,8.86,0.08,0.0,1115575.86,71265.25,1051794.2,1027825.8,91.39,0.0,0.2,36.985103939984995,0.376,26.65,11.02,0.88,1.31,1.63,0.61,1,0,6,523951,374722,0,41,31,15.8,374532.0,32.0,1168.0,19.18,6.79,0.028875800130374236,throughput_performance,redis
4.58,0.0,21.57,0.19,0.73,15.33,0.0,0.0,42.21,57.15030769230769,0.6,9.6,0.0,2.27,0.0,67.79,4.0,242.33,7.0,22.35,3.6,0.06,1115607.08,71273.36,1049957.8,1027942.0,91.39,0.0,0.0,37.47498922730683,0.38,27.09,11.0,0.86,1.3,1.61,0.61,0,0,2323,519286,363337,0,43,31,15.8,363413.0,29.0,1168.0,19.65,7.09,0.028875800130374236,throughput_performance,redis
4.35,0.0,21.06,0.03,0.74,15.25,0.0,0.0,41.39999999999999,57.14269841269842,0.0,6.8,0.0,0.06,0.0,50.72,0.0,9.53,0.0,19.5,0.24,0.02,1111449.52,71002.62,1048693.8,1024036.8,91.05,0.0,0.0,36.845231531882966,0.377,26.71,11.08,0.88,1.31,1.63,0.61,0,0,65,529575,379007,0,41,31,15.8,378997.6,30.0,1168.0,20.48,7.47,0.028875800130374236,throughput_performance,redis
4.39,0.0,21.36,0.03,0.72,15.34,0.0,0.0,41.81,59.077258064516116,0.0,5.8,0.0,0.04,0.0,35.56,0.0,6.34,0.0,21.97,0.24,0.03,1113654.14,71140.46,1049660.4,1026026.0,91.23,0.0,0.0,37.118117929482366,0.375,26.72,11.1,0.88,1.31,1.64,0.62,0,0,37,529251,372760,0,41,28,16.2,372657.8,30.0,1168.0,21.4,7.88,0.028875800130374236,throughput_performance,redis
4.44,0.0,21.4,0.02,0.73,15.41,0.0,0.0,41.98,59.52951612903225,0.0,2.6,0.0,0.02,0.0,40.91,0.0,7.38,0.0,34.46,0.08,0.0,1115189.68,71234.78,1051377.4,1027386.2,91.36,0.0,0.0,37.26697511177794,0.374,26.83,11.15,0.87,1.32,1.65,0.62,0,0,19,524525,365026,0,42,27,9.0,364876.6,29.0,1168.0,22.33,8.3,0.028875800130374236,throughput_performance,redis
4.39,0.0,21.31,0.04,0.75,15.36,0.0,0.0,41.81,59.41885245901639,0.0,3.6,0.0,0.02,0.0,40.0,0.0,6.44,0.0,23.67,0.16,0.01,1115355.15,71261.9,1050601.8,1027777.4,91.37,0.0,0.0,37.180372213053275,0.375,26.78,11.12,0.88,1.31,1.64,0.62,0,0,23,524734,367722,0,41,30,17.8,367699.4,34.0,1168.0,23.18,8.71,0.028875800130374236,throughput_performance,redis
4.43,0.0,21.27,0.01,0.74,15.28,0.0,0.0,41.72,60.91508474576272,0.0,0.8,0.0,0.01,0.0,60.0,0.0,9.0,0.0,9.75,0.08,0.0,1112678.41,71088.93,1047474.2,1025282.6,91.15,0.0,0.2,37.04153225506377,0.376,26.73,11.1,0.88,1.31,1.64,0.62,0,0,7,521680,367556,0,41,31,15.8,367567.6,25.0,1168.0,23.33,8.98,0.028875800130374236,throughput_performance,redis
4.44,0.0,21.03,0.0,0.75,15.31,0.0,0.0,41.53,56.54,0.0,1.8,0.0,0.02,0.0,52.63,0.0,8.89,0.0,8.89,0.16,0.01,1115488.44,71264.41,1050668.4,1027813.6,91.38,0.0,0.0,36.914700675168795,0.375,26.73,11.1,0.88,1.31,1.64,0.62,1,0,21,526045,372916,0,41,31,9.4,372770.0,28.0,1168.0,23.38,9.23,0.028875800130374236,throughput_performance,redis
4.42,0.0,21.26,0.0,0.73,15.33,0.0,0.0,41.74,57.83096774193546,0.0,2.0,0.0,0.02,0.0,52.38,0.0,8.4,0.0,5.8,0.16,0.01,1113360.8,71125.23,1048749.4,1025804.4,91.21,0.0,0.0,36.8989312288072,0.375,26.64,11.08,0.88,1.32,1.64,0.62,1,0,18,529412,372912,0,41,27,15.8,372761.2,32.0,1168.0,23.99,9.59,0.028875800130374236,throughput_performance,redis
4.43,0.0,21.39,0.01,0.72,15.34,0.0,0.0,41.88,57.11390624999999,0.0,2.4,0.0,0.02,0.0,47.83,0.0,10.0,0.0,7.08,0.24,0.01,1116714.91,71346.95,1051102.8,1029004.0,91.48,0.0,0.0,37.09483863765941,0.375,26.7,11.09,0.88,1.32,1.64,0.62,1,0,18,524195,368514,0,41,29,16.2,368506.6,33.0,1168.0,24.71,9.98,0.028875800130374236,throughput_performance,redis
4.38,0.0,21.12,0.01,0.74,15.39,0.0,0.0,41.63,58.83524590163935,0.0,2.4,0.0,0.02,0.0,45.45,0.0,8.0,0.0,6.67,0.16,0.01,1113693.53,71137.92,1050669.4,1025989.2,91.23,0.0,0.0,37.03607501875469,0.374,26.66,11.09,0.87,1.31,1.65,0.62,1,0,19,524461,368860,0,41,27,9.0,368819.4,30.0,1168.0,25.06,10.29,0.028875800130374236,throughput_performance,redis
4.46,0.05,21.57,0.19,0.73,15.44,0.0,0.0,42.25,60.39508474576271,109.0,0.6,3.54,0.0,0.37,40.0,33.22,5.33,4.09,7.0,18.4,0.43,1116806.55,71350.35,1052093.0,1029053.2,91.49,0.0,0.0,37.31911384246062,0.374,26.89,11.18,0.88,1.32,1.65,0.62,1,0,3,519975,361784,0,42,32,16.4,361671.0,32.0,1169.0,25.29,10.59,0.028875800130374236,throughput_performance,redis
4.54,0.01,21.49,0.04,0.73,15.33,0.0,0.0,42.1,59.67761904761907,0.8,5.8,0.2,0.46,0.0,47.27,252.0,82.07,18.25,12.38,1.76,0.03,1117144.48,71369.11,1051530.2,1029323.6,91.52,0.0,0.2,37.410497968492116,0.374,27.12,11.32,0.88,1.31,1.65,0.62,1,0,484,521727,361763,0,43,25,16.0,361674.6,32.0,1168.0,25.91,10.96,0.028875800130374236,throughput_performance,redis
5.0,0.0,21.79,0.29,0.71,15.41,0.0,0.0,42.91,59.227936507936505,0.0,16.4,0.0,4.24,0.0,57.95,0.0,264.88,0.0,25.13,3.52,0.12,1116236.49,71316.91,1050787.0,1028570.8,91.44,0.0,0.0,38.09212399099775,0.381,27.77,11.18,0.84,1.29,1.61,0.62,0,0,4335,507149,343275,0,43,30,15.8,343202.2,30.0,1168.0,26.48,11.33,0.028875800130374236,throughput_performance,redis
4.47,0.0,21.45,0.0,0.71,15.35,0.0,0.0,41.98,58.1356060606061,0.0,1.2,0.0,0.03,0.0,83.78,0.0,24.0,0.0,4.5,0.0,0.0,1113607.86,71143.57,1049668.4,1026069.0,91.23,0.0,0.0,37.3850062835709,0.373,27.28,11.4,0.88,1.31,1.65,0.62,0,0,29,519360,357696,0,42,34,15.8,357624.6,33.0,1168.0,26.6,11.6,0.028875800130374236,throughput_performance,redis
4.45,0.0,21.42,0.0,0.72,15.29,0.0,0.0,41.88,57.177968749999984,0.0,10.2,0.0,0.05,0.0,31.08,0.0,5.33,0.0,5.27,0.4,0.06,1113095.49,71107.41,1048857.4,1025549.2,91.18,0.0,0.0,37.308482064516134,0.374,27.27,11.37,0.88,1.31,1.65,0.62,1,0,63,523243,359539,0,41,29,15.6,359491.6,31.0,1173.0,27.11,11.96,0.028875800130374236,throughput_performance,redis
4.56,0.0,21.41,0.01,0.73,15.32,0.0,0.0,42.02,59.506825396825406,0.0,3.0,0.0,0.02,0.0,44.44,0.0,8.27,0.0,6.2,0.24,0.01,1114372.79,71192.03,1050171.2,1026769.8,91.29,0.0,0.0,37.355138976744186,0.373,27.35,11.41,0.88,1.31,1.65,0.62,1,0,23,516116,357386,0,42,27,9.6,357314.4,26.0,1168.0,27.67,12.33,0.028875800130374236,throughput_performance,redis
4.63,0.0,21.34,0.01,0.71,15.35,0.0,0.0,42.03,57.7063076923077,0.0,3.2,0.0,0.02,0.0,27.27,0.0,6.5,0.0,6.56,0.32,0.01,1114017.56,71165.22,1049710.4,1026383.0,91.26,0.0,0.0,37.38517835858964,0.373,27.31,11.42,0.88,1.31,1.65,0.62,1,0,18,518031,357877,0,42,32,17.8,357840.2,31.0,1168.0,27.45,12.54,0.028875800130374236,throughput_performance,redis
4.52,0.0,20.95,0.01,0.73,15.17,0.0,0.0,41.37,59.590655737704886,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.0,0.0,1106785.1,70703.19,1043790.82,1019719.36,90.67,0.0,0.2,37.099447789947476,0.375,27.2,11.34,0.88,1.32,1.64,0.61,1,0,3,524756,367781,0,42,32,15.2,367712.2,34.0,1173.0,27.74,12.84,0.028875800130374236,throughput_performance,redis
4.63,0.0,21.31,0.01,0.74,15.27,0.0,0.0,41.95,58.695873015873005,0.0,2.4,0.0,0.02,0.0,52.0,0.0,7.67,0.0,7.08,0.16,0.01,1111826.34,71033.04,1047618.0,1024476.6,91.08,0.0,0.0,37.33622301575394,0.373,27.41,11.43,0.88,1.32,1.65,0.62,1,0,22,518360,361225,0,42,36,10.4,361183.8,29.0,1170.0,27.76,13.09,0.028875800130374236,throughput_performance,redis
4.74,0.0,21.53,0.01,0.72,15.4,0.0,0.0,42.39,58.17876923076923,0.0,2.4,0.0,0.03,0.0,55.56,0.0,11.67,0.0,6.25,0.16,0.01,1116278.39,71307.21,1052010.8,1028430.2,91.45,0.0,0.0,37.591275066766684,0.371,27.48,11.47,0.87,1.32,1.66,0.62,1,0,22,510748,351015,0,43,34,16.0,350951.2,34.0,1170.0,27.7,13.33,0.028875800130374236,throughput_performance,redis
4.57,0.0,21.39,0.01,0.71,15.41,0.0,0.0,42.08,55.51803030303031,0.0,3.4,0.0,0.02,0.0,39.29,0.0,6.35,0.0,7.76,0.16,0.02,1118552.84,71464.67,1053139.6,1030700.6,91.63,0.0,0.0,37.391852411102775,0.373,27.31,11.41,0.88,1.32,1.66,0.62,1,0,22,510086,354740,0,43,31,14.8,354681.2,37.0,1175.0,27.96,13.62,0.028875800130374236,throughput_performance,redis
4.7,0.0,21.34,0.01,0.72,15.37,0.0,0.0,42.13,57.77953125000002,0.0,2.4,0.0,0.02,0.0,50.0,0.0,8.0,0.0,7.0,0.16,0.01,1115764.56,71285.65,1049705.8,1028120.0,91.4,0.0,0.0,37.33875497674417,0.373,27.25,11.41,0.88,1.32,1.65,0.62,0,0,19,516706,356055,0,42,34,10.4,356020.8,32.0,1170.0,28.12,13.89,0.028875800130374236,throughput_performance,redis
4.56,0.0,21.4,0.01,0.72,15.31,0.0,0.0,41.99,59.998095238095246,0.0,2.8,0.0,0.01,0.0,36.36,0.0,5.43,0.0,6.36,0.16,0.01,1113737.34,71152.51,1049006.2,1026199.6,91.24,0.0,0.0,37.35275450862716,0.37200000000000005,27.23,11.4,0.88,1.32,1.66,0.62,0,0,19,516863,357704,0,42,30,16.2,357603.0,31.0,1170.0,28.19,14.14,0.028875800130374236,throughput_performance,redis
4.59,0.0,21.38,0.01,0.74,15.34,0.0,0.0,42.05,56.0881818181818,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,7.67,0.0,0.0,1113630.6,71142.77,1048998.4,1026059.2,91.23,0.0,0.2,37.34547819354839,0.373,27.39,11.44,0.88,1.32,1.65,0.62,0,0,3,514036,356583,0,42,30,13.4,356530.6,36.0,1170.0,28.58,14.45,0.028875800130374236,throughput_performance,redis
5.17,0.0,22.03,0.35,0.7,15.34,0.0,0.0,43.24,58.83476923076921,0.0,17.0,0.0,6.26,0.0,53.8,0.0,376.8,0.0,30.39,4.16,0.16,1114374.39,71198.8,1047984.4,1026868.4,91.29,0.0,0.0,38.60621040060015,0.385,28.3,11.19,0.82,1.29,1.6,0.62,0,0,6402,496505,326546,0,43,31,18.2,326562.6,32.0,1170.0,29.97,14.98,0.028875800130374236,throughput_performance,redis
4.59,0.0,21.21,0.01,0.71,15.25,0.0,0.0,41.76000000000001,55.53835820895522,0.0,1.4,0.0,0.03,0.0,80.56,0.0,19.43,0.0,9.29,0.16,0.0,1112779.31,71091.69,1048107.8,1025322.4,91.16,0.0,0.0,37.295859132783185,0.373,27.33,11.44,0.88,1.32,1.66,0.62,0,0,27,516207,358225,0,42,34,15.8,358123.8,34.0,1170.0,30.22,15.28,0.028875800130374236,throughput_performance,redis
4.81,0.0,21.31,0.0,0.74,15.37,0.0,0.0,42.23,58.51515625000002,0.0,0.2,0.0,0.0,0.0,66.67,0.0,4.0,0.0,1.0,0.0,0.0,1114794.29,71226.84,1049219.0,1027269.8,91.32,0.0,0.0,37.562649158289574,0.37200000000000005,27.51,11.49,0.88,1.32,1.66,0.62,0,0,4,514337,352031,0,42,36,13.8,351987.0,28.0,1171.0,30.44,15.57,0.028875800130374236,throughput_performance,redis
4.61,0.0,21.47,0.01,0.71,15.4,0.0,0.0,42.19,56.96569230769231,0.0,10.6,0.0,0.06,0.0,29.33,0.0,5.58,0.0,4.87,0.4,0.04,1115737.09,71274.54,1050791.2,1027959.6,91.4,0.0,0.0,37.45958851312828,0.371,27.39,11.46,0.88,1.32,1.66,0.62,1,0,64,514837,351070,0,43,25,11.4,351022.6,35.0,1170.0,30.33,15.8,0.029240547079389487,throughput_performance,redis
