cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.77,0.0,3.06,0.0,0.22,1.96,0.0,0.0,6.01,100.0025,0.0,0.4,0.0,0.01,0.0,83.33,0.0,24.0,0.0,2.0,0.08,0.0,345982.9,22134.13,319211.4,319230.2,28.34,0.0,0.0,3.0804255303825956,0.788,12.42,1.25,0.73,1.37,0.55,0.43,0,0,1,317208,18765,0,6,6,2.4,18754.2,4.0,1138.0,1.05,1.57,0.012766147095878208,throughput_performance,redis
0.79,0.0,2.94,0.01,0.22,1.97,0.0,0.0,5.92,100.0,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,13.0,0.0,0.0,344817.54,22058.12,318136.6,318134.0,28.25,0.0,0.0,3.072559243810953,0.783,12.45,1.26,0.73,1.38,0.55,0.43,1,0,12,316671,18762,0,6,5,1.2,18759.6,5.0,1138.0,1.37,1.63,0.014225135335407148,throughput_performance,redis
0.81,0.0,2.94,0.01,0.21,1.94,0.0,0.0,5.9,100.0,0.0,1.2,0.0,0.01,0.0,57.14,0.0,8.0,0.0,8.67,0.08,0.0,344210.75,22019.02,317573.8,317570.2,28.2,0.0,0.0,3.073776060015004,0.782,12.44,1.26,0.73,1.38,0.55,0.43,2,0,10,315038,18599,0,6,7,1.2,18589.0,5.0,1138.0,1.74,1.7,0.014225135335407148,throughput_performance,redis
0.85,0.0,2.89,0.01,0.2,1.95,0.0,0.0,5.890000000000001,100.0,0.0,3.6,0.0,0.02,0.0,25.0,0.0,5.11,0.0,3.5,0.24,0.01,343722.78,21987.29,317123.2,317112.4,28.16,0.0,0.0,3.0718340705176295,0.781,12.45,1.26,0.73,1.38,0.55,0.43,2,0,18,316705,18750,0,6,4,1.2,18746.4,5.0,1138.0,2.0,1.76,0.014225135335407148,throughput_performance,redis
0.84,0.0,2.91,0.01,0.23,1.95,0.0,0.0,5.93,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,10.67,0.08,0.0,343340.72,21965.09,316776.8,316790.4,28.13,0.0,0.2,3.0758778334583643,0.781,12.48,1.27,0.73,1.38,0.55,0.43,1,0,4,318061,18852,0,6,5,1.2,18842.6,4.0,1137.0,2.16,1.79,0.014225135335407148,throughput_performance,redis
0.82,0.0,2.93,0.0,0.2,1.95,0.0,0.0,5.9,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.67,0.08,0.0,343237.59,21957.48,316676.6,316682.6,28.12,0.0,0.0,3.074673308327082,0.781,12.5,1.27,0.73,1.38,0.55,0.43,1,0,3,316370,18726,0,6,4,1.2,18724.4,4.0,1137.0,2.31,1.83,0.014225135335407148,throughput_performance,redis
0.82,0.0,2.93,0.0,0.22,1.95,0.0,0.0,5.92,100.0,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,6.25,0.0,0.0,343434.79,21969.83,316858.0,316860.6,28.13,0.0,0.0,3.077672330082521,0.781,12.47,1.27,0.73,1.38,0.55,0.43,1,0,26,316260,18665,0,6,5,1.2,18662.0,4.0,1137.0,2.52,1.88,0.014225135335407148,throughput_performance,redis
0.85,0.0,2.87,0.01,0.21,1.96,0.0,0.0,5.890000000000001,100.0,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,7.5,0.08,0.0,343739.79,21988.73,317139.8,317133.2,28.16,0.0,0.0,3.0815686001500375,0.781,12.51,1.27,0.73,1.38,0.55,0.43,1,0,6,316184,18689,0,6,4,1.2,18692.0,4.0,1137.0,2.72,1.94,0.014225135335407148,throughput_performance,redis
0.8,0.0,2.94,0.0,0.22,1.94,0.0,0.0,5.9,100.0,0.0,1.6,0.0,0.01,0.0,27.27,0.0,6.0,0.0,6.0,0.0,0.0,343188.95,21953.74,316631.2,316628.2,28.11,0.0,0.0,3.0878493383345837,0.78,12.54,1.28,0.73,1.38,0.55,0.43,1,0,8,317453,18796,0,6,5,1.2,18791.8,5.0,1137.0,2.99,2.0,0.014225135335407148,throughput_performance,redis
0.95,0.0,2.81,0.03,0.21,1.87,0.0,0.0,5.84,100.0,0.0,4.2,0.0,1.26,0.0,57.14,0.0,308.0,0.0,11.48,0.4,0.01,330271.97,21127.68,304714.8,304714.8,27.06,0.0,0.0,3.060169842460615,0.794,13.04,1.28,0.71,1.35,0.54,0.43,0,0,1290,305448,18157,0,6,5,2.0,18154.6,4.0,1137.0,3.07,2.04,0.014225135335407148,throughput_performance,redis
