CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.39,0.0,4.02,0.02,0.26,2.85,0.0,0.0,8.52,73.92833333333333,0.0,1.8,0.0,0.02,0.0,65.38,0.0,11.56,0.0,15.33,0.0,0.0,299526.82,19168.39,276355.4,276462.2,24.54,0.0,0.0,3.2662050952738184,0.732,31.24,2.29,0.42,0.94,0.71,0.52,0,0,21,384659,23651,0,8,4,15.4,23620.8,4.0,1175.0,0.8,0.97,0.012401400035995977,throughput_performance,redis
0.73,0.0,3.59,0.02,0.51,2.88,0.0,0.0,7.71,73.35666666666667,0.0,5.0,0.0,0.03,0.0,26.47,0.0,5.28,0.0,10.28,0.32,0.03,296925.28,18994.05,273948.8,273942.4,24.32,0.0,0.0,3.0853296684171045,0.614,30.6,2.87,0.51,1.13,0.89,0.55,0,0,25,395234,23948,0,8,5,15.8,23954.6,6.0,1149.0,1.06,1.02,0.016413617694700556,throughput_performance,redis
0.76,0.0,3.69,0.02,0.44,2.9,0.0,0.0,7.790000000000001,87.27600000000001,0.2,2.6,0.0,0.01,0.0,27.78,4.0,4.92,20.0,10.69,0.56,0.02,313480.45,20054.34,289226.2,289226.4,25.68,0.0,0.0,2.9740585866466622,0.608,24.09,2.38,0.54,1.16,0.88,0.54,0,0,12,375430,22718,0,8,4,21.4,22714.2,4.0,1173.0,1.29,1.07,0.014954629455171618,throughput_performance,redis
0.8,0.0,3.72,0.02,0.47,2.89,0.0,0.0,7.880000000000001,80.214,0.0,1.6,0.0,0.01,0.0,38.46,0.0,4.5,0.0,11.12,0.08,0.0,304786.51,19506.86,281208.6,281211.4,24.97,0.0,0.2,3.0944250622655662,0.62,27.81,2.57,0.5,1.09,0.87,0.54,1,0,12,382189,23417,0,8,5,16.0,23414.2,4.0,1172.0,1.51,1.12,0.01750785887434726,throughput_performance,redis
0.77,0.0,3.73,0.01,0.45,2.88,0.0,0.0,7.83,80.1,0.0,1.8,0.0,0.01,0.0,30.77,0.0,5.33,0.0,8.0,0.0,0.0,301249.59,19275.07,277942.0,277934.8,24.68,0.0,0.0,3.112431483870968,0.615,29.45,2.74,0.5,1.11,0.88,0.54,1,0,10,390642,23718,0,8,5,21.4,23712.8,4.0,1174.0,1.79,1.18,0.01750785887434726,throughput_performance,redis
0.8,0.0,3.63,0.01,0.47,2.73,0.0,0.0,7.629999999999999,78.404,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.67,0.0,0.0,296597.67,18973.57,273645.0,273647.0,24.3,0.0,0.0,2.913279231807952,0.624,24.69,2.28,0.52,1.13,0.86,0.54,1,0,2,368066,22272,0,8,5,21.0,22271.0,5.0,1172.0,2.13,1.26,0.01750785887434726,throughput_performance,redis
0.86,0.0,3.86,0.04,0.4,2.78,0.0,0.0,7.9,57.908571428571435,1.2,3.8,0.17,0.05,0.0,64.15,143.33,13.68,6.17,13.0,0.8,0.01,290759.15,18599.91,268258.6,268257.4,23.82,0.0,0.0,3.0600960960240062,0.578,29.56,2.83,0.52,1.16,0.94,0.54,2,0,53,392465,24953,0,8,5,56.6,24948.2,5.0,1150.0,2.28,1.31,0.017143111814465026,throughput_performance,redis
0.65,0.0,3.6,0.02,0.24,2.96,0.0,0.0,7.45,98.9025,0.0,5.8,0.0,0.05,0.0,50.0,0.0,8.41,0.0,5.76,0.24,0.0,272382.51,17424.92,251309.6,251310.2,22.31,0.0,0.0,2.679834886721681,0.525,27.68,2.82,0.54,1.18,1.11,0.58,1,0,50,399864,24249,0,8,4,10.0,24239.2,4.0,1131.0,2.58,1.39,0.014954629455171618,throughput_performance,redis
0.61,0.0,3.56,0.01,0.23,2.94,0.0,0.0,7.34,100.0,0.0,1.2,0.0,0.01,0.0,64.71,0.0,11.33,0.0,9.33,0.0,0.0,271573.37,17372.72,250556.6,250558.6,22.25,0.0,0.0,2.649451354838709,0.524,27.69,2.83,0.54,1.19,1.12,0.58,1,0,12,403081,24096,0,8,6,1.2,24091.0,4.0,1131.0,2.69,1.43,0.014954629455171618,throughput_performance,redis
0.6,0.0,3.58,0.01,0.25,2.96,0.0,0.0,7.39,100.0,0.0,1.4,0.0,0.01,0.0,12.5,0.0,4.0,0.0,6.0,0.08,0.0,271374.39,17359.72,250374.0,250371.2,22.23,0.0,0.2,2.6525364141035257,0.524,27.65,2.83,0.54,1.21,1.11,0.58,1,0,6,402969,24084,0,8,4,1.2,24080.8,4.0,1131.0,2.8,1.47,0.014954629455171618,throughput_performance,redis
