cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.82,0.0,3.07,0.0,0.23,2.16,0.0,0.0,6.28,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,338971.94,21684.43,312743.8,312744.4,27.77,0.0,0.0,3.1326994628657157,0.747,21.34,2.1,0.72,1.46,0.61,0.46,0,0,0,349493,20871,0,6,4,2.2,20865.0,5.0,1238.0,1.84,2.31,0.01604887063481832,throughput_performance,redis
0.83,0.0,2.98,0.01,0.22,2.17,0.0,0.0,6.2,100.0,0.0,1.8,0.0,0.02,0.0,62.5,0.0,13.33,0.0,3.56,0.0,0.0,338439.79,21648.43,312256.2,312223.4,27.72,0.0,0.2,3.123395120780195,0.746,21.37,2.1,0.72,1.46,0.61,0.46,1,0,28,354404,21111,0,6,7,1.2,21110.0,4.0,1238.0,2.09,2.36,0.01750785887434726,throughput_performance,redis
0.81,0.0,3.0,0.01,0.22,2.15,0.0,0.0,6.18,100.0,0.0,1.2,0.0,0.02,0.0,66.67,0.0,13.33,0.0,6.33,0.08,0.0,337934.68,21620.19,311783.8,311818.0,27.68,0.0,0.0,3.125632096024006,0.746,21.36,2.11,0.72,1.46,0.61,0.46,3,0,16,353073,21095,0,6,4,1.2,21081.2,5.0,1238.0,2.24,2.38,0.01750785887434726,throughput_performance,redis
0.82,0.0,2.98,0.01,0.23,2.15,0.0,0.0,6.18,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,10.67,0.08,0.0,337804.51,21609.31,311661.2,311661.0,27.67,0.0,0.0,3.1231738814703673,0.745,21.34,2.1,0.72,1.46,0.61,0.46,1,0,16,354601,21163,0,6,5,1.2,21154.4,6.0,1238.0,2.46,2.43,0.01750785887434726,throughput_performance,redis
0.85,0.0,2.96,0.01,0.22,2.16,0.0,0.0,6.19,100.0,0.0,1.4,0.0,0.01,0.0,63.16,0.0,10.86,0.0,13.14,0.08,0.0,337559.5,21594.55,311440.6,311447.4,27.65,0.0,0.0,3.127229935483871,0.744,21.33,2.1,0.72,1.46,0.61,0.46,3,0,4,355812,21269,0,6,7,4.2,21270.8,5.0,1238.0,2.67,2.47,0.01750785887434726,throughput_performance,redis
0.85,0.0,3.0,0.01,0.23,2.16,0.0,0.0,6.24,100.0,0.0,2.2,0.0,0.02,0.0,57.69,0.0,10.55,0.0,5.64,0.08,0.0,338394.73,21651.46,312214.4,312208.6,27.72,0.0,0.0,3.1460721500375097,0.745,21.41,2.1,0.72,1.46,0.61,0.46,1,0,24,356754,21354,0,6,4,1.6,21351.4,4.0,1240.0,2.77,2.5,0.01750785887434726,throughput_performance,redis
0.82,0.0,3.01,0.01,0.23,2.17,0.0,0.0,6.2299999999999995,100.0,0.0,2.0,0.0,0.02,0.0,56.52,0.0,8.0,0.0,4.1,0.08,0.0,337863.2,21615.78,311721.6,311722.8,27.68,0.0,0.0,3.1450765731432857,0.744,21.29,2.1,0.72,1.46,0.61,0.46,1,0,18,356346,21376,0,6,4,1.2,21371.8,4.0,1240.0,2.95,2.54,0.01750785887434726,throughput_performance,redis
0.78,0.0,3.08,0.01,0.23,2.15,0.0,0.0,6.24,99.9975,0.0,2.4,0.0,0.02,0.0,53.85,0.0,9.0,0.0,6.58,0.16,0.01,337255.55,21577.63,311168.6,311170.6,27.63,0.0,0.2,3.1517137524381096,0.743,21.24,2.11,0.72,1.46,0.62,0.46,1,0,22,350582,21030,0,6,6,1.2,21029.0,5.0,1240.0,3.04,2.56,0.01750785887434726,throughput_performance,redis
0.96,0.0,2.89,0.03,0.23,2.06,0.0,0.0,6.140000000000001,100.0,0.0,3.8,0.0,1.49,0.0,44.12,0.0,400.21,0.0,17.32,0.88,0.02,321637.76,20573.39,296751.6,296688.8,26.35,0.0,0.0,3.1197815453863464,0.76,21.56,2.05,0.69,1.42,0.6,0.46,0,0,1514,343887,20683,0,6,9,2.0,20683.2,5.0,1239.0,3.51,2.67,0.01750785887434726,throughput_performance,redis
0.81,0.0,3.04,0.01,0.24,2.16,0.0,0.0,6.25,100.0,0.0,2.0,0.0,0.03,0.0,68.75,0.0,14.0,0.0,6.5,0.08,0.0,338018.55,21629.41,311868.8,311908.8,27.69,0.0,0.0,3.2252881140285075,0.744,21.25,2.12,0.72,1.45,0.61,0.46,0,0,28,352982,21212,0,6,8,1.2,21205.4,4.0,1239.0,3.63,2.71,0.01750785887434726,throughput_performance,redis
