CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.74,0.0,3.45,0.01,0.24,2.77,0.0,0.0,7.200000000000001,78.85799999999998,0.0,2.4,0.0,0.03,0.0,66.67,0.0,11.33,0.0,6.58,0.24,0.01,287663.26,18404.89,265406.8,265409.4,23.57,0.0,0.0,2.8051546646661665,0.5760000000000001,23.46,2.46,0.55,1.39,0.96,0.55,0,0,27,412180,25254,0,8,4,1.2,25242.6,5.0,1240.0,3.58,1.95,0.015684123574936086,throughput_performance,redis
0.72,0.0,3.41,0.0,0.25,2.83,0.0,0.0,7.21,93.2775,0.0,0.6,0.0,0.01,0.0,72.73,0.0,13.33,0.0,8.67,0.0,0.0,292689.89,18726.21,270046.2,270048.4,23.98,0.0,0.0,2.8254840990247563,0.578,23.17,2.44,0.56,1.4,0.95,0.55,0,0,8,415311,25449,0,7,5,1.2,25446.2,6.0,1240.0,3.7,2.0,0.017143111814465026,throughput_performance,redis
0.71,0.0,3.45,0.01,0.25,2.9,0.0,0.0,7.31,64.69500000000001,0.0,1.2,0.0,0.02,0.0,66.67,0.0,13.33,0.0,3.5,0.08,0.0,289747.12,18537.7,267330.2,267331.8,23.74,0.0,0.2,2.84877568192048,0.57,25.52,2.66,0.54,1.39,0.97,0.55,1,0,20,446074,27353,0,8,5,1.2,27354.2,5.0,1240.0,3.72,2.03,0.017143111814465026,throughput_performance,redis
0.71,0.0,3.4,0.0,0.26,2.78,0.0,0.0,7.149999999999999,77.09,0.0,1.4,0.0,0.02,0.0,63.16,0.0,12.57,0.0,6.71,0.16,0.0,289086.7,18495.66,266718.0,266724.6,23.68,0.0,0.0,2.8088788597149295,0.58,23.5,2.45,0.55,1.39,0.94,0.55,2,0,18,429974,26267,0,7,5,1.2,26249.6,6.0,1240.0,3.82,2.08,0.017143111814465026,throughput_performance,redis
0.8,0.0,3.49,0.05,0.27,2.9,0.0,0.0,7.460000000000001,98.255,0.0,4.2,0.0,0.72,0.0,52.27,0.0,175.05,0.0,12.14,1.12,0.01,279468.27,17881.65,257855.4,257855.8,22.89,0.0,0.0,3.2087320390097527,0.56,35.33,3.57,0.51,1.35,1.0,0.56,0,0,731,469988,28767,0,8,4,2.0,28758.2,5.0,1240.0,3.84,2.11,0.017143111814465026,throughput_performance,redis
0.74,0.0,3.48,0.01,0.29,2.96,0.0,0.0,7.47,100.0,0.0,2.8,0.0,0.03,0.0,58.82,0.0,10.86,0.0,5.79,0.16,0.0,280200.93,17926.85,258521.4,258522.0,22.95,0.0,0.0,3.1997103915978995,0.55,35.07,3.64,0.51,1.37,1.02,0.56,0,0,30,480961,29344,0,8,4,1.2,29333.4,7.0,1240.0,3.85,2.15,0.017143111814465026,throughput_performance,redis
0.7,0.0,3.52,0.0,0.25,2.92,0.0,0.0,7.39,100.0,0.0,4.0,0.0,0.02,0.0,35.48,0.0,5.2,0.0,3.75,0.24,0.01,280645.47,17955.22,258931.0,258934.6,22.99,0.0,0.0,3.2002143255813955,0.55,34.94,3.63,0.51,1.38,1.02,0.56,1,0,28,480876,29278,0,8,4,1.2,29280.4,5.0,1240.0,3.86,2.18,0.017143111814465026,throughput_performance,redis
0.73,0.0,3.49,0.01,0.28,2.94,0.0,0.0,7.440000000000001,100.0,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,8.33,0.08,0.0,281004.21,17978.15,259261.2,259265.0,23.02,0.0,0.0,3.2004601470367597,0.55,34.88,3.62,0.51,1.37,1.02,0.56,1,0,3,485421,29606,0,8,5,1.2,29598.2,5.0,1240.0,3.88,2.21,0.017143111814465026,throughput_performance,redis
0.69,0.0,3.54,0.0,0.28,2.95,0.0,0.0,7.460000000000001,100.0,0.0,2.8,0.0,0.02,0.0,30.0,0.0,7.43,0.0,3.21,0.08,0.0,280945.26,17974.85,259209.6,259209.4,23.02,0.0,0.2,3.205733017254313,0.551,34.9,3.62,0.52,1.36,1.02,0.56,1,0,25,486979,29708,0,8,6,1.2,29699.8,5.0,1240.0,3.89,2.24,0.017143111814465026,throughput_performance,redis
0.68,0.0,3.55,0.0,0.27,2.95,0.0,0.0,7.45,100.0,0.0,1.6,0.0,0.02,0.0,63.64,0.0,12.0,0.0,3.75,0.08,0.0,281345.21,18000.48,259577.0,259581.6,23.05,0.0,0.0,3.2108461035258813,0.55,34.82,3.63,0.52,1.37,1.02,0.56,1,0,19,485088,29688,0,8,6,1.2,29698.6,5.0,1240.0,3.89,2.27,0.017143111814465026,throughput_performance,redis
0.68,0.0,3.55,0.0,0.28,2.94,0.0,0.0,7.449999999999998,100.0,0.0,1.8,0.0,0.02,0.0,60.87,0.0,11.56,0.0,4.44,0.0,0.0,281444.24,18007.11,259675.4,259680.2,23.06,0.0,0.0,3.2138819984996245,0.55,34.85,3.63,0.51,1.37,1.02,0.56,1,0,19,483620,29594,0,8,6,1.2,29587.4,5.0,1240.0,3.9,2.29,0.017143111814465026,throughput_performance,redis
0.71,0.0,3.51,0.0,0.28,2.97,0.0,0.0,7.4700000000000015,100.0,0.0,1.6,0.0,0.02,0.0,60.0,0.0,11.0,0.0,5.75,0.08,0.0,281535.55,18012.4,259753.0,259753.4,23.06,0.0,0.0,3.214066364591148,0.55,34.8,3.62,0.52,1.37,1.02,0.56,1,0,19,485505,29684,0,8,6,1.2,29682.2,5.0,1240.0,4.07,2.36,0.017143111814465026,throughput_performance,redis
0.7,0.0,3.54,0.0,0.3,2.97,0.0,0.0,7.51,100.0,0.0,0.6,0.0,0.01,0.0,70.0,0.0,12.0,0.0,9.67,0.0,0.0,281869.65,18034.34,260061.8,260067.2,23.09,0.0,0.0,3.2252635318829705,0.55,34.78,3.62,0.52,1.36,1.02,0.56,1,0,3,488636,30096,0,8,6,1.2,30090.6,5.0,1240.0,4.15,2.4,0.017143111814465026,throughput_performance,redis
0.67,0.0,3.56,0.01,0.27,2.96,0.0,0.0,7.46,100.0025,0.0,2.2,0.0,0.02,0.0,42.11,0.0,8.36,0.0,3.91,0.0,0.0,281782.0,18028.27,259983.0,259982.6,23.08,0.0,0.0,3.21888446511628,0.55,34.83,3.63,0.52,1.37,1.02,0.56,1,0,22,488264,29851,0,8,6,1.2,29847.2,5.0,1240.0,4.13,2.43,0.017143111814465026,throughput_performance,redis
0.69,0.0,3.55,0.01,0.28,2.96,0.0,0.0,7.48,100.0,0.0,2.4,0.0,0.02,0.0,55.56,0.0,9.0,0.0,6.75,0.08,0.01,282112.83,18049.46,260287.0,260289.2,23.11,0.0,0.2,3.2079945746436604,0.551,34.86,3.61,0.52,1.37,1.02,0.56,1,0,22,491288,29944,0,8,5,1.2,29946.0,5.0,1240.0,4.12,2.45,0.017143111814465026,throughput_performance,redis
