cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.38,0.0,4.98,0.0,0.32,4.16,0.0,0.0,10.84,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,480947.83,30769.17,443734.8,443737.4,39.4,0.0,0.0,6.217058136534134,0.624,39.84,4.29,0.55,1.32,0.84,0.53,2,0,8,638753,37975,0,10,6,0.2,37954.0,7.0,1116.0,5.08,5.1,0.014225135335407148,throughput_performance,redis
1.36,0.0,4.94,0.0,0.35,4.17,0.0,0.0,10.82,100.0,0.0,0.6,0.0,0.01,0.0,25.0,0.0,14.67,0.0,7.67,0.08,0.0,481198.17,30786.52,443965.4,443979.6,39.42,0.0,0.0,6.225379192798199,0.624,39.86,4.3,0.55,1.32,0.84,0.53,1,0,3,644193,38389,0,10,6,1.2,38375.2,7.0,1116.0,5.16,5.11,0.01604887063481832,throughput_performance,redis
1.34,0.0,4.94,0.0,0.32,4.17,0.0,0.0,10.77,100.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.33,0.08,0.0,481452.45,30800.07,444198.2,444189.0,39.44,0.0,0.0,6.236834472618155,0.624,39.87,4.3,0.55,1.32,0.84,0.53,1,0,2,646254,38412,0,10,6,1.2,38409.8,7.0,1116.0,5.23,5.13,0.01604887063481832,throughput_performance,redis
1.51,0.0,4.78,0.01,0.34,4.02,0.0,0.0,10.649999999999999,100.00166666666667,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,10.33,0.0,0.0,463097.55,29627.04,427263.0,427269.2,37.94,0.0,0.0,6.06527567891973,0.644,40.06,4.11,0.53,1.29,0.81,0.52,1,0,11,626392,37309,0,11,14,2.4,37301.0,13.0,1122.0,5.37,5.16,0.01604887063481832,throughput_performance,redis
1.39,0.0,4.89,0.04,0.33,4.15,0.0,0.0,10.76,100.0,0.0,5.4,0.0,2.39,0.0,44.9,0.0,453.78,0.0,28.33,1.92,0.04,477265.95,30533.68,440340.0,440344.0,39.1,0.0,0.2,6.248523282820705,0.624,40.08,4.32,0.55,1.32,0.84,0.52,0,0,2439,640919,38098,0,10,6,1.2,38093.8,7.0,1116.0,5.42,5.17,0.01604887063481832,throughput_performance,redis
1.34,0.0,4.96,0.01,0.34,4.16,0.0,0.0,10.8,100.0,0.0,0.6,0.0,0.01,0.0,83.33,0.0,22.67,0.0,10.0,0.0,0.0,482048.7,30840.07,444755.6,444751.0,39.49,0.0,0.0,6.2437297644411105,0.624,40.0,4.31,0.55,1.33,0.84,0.53,0,0,14,644420,38439,0,10,6,1.2,38434.0,7.0,1116.0,5.47,5.19,0.01604887063481832,throughput_performance,redis
1.36,0.0,4.94,0.0,0.33,4.18,0.0,0.0,10.81,100.0,0.0,0.8,0.0,0.02,0.0,71.43,0.0,29.0,0.0,6.75,0.08,0.0,482207.41,30849.66,444896.2,444903.0,39.5,0.0,0.0,6.233810868717179,0.625,39.91,4.3,0.55,1.32,0.84,0.53,0,0,23,647272,38481,0,10,6,1.2,38477.2,7.0,1116.0,5.51,5.2,0.01604887063481832,throughput_performance,redis
1.36,0.0,4.94,0.02,0.34,4.16,0.0,0.0,10.8,100.00166666666667,0.0,4.2,0.0,0.02,0.0,27.59,0.0,5.33,0.0,21.48,0.24,0.03,481745.38,30820.25,444473.0,444475.0,39.46,0.0,0.0,6.231844297074267,0.624,39.88,4.3,0.55,1.32,0.84,0.53,0,0,22,645443,38426,0,10,7,1.2,38417.0,7.0,1116.0,5.71,5.25,0.01604887063481832,throughput_performance,redis
1.38,0.0,4.91,0.01,0.32,4.18,0.0,0.0,10.79,100.0,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,9.0,0.08,0.0,481445.95,30801.24,444194.2,444203.4,39.44,0.0,0.0,6.227567003750938,0.624,39.85,4.3,0.55,1.32,0.84,0.53,0,0,4,644623,38298,0,10,8,1.2,38290.6,8.0,1116.0,5.73,5.26,0.01604887063481832,throughput_performance,redis
1.37,0.0,4.92,0.0,0.35,4.17,0.0,0.0,10.809999999999999,100.00166666666667,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,480138.63,30717.51,442988.8,442986.8,39.33,0.0,0.0,6.225735633908477,0.624,39.86,4.3,0.56,1.32,0.84,0.53,1,0,2,643264,38267,0,10,6,1.2,38258.6,7.0,1116.0,5.91,5.31,0.01604887063481832,throughput_performance,redis
1.4,0.0,4.88,0.0,0.31,4.16,0.0,0.0,10.75,100.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,480022.39,30709.34,442882.0,442880.8,39.32,0.0,0.2,6.22721056264066,0.624,39.88,4.3,0.55,1.32,0.84,0.53,1,0,2,644579,38241,0,10,8,1.2,38231.6,7.0,1116.0,5.92,5.32,0.01604887063481832,throughput_performance,redis
