CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.95,0.0,6.49,0.0,0.38,5.28,0.0,0.0,14.1,100.00125,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,616261.4,39422.1,568572.0,568566.6,50.48,0.0,0.0,8.645466838709677,0.608,44.22,4.93,0.57,1.33,0.89,0.54,1,0,9,706042,42210,0,14,9,1.0,42200.6,9.0,1142.0,2.76,2.95,0.013130894155760443,throughput_performance,redis
2.01,0.0,6.34,0.0,0.37,5.27,0.0,0.0,13.989999999999998,100.0,0.0,3.6,0.0,0.03,0.0,47.06,0.0,9.11,0.0,4.78,0.16,0.01,615075.38,39346.11,567478.6,567470.6,50.39,0.0,0.0,8.638866532633157,0.607,44.21,4.93,0.57,1.33,0.89,0.54,1,0,29,719244,43099,0,14,9,1.2,43092.6,9.0,1142.0,3.18,3.03,0.014954629455171618,throughput_performance,redis
1.94,0.0,6.41,0.0,0.38,5.26,0.0,0.0,13.99,99.99875,0.0,1.6,0.0,0.02,0.0,57.89,0.0,11.0,0.0,3.38,0.0,0.0,614543.05,39312.85,566987.4,566991.0,50.34,0.0,0.0,8.64021855063766,0.607,44.25,4.93,0.57,1.33,0.89,0.54,1,0,18,719465,43086,0,14,8,1.2,43080.8,9.0,1142.0,3.56,3.11,0.014954629455171618,throughput_performance,redis
1.93,0.0,6.41,0.0,0.38,5.28,0.0,0.0,14.0,100.00125,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,6.67,0.0,0.0,614278.44,39295.39,566743.6,566739.2,50.32,0.0,0.2,8.6394687951988,0.607,44.27,4.94,0.57,1.33,0.89,0.54,1,0,3,719510,42984,0,14,8,1.2,42979.0,9.0,1142.0,3.92,3.19,0.014954629455171618,throughput_performance,redis
1.97,0.0,6.37,0.0,0.37,5.27,0.0,0.0,13.98,100.00125,0.0,1.8,0.0,0.02,0.0,57.14,0.0,11.11,0.0,3.78,0.0,0.0,613962.28,39275.31,566449.6,566449.6,50.3,0.0,0.0,8.636641848462117,0.607,44.25,4.94,0.57,1.33,0.89,0.54,1,0,22,719430,43040,0,14,8,1.2,43036.2,9.0,1142.0,4.25,3.27,0.014954629455171618,throughput_performance,redis
1.94,0.0,6.4,0.01,0.37,5.27,0.0,0.0,13.98,100.0,0.0,2.0,0.0,0.02,0.0,52.38,0.0,9.2,0.0,6.5,0.16,0.0,614822.62,39331.21,567248.4,567254.4,50.37,0.0,0.0,8.645540585146287,0.607,44.23,4.93,0.57,1.33,0.89,0.54,1,0,18,720384,43085,0,14,9,1.2,43081.2,9.0,1142.0,4.55,3.35,0.014954629455171618,throughput_performance,redis
1.94,0.0,6.4,0.0,0.36,5.26,0.0,0.0,13.96,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,8.67,0.08,0.0,614547.17,39312.51,566993.8,566985.6,50.34,0.0,0.0,8.652571078769691,0.606,44.33,4.95,0.57,1.33,0.89,0.54,1,0,3,719248,43085,0,14,8,1.2,43079.6,10.0,1142.0,4.82,3.43,0.014954629455171618,throughput_performance,redis
2.04,0.0,6.3,0.03,0.38,5.11,0.0,0.0,13.830000000000002,100.0,0.0,7.6,0.0,2.19,0.0,43.28,0.0,294.53,0.0,18.18,1.84,0.03,593453.62,37963.56,547529.6,547530.8,48.62,0.0,0.0,8.476808738184545,0.621,44.24,4.76,0.55,1.3,0.87,0.54,0,0,2235,702577,42110,0,14,8,2.8,42107.8,10.0,1142.0,5.08,3.51,0.014954629455171618,throughput_performance,redis
1.88,0.0,6.46,0.0,0.37,5.34,0.0,0.0,14.05,100.00125,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,621652.55,39768.11,573548.2,573557.0,50.93,0.0,0.0,8.715218676669165,0.61,43.21,4.83,0.57,1.33,0.88,0.54,1,0,17,723901,43351,0,14,8,1.2,43344.8,9.0,1142.0,5.31,3.58,0.014954629455171618,throughput_performance,redis
1.83,0.0,6.51,0.0,0.39,5.3,0.0,0.0,14.03,100.0,0.0,0.6,0.0,0.02,0.0,40.0,0.0,28.0,0.0,8.67,0.08,0.0,619494.75,39628.77,571557.0,571547.4,50.75,0.0,0.2,8.693807627906978,0.609,43.47,4.86,0.57,1.32,0.89,0.54,1,0,3,721896,43148,0,14,8,1.2,43144.4,9.0,1142.0,5.53,3.65,0.014954629455171618,throughput_performance,redis
