cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.25,0.0,4.37,0.0,0.25,2.7,0.0,0.0,8.57,100.00333333333333,0.0,0.2,0.0,0.01,0.0,87.5,0.0,32.0,0.0,1.0,0.0,0.0,478674.57,30620.56,441639.8,441624.2,39.21,0.0,0.0,4.9222673668417105,0.759,15.84,1.7,0.75,1.48,0.59,0.45,0,0,0,355065,21381,0,8,6,1.0,21368.6,9.0,1247.0,3.03,4.19,0.010942411796467037,throughput_performance,redis
1.28,0.0,4.22,0.03,0.24,2.7,0.0,0.0,8.440000000000001,100.0,0.0,2.2,0.0,0.02,0.0,63.33,0.0,9.82,0.0,20.64,0.32,0.02,478109.2,30581.95,441109.0,441069.2,39.17,0.0,0.0,4.922808174043511,0.759,15.89,1.7,0.75,1.48,0.6,0.45,0,0,31,353547,21358,0,8,10,1.2,21355.8,7.0,1247.0,3.27,4.22,0.013130894155760443,throughput_performance,redis
1.26,0.0,4.24,0.01,0.25,2.68,0.0,0.0,8.43,100.0,0.0,2.2,0.0,0.02,0.0,50.0,0.0,8.73,0.0,5.36,0.08,0.0,477654.27,30555.71,440690.4,440690.8,39.13,0.0,0.0,4.9254384636159045,0.759,15.91,1.71,0.75,1.48,0.6,0.45,1,0,20,352557,21322,0,8,6,1.2,21300.6,7.0,1247.0,3.73,4.3,0.013130894155760443,throughput_performance,redis
1.27,0.0,4.24,0.0,0.24,2.68,0.0,0.0,8.43,99.99666666666667,0.0,0.6,0.0,0.0,0.0,0.0,0.0,6.67,0.0,8.67,0.08,0.0,477254.58,30533.62,440322.0,440372.2,39.1,0.0,0.0,4.916908459114779,0.759,15.91,1.71,0.75,1.48,0.6,0.45,1,0,2,355485,21397,0,8,7,1.2,21400.6,8.0,1247.0,3.99,4.34,0.013130894155760443,throughput_performance,redis
1.33,0.0,4.17,0.01,0.25,2.68,0.0,0.0,8.43,100.00333333333333,0.0,1.2,0.0,0.01,0.0,64.71,0.0,12.67,0.0,12.83,0.16,0.0,476622.93,30489.81,439740.8,439740.4,39.04,0.0,0.2,4.920509743435859,0.758,15.94,1.71,0.75,1.48,0.6,0.45,1,0,17,355683,21427,0,8,9,1.2,21421.0,8.0,1247.0,4.15,4.37,0.013130894155760443,throughput_performance,redis
1.25,0.0,4.26,0.0,0.24,2.68,0.0,0.0,8.43,100.00166666666667,0.0,1.8,0.0,0.02,0.0,52.63,0.0,10.22,0.0,3.89,0.0,0.0,477041.59,30516.31,440126.4,440122.6,39.08,0.0,0.0,4.927073176294074,0.758,15.93,1.71,0.75,1.48,0.6,0.45,1,0,18,354268,21381,0,8,7,1.2,21376.2,8.0,1247.0,4.46,4.43,0.013130894155760443,throughput_performance,redis
1.25,0.0,4.26,0.01,0.27,2.7,0.0,0.0,8.48,100.00333333333333,0.0,1.6,0.0,0.01,0.0,55.56,0.0,9.5,0.0,4.25,0.0,0.0,477740.97,30563.05,440779.2,440794.8,39.14,0.0,0.0,4.933464534133533,0.758,15.95,1.71,0.75,1.48,0.6,0.45,5,0,14,355974,21479,0,8,8,1.2,21480.4,11.0,1247.0,4.66,4.47,0.013130894155760443,throughput_performance,redis
1.31,0.0,4.2,0.01,0.23,2.69,0.0,0.0,8.43,100.0,0.0,0.6,0.0,0.0,0.0,50.0,0.0,6.67,0.0,10.0,0.08,0.0,477712.89,30556.91,440744.6,440708.2,39.13,0.0,0.0,4.932456666166542,0.758,15.95,1.71,0.74,1.48,0.6,0.45,1,0,3,355861,21472,0,8,11,1.2,21464.6,7.0,1247.0,4.93,4.53,0.013130894155760443,throughput_performance,redis
1.33,0.0,4.19,0.02,0.24,2.63,0.0,0.0,8.39,100.00333333333333,0.0,3.6,0.0,0.73,0.0,63.27,0.0,207.11,0.0,7.61,0.4,0.01,469850.26,30058.11,433489.6,433514.2,38.49,0.0,0.0,4.8901999579894975,0.763,16.12,1.71,0.74,1.47,0.59,0.45,1,0,744,351052,21153,0,8,8,1.6,21156.0,10.0,1248.0,5.1,4.57,0.013130894155760443,throughput_performance,redis
1.47,0.0,4.14,0.03,0.24,2.61,0.0,0.0,8.459999999999999,99.99833333333333,0.0,7.0,0.0,1.52,0.0,47.76,0.0,222.74,0.0,10.54,1.28,0.02,463580.77,29655.27,427705.4,427704.2,37.98,0.0,0.0,5.009779804951238,0.765,16.49,1.72,0.73,1.45,0.6,0.46,0,0,1558,349281,21143,0,8,8,2.0,21140.4,8.0,1247.0,5.17,4.6,0.013130894155760443,throughput_performance,redis
