CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.26,0.0,4.43,0.0,0.26,2.99,0.0,0.0,8.94,100.00166666666668,1.39,0.0,0.01,0.0,0.0,100.0,4.0,0.0,3.57,0.0,0.48,0.0,477021.21,30515.31,440107.4,440108.2,39.08,0.0,0.0,5.1706207831957975,0.725,23.7,2.48,0.74,1.49,0.65,0.47,1,0,0,427721,25721,0,9,7,1.2,25711.0,8.0,1247.0,4.54,4.88,0.010942411796467036,throughput_performance,redis
1.38,0.0,4.39,0.01,0.26,3.01,0.0,0.0,9.04,100.0,0.0,0.8,0.0,0.02,0.0,0.0,0.0,23.0,0.0,4.75,0.0,0.0,477138.65,30526.13,440217.4,440264.2,39.09,0.0,0.2,5.179359735933983,0.715,23.71,2.48,0.74,1.48,0.67,0.48,0,0,18,430271,26032,0,9,6,1.2,25899.4,9.0,1247.0,4.74,4.92,0.012766147095878208,throughput_performance,redis
1.27,0.0,4.4,0.0,0.27,3.0,0.0,0.0,8.94,99.99666666666668,0.0,1.8,0.0,0.02,0.0,62.5,0.0,12.89,0.0,3.89,0.08,0.0,476684.56,30494.42,439800.8,439805.8,39.05,0.0,0.0,5.193039699924982,0.72,23.8,2.49,0.74,1.48,0.66,0.47,0,0,23,427900,25963,0,9,7,1.2,25957.4,8.0,1247.0,5.0,4.97,0.012766147095878208,throughput_performance,redis
1.19,0.0,4.41,0.0,0.27,3.01,0.0,0.0,8.879999999999997,100.0,0.0,1.6,0.0,0.02,0.0,60.0,0.0,11.5,0.0,4.12,0.08,0.0,477478.31,30544.01,440529.6,440521.4,39.12,0.0,0.0,5.198128204051013,0.725,23.97,2.5,0.74,1.49,0.65,0.47,0,0,18,430491,25856,0,9,7,1.2,25865.0,8.0,1247.0,5.08,4.99,0.012766147095878208,throughput_performance,redis
1.36,0.0,4.27,0.04,0.26,2.87,0.0,0.0,8.76,100.0,0.0,5.4,0.0,2.5,0.0,56.45,0.0,474.22,0.0,28.63,1.36,0.03,454489.9,29073.82,419317.8,419318.2,37.23,0.0,0.0,5.107960894223557,0.748,24.55,2.43,0.7,1.44,0.62,0.47,0,0,2561,413220,25042,0,8,7,2.4,25038.0,8.0,1247.0,5.64,5.1,0.012766147095878208,throughput_performance,redis
1.26,0.0,4.33,0.01,0.26,3.0,0.0,0.0,8.85,100.0,0.0,2.6,0.0,0.03,0.0,61.76,0.0,10.77,0.0,5.23,0.16,0.01,478573.22,30612.26,441538.8,441506.4,39.2,0.0,0.0,5.235222661665416,0.726,24.02,2.51,0.74,1.49,0.64,0.47,0,0,28,432637,25993,0,9,6,1.2,25984.6,8.0,1247.0,5.75,5.14,0.012766147095878208,throughput_performance,redis
1.23,0.0,4.37,0.0,0.25,3.01,0.0,0.0,8.86,100.0,0.0,4.2,0.0,0.02,0.0,38.24,0.0,5.52,0.0,6.29,0.16,0.02,477555.87,30549.83,440601.2,440606.0,39.12,0.0,0.0,5.2151882130532625,0.725,23.92,2.5,0.74,1.49,0.65,0.47,1,0,30,430683,25948,0,9,7,1.2,25941.0,8.0,1247.0,5.85,5.17,0.012766147095878208,throughput_performance,redis
1.28,0.0,4.32,0.01,0.27,3.01,0.0,0.0,8.88,100.0,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,9.0,0.0,0.0,477241.21,30526.98,440310.8,440276.4,39.1,0.0,0.2,5.202270295573894,0.725,23.84,2.5,0.74,1.49,0.65,0.47,1,0,3,431825,25949,0,9,7,1.2,25946.0,8.0,1247.0,5.86,5.18,0.012766147095878208,throughput_performance,redis
1.26,0.0,4.36,0.0,0.27,3.0,0.0,0.0,8.89,100.0,0.0,3.2,0.0,0.02,0.0,40.74,0.0,6.5,0.0,2.88,0.0,0.0,477050.19,30520.32,440135.2,440180.4,39.08,0.0,0.0,5.195129182295574,0.7240000000000001,23.79,2.49,0.74,1.49,0.65,0.47,1,0,25,431265,25961,0,9,7,1.2,25964.6,10.0,1247.0,5.87,5.19,0.012766147095878208,throughput_performance,redis
1.25,0.0,4.35,0.01,0.26,3.0,0.0,0.0,8.86,100.0,0.0,1.6,0.0,0.02,0.0,65.22,0.0,12.0,0.0,6.12,0.08,0.0,476526.9,30482.74,439659.6,439636.6,39.04,0.0,0.0,5.192314526631658,0.7240000000000001,23.78,2.49,0.74,1.49,0.65,0.47,1,0,19,431332,26017,0,9,6,1.2,26019.6,9.0,1247.0,5.96,5.22,0.012766147095878208,throughput_performance,redis
1.25,0.0,4.36,0.01,0.26,2.97,0.0,0.0,8.84,100.0,0.0,1.8,0.0,0.02,0.0,59.09,0.0,11.56,0.0,6.89,0.08,0.0,475095.81,30393.55,438331.8,438352.0,38.92,0.0,0.0,5.189659654913728,0.723,23.82,2.5,0.74,1.49,0.65,0.47,0,0,19,427280,25719,0,9,6,1.2,25701.2,9.0,1247.0,6.12,5.27,0.012766147095878208,throughput_performance,redis
1.21,0.0,4.39,0.0,0.27,2.99,0.0,0.0,8.86,100.0,0.0,1.6,0.0,0.02,0.0,66.67,0.0,11.0,0.0,4.0,0.08,0.0,474949.37,30379.21,438197.6,438145.2,38.91,0.0,0.0,5.190016096024007,0.7240000000000001,23.83,2.5,0.74,1.49,0.65,0.47,1,0,19,428223,25737,0,9,7,1.2,25741.2,8.0,1247.0,6.11,5.28,0.012766147095878208,throughput_performance,redis
1.28,0.0,4.33,0.01,0.27,3.0,0.0,0.0,8.88,100.0,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,10.67,0.0,0.0,474853.38,30376.48,438106.4,438105.8,38.9,0.0,0.0,5.194268807201801,0.7240000000000001,23.86,2.5,0.74,1.49,0.65,0.47,0,0,3,428261,25793,0,9,8,1.2,25786.6,9.0,1247.0,6.19,5.31,0.012766147095878208,throughput_performance,redis
1.24,0.0,4.35,0.01,0.25,2.99,0.0,0.0,8.83,100.0,0.0,2.2,0.0,0.02,0.0,56.0,0.0,8.73,0.0,3.45,0.08,0.0,474498.41,30359.32,437781.8,437858.4,38.87,0.0,0.2,5.202258004501125,0.7240000000000001,23.91,2.51,0.74,1.49,0.65,0.47,0,0,23,430192,25920,0,9,7,1.2,25914.0,9.0,1247.0,6.17,5.32,0.012766147095878208,throughput_performance,redis
1.25,0.0,4.37,0.0,0.27,2.98,0.0,0.0,8.870000000000003,100.0,0.0,2.2,0.0,0.02,0.0,60.71,0.0,10.18,0.0,7.91,0.16,0.01,474268.19,30338.74,437566.2,437561.6,38.85,0.0,0.0,5.217904540135035,0.723,24.01,2.52,0.74,1.49,0.65,0.47,1,0,22,429950,25897,0,9,6,1.2,25894.0,8.0,1247.0,6.32,5.37,0.012766147095878208,throughput_performance,redis
1.24,0.0,4.38,0.01,0.26,2.99,0.0,0.0,8.870000000000003,100.0,0.0,2.2,0.0,0.02,0.0,52.17,0.0,9.09,0.0,6.73,0.16,0.01,474719.05,30368.53,437987.4,437989.4,38.89,0.0,0.0,5.225340639159789,0.7240000000000001,24.0,2.52,0.74,1.49,0.65,0.47,1,0,18,428226,25801,0,9,7,1.2,25799.8,9.0,1247.0,6.29,5.38,0.012766147095878208,throughput_performance,redis
1.4,0.0,4.23,0.04,0.25,2.84,0.0,0.0,8.72,100.00166666666668,0.0,4.8,0.0,2.49,0.0,48.94,0.0,531.17,0.0,24.58,1.84,0.03,450507.33,28817.46,415644.4,415620.8,36.91,0.0,0.0,5.1083787906976745,0.745,24.62,2.45,0.7,1.45,0.63,0.47,0,0,2544,410384,24772,0,8,7,2.4,24783.6,8.0,1247.0,6.35,5.41,0.012766147095878208,throughput_performance,redis
1.24,0.0,4.36,0.0,0.27,3.0,0.0,0.0,8.870000000000003,100.0,0.0,1.8,0.0,0.03,0.0,75.0,0.0,17.33,0.0,7.0,0.16,0.01,475244.93,30403.18,438466.6,438491.0,38.93,0.0,0.0,5.251016690172542,0.7240000000000001,24.13,2.53,0.74,1.49,0.65,0.47,0,0,31,428678,25798,0,9,6,1.2,25790.6,10.0,1247.0,6.32,5.42,0.012766147095878208,throughput_performance,redis
