cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.85,0.0,6.58,0.0,0.31,5.17,0.0,0.0,13.91,100.00125,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,601892.64,38504.73,555323.8,555334.0,49.31,0.0,0.0,8.672839057764442,0.594,47.1,5.45,0.58,1.48,0.92,0.55,1,0,8,581992,35037,0,14,9,1.2,35024.0,8.0,1255.0,4.42,3.93,0.01021291767670257,throughput_performance,redis
1.79,0.0,6.56,0.01,0.3,5.17,0.0,0.0,13.82,100.0,0.0,0.8,0.0,0.02,0.0,76.47,0.0,21.0,0.0,10.0,0.32,0.0,602320.01,38530.01,555708.2,555700.4,49.34,0.0,0.0,8.681565719429859,0.594,47.1,5.45,0.58,1.48,0.92,0.55,1,0,14,584091,35152,0,14,9,1.2,35147.6,8.0,1255.0,4.7,4.0,0.012401400035995977,throughput_performance,redis
1.78,0.0,6.55,0.0,0.31,5.17,0.0,0.0,13.81,100.0,0.0,1.6,0.0,0.02,0.0,61.9,0.0,14.5,0.0,3.75,0.0,0.0,602952.78,38571.01,556291.6,556291.8,49.39,0.0,0.0,8.678615861965493,0.594,46.97,5.44,0.58,1.48,0.92,0.55,1,0,22,586126,35259,0,14,8,1.2,35257.2,8.0,1255.0,4.97,4.06,0.012401400035995977,throughput_performance,redis
1.87,0.0,6.56,0.0,0.31,5.17,0.0,0.0,13.91,100.0,0.0,1.2,0.0,0.02,0.0,70.0,0.0,14.0,0.0,6.83,0.08,0.0,602966.84,38571.8,556306.6,556303.2,49.4,0.0,0.0,8.687858748687171,0.592,47.03,5.44,0.58,1.47,0.93,0.55,1,0,18,584529,35374,0,14,8,1.2,35350.8,8.0,1255.0,5.21,4.13,0.012401400035995977,throughput_performance,redis
2.08,0.0,6.33,0.04,0.3,4.91,0.0,0.0,13.620000000000001,100.0,0.0,6.0,0.0,2.84,0.0,46.43,0.0,484.67,0.0,29.7,1.84,0.05,571939.06,36587.53,527680.8,527685.0,46.85,0.0,0.2,8.425714748687172,0.609,47.33,5.21,0.55,1.44,0.9,0.55,0,0,2903,564541,34169,0,14,8,2.79,34096.21,8.0,1255.0,6.07,4.33,0.012401400035995977,throughput_performance,redis
1.76,0.0,6.59,0.0,0.31,5.19,0.0,0.0,13.850000000000001,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,605577.96,38739.4,558716.6,558720.4,49.61,0.0,0.0,8.877215015753938,0.595,48.04,5.56,0.58,1.48,0.91,0.54,1,0,17,587263,35352,0,14,8,1.2,35347.2,8.0,1255.0,6.23,4.39,0.012401400035995977,throughput_performance,redis
1.77,0.0,6.57,0.01,0.31,5.17,0.0,0.0,13.82,100.0,0.0,4.6,0.0,0.05,0.0,32.35,0.0,10.09,0.0,7.61,0.24,0.02,605368.43,38725.47,558524.0,558519.4,49.59,0.0,0.0,8.847765605401351,0.595,47.87,5.55,0.58,1.48,0.92,0.54,1,0,34,585576,35187,0,14,8,1.2,35186.0,8.0,1255.0,6.37,4.45,0.012401400035995977,throughput_performance,redis
1.77,0.0,6.56,0.01,0.31,5.2,0.0,0.0,13.84,100.0,0.0,0.6,0.0,0.0,0.0,57.14,0.0,8.0,0.0,11.33,0.08,0.0,604825.89,38691.63,558030.4,558029.6,49.55,0.0,0.0,8.831652009002251,0.595,47.74,5.54,0.58,1.48,0.92,0.55,1,0,3,585250,35319,0,14,9,1.2,35313.6,8.0,1255.0,6.5,4.51,0.012401400035995977,throughput_performance,redis
1.85,0.0,6.49,0.01,0.31,5.18,0.0,0.0,13.83,100.0,0.0,1.6,0.0,0.02,0.0,52.94,0.0,11.5,0.0,4.0,0.08,0.0,604487.72,38669.68,557710.4,557714.8,49.52,0.0,0.0,8.81337518379595,0.594,47.63,5.53,0.58,1.48,0.92,0.55,1,0,22,585582,35205,0,14,8,1.2,35199.8,9.0,1255.0,6.62,4.56,0.012401400035995977,throughput_performance,redis
1.82,0.0,6.52,0.01,0.31,5.19,0.0,0.0,13.84,100.0,0.0,1.6,0.0,0.02,0.0,63.64,0.0,11.5,0.0,4.0,0.0,0.0,603974.85,38636.65,557237.6,557238.4,49.48,0.0,0.0,8.788903657914478,0.594,47.48,5.51,0.58,1.48,0.92,0.55,1,0,18,585801,35241,0,14,8,1.2,35238.4,9.0,1255.0,6.73,4.62,0.012401400035995977,throughput_performance,redis
1.83,0.0,6.51,0.0,0.31,5.17,0.0,0.0,13.82,100.0,0.0,0.6,0.0,0.01,0.0,66.67,0.0,10.67,0.0,8.0,0.08,0.0,603913.07,38632.8,557178.6,557183.0,49.47,0.0,0.2,8.77475663315829,0.594,47.36,5.5,0.58,1.48,0.92,0.55,1,0,3,585494,35282,0,14,8,1.2,35271.0,9.0,1255.0,6.83,4.68,0.012401400035995977,throughput_performance,redis
1.78,0.0,6.57,0.0,0.3,5.17,0.0,0.0,13.82,100.0,0.0,1.6,0.0,0.02,0.0,52.94,0.0,11.0,0.0,3.62,0.0,0.0,602766.95,38558.7,556120.0,556114.2,49.38,0.0,0.0,8.766017680420104,0.594,47.29,5.49,0.58,1.48,0.92,0.55,1,0,21,583623,35235,0,14,9,1.2,35233.2,9.0,1255.0,6.93,4.73,0.012401400035995977,throughput_performance,redis
1.83,0.0,6.5,0.01,0.3,5.15,0.0,0.0,13.780000000000001,100.00125,0.0,2.0,0.0,0.02,0.0,56.52,0.0,9.6,0.0,8.2,0.16,0.01,601363.52,38469.2,554826.4,554823.4,49.26,0.0,0.0,8.751612543135783,0.594,47.24,5.49,0.58,1.48,0.92,0.55,1,0,18,584807,35163,0,14,10,1.2,35160.2,10.0,1255.0,7.01,4.79,0.012401400035995977,throughput_performance,redis
1.83,0.0,6.52,0.01,0.31,5.17,0.0,0.0,13.83,100.00125,0.0,1.8,0.0,0.02,0.0,57.14,0.0,10.22,0.0,5.44,0.16,0.0,600832.28,38436.03,554345.0,554343.2,49.22,0.0,0.0,8.742627768942235,0.593,47.18,5.48,0.58,1.48,0.92,0.55,1,0,20,584491,35152,0,14,11,1.2,35144.8,9.0,1255.0,7.09,4.84,0.012401400035995977,throughput_performance,redis
1.87,0.0,6.48,0.0,0.31,5.14,0.0,0.0,13.8,100.0,0.0,0.6,0.0,0.01,0.0,66.67,0.0,10.67,0.0,7.0,0.0,0.0,600545.19,38417.64,554071.0,554079.8,49.2,0.0,0.0,8.732389305326333,0.593,47.17,5.48,0.58,1.48,0.92,0.55,1,0,3,583353,35067,0,14,9,1.2,35058.4,9.0,1255.0,7.25,4.91,0.012401400035995977,throughput_performance,redis
