cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.96,0.0,5.36,0.05,0.26,3.16,0.0,0.0,10.74,100.0,0.0,5.6,0.0,3.19,0.0,56.92,0.0,583.0,0.0,29.86,2.0,0.04,554851.58,35496.24,511916.8,511946.2,45.45,0.0,0.0,6.6844015963991,0.747,21.24,2.24,0.72,1.46,0.63,0.47,0,0,3265,359695,21910,0,11,10,2.4,21893.8,9.0,1254.0,7.06,5.61,0.01203665297611374,throughput_performance,redis
1.65,0.0,5.53,0.01,0.25,3.31,0.0,0.0,10.74,100.00125,0.0,2.0,0.0,0.03,0.0,74.36,0.0,16.0,0.0,8.6,0.24,0.01,587252.32,37565.4,541817.8,541786.4,48.11,0.0,0.2,6.919357743435858,0.727,20.51,2.29,0.75,1.5,0.65,0.47,0,0,32,372322,22642,0,11,10,1.2,22646.2,8.0,1254.0,7.21,5.67,0.013495641215642678,throughput_performance,redis
1.72,0.0,5.45,0.0,0.27,3.33,0.0,0.0,10.77,99.99875,0.0,3.2,0.0,0.02,0.0,44.83,0.0,7.25,0.0,6.19,0.24,0.01,585865.73,37479.33,540531.2,540547.0,47.99,0.0,0.0,6.866002196549137,0.726,20.42,2.29,0.75,1.5,0.65,0.47,1,0,28,372577,22585,0,11,8,1.2,22575.4,8.0,1254.0,7.44,5.74,0.013495641215642678,throughput_performance,redis
1.72,0.0,5.45,0.0,0.25,3.33,0.0,0.0,10.75,99.99875,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.0,0.0,584789.47,37409.36,539535.0,539537.8,47.91,0.0,0.0,6.825822679669918,0.725,20.29,2.27,0.76,1.5,0.65,0.47,2,0,3,372759,22573,0,11,8,1.2,22579.4,9.0,1254.0,7.64,5.81,0.013495641215642678,throughput_performance,redis
1.76,0.0,5.43,0.01,0.27,3.3,0.0,0.0,10.759999999999998,100.0,0.0,1.4,0.0,0.02,0.0,63.16,0.0,13.14,0.0,5.86,0.08,0.0,583706.35,37339.77,538537.2,538534.2,47.82,0.0,0.0,6.802371312828207,0.724,20.19,2.26,0.75,1.5,0.66,0.47,2,0,19,371728,22534,0,11,11,1.2,22532.0,9.0,1254.0,7.67,5.85,0.013495641215642678,throughput_performance,redis
1.76,0.0,5.42,0.0,0.27,3.31,0.0,0.0,10.76,100.00125,0.0,1.8,0.0,0.02,0.0,52.63,0.0,9.33,0.0,5.56,0.16,0.0,582165.16,37242.22,537115.2,537127.2,47.69,0.0,0.0,6.785102355588897,0.722,20.13,2.26,0.76,1.5,0.66,0.47,1,0,18,371633,22527,0,11,10,1.2,22521.0,9.0,1254.0,8.02,5.95,0.013495641215642678,throughput_performance,redis
1.75,0.0,5.42,0.01,0.25,3.31,0.0,0.0,10.73,100.0,0.0,2.0,0.0,0.02,0.0,52.38,0.0,8.0,0.0,3.5,0.0,0.0,581360.76,37188.9,536372.6,536358.2,47.63,0.0,0.0,6.7715575933983505,0.721,20.11,2.26,0.76,1.5,0.66,0.48,1,0,18,371469,22550,0,11,9,1.2,22545.4,9.0,1254.0,8.02,5.99,0.013495641215642678,throughput_performance,redis
1.76,0.0,5.43,0.01,0.27,3.31,0.0,0.0,10.77,100.00125,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,10.67,0.0,0.0,580583.05,37140.22,535656.6,535655.2,47.56,0.0,0.2,6.760323552888223,0.721,20.12,2.26,0.76,1.5,0.66,0.48,1,0,3,371897,22568,0,11,9,1.2,22569.0,9.0,1254.0,8.18,6.05,0.013495641215642678,throughput_performance,redis
1.79,0.0,5.4,0.0,0.25,3.28,0.0,0.0,10.72,100.0,0.0,2.4,0.0,0.02,0.0,52.0,0.0,8.33,0.0,3.33,0.0,0.0,578513.08,37008.84,533747.0,533760.4,47.39,0.0,0.0,6.747995606901726,0.72,20.15,2.26,0.76,1.5,0.66,0.48,1,0,24,371295,22505,0,11,8,1.2,22503.8,9.0,1254.0,8.24,6.1,0.013130894155760443,throughput_performance,redis
1.8,0.0,5.39,0.01,0.26,3.3,0.0,0.0,10.75,100.0,0.0,2.0,0.0,0.02,0.0,54.55,0.0,9.6,0.0,6.9,0.16,0.01,577748.02,36959.33,533038.4,533047.2,47.33,0.0,0.0,6.751117539384846,0.719,20.25,2.27,0.75,1.5,0.66,0.48,1,0,19,372323,22525,0,11,11,1.2,22520.0,10.0,1254.0,8.46,6.19,0.013130894155760443,throughput_performance,redis
