CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.85,0.0,6.63,0.0,0.34,5.38,0.0,0.0,14.2,100.0,0.0,0.6,0.0,0.02,0.0,90.62,0.0,41.33,0.0,7.67,0.0,0.0,619567.02,39636.47,571636.0,571627.2,50.75,0.0,0.0,8.562194820705175,0.608,41.63,4.65,0.56,1.45,0.88,0.53,0,0,25,715117,42818,0,14,8,0.8,42804.6,8.0,1257.0,5.71,4.74,0.013495641215642678,throughput_performance,redis
1.87,0.0,6.51,0.01,0.37,5.38,0.0,0.0,14.13,100.0,0.0,4.4,0.0,0.04,0.0,48.84,0.0,8.18,0.0,7.36,0.32,0.03,618523.57,39570.82,570665.0,570675.8,50.67,0.0,0.0,8.523477941485371,0.608,41.44,4.62,0.55,1.45,0.88,0.53,0,0,32,717424,43031,0,14,8,1.2,43024.2,8.0,1257.0,5.9,4.79,0.015319376515053853,throughput_performance,redis
1.84,0.0,6.53,0.01,0.37,5.39,0.0,0.0,14.13,100.0,0.0,1.4,0.0,0.01,0.0,61.11,0.0,9.14,0.0,10.29,0.08,0.0,618567.25,39572.54,570704.0,570705.4,50.67,0.0,0.0,8.512428267066767,0.608,41.32,4.61,0.55,1.45,0.88,0.53,0,0,17,719263,43164,0,14,8,1.2,43153.2,8.0,1257.0,6.07,4.84,0.015319376515053853,throughput_performance,redis
1.86,0.0,6.5,0.01,0.36,5.37,0.0,0.0,14.09,100.0,0.0,1.0,0.0,0.01,0.0,28.57,0.0,6.4,0.0,7.8,0.08,0.0,618342.64,39557.95,570498.4,570495.0,50.65,0.0,0.2,8.519532507126781,0.608,41.44,4.62,0.55,1.46,0.88,0.53,1,0,9,719472,43251,0,14,9,1.2,43243.4,8.0,1257.0,6.38,4.93,0.015319376515053853,throughput_performance,redis
1.86,0.0,6.54,0.0,0.36,5.39,0.0,0.0,14.15,100.00125,0.0,1.2,0.0,0.02,0.0,68.42,0.0,15.33,0.0,5.5,0.08,0.0,618189.42,39548.89,570354.0,570359.2,50.64,0.0,0.0,8.51309198499625,0.608,41.42,4.62,0.56,1.45,0.88,0.53,1,0,21,720202,43257,0,14,9,1.2,43224.4,8.0,1257.0,6.51,4.98,0.015319376515053853,throughput_performance,redis
1.89,0.0,6.5,0.01,0.36,5.37,0.0,0.0,14.12,100.0,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.33,0.0,7.33,0.16,0.01,616624.08,39448.69,568910.4,568917.4,50.51,0.0,0.0,8.507462673668421,0.608,41.41,4.62,0.56,1.45,0.88,0.54,1,0,17,718198,43227,0,14,13,1.2,43222.0,18.0,1257.0,6.63,5.03,0.015319376515053853,throughput_performance,redis
1.87,0.0,6.51,0.01,0.35,5.36,0.0,0.0,14.09,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.33,0.0,0.0,615693.29,39388.22,568056.4,568049.6,50.44,0.0,0.0,8.511727675918982,0.607,41.2,4.62,0.56,1.46,0.88,0.53,1,0,3,718131,42943,0,14,8,1.2,42934.4,8.0,1257.0,6.74,5.08,0.015319376515053853,throughput_performance,redis
1.96,0.0,6.52,0.01,0.36,5.35,0.0,0.0,14.19,100.0,0.0,2.2,0.0,0.02,0.0,56.0,0.0,8.0,0.0,5.27,0.08,0.0,615235.14,39360.96,567631.6,567645.0,50.4,0.0,0.0,8.518819624906227,0.603,41.29,4.62,0.55,1.46,0.89,0.54,1,0,23,716928,43083,0,14,9,1.2,43079.4,8.0,1257.0,6.84,5.13,0.015319376515053853,throughput_performance,redis
2.0,0.0,6.48,0.0,0.36,5.37,0.0,0.0,14.21,100.0,0.0,2.6,0.0,0.02,0.0,48.0,0.0,8.62,0.0,8.85,0.16,0.02,614899.65,39338.43,567318.4,567320.4,50.37,0.0,0.0,8.55048142835709,0.604,41.75,4.66,0.55,1.45,0.89,0.54,1,0,21,717208,42985,0,14,11,1.2,42979.0,9.0,1257.0,6.93,5.18,0.015319376515053853,throughput_performance,redis
1.85,0.0,6.54,0.0,0.37,5.35,0.0,0.0,14.11,99.99875,0.0,2.2,0.0,0.02,0.0,52.17,0.0,8.73,0.0,8.55,0.16,0.01,614636.91,39321.7,567079.8,567077.6,50.35,0.0,0.2,8.5470768012003,0.607,41.95,4.68,0.56,1.45,0.88,0.54,1,0,19,716143,42887,0,14,10,1.2,42845.0,13.0,1257.0,7.02,5.22,0.015319376515053853,throughput_performance,redis
1.89,0.0,6.5,0.01,0.36,5.35,0.0,0.0,14.1,100.00125,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,8.67,0.0,0.0,614934.28,39340.1,567350.6,567354.0,50.38,0.0,0.0,8.544421929482372,0.607,41.87,4.67,0.56,1.45,0.88,0.54,1,0,3,716533,42822,0,14,10,1.2,42845.6,8.0,1257.0,7.1,5.27,0.015319376515053853,throughput_performance,redis
2.07,0.0,6.3,0.04,0.37,5.11,0.0,0.0,13.849999999999998,100.0,0.0,8.2,0.0,3.2,0.0,42.25,0.0,399.41,0.0,29.71,1.84,0.05,585163.46,37436.65,539886.2,539891.8,47.94,0.0,0.0,8.296375789947486,0.628,41.88,4.43,0.53,1.42,0.85,0.53,0,0,3272,693995,41517,0,14,9,2.8,41511.0,8.0,1257.0,7.17,5.32,0.015319376515053853,throughput_performance,redis
1.8,0.0,6.58,0.01,0.36,5.38,0.0,0.0,14.12,100.0,0.0,2.8,0.0,0.03,0.0,63.16,0.0,10.86,0.0,6.79,0.16,0.01,616431.93,39436.08,568736.6,568737.4,50.5,0.0,0.0,8.563202688672169,0.607,41.33,4.63,0.55,1.46,0.88,0.53,0,0,30,718741,42891,0,14,9,1.2,42883.2,8.0,1257.0,7.24,5.36,0.015319376515053853,throughput_performance,redis
1.9,0.0,6.5,0.0,0.37,5.35,0.0,0.0,14.12,100.0,0.0,5.2,0.0,0.03,0.0,33.33,0.0,5.23,0.0,5.5,0.16,0.02,615404.3,39372.15,567793.0,567802.4,50.41,0.0,0.0,8.52301088072018,0.607,41.38,4.63,0.55,1.46,0.88,0.53,1,0,34,717908,43222,0,14,9,1.6,43181.6,13.0,1258.0,7.38,5.42,0.015319376515053853,throughput_performance,redis
1.88,0.0,6.5,0.01,0.37,5.35,0.0,0.0,14.099999999999998,100.0,0.0,1.2,0.0,0.01,0.0,45.45,0.0,9.33,0.0,9.0,0.0,0.0,614878.28,39335.93,567300.2,567296.0,50.37,0.0,0.0,8.515931222805701,0.607,41.18,4.62,0.55,1.46,0.88,0.54,1,0,7,715602,42656,0,14,9,1.2,42687.4,8.0,1258.0,7.43,5.47,0.015319376515053853,throughput_performance,redis
1.83,0.0,6.55,0.01,0.36,5.36,0.0,0.0,14.099999999999998,100.0,0.0,2.4,0.0,0.02,0.0,60.0,0.0,8.0,0.0,4.42,0.08,0.0,614657.85,39322.3,567098.8,567100.4,50.35,0.0,0.2,8.512317647411853,0.607,41.18,4.62,0.55,1.46,0.88,0.53,1,0,26,715397,42669,0,14,9,1.2,42661.4,8.0,1258.0,7.47,5.51,0.015319376515053853,throughput_performance,redis
1.86,0.0,6.52,0.01,0.35,5.36,0.0,0.0,14.09,100.0,0.0,3.2,0.0,0.03,0.0,40.74,0.0,9.5,0.0,6.31,0.16,0.01,615057.46,39348.05,567463.4,567467.0,50.39,0.0,0.0,8.516287663915978,0.607,41.17,4.61,0.56,1.46,0.88,0.54,1,0,22,716812,42709,0,14,9,1.2,42703.0,8.0,1258.0,7.52,5.55,0.015319376515053853,throughput_performance,redis
