CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
4.25,0.0,18.95,0.0,0.49,12.51,0.0,0.0,36.2,52.89311475409835,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1164379.23,74414.18,1091143.0,1073239.4,95.39,0.0,0.0,14.553834682670667,0.446,28.66,3.15,0.76,1.51,1.35,0.6,1,0,9,643722,163350,0,36,26,1.0,163363.6,27.0,1322.0,7.51,1.88,0.020425835353405142,throughput_performance,redis
4.01,0.0,19.25,0.15,0.46,12.6,0.0,0.0,36.32,59.823518518518505,0.0,7.6,0.0,0.81,0.0,59.57,0.0,109.26,0.0,19.79,1.68,0.03,1157345.09,73943.02,1089097.2,1066446.2,94.81,0.0,0.2,15.122456582145539,0.447,30.23,3.31,0.75,1.5,1.35,0.6,0,0,822,641978,164812,0,36,25,6.0,164791.0,27.0,1322.0,8.91,2.27,0.022249570652816308,throughput_performance,redis
4.01,0.0,19.35,0.01,0.45,12.8,0.0,0.0,36.61,58.242142857142866,0.0,1.2,0.0,0.05,0.0,89.29,0.0,39.33,0.0,7.0,0.08,0.0,1170804.39,74816.93,1098904.2,1079050.2,95.91,0.0,0.0,15.501832834208553,0.442,30.66,3.42,0.72,1.51,1.38,0.61,0,0,47,625036,148891,0,37,27,1.2,148838.6,28.0,1322.0,10.28,2.66,0.022249570652816308,throughput_performance,redis
3.94,0.0,19.63,0.01,0.45,12.92,0.0,0.0,36.94,57.41931034482758,0.0,6.8,0.0,0.04,0.0,38.18,0.0,6.47,0.0,4.59,0.32,0.03,1192357.85,76197.35,1119818.2,1098959.6,97.68,0.0,0.0,15.710326301575394,0.445,30.38,3.41,0.72,1.51,1.37,0.61,2,0,48,616830,133240,0,37,24,1.2,133245.4,31.0,1322.0,11.46,3.03,0.022249570652816308,throughput_performance,redis
4.02,0.0,19.57,0.01,0.45,12.93,0.0,0.0,36.97,55.13644067796611,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.0,0.08,0.0,1193723.87,76293.13,1118914.4,1100340.6,97.79,0.0,0.0,15.717356795198796,0.444,30.33,3.41,0.72,1.51,1.37,0.61,1,0,4,623498,132896,0,37,27,1.2,132852.6,28.0,1322.0,12.62,3.41,0.022249570652816308,throughput_performance,redis
3.97,0.0,19.85,0.0,0.43,13.09,0.0,0.0,37.34,60.53122807017546,0.0,2.0,0.0,0.02,0.0,54.55,0.0,10.0,0.0,3.5,0.0,0.0,1193265.65,76262.9,1117939.6,1099904.8,97.75,0.0,0.0,15.982450652663164,0.439,30.53,3.46,0.69,1.51,1.4,0.62,1,0,22,607759,118308,0,37,25,1.2,118284.4,28.0,1322.0,13.62,3.77,0.022249570652816308,throughput_performance,redis
4.13,0.0,19.74,0.0,0.45,12.98,0.0,0.0,37.3,59.14142857142856,0.0,1.6,0.0,0.02,0.0,57.89,0.0,10.0,0.0,3.88,0.0,0.0,1193719.61,76291.8,1118164.2,1100319.8,97.79,0.0,0.0,15.859761164291072,0.43799999999999994,29.71,3.36,0.7,1.51,1.41,0.62,1,0,16,609757,112376,0,37,24,1.2,112355.4,27.0,1322.0,14.61,4.14,0.022249570652816308,throughput_performance,redis
4.13,0.0,19.85,0.01,0.44,12.97,0.0,0.0,37.39,60.981636363636376,0.0,1.8,0.0,0.02,0.0,64.0,0.0,9.78,0.0,6.89,0.16,0.0,1193480.15,76257.54,1121979.8,1099827.4,97.77,0.0,0.2,16.004365635408853,0.43700000000000006,30.05,3.41,0.69,1.51,1.42,0.62,1,0,22,609229,107975,0,37,24,1.2,107956.8,28.0,1322.0,15.44,4.49,0.022249570652816308,throughput_performance,redis
4.2,0.0,19.84,0.0,0.42,12.98,0.0,0.0,37.44,59.474035087719315,0.0,2.0,0.0,0.02,0.0,60.0,0.0,11.2,0.0,7.2,0.16,0.01,1193700.2,76294.75,1116490.2,1100364.2,97.79,0.0,0.0,16.0925663735934,0.436,30.15,3.43,0.68,1.51,1.43,0.62,1,0,21,604071,103488,0,37,29,1.2,103474.2,27.0,1322.0,16.21,4.83,0.022249570652816308,throughput_performance,redis
4.23,0.0,19.94,0.01,0.41,13.0,0.0,0.0,37.58,57.44559322033901,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,7.67,0.0,0.0,1193608.06,76295.44,1115535.4,1100374.0,97.78,0.0,0.0,16.01567342235559,0.433,29.43,3.35,0.68,1.51,1.44,0.62,1,0,3,598162,95996,0,37,24,1.2,95982.8,28.0,1322.0,16.83,5.15,0.022249570652816308,throughput_performance,redis
