cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.45,0.0,6.91,0.0,0.35,5.43,0.0,0.0,14.139999999999999,62.62375,0.0,1.8,0.0,0.01,0.0,50.0,0.0,8.0,0.0,6.56,0.24,0.01,526306.03,33670.55,485583.2,485578.0,43.11,0.0,0.2,5.893974997749437,0.522,27.69,3.15,0.58,1.44,1.12,0.58,0,0,6,604093,36579,0,14,8,1.8,36560.8,10.0,1259.0,5.12,4.11,0.010942411796467037,throughput_performance,redis
1.5,0.0,6.85,0.06,0.35,5.39,0.0,0.0,14.09,65.57600000000001,0.0,4.4,0.0,0.71,0.0,63.33,0.0,165.45,0.0,15.23,1.68,0.02,528546.74,33814.4,487650.2,487657.8,43.3,0.0,0.0,5.877123936984246,0.53,26.95,3.02,0.58,1.43,1.1,0.58,0,0,736,606437,36727,0,14,8,2.8,36728.6,9.0,1259.0,5.36,4.17,0.013130894155760443,throughput_performance,redis
1.39,0.0,6.92,0.02,0.36,5.46,0.0,0.0,14.129999999999999,61.68764705882353,0.0,2.8,0.0,0.03,0.0,66.67,0.0,12.0,0.0,28.14,0.08,0.0,527421.89,33742.99,486620.2,486617.0,43.21,0.0,0.0,6.098731978994749,0.521,28.31,3.22,0.58,1.44,1.12,0.58,0,0,34,615697,37248,0,14,9,1.2,37238.6,9.0,1259.0,5.65,4.25,0.013130894155760443,throughput_performance,redis
1.44,0.0,7.04,0.02,0.35,5.57,0.0,0.0,14.4,66.7325,0.0,5.6,0.0,0.03,0.0,31.71,0.0,5.71,0.0,8.29,0.24,0.02,527119.42,33723.72,486333.6,486344.2,43.18,0.0,0.0,6.251927909977494,0.512,30.74,3.5,0.57,1.44,1.15,0.59,0,0,32,638002,38642,0,14,9,1.2,38640.0,10.0,1259.0,5.84,4.31,0.013130894155760443,throughput_performance,redis
1.44,0.0,6.99,0.01,0.36,5.55,0.0,0.0,14.34,66.875,0.0,1.8,0.0,0.02,0.0,55.0,0.0,9.78,0.0,21.89,0.16,0.01,527260.34,33732.25,486462.8,486471.8,43.19,0.0,0.0,6.24828975243811,0.514,30.76,3.5,0.57,1.44,1.15,0.59,1,0,18,639435,38755,0,14,11,1.2,38748.8,9.0,1259.0,6.01,4.38,0.013130894155760443,throughput_performance,redis
1.4,0.0,7.0,0.0,0.36,5.55,0.0,0.0,14.309999999999999,66.999375,0.0,0.2,0.0,0.0,0.0,80.0,0.0,0.0,0.0,27.0,0.0,0.0,526913.99,33708.83,486142.8,486135.8,43.16,0.0,0.0,6.240546376594149,0.515,30.73,3.5,0.57,1.44,1.14,0.59,2,0,4,640960,38654,0,14,10,1.2,38663.4,11.0,1259.0,6.17,4.44,0.013130894155760443,throughput_performance,redis
1.44,0.0,6.93,0.01,0.37,5.56,0.0,0.0,14.299999999999997,66.8925,0.0,2.0,0.0,0.02,0.0,56.52,0.0,9.2,0.0,4.2,0.08,0.0,526257.95,33667.04,485537.4,485536.2,43.11,0.0,0.2,6.244393482370593,0.515,30.68,3.49,0.57,1.44,1.14,0.59,1,0,22,639932,38662,0,14,10,1.2,38634.4,9.0,1259.0,6.32,4.5,0.013130894155760443,throughput_performance,redis
1.43,0.0,6.97,0.01,0.37,5.56,0.0,0.0,14.329999999999998,67.00874999999999,0.0,2.8,0.0,0.02,0.0,48.15,0.0,8.0,0.0,7.86,0.24,0.01,526587.25,33689.05,485842.0,485845.4,43.14,0.0,0.0,6.240091606901726,0.515,30.66,3.5,0.57,1.44,1.14,0.59,4,0,22,638703,38643,0,14,9,1.2,38639.8,9.0,1259.0,6.45,4.55,0.013130894155760443,throughput_performance,redis
1.37,0.0,7.02,0.01,0.35,5.56,0.0,0.0,14.3,66.886875,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,9.67,0.08,0.0,527108.75,33722.06,486329.2,486332.2,43.18,0.0,0.0,6.2410871837959485,0.515,30.75,3.5,0.57,1.44,1.14,0.59,1,0,4,644613,38803,0,14,8,1.2,38797.4,10.0,1259.0,6.58,4.61,0.013130894155760443,throughput_performance,redis
1.39,0.0,7.01,0.01,0.37,5.56,0.0,0.0,14.329999999999998,66.99187500000001,0.0,2.0,0.0,0.02,0.0,58.33,0.0,8.8,0.0,4.1,0.0,0.0,527741.2,33762.63,486907.4,486916.2,43.23,0.0,0.0,6.2442828627156794,0.515,30.71,3.5,0.57,1.44,1.14,0.59,1,0,22,640235,38708,0,14,8,1.2,38706.8,9.0,1259.0,6.69,4.67,0.013130894155760443,throughput_performance,redis
1.39,0.0,6.86,0.0,0.35,5.45,0.0,0.0,14.05,64.369375,0.0,2.2,0.0,0.02,0.0,52.17,0.0,9.45,0.0,3.82,0.08,0.0,531585.2,34008.74,490452.8,490465.2,43.55,0.0,0.0,5.991430913728432,0.528,25.86,2.95,0.58,1.44,1.1,0.58,1,0,19,607300,36808,0,14,9,1.2,36804.2,9.0,1259.0,6.79,4.72,0.013130894155760443,throughput_performance,redis
1.39,0.0,7.0,0.01,0.35,5.56,0.0,0.0,14.3,66.654375,0.0,1.8,0.0,0.02,0.0,62.5,0.0,9.78,0.0,5.89,0.08,0.0,531259.07,33987.31,490152.8,490145.8,43.52,0.0,0.0,6.162006421605401,0.518,29.67,3.38,0.57,1.44,1.13,0.59,1,0,19,641822,38623,0,14,10,1.2,38614.4,9.0,1259.0,6.97,4.8,0.013130894155760443,throughput_performance,redis
1.43,0.0,6.96,0.01,0.36,5.58,0.0,0.0,14.33,66.950625,0.0,0.6,0.0,0.01,0.0,40.0,0.0,12.0,0.0,9.0,0.0,0.0,530838.03,33960.76,489764.0,489773.2,43.49,0.0,0.2,6.160519201800451,0.518,29.68,3.38,0.57,1.44,1.13,0.59,1,0,3,647120,39006,0,14,11,1.2,38997.8,9.0,1259.0,7.13,4.87,0.013130894155760443,throughput_performance,redis
1.46,0.0,6.93,0.01,0.37,5.6,0.0,0.0,14.36,67.12562500000001,0.0,1.8,0.0,0.02,0.0,60.87,0.0,9.78,0.0,4.11,0.08,0.0,531518.91,34002.97,490390.6,490382.0,43.54,0.0,0.0,6.158282226556639,0.518,29.69,3.38,0.57,1.44,1.13,0.59,1,0,22,647965,39098,0,14,10,1.2,39099.8,9.0,1259.0,7.2,4.92,0.013130894155760443,throughput_performance,redis
1.52,0.0,6.98,0.08,0.36,5.51,0.0,0.0,14.37,65.308125,0.0,6.4,0.0,1.26,0.0,50.77,0.0,201.5,0.0,19.25,1.44,0.04,534582.14,34201.22,493222.6,493239.4,43.79,0.0,0.0,6.232950493623406,0.535,29.37,3.28,0.56,1.43,1.08,0.58,0,0,1282,636625,38453,0,15,10,2.8,38450.4,9.0,1259.0,7.43,5.0,0.013130894155760443,throughput_performance,redis
