CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.2,0.0,23.31,0.1,0.67,16.88,0.0,0.0,46.06,58.415070422535216,43.0,2.0,1.69,0.02,1.38,61.54,40.32,10.0,10.33,5.9,5.68,0.41,1116181.19,71374.41,1056565.0,1029499.6,91.44,0.0,0.0,40.830783951988,0.35600000000000004,27.42,11.7,0.82,1.91,1.79,0.64,1,234208,30,471663,279106,13,46,33,14.4,279400.4,38.0,1309.0,23.45,26.71,0.04540909613163633,throughput_performance,redis
5.07,0.0,23.62,0.01,0.63,17.67,0.0,0.0,46.99,61.07742857142856,0.0,1.4,0.0,0.01,0.0,41.67,0.0,5.71,0.0,10.71,0.08,0.0,1110974.79,71221.75,1049349.4,1027477.2,91.01,0.0,0.2,40.43939932183046,0.358,27.36,11.62,0.81,1.91,1.78,0.64,0,234208,10,431360,261636,0,47,39,13.4,261426.8,35.0,1310.0,26.06,27.19,0.04980352478953662,throughput_performance,redis
5.14,0.0,23.27,0.0,0.65,17.32,0.0,0.0,46.38,61.29647058823531,0.0,0.6,0.0,0.01,0.0,81.25,0.0,22.67,0.0,2.0,0.08,0.0,1120067.92,71644.78,1055206.4,1033392.4,91.76,0.0,0.0,40.86068813203301,0.358,27.52,11.61,0.81,1.9,1.78,0.64,0,234208,32,452975,274113,0,46,40,15.8,274172.6,39.0,1310.0,27.41,27.46,0.0490711200132199,throughput_performance,redis
5.16,0.0,22.71,0.01,0.69,16.33,0.0,0.0,44.89,59.86727272727274,0.0,1.8,0.0,0.02,0.0,57.14,0.0,9.78,0.0,6.56,0.16,0.0,1124697.03,71853.13,1059124.0,1036302.0,92.14,0.0,0.0,41.050081272318074,0.363,27.6,11.62,0.83,1.9,1.74,0.63,0,234208,22,503414,302626,0,45,40,10.6,302592.8,32.0,1315.0,28.26,27.63,0.0490711200132199,throughput_performance,redis
5.07,0.0,23.16,0.01,0.65,17.27,0.0,0.0,46.15,62.54317460317459,0.0,0.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,1118157.62,71450.9,1055229.4,1030574.2,91.6,0.0,0.0,40.670164213053276,0.364,28.18,11.74,0.79,1.9,1.76,0.64,0,234208,10,459113,284340,0,46,56,17.6,286575.6,57.0,1310.0,28.56,27.71,0.0490711200132199,throughput_performance,redis
4.73,0.0,24.56,0.03,0.57,18.62,0.0,0.0,48.48,61.79124999999999,0.0,2.8,0.0,0.03,0.0,60.0,0.0,9.43,0.0,7.43,0.24,0.0,1088299.46,70352.95,1025932.0,1015441.8,89.15,0.0,0.0,40.35724579144786,0.364,28.11,11.96,0.79,1.9,1.74,0.63,0,234208,33,371120,224924,0,49,36,16.2,222622.2,37.0,1310.0,29.08,27.83,0.0490711200132199,throughput_performance,redis
5.12,0.0,22.94,0.01,0.67,16.93,0.0,0.0,45.66,58.71628571428571,0.0,3.4,0.0,0.02,0.0,50.0,0.0,7.29,0.0,6.82,0.24,0.01,1123473.94,71757.65,1063369.6,1034850.0,92.03,0.0,0.0,41.548459690922726,0.363,28.18,11.83,0.82,1.89,1.74,0.63,0,234208,34,473983,293083,0,46,34,9.0,292821.2,38.0,1310.0,29.55,27.95,0.05053592956585334,throughput_performance,redis
5.15,0.0,22.54,0.01,0.7,16.13,0.0,0.0,44.52,55.37760563380282,0.0,4.0,0.0,0.03,0.0,33.33,0.0,6.4,0.0,4.65,0.16,0.01,1128301.42,72106.05,1059001.8,1039875.4,92.43,0.0,0.2,41.17478649662416,0.36700000000000005,27.87,11.7,0.83,1.89,1.71,0.63,0,234208,30,512795,312041,0,44,34,16.0,312053.6,35.0,1310.0,29.75,28.01,0.05053592956585334,throughput_performance,redis
5.5,0.0,23.12,0.26,0.69,16.59,0.0,0.0,45.90000000000001,62.550909090909116,0.2,7.4,0.0,2.55,0.0,57.95,4.0,353.51,23.0,34.0,2.32,0.06,1121018.09,71613.39,1058086.0,1032811.6,91.83,0.0,0.0,42.21613534583646,0.368,29.08,11.92,0.79,1.87,1.72,0.63,0,234208,2619,486056,287745,1,45,36,21.4,287532.0,28.0,1310.0,32.41,28.59,0.05126833434217005,throughput_performance,redis
5.17,0.0,22.85,0.03,0.68,16.61,0.0,0.0,45.31,61.48047619047619,0.0,2.6,0.0,0.41,0.0,82.89,0.0,161.23,0.0,11.08,0.56,0.01,1123713.12,71769.0,1064356.8,1035013.4,92.05,0.0,0.0,41.500512216054005,0.364,28.18,11.86,0.83,1.89,1.73,0.63,0,234208,425,492231,299237,0,45,37,11.8,299321.8,33.0,1310.0,32.38,28.65,0.05126833434217005,throughput_performance,redis
