cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.74,0.0,3.04,0.0,0.26,2.21,0.0,0.0,6.25,100.005,0.0,0.2,0.0,0.01,0.0,91.67,0.0,48.0,0.0,2.0,0.08,0.0,45682.23,23187.45,334412.8,334421.8,3.74,0.0,0.0,8.57537085071268,0.759,9.83,3.11,0.76,1.24,0.58,0.44,0,0,0,365627,21613,0,7,5,0.2,21599.8,5.0,1084.0,1.34,1.27,0.009118673725381339,throughput_performance,redis
0.8,0.0,2.93,0.0,0.26,2.19,0.0,0.0,6.18,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.0,0.0,45614.78,23153.45,333922.4,333929.6,3.74,0.0,0.0,8.59684335483871,0.755,9.88,3.13,0.76,1.24,0.59,0.44,0,0,10,367151,21829,0,6,5,1.2,21828.4,4.0,1084.0,1.56,1.32,0.010577661521442353,throughput_performance,redis
0.75,0.0,2.95,0.0,0.27,2.19,0.0,0.0,6.16,100.0,0.0,0.4,0.0,0.0,0.0,33.33,0.0,2.0,0.0,10.5,0.0,0.0,45575.43,23130.79,333609.4,333604.6,3.73,0.0,0.0,8.599780921230307,0.758,9.92,3.15,0.76,1.24,0.58,0.44,1,0,4,368325,21731,0,6,8,1.2,21725.0,4.0,1084.0,1.75,1.36,0.010577661521442353,throughput_performance,redis
0.71,0.0,2.98,0.01,0.26,2.2,0.0,0.0,6.15,100.0,0.0,3.6,0.0,0.02,0.0,28.0,0.0,5.33,0.0,5.17,0.16,0.01,45432.62,23059.25,332571.0,332572.8,3.72,0.0,0.0,8.639456504126032,0.755,10.1,3.22,0.75,1.24,0.58,0.44,2,0,19,365816,21644,0,6,4,1.2,21637.4,5.0,1084.0,2.09,1.44,0.010577661521442353,throughput_performance,redis
0.73,0.0,2.96,0.01,0.27,2.18,0.0,0.0,6.140000000000001,100.0025,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.08,0.0,45503.25,23093.55,333070.4,333067.6,3.73,0.0,0.0,8.615894517629407,0.758,9.93,3.16,0.76,1.25,0.58,0.44,1,0,3,368040,21688,0,6,4,1.2,21675.2,4.0,1084.0,2.32,1.5,0.010577661521442353,throughput_performance,redis
0.79,0.0,2.9,0.0,0.26,2.2,0.0,0.0,6.15,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.0,0.0,45524.53,23104.3,333254.0,333222.6,3.73,0.0,0.2,8.627607909977495,0.758,9.93,3.16,0.76,1.24,0.58,0.44,1,0,2,367307,21728,0,6,4,1.2,21727.2,4.0,1084.0,2.46,1.54,0.010577661521442353,throughput_performance,redis
0.79,0.0,2.9,0.01,0.25,2.19,0.0,0.0,6.13,100.0025,0.0,0.8,0.0,0.02,0.0,75.0,0.0,29.0,0.0,9.75,0.16,0.0,45537.96,23112.98,333340.6,333347.8,3.73,0.0,0.0,8.62770623855964,0.758,9.88,3.15,0.76,1.24,0.58,0.44,1,0,25,366628,21657,0,6,6,1.2,21655.0,5.0,1084.0,2.58,1.58,0.010577661521442353,throughput_performance,redis
0.74,0.0,2.95,0.01,0.27,2.2,0.0,0.0,6.16,100.0,0.0,0.8,0.0,0.01,0.0,50.0,0.0,7.0,0.0,7.5,0.08,0.0,45538.77,23107.87,333350.2,333272.2,3.73,0.0,0.0,8.651858196549137,0.757,9.95,3.18,0.76,1.24,0.58,0.44,1,0,6,366333,21683,0,6,5,1.2,21682.2,5.0,1084.0,2.7,1.62,0.010577661521442353,throughput_performance,redis
0.74,0.0,2.95,0.01,0.26,2.19,0.0,0.0,6.140000000000001,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,6.67,0.0,11.0,0.08,0.0,45470.37,23084.68,332838.6,332939.6,3.72,0.0,0.0,8.642013047261814,0.756,9.92,3.17,0.76,1.24,0.58,0.44,1,0,2,366479,21691,0,6,6,1.2,21687.8,5.0,1084.0,2.88,1.68,0.010577661521442353,throughput_performance,redis
0.83,0.0,2.88,0.03,0.27,2.13,0.0,0.0,6.109999999999999,100.0,0.0,4.4,0.0,1.12,0.0,38.89,0.0,259.82,0.0,14.5,1.44,0.03,44214.49,22442.42,323677.2,323676.6,3.62,0.0,0.0,8.489382505626407,0.765,10.43,3.24,0.74,1.23,0.57,0.44,0,0,1141,358687,21287,0,6,4,2.0,21282.8,4.0,1084.0,2.97,1.72,0.010212914572427099,throughput_performance,redis
