CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.79,0.0,3.04,0.0,0.26,2.2,0.0,0.0,6.29,100.0,0.0,0.2,0.0,0.01,0.0,91.67,0.0,48.0,0.0,1.0,0.0,0.0,45340.31,23011.76,331918.0,331859.0,3.71,0.0,0.0,8.62580112228057,0.757,10.13,3.25,0.75,1.26,0.59,0.45,0,0,0,366551,21786,0,7,4,0.8,21780.0,5.0,1112.0,2.41,2.73,0.008389179827350832,throughput_performance,redis
0.79,0.0,2.94,0.01,0.26,2.19,0.0,0.0,6.18,99.9975,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.67,0.0,0.0,45300.03,22998.27,331608.2,331669.4,3.71,0.0,0.0,8.651600084021004,0.757,10.2,3.27,0.75,1.26,0.59,0.45,0,0,10,366614,21818,0,6,5,1.2,21817.8,4.0,1112.0,2.54,2.75,0.0102129145724271,throughput_performance,redis
0.8,0.0,2.92,0.01,0.28,2.19,0.0,0.0,6.19,100.0,0.0,3.6,0.0,0.02,0.0,28.0,0.0,5.33,0.0,7.67,0.16,0.01,45293.07,22990.45,331550.2,331554.0,3.71,0.0,0.0,8.63138126931733,0.7559999999999999,10.09,3.24,0.75,1.26,0.59,0.45,0,0,19,370140,22010,0,6,5,1.2,22004.0,4.0,1112.0,2.65,2.77,0.0102129145724271,throughput_performance,redis
0.77,0.0,2.97,0.0,0.27,2.19,0.0,0.0,6.199999999999998,100.0,0.0,0.4,0.0,0.0,0.0,50.0,0.0,2.0,0.0,13.0,0.0,0.0,45204.24,22944.6,330890.8,330894.4,3.7,0.0,0.0,8.640833104276071,0.7559999999999999,10.11,3.25,0.75,1.26,0.59,0.45,1,0,6,370760,21976,0,6,7,1.2,21995.4,4.0,1112.0,2.76,2.79,0.0102129145724271,throughput_performance,redis
0.77,0.0,2.97,0.0,0.26,2.2,0.0,0.0,6.2,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.33,0.0,0.0,45251.32,22969.5,331245.2,331248.4,3.71,0.0,0.0,8.616668855213803,0.7559999999999999,10.05,3.23,0.75,1.26,0.59,0.45,1,0,4,371273,22048,0,6,5,1.2,22024.2,4.0,1112.0,2.86,2.81,0.0102129145724271,throughput_performance,redis
0.79,0.0,2.95,0.01,0.27,2.19,0.0,0.0,6.199999999999998,100.005,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.33,0.0,0.0,45289.04,22982.86,331526.0,331449.2,3.71,0.0,0.2,8.641054343585896,0.755,10.01,3.22,0.75,1.26,0.59,0.45,2,0,2,370857,22087,0,6,5,1.2,22083.2,5.0,1112.0,2.95,2.83,0.0102129145724271,throughput_performance,redis
0.78,0.0,2.94,0.01,0.26,2.21,0.0,0.0,6.19,100.0,0.0,0.8,0.0,0.02,0.0,76.47,0.0,30.0,0.0,8.25,0.08,0.0,45327.43,23013.1,331802.4,331883.8,3.71,0.0,0.0,8.623539564891223,0.7559999999999999,9.94,3.19,0.75,1.26,0.59,0.45,2,0,26,372464,22123,0,6,6,1.2,22113.6,6.0,1112.0,3.04,2.85,0.0102129145724271,throughput_performance,redis
0.76,0.0,2.96,0.01,0.28,2.19,0.0,0.0,6.19,100.0,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,8.5,0.08,0.0,45256.93,22971.42,331290.2,331278.4,3.71,0.0,0.0,8.619864534133534,0.7559999999999999,9.89,3.18,0.75,1.26,0.59,0.45,1,0,7,371236,22002,0,6,5,1.2,21995.4,5.0,1112.0,3.11,2.87,0.0102129145724271,throughput_performance,redis
0.78,0.0,2.97,0.0,0.26,2.19,0.0,0.0,6.199999999999998,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,7.33,0.0,0.0,45248.54,22970.12,331226.8,331247.8,3.71,0.0,0.0,8.64341422955739,0.755,10.26,3.28,0.74,1.25,0.59,0.45,1,0,3,369593,21983,0,6,5,1.2,21981.0,5.0,1112.0,3.26,2.91,0.0102129145724271,throughput_performance,redis
0.81,0.0,2.95,0.03,0.27,2.17,0.0,0.0,6.2,100.0025,0.0,4.2,0.0,0.96,0.0,57.14,0.0,234.86,0.0,14.9,1.04,0.01,44729.3,22705.41,327436.6,327438.4,3.66,0.0,0.0,8.605717509377344,0.755,10.15,3.26,0.75,1.25,0.59,0.45,0,0,983,365800,21826,0,6,4,2.0,21822.2,4.0,1112.0,3.32,2.93,0.0102129145724271,throughput_performance,redis
0.74,0.0,2.99,0.0,0.25,2.2,0.0,0.0,6.1800000000000015,99.9975,0.0,1.2,0.0,0.01,0.0,66.67,0.0,11.33,0.0,5.17,0.0,0.0,45269.83,22977.27,331383.4,331363.8,3.71,0.0,0.0,8.621155096774194,0.755,9.97,3.2,0.75,1.25,0.59,0.45,0,0,14,371766,22104,0,6,5,1.2,22104.4,5.0,1112.0,3.38,2.94,0.0102129145724271,throughput_performance,redis
0.79,0.0,2.94,0.0,0.28,2.19,0.0,0.0,6.199999999999998,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,45234.45,22961.65,331117.6,331141.6,3.71,0.0,0.2,8.63090191747937,0.755,9.97,3.2,0.75,1.25,0.59,0.45,1,0,3,371473,22024,0,6,4,1.2,22022.6,4.0,1112.0,3.43,2.96,0.0102129145724271,throughput_performance,redis
