cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.82,0.0,3.49,0.21,0.31,2.96,0.0,0.0,7.58,100.0,35.4,0.6,1.7,0.01,15.31,80.0,49.11,18.67,17.89,9.67,4.16,0.59,312904.7,20016.88,288693.2,288694.2,25.63,0.0,0.0,10.466389269317327,0.599,31.69,11.04,0.53,1.36,0.87,0.52,0,14080,11,512310,30726,0,8,4,2.0,30758.2,5.0,1188.0,1.69,0.82,0.01063845591323184,throughput_performance,redis
0.85,0.0,3.34,0.0,0.27,2.96,0.0,0.0,7.419999999999999,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,5.33,0.0,0.0,312260.46,19975.16,288095.8,288092.4,25.58,0.0,0.2,10.45638433608402,0.598,31.58,11.05,0.53,1.37,0.87,0.52,0,14080,3,515385,30752,0,8,4,1.2,30735.0,6.0,1188.0,1.88,0.87,0.012462191212643015,throughput_performance,redis
0.86,0.0,3.32,0.0,0.28,2.95,0.0,0.0,7.41,100.0,0.0,3.2,0.0,0.02,0.0,30.43,0.0,5.75,0.0,6.31,0.16,0.01,311846.08,19949.35,287714.0,287720.2,25.55,0.0,0.0,10.448604087021755,0.598,31.55,11.03,0.53,1.39,0.87,0.52,0,14080,18,516477,30851,0,8,4,1.2,30904.8,5.0,1188.0,2.05,0.92,0.012462191212643015,throughput_performance,redis
0.79,0.0,3.39,0.0,0.29,2.93,0.0,0.0,7.4,100.0,0.0,0.4,0.0,0.0,0.0,50.0,0.0,6.0,0.0,5.5,0.08,0.0,311391.73,19919.49,287293.2,287289.6,25.51,0.0,0.0,10.448653251312829,0.597,31.41,11.05,0.53,1.39,0.88,0.52,0,14080,3,502352,29966,0,8,4,1.2,29907.4,5.0,1188.0,2.2,0.98,0.012462191212643015,throughput_performance,redis
0.85,0.0,3.35,0.01,0.29,2.94,0.0,0.0,7.43,100.0,0.0,1.0,0.0,0.0,0.0,28.57,0.0,4.8,0.0,7.0,0.16,0.0,311237.58,19910.26,287159.6,287154.6,25.5,0.0,0.0,10.448837617404351,0.598,31.52,11.04,0.53,1.37,0.87,0.52,0,14080,5,514601,30687,0,8,4,1.2,30678.8,6.0,1188.0,2.35,1.03,0.012462191212643015,throughput_performance,redis
0.83,0.0,3.35,0.01,0.29,2.96,0.0,0.0,7.43,100.0,0.0,1.0,0.0,0.01,0.0,37.5,0.0,5.6,0.0,6.8,0.08,0.0,311601.3,19933.26,287488.6,287488.2,25.53,0.0,0.0,10.4535328072018,0.597,31.56,11.07,0.53,1.33,0.87,0.52,0,14080,6,516497,30812,0,8,4,1.2,30814.2,6.0,1188.0,2.48,1.08,0.012462191212643015,throughput_performance,redis
0.84,0.0,3.34,0.01,0.28,2.92,0.0,0.0,7.38,100.0,0.0,1.2,0.0,0.03,0.0,68.42,0.0,22.0,0.0,8.5,0.0,0.0,311766.23,19943.9,287639.8,287641.8,25.54,0.0,0.0,10.475398625656416,0.598,31.54,11.07,0.53,1.34,0.87,0.52,0,14080,26,508407,30333,0,8,4,1.2,30309.8,7.0,1188.0,2.6,1.12,0.012462191212643015,throughput_performance,redis
0.81,0.0,3.37,0.02,0.29,2.92,0.0,0.0,7.39,100.00250000000001,0.0,2.6,0.0,0.35,0.0,58.06,0.0,138.46,0.0,11.23,0.72,0.01,307879.5,19695.34,284056.8,284056.8,25.22,0.0,0.2,10.424120270067515,0.6,31.69,11.05,0.52,1.33,0.87,0.52,0,14080,360,507956,30370,0,8,4,2.0,30381.6,6.0,1188.0,2.71,1.17,0.012462191212643015,throughput_performance,redis
0.87,0.0,3.35,0.0,0.26,2.92,0.0,0.0,7.3999999999999995,100.0,0.0,0.6,0.0,0.01,0.0,80.0,0.0,18.67,0.0,6.67,0.08,0.0,310754.43,19879.08,286704.6,286706.8,25.46,0.0,0.0,10.49392127231808,0.595,31.63,11.16,0.53,1.34,0.88,0.52,0,14080,11,499896,29874,0,8,4,1.2,29853.8,6.0,1188.0,2.82,1.22,0.012462191212643015,throughput_performance,redis
0.85,0.0,3.34,0.0,0.29,2.97,0.0,0.0,7.449999999999999,100.0,0.0,3.0,0.0,0.01,0.0,16.67,0.0,4.8,0.0,3.6,0.16,0.0,311289.28,19913.03,287201.6,287196.4,25.5,0.0,0.0,10.453434478619654,0.597,31.75,11.09,0.53,1.35,0.87,0.52,0,14080,14,528993,31642,0,8,4,1.2,31654.0,6.0,1188.0,2.91,1.27,0.012462191212643015,throughput_performance,redis
