cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.92,0.0,3.38,0.0,0.31,3.04,0.0,0.0,7.6499999999999995,100.0025,0.0,1.0,0.0,0.0,0.0,68.75,0.0,4.0,0.0,4.6,0.08,0.0,42657.55,21651.05,312265.0,312263.0,3.49,0.0,0.0,9.398467120780195,0.613,29.45,9.45,0.55,1.22,0.87,0.53,2,0,14,567311,33704,0,8,6,1.2,33696.2,4.0,1160.0,1.57,1.82,0.010212914572427099,throughput_performance,redis
0.96,0.0,3.26,0.01,0.32,3.05,0.0,0.0,7.59,100.0,0.0,4.2,0.0,0.03,0.0,32.26,0.0,7.43,0.0,4.33,0.24,0.01,42585.33,21613.58,311724.8,311720.8,3.49,0.0,0.0,9.460131432858214,0.611,29.36,9.43,0.55,1.21,0.87,0.53,1,0,24,574318,34333,0,8,5,1.2,34322.8,4.0,1160.0,1.77,1.86,0.012036649317503367,throughput_performance,redis
0.96,0.0,3.32,0.01,0.31,3.05,0.0,0.0,7.639999999999999,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,9.33,0.08,0.0,42506.08,21573.68,311145.6,311147.2,3.48,0.0,0.0,9.454625032258065,0.606,29.36,9.47,0.55,1.22,0.89,0.54,2,0,2,566324,33780,0,8,4,1.2,33775.6,4.0,1160.0,1.95,1.89,0.012036649317503367,throughput_performance,redis
0.93,0.0,3.26,0.01,0.31,3.04,0.0,0.0,7.539999999999999,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.08,0.0,42491.21,21565.57,311030.4,311030.2,3.48,0.0,0.0,9.439531594898725,0.612,29.28,9.44,0.55,1.22,0.87,0.53,1,0,3,572540,33982,0,8,4,1.2,33967.8,6.0,1160.0,2.11,1.93,0.012036649317503367,throughput_performance,redis
0.9,0.0,3.29,0.01,0.29,3.05,0.0,0.0,7.53,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,8.67,0.0,0.0,42523.95,21583.03,311281.8,311282.0,3.48,0.0,0.0,9.448368876219055,0.612,29.22,9.43,0.55,1.22,0.87,0.53,1,0,2,568730,33817,0,8,5,1.6,33811.0,4.0,1162.0,2.26,1.96,0.012036649317503367,throughput_performance,redis
0.91,0.0,3.28,0.01,0.32,3.04,0.0,0.0,7.55,100.0,0.0,0.6,0.0,0.0,0.0,25.0,0.0,4.0,0.0,11.33,0.08,0.0,42516.92,21578.9,311221.0,311222.4,3.48,0.0,0.2,9.440527171792947,0.612,29.15,9.42,0.55,1.22,0.87,0.53,1,0,2,568186,33681,0,8,4,1.2,33671.2,4.0,1162.0,2.4,2.0,0.012036649317503367,throughput_performance,redis
0.95,0.0,3.23,0.01,0.31,3.06,0.0,0.0,7.549999999999999,100.0,0.0,0.8,0.0,0.03,0.0,75.0,0.0,33.0,0.0,8.75,0.08,0.0,42516.31,21579.66,311237.4,311233.4,3.48,0.0,0.0,9.451355606901727,0.612,29.15,9.42,0.55,1.22,0.87,0.53,1,0,25,570858,33866,0,8,5,1.2,33867.4,5.0,1162.0,2.53,2.03,0.012036649317503367,throughput_performance,redis
0.92,0.0,3.26,0.03,0.31,3.01,0.0,0.0,7.499999999999999,100.0,0.0,3.4,0.0,0.96,0.0,54.05,0.0,287.76,0.0,14.35,1.36,0.02,42006.48,21319.38,307477.6,307478.0,3.44,0.0,0.0,9.426957827456864,0.614,29.12,9.34,0.54,1.21,0.87,0.53,0,0,978,571548,34025,0,8,6,2.0,34018.2,6.0,1162.0,2.65,2.07,0.012036649317503367,throughput_performance,redis
0.89,0.0,3.29,0.0,0.3,3.09,0.0,0.0,7.569999999999999,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42843.38,21746.23,313633.8,313635.4,3.51,0.0,0.0,9.502523342835708,0.614,28.07,9.07,0.55,1.21,0.87,0.53,1,0,13,584768,34719,0,8,4,1.2,34709.2,4.0,1162.0,2.76,2.1,0.012036649317503367,throughput_performance,redis
0.88,0.0,3.32,0.01,0.33,3.07,0.0,0.0,7.6,100.0,0.0,0.6,0.0,0.01,0.0,25.0,0.0,21.33,0.0,7.67,0.08,0.0,42813.65,21730.65,313411.6,313411.0,3.51,0.0,0.0,9.497385674418606,0.614,28.09,9.07,0.55,1.21,0.87,0.53,1,0,2,582799,34619,0,8,5,1.2,34615.8,4.0,1162.0,2.86,2.13,0.012036649317503367,throughput_performance,redis
