CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.26,0.0,0.07,0.22,0.08,0.07,0,0,0.48,39.12,875.4,1.6,67.18,0.27,0.0,89.19,78.59,172.0,5.7,6.0,46.96,4.94,0.19,0.23,3.4,2.2,0,0,0.0,0.239568213,0.988,23.83,1.85,0.22,1.65,0.44,0.44,0,0,990,33432,2078,0,0,1,28.8,1977.4,3,1374,0.22,0.7,0.02185377,default,speccpu
0.53,0.0,0.08,0.18,0.08,0.06,0,0,0.75,43.0,912.6,15.8,70.92,3.04,0.0,67.36,79.58,197.11,6.21,16.04,45.04,5.87,0.34,0.31,5.4,2.8,0,0,0.0,0.242182827,1.4140000000000001,27.18,1.02,0.19,1.83,0.25,0.36,0,0,2558,33311,1666,0,1,1,2.0,1828.4,3,1376,0.29,0.7,0.02185377,default,speccpu
0.77,0.0,0.01,0.03,0.07,0.06,0,0,0.91,98.2,0.0,6.6,0.0,0.15,0.0,13.16,0.0,24.0,0.0,46.58,2.72,0.31,0.3,0.01,2.4,0.2,0,0,0.2,0.261352107,1.791,10.34,0.34,0.1,1.0,0.12,0.22,0,0,4,32386,164,0,1,1,1.2,168.4,2,1376,0.34,0.71,0.02185377,default,speccpu
0.79,0.0,0.01,0.09,0.07,0.06,0,0,0.93,100.0,100.4,0.8,1.67,0.01,6.34,42.86,17.04,10.0,4.41,2.25,7.84,0.46,0.2,0.06,2.0,0.4,0,0,0.0,0.300967253,1.709,10.48,0.38,0.11,1.06,0.13,0.23,0,0,4,32693,785,0,1,1,2.6,447.8,5,1379,0.56,0.75,0.02185377,default,speccpu
0.79,0.0,0.01,0.03,0.07,0.05,0,0,0.92,100.0,89.4,0.4,1.17,0.0,0.0,60.0,13.35,10.0,0.84,0.5,4.56,0.05,0.17,0.37,2.8,2.2,0,0,0.0,0.24578048,1.8019999999999998,7.89,0.25,0.1,1.01,0.12,0.22,0,0,13,32423,243,0,1,2,9.0,529.0,3,1378,0.59,0.75,0.02185377,default,speccpu
0.78,0.0,0.01,0.0,0.06,0.06,0,0,0.91,100.0,0.0,1.4,0.0,0.04,0.0,77.42,0.0,30.29,0.0,2.71,0.24,0.0,0.08,0.01,1.2,0.2,0,0,0.0,0.26836992,1.768,8.1,0.28,0.1,1.0,0.13,0.22,0,0,34,32407,158,0,1,1,1.2,216.0,3,1378,0.62,0.76,0.02185377,default,speccpu
0.78,0.0,0.01,0.05,0.08,0.05,0,0,0.92,100.0,0.6,12.4,0.0,0.16,0.0,44.14,4.0,13.42,12.0,23.61,4.4,0.29,0.13,0.52,2.2,2.4,0,0,0.0,0.258839893,1.775,7.22,0.24,0.1,1.03,0.13,0.22,0,0,175,32498,303,0,1,1,1.8,295.6,3,1377,0.65,0.76,0.02185377,default,speccpu
0.78,0.0,0.01,0.0,0.06,0.05,0,0,0.9,100.0,0.0,0.8,0.0,0.01,0.0,50.0,0.0,14.0,0.0,2.25,0.16,0.0,0.12,0.0,2.0,0.0,0,0,0.0,0.262649173,1.785,6.99,0.24,0.1,1.0,0.12,0.22,0,0,6,32384,161,0,1,1,1.4,167.0,3,1378,0.68,0.76,0.02185377,default,speccpu
0.78,0.0,0.01,0.0,0.07,0.06,0,0,0.92,100.0,0.0,2.2,0.0,0.35,0.0,50.0,0.0,161.45,0.0,30.91,1.2,0.07,0.21,0.0,2.2,0.0,0,0,0.2,0.25991168,1.7890000000000001,6.99,0.23,0.09,0.96,0.12,0.22,0,0,362,32428,226,0,1,1,1.2,171.8,3,1378,0.71,0.77,0.02185377,default,speccpu
0.78,0.0,0.0,0.0,0.07,0.05,0,0,0.9,99.8,0.0,0.4,0.0,0.01,0.0,60.0,0.0,26.0,0.0,2.5,0.08,0.0,0.09,0.01,1.4,0.2,0,0,0.0,0.2561024,1.784,6.89,0.23,0.11,1.04,0.12,0.22,0,0,4,32402,197,0,1,1,1.2,251.2,3,1378,0.73,0.77,0.02185377,default,speccpu
