cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
0.15,0.0,0.1,0.5,0.08,0.06,0.0,0.0,0.39,0.0,417.17,0.2,8.9,0.02,0.05,96.88,21.85,128.0,3.9,18.0,40.64,1.63,0.55,0.72,7.0,6.6,0.0,0.0,0.2,0.16069973333333334,0.712,17.3,1.79,0.31,1.45,0.58,0.42,0,0,0,33305,1905,0,0,0,54.0,1902.4,0.0,1373.0,0.22,0.68,0.017483015950008136,default,speccpu
0.26,0.0,0.06,0.26,0.1,0.07,0.0,0.0,0.49000000000000005,0.0,889.78,6.41,68.92,0.96,0.0,68.63,79.31,152.75,5.79,9.28,49.94,5.14,0.29,0.25,4.6,2.4,0.0,0.0,0.0,0.24621738666666662,0.986,21.75,1.78,0.22,1.62,0.45,0.44,0,0,941,33446,2012,0,0,1,23.6,2015.0,1.0,1373.0,0.28,0.68,0.019911212609731485,default,speccpu
0.55,0.0,0.07,0.21,0.08,0.07,0.0,0.0,0.77,32.26,883.98,16.99,67.71,2.45,0.0,64.49,78.43,147.54,6.37,26.24,43.98,6.12,0.36,0.29,6.4,2.6,0.0,0.0,0.0,0.25473024,1.405,25.02,1.01,0.19,1.84,0.26,0.36,0,0,2478,33333,1776,0,1,1,2.2,1772.8,1.0,1376.0,0.34,0.69,0.019911212609731485,default,speccpu
0.76,0.0,0.0,0.17,0.07,0.05,0.0,0.0,0.8800000000000001,97.81,0.0,0.41,0.0,0.0,0.0,50.0,0.0,8.0,0.0,12.0,0.49,0.0,0.06,0.02,0.8,0.4,0.0,0.0,0.0,0.26380288,1.783,10.65,0.35,0.1,0.99,0.12,0.22,0,0,152,32403,167,0,1,1,1.2,167.2,1.0,1376.0,0.39,0.7,0.019911212609731485,default,speccpu
0.78,0.0,0.0,0.01,0.07,0.05,0.0,0.0,0.9000000000000001,99.8,0.0,0.4,0.0,0.0,0.0,50.0,0.0,8.0,0.0,6.0,0.24,0.0,0.14,0.0,2.4,0.0,0.0,0.0,0.0,0.274944,1.753,8.73,0.3,0.11,1.06,0.13,0.23,2,0,6,32386,167,0,1,0,1.2,167.0,0.0,1376.0,0.44,0.7,0.019911212609731485,default,speccpu
0.78,0.0,0.0,0.01,0.06,0.06,0.0,0.0,0.9000000000000001,99.60000000000001,0.0,0.2,0.0,0.0,0.0,66.67,0.0,4.0,0.0,0.0,0.0,0.0,0.11,0.01,1.8,0.2,0.0,0.0,0.0,0.249856,1.794,8.01,0.25,0.1,1.0,0.12,0.22,2,0,3,32502,212,0,1,0,1.2,206.4,1.0,1376.0,0.48,0.71,0.019911212609731485,default,speccpu
0.78,0.0,0.0,0.03,0.08,0.05,0.0,0.0,0.91,100.0,0.0,1.2,0.0,0.03,0.0,70.0,0.0,29.33,0.0,19.83,1.35,0.02,0.2,0.01,1.8,0.2,0.0,0.0,0.2,0.26313386666666666,1.775,7.59,0.25,0.1,1.0,0.13,0.22,7,0,33,32387,161,0,1,1,1.2,161.4,1.0,1376.0,0.53,0.71,0.019911212609731485,default,speccpu
0.78,0.0,0.0,0.02,0.07,0.05,0.0,0.0,0.9000000000000001,100.0,0.0,11.45,0.0,0.16,0.0,44.12,0.0,14.11,0.0,21.46,4.18,0.24,0.03,0.01,0.6,0.2,0.0,0.0,0.0,0.2642056533333333,1.773,7.24,0.24,0.1,1.02,0.13,0.22,0,0,168,32473,171,0,1,1,1.2,168.0,1.0,1376.0,0.56,0.72,0.019911212609731485,default,speccpu
0.78,0.0,0.0,0.01,0.06,0.05,0.0,0.0,0.8900000000000001,99.60000000000001,0.0,0.4,0.0,0.01,0.0,50.0,0.0,18.0,0.0,0.5,0.0,0.0,0.05,0.01,0.8,0.2,0.0,0.0,0.0,0.26667690666666666,1.767,7.08,0.24,0.1,1.0,0.13,0.22,0,0,3,32394,158,0,1,1,1.2,156.4,1.0,1376.0,0.6,0.72,0.019425573277786816,default,speccpu
0.78,0.0,0.0,0.0,0.08,0.06,0.0,0.0,0.9199999999999999,100.0,0.0,2.2,0.0,0.35,0.0,47.62,0.0,161.09,0.0,44.45,1.92,0.1,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.2709162666666667,1.768,7.12,0.24,0.09,0.98,0.13,0.22,0,0,361,32410,209,0,1,1,1.2,210.2,1.0,1376.0,0.63,0.73,0.019425573277786816,default,speccpu
0.78,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.9100000000000001,99.80000000000001,0.0,0.4,0.0,0.01,0.0,50.0,0.0,24.0,0.0,5.0,0.24,0.0,0.1,0.01,1.6,0.2,0.0,0.0,0.0,0.25667584,1.763,6.87,0.23,0.1,1.02,0.13,0.23,0,0,3,32421,164,0,1,1,1.2,163.2,1.0,1376.0,0.66,0.73,0.019425573277786816,default,speccpu
0.78,0.0,0.01,0.0,0.07,0.05,0.0,0.0,0.9100000000000001,100.00000000000001,0.0,0.4,0.0,0.0,0.0,50.0,0.0,8.0,0.0,9.5,0.4,0.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.25782272,1.786,6.95,0.22,0.1,0.98,0.12,0.22,0,0,3,32381,154,0,1,1,1.2,154.0,1.0,1376.0,0.69,0.74,0.019425573277786816,default,speccpu
