cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
3.12,0.0,0.53,1.15,0.12,0.08,0.0,0.0,3.8500000000000005,0.0,609.6,1.0,20.14,0.03,0.13,87.18,33.83,33.6,2.96,7.6,76.24,1.79,1.09,1.33,7.4,6.8,0.0,0.0,0.0,2.2717030400000002,0.908,25.55,2.03,0.4,1.46,0.23,0.21,0,1544,30,54839,49246,0,4,5,511.8,49254.2,5.0,3596.0,1.28,1.37,1.024,throughput_performance,specjbb
0.42,0.0,0.08,0.01,0.06,0.06,0.0,0.0,0.6200000000000001,0.0,6.0,0.8,0.51,0.02,0.0,80.0,87.47,20.0,2.03,4.75,0.8,0.02,7.44,10.66,14.0,15.2,0.0,0.0,0.0,0.27446613333333336,0.713,23.51,2.65,0.39,1.47,0.51,0.36,0,1544,16,35527,6631,0,0,9,21.4,6554.8,8.0,3599.0,1.17,1.34,1.1776,throughput_performance,specjbb
17.47,0.0,0.83,0.02,0.1,0.05,0.0,0.0,18.45,0.0,1.4,0.6,0.01,0.03,0.0,78.57,8.0,46.67,9.0,0.67,1.2,0.01,12.77,36.42,21.0,24.6,0.0,0.0,0.0,4.6242679466666665,0.268,38.39,4.69,0.08,0.59,3.18,0.85,2,1544,34,38095,21864,0,18,152,79.8,21923.2,165.0,3924.0,1.08,1.32,1.1776,throughput_performance,specjbb
23.72,0.0,8.2,0.16,0.15,0.06,0.0,0.0,32.13,35.99613333333333,0.0,0.6,0.0,0.03,0.0,57.14,0.0,48.0,0.0,15.67,0.8,0.01,16.05,22.54,26.4,27.2,0.0,0.0,0.0,16.0369664,0.432,53.28,5.2,0.03,0.36,1.79,0.77,2,1544,28,38688,15287,0,32,0,17.8,15289.8,0.0,3633.0,1.55,1.42,1.1776,throughput_performance,specjbb
29.09,0.0,1.71,0.16,0.13,0.07,0.0,0.0,31.0,40.26222222222223,2.2,0.8,0.05,0.01,0.0,69.23,22.91,13.0,13.09,2.5,2.4,0.03,18.55,24.29,25.4,30.4,0.0,0.0,0.0,7.6879872,1.129,40.15,0.91,0.01,0.16,0.52,0.59,0,1544,10,39276,37014,0,31,80,73.4,37010.6,80.0,3633.0,2.63,1.64,1.1776,throughput_performance,specjbb
11.28,0.0,0.17,0.05,0.07,0.05,0.0,0.0,11.57,0.0,5.8,7.2,0.18,0.07,0.0,34.55,32.28,9.78,2.97,9.28,3.84,0.08,18.86,19.41,40.0,29.2,0.0,0.0,0.0,0.97118208,2.19,47.27,0.33,0.01,0.05,0.14,0.3,5,1544,70,37154,9705,0,11,0,15.0,9721.0,0.0,3659.0,2.42,1.61,1.1776,throughput_performance,specjbb
4.6,0.0,2.43,0.01,0.11,0.08,0.0,0.0,7.22,0.0,0.4,1.8,0.0,0.08,0.0,77.5,4.0,44.44,7.0,15.89,2.32,0.03,80.77,67.65,160.0,98.6,0.0,0.0,0.0,5.811309226666666,0.574,37.44,5.42,0.18,1.15,1.23,0.71,0,1544,84,38147,11472,0,8,0,21.8,11425.2,3.0,3661.0,8.95,2.98,1.1776,throughput_performance,specjbb
23.94,0.0,0.28,0.0,0.08,0.06,0.0,0.0,24.36,36.1258904109589,0.0,1.2,0.0,0.04,0.0,68.42,0.0,33.33,0.0,10.17,1.12,0.01,113.54,91.92,221.2,139.8,0.0,0.0,0.0,1.3283874133333333,2.128,26.85,0.13,0.01,0.07,0.15,0.31,0,1544,37,39177,13118,0,24,0,34.2,13115.2,0.0,3750.0,8.48,2.98,1.1776,throughput_performance,specjbb
2.02,0.0,0.63,0.03,0.09,0.08,0.0,0.0,2.82,0.0,0.0,1.0,0.0,0.03,0.0,61.54,0.0,32.0,0.0,8.8,0.88,0.01,144.29,116.59,258.4,152.0,0.0,0.0,0.0,1.7667072,0.357,43.71,7.06,0.25,0.77,2.12,0.76,5,1544,31,37004,9022,0,3,0,21.8,9068.6,0.0,3783.0,7.8,2.93,1.1776,throughput_performance,specjbb
0.45,0.0,0.08,0.01,0.07,0.08,0.0,0.0,0.68,0.0,0.0,1.0,0.0,0.03,0.0,64.29,0.0,32.8,0.0,7.0,0.64,0.01,194.93,156.65,322.4,200.8,0.01,0.0,0.0,0.45884074666666663,0.541,29.74,4.25,0.52,1.56,0.68,0.37,0,1544,34,36138,6958,0,0,9,16.2,6907.8,4.0,3783.0,7.17,2.88,1.1776,throughput_performance,specjbb
