CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.91,0.0,0.33,0.67,0.1,0.08,0.0,0.0,2.42,0.0,359.2,0.6,16.86,0.04,1.8,88.89,48.06,72.0,3.74,6.0,44.24,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7630754133333333,0.833,21.39,1.92,0.42,1.48,0.25,0.21,0,1544,43,47699,31360,0,2,5,330.0,31846.4,4.0,2779.0,3.9,4.81,0.3328,throughput_performance,specjbb
4.26,0.0,0.59,0.02,0.11,0.07,0.0,0.0,5.03,36.19,6.8,1.0,0.08,0.05,0.0,84.38,11.88,47.2,32.26,3.0,3.2,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.045963093333333,0.8690000000000001,20.8,1.8,0.41,1.5,0.24,0.21,0,1544,47,64117,65643,0,5,2,595.4,65476.2,5.0,5589.0,4.23,4.86,0.4864000000000001,throughput_performance,specjbb
29.92,0.0,3.6,0.04,0.14,0.06,0.0,0.0,33.72000000000001,38.05050632911392,48.4,0.8,0.83,0.02,0.0,84.62,17.52,26.0,0.73,2.5,3.36,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.922403839999998,0.324,42.22,4.87,0.12,0.69,2.46,0.8,0,1544,6,53827,52759,0,34,20,229.2,52687.2,22.0,6375.0,4.37,4.88,0.512,throughput_performance,specjbb
40.23,0.0,6.93,0.16,0.17,0.07,0.0,0.0,47.4,47.90360000000002,2.4,1.0,0.01,0.04,7.69,75.0,6.0,37.6,5.83,11.2,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9531136,0.45,42.82,2.41,0.02,0.68,1.78,0.8,0,1544,47,41791,33248,0,47,36,30.2,33212.4,20.0,6382.0,10.67,6.18,0.512,throughput_performance,specjbb
40.8,0.0,1.07,0.05,0.13,0.06,0.0,0.0,42.06,51.62000000000001,1.2,1.0,0.04,0.03,14.29,64.29,34.0,32.8,6.67,4.0,1.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8581947733333335,1.325,37.36,0.48,0.0,0.07,0.4,0.53,0,1544,33,38673,20116,0,42,77,66.2,19894.2,78.0,6383.0,10.7,6.26,0.512,throughput_performance,specjbb
6.22,0.0,0.34,0.01,0.08,0.07,0.0,0.0,6.71,0.0,5.2,1.0,0.16,0.03,0.0,64.29,32.31,32.8,2.23,2.4,1.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777181013333333,0.5329999999999999,38.87,5.2,0.22,1.09,1.17,0.62,0,1544,33,42096,19960,0,6,90,96.8,20016.4,111.0,6758.0,9.84,6.15,0.512,throughput_performance,specjbb
5.17,0.0,2.8,0.01,0.11,0.08,0.0,0.0,8.16,0.0,0.2,9.2,0.0,0.11,0.0,45.24,4.0,11.91,0.0,28.15,3.28,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160457386666667,0.615,30.04,3.57,0.49,1.44,0.97,0.6,0,1544,114,44861,25939,0,8,5,99.0,25857.0,3.0,7174.0,9.53,6.15,0.512,throughput_performance,specjbb
24.02,0.0,0.48,0.01,0.1,0.08,0.0,0.0,24.68,35.6902985074627,0.2,1.8,0.0,0.04,0.0,60.87,4.0,25.33,45.0,4.78,1.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938008746666667,1.99,32.56,0.21,0.01,0.07,0.17,0.35,0,1544,46,44371,25325,0,25,4,82.2,25352.0,0.0,7512.0,15.42,7.42,0.512,throughput_performance,specjbb
2.45,0.0,0.65,0.01,0.1,0.07,0.0,0.0,3.27,0.0,0.0,0.6,0.0,0.03,0.0,66.67,0.0,44.0,0.0,9.0,0.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854334293333333,0.39899999999999997,37.43,6.73,0.43,1.25,1.5,0.6,0,1544,26,41015,17887,0,3,0,27.6,17883.8,0.0,7571.0,14.26,7.32,0.512,throughput_performance,specjbb
1.51,0.0,0.19,0.01,0.09,0.08,0.0,0.0,1.87,0.0,0.0,0.6,0.0,0.01,0.0,66.67,0.0,16.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1335748266666663,0.611,24.38,3.33,0.39,1.84,0.55,0.34,0,1544,10,39925,15781,0,2,5,21.0,15767.0,1.0,7571.0,13.6,7.3,0.512,throughput_performance,specjbb
1.0,0.0,0.09,0.0,0.1,0.08,0.0,0.0,1.2700000000000002,0.0,0.8,0.4,0.0,0.01,0.0,75.0,6.0,16.0,4.75,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949653333333334,0.675,26.96,3.42,0.47,1.55,0.45,0.3,0,1544,6,40150,16132,0,1,0,9.0,16123.0,0.0,7571.0,12.51,7.17,0.512,throughput_performance,specjbb
1.02,0.0,0.16,0.04,0.08,0.08,0.0,0.0,1.34,0.0,0.0,0.4,0.0,0.0,0.0,66.67,0.0,12.0,0.0,11.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8788718933333334,0.6409999999999999,26.03,3.74,0.52,1.78,0.47,0.3,0,1544,5,41019,17860,0,1,0,21.0,17898.0,0.0,7571.0,11.51,7.06,0.512,throughput_performance,specjbb
1.15,0.0,0.24,0.04,0.1,0.09,0.0,0.0,1.58,0.0,0.0,0.4,0.0,0.0,0.0,66.67,0.0,12.0,0.0,12.5,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14395136,0.455,30.9,5.18,0.53,1.57,0.79,0.36,0,1544,5,40935,17655,0,1,5,15.8,17647.2,3.0,7571.0,10.59,6.94,0.512,throughput_performance,specjbb
1.2,0.0,0.14,0.01,0.1,0.08,0.0,0.0,1.52,0.0,0.0,4.8,0.0,0.05,0.0,42.86,0.0,10.83,0.0,18.92,1.44,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1529693866666668,0.614,24.88,3.96,0.51,1.91,0.54,0.33,0,1544,52,41092,17994,0,1,0,14.2,17990.8,2.0,7571.0,9.98,6.87,0.512,throughput_performance,specjbb
2.24,0.0,0.3,0.01,0.09,0.09,0.0,0.0,2.72,0.0,0.0,1.4,0.0,0.01,0.0,61.11,0.0,10.29,0.0,30.0,1.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6992187733333337,0.7190000000000001,23.0,3.03,0.42,2.09,0.5,0.36,0,1544,14,42289,20424,0,2,0,16.4,20476.2,1.0,7574.0,10.46,7.02,0.512,throughput_performance,specjbb
1.34,0.0,0.17,0.0,0.09,0.08,0.0,0.0,1.6800000000000002,0.0,0.0,2.2,0.0,0.04,0.0,50.0,0.0,18.55,0.0,21.0,1.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0560375466666665,0.475,28.36,4.64,0.49,2.14,0.79,0.38,0,1544,41,41249,18324,0,1,0,21.4,18282.6,1.0,7576.0,9.62,6.91,0.5376,throughput_performance,specjbb
1.53,0.0,0.2,0.06,0.1,0.09,0.0,0.0,1.92,0.0,21.0,0.4,2.45,0.01,3.67,80.0,119.31,20.0,15.62,3.0,3.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35016448,0.5579999999999999,27.13,3.89,0.46,1.75,0.59,0.33,0,1544,8,43552,22913,0,2,4,10.8,22904.4,2.0,7577.0,8.85,6.79,0.5376,throughput_performance,specjbb
1.05,0.0,0.17,0.02,0.1,0.1,0.0,0.0,1.4200000000000002,0.0,0.2,0.4,0.0,0.01,0.0,71.43,4.0,14.0,53.0,5.0,1.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98248704,0.496,30.34,5.26,0.54,1.51,0.8,0.4,0,1544,6,41966,19787,0,1,2,21.2,19813.8,6.0,7578.0,8.38,6.73,0.5376,throughput_performance,specjbb
0.97,0.0,0.15,0.02,0.09,0.07,0.0,0.0,1.28,0.0,0.0,0.4,0.0,0.01,0.0,71.43,0.0,14.0,0.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8586786133333333,0.519,28.43,4.77,0.61,1.66,0.56,0.29,0,1544,6,41616,19030,0,1,1,15.8,18996.2,1.0,7578.0,7.71,6.62,0.5376,throughput_performance,specjbb
2.34,0.0,0.16,0.0,0.1,0.1,0.0,0.0,2.7,0.0,0.0,1.0,0.0,0.01,0.0,50.0,0.0,8.0,0.0,11.6,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5620027733333337,0.745,21.44,2.69,0.37,2.51,0.43,0.32,0,1544,8,42293,20400,0,2,2,14.2,20394.2,1.0,7578.0,7.65,6.62,0.5376,throughput_performance,specjbb
1.17,0.0,0.18,0.01,0.09,0.07,0.0,0.0,1.51,0.0,0.0,2.6,0.0,0.04,0.0,48.0,0.0,14.77,0.0,13.46,1.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01369856,0.495,28.76,4.71,0.51,1.59,0.78,0.38,0,1544,38,41445,18689,0,1,5,15.8,18731.2,1.0,7578.0,7.12,6.53,0.5376,throughput_performance,specjbb
0.53,0.0,0.08,0.01,0.08,0.08,0.0,0.0,0.7699999999999999,0.0,0.0,0.8,0.0,0.01,0.0,66.67,0.0,13.0,0.0,10.25,0.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37685248,0.649,25.46,3.32,0.42,1.6,0.53,0.34,0,1544,10,37466,10666,0,1,1,21.0,10569.6,0.0,7574.0,6.79,6.47,0.5376,throughput_performance,specjbb
11.91,0.0,0.95,0.03,0.11,0.06,0.0,0.0,13.03,41.612857142857145,0.6,0.6,0.0,0.01,0.0,72.73,8.0,9.33,0.33,8.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43426816,0.387,29.28,2.4,0.06,1.93,2.06,0.8,0,1544,6,38616,13612,0,13,129,8.98,13579.44,130.0,6365.0,6.25,6.36,0.5376,throughput_performance,specjbb
18.36,0.0,0.69,0.04,0.1,0.08,0.0,0.0,19.23,48.87833333333333,0.0,0.8,0.0,0.01,0.0,63.64,0.0,8.0,0.0,10.0,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9942144,1.161,35.5,1.62,0.11,0.71,0.37,0.44,0,1544,6,39739,42937,0,19,0,79.8,42941.4,0.0,6382.0,7.19,6.56,0.5376,throughput_performance,specjbb
0.05,0.0,0.04,0.01,0.08,0.06,0.0,0.0,0.23,0.0,0.0,1.0,0.0,0.01,0.0,58.33,0.0,12.0,0.0,17.4,0.72,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16555349333333333,0.312,31.19,4.65,0.21,0.8,1.12,0.35,0,1544,12,33972,3678,0,0,4,46.6,3701.8,2.0,6542.0,6.61,6.45,0.5376,throughput_performance,specjbb
0.17,0.0,0.11,0.01,0.09,0.07,0.0,0.0,0.44,0.0,0.0,1.4,0.0,0.03,0.0,56.25,0.0,20.0,0.0,8.0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37507072,0.38,30.25,4.82,0.29,1.95,0.87,0.33,0,1544,28,36127,8068,0,0,1,133.2,8059.6,1.0,7131.0,6.08,6.34,0.5376,throughput_performance,specjbb
0.51,0.0,0.11,0.02,0.08,0.09,0.0,0.0,0.7899999999999999,0.0,0.0,0.6,0.0,0.01,0.0,57.14,0.0,20.0,0.0,8.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565060266666667,0.433,22.97,3.34,0.3,2.44,0.71,0.31,0,1544,8,36462,8785,0,1,0,71.4,8786.8,1.0,7409.0,5.6,6.24,0.5376,throughput_performance,specjbb
0.29,0.0,0.09,0.01,0.09,0.07,0.0,0.0,0.54,0.0,0.0,4.0,0.0,0.04,0.0,42.86,0.0,9.8,0.0,25.4,1.28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36702890666666665,0.575,24.96,4.13,0.33,1.49,0.68,0.39,0,1544,43,36925,9671,0,0,0,35.8,9679.6,0.0,7483.0,5.15,6.13,0.5376,throughput_performance,specjbb
0.36,0.0,0.07,0.02,0.08,0.07,0.0,0.0,0.5800000000000001,0.0,0.0,0.6,0.0,0.01,0.0,57.14,0.0,14.67,0.0,16.33,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40289621333333336,0.546,27.18,4.82,0.44,1.8,0.76,0.41,0,1544,9,37693,11122,0,0,0,12.0,11115.2,2.0,7490.0,4.74,6.03,0.5376,throughput_performance,specjbb
1.82,0.0,0.72,0.02,0.09,0.09,0.0,0.0,2.72,0.0,0.0,0.8,0.0,0.01,0.0,60.0,0.0,8.0,0.0,16.75,0.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0143104000000003,0.365,42.64,7.37,0.22,0.71,1.92,0.7,0,1544,6,38646,13093,0,3,0,24.2,13127.0,0.0,7508.0,4.52,5.96,0.5376,throughput_performance,specjbb
