cpu.all.%usr,cpu.all.%nice,cpu.all.%sys,cpu.all.%iowait,cpu.all.%irq,cpu.all.%soft,cpu.all.%steal,cpu.all.%guest,cpu.all.%util,cpu.all.%cutil,io.all-max.r/s,io.all-max.w/s,io.all-max.rMB/s,io.all-max.wMB/s,io.all-max.%rrqm,io.all-max.%wrqm,io.all-max.rareq-sz,io.all-max.wareq-sz,io.all-max.r_await,io.all-max.w_await,io.all-max.%util,io.all-max.blk_sat,sar-network.all-max.rxkB/s,sar-network.all-max.txkB/s,sar-network.all-max.rxpck/s,sar-network.all-max.txpck/s,sar-network.all-max.%ifutil,sar-net_err.all-max.err/s,sar-net_err.all-max.net_sat,perf-memBW.MEM_BW_Util,perf-cpu.IPC,perf-cpu.LLC,perf-cpu.MPKI,perf-cpu.ITLB,perf-cpu.DTLB,perf-cpu.StallBackend/Insts,perf-cpu.StallBackend/cycles,vmstat.b,vmstat.swpd,vmstat.bo,vmstat.in,vmstat.cs,vmstat.mem_sat,vmstat.cpu_util,vmstat.cpu_sat,sar-task.proc/s,sar-task.cswch/s,sar-load.runq-sz,sar-load.plist-sz,sar-load.ldavg-1,sar-load.ldavg-5,sysctl.file-util,workload.type,workload.appname
1.85,0.0,0.29,0.23,0.09,0.09,0.0,0.0,2.32,45.4,275.2,0.6,14.29,0.04,0.0,89.66,53.17,74.67,1.8,4.67,21.52,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5801139199999998,0.834,19.95,1.78,0.43,1.54,0.24,0.2,0,20224,45,47463,30648,0,2,5,301.4,30738.4,7.0,2709.0,10.65,7.42,1.0752,throughput_performance,specjbb
4.18,0.0,0.53,0.07,0.11,0.07,0.0,0.0,4.890000000000001,35.78,92.4,0.8,0.57,0.03,0.0,87.5,6.27,32.0,1.91,6.5,8.88,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.036002986666666,0.851,21.11,1.92,0.43,1.58,0.24,0.2,0,20224,26,63433,63369,0,5,11,549.8,63765.4,12.0,5324.0,10.76,7.5,1.1776,throughput_performance,specjbb
4.1,0.0,0.46,0.02,0.12,0.1,0.0,0.0,4.779999999999999,37.32,1.2,1.2,0.03,0.04,0.0,77.78,24.67,36.0,11.83,6.67,2.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.916352,0.863,20.02,1.8,0.43,1.55,0.23,0.2,0,20224,43,63851,63923,0,5,6,578.8,63700.0,6.0,8083.0,10.54,7.51,1.1776,throughput_performance,specjbb
4.01,0.0,0.42,0.0,0.12,0.07,0.0,0.0,4.62,40.470000000000006,0.0,0.4,0.0,0.01,0.0,85.71,0.0,28.0,0.0,0.5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.791069013333334,0.838,21.15,1.95,0.44,1.6,0.24,0.2,0,20224,11,63231,62349,0,5,11,538.2,62221.2,11.0,10702.0,10.33,7.52,1.1776,throughput_performance,specjbb
6.61,0.0,0.64,0.03,0.12,0.1,0.0,0.0,7.47,44.055,1.2,0.4,0.01,0.01,0.0,86.67,5.33,30.0,3.17,7.0,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798536533333333,0.696,32.07,2.84,0.29,1.19,0.73,0.51,0,20224,0,66572,76034,0,8,20,454.2,76064.6,23.0,12853.0,10.15,7.53,1.1520000000000001,throughput_performance,specjbb
50.64,0.0,9.77,0.15,0.21,0.05,0.0,0.0,60.669999999999995,60.67429687499998,3.21,0.0,0.02,0.0,0.0,100.0,7.0,0.0,5.0,0.0,1.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.844735146666665,0.496,46.53,2.88,0.03,0.58,1.61,0.8,2,20224,18,47019,113342,0,61,488,70.6,115599.8,496.0,12792.0,14.22,8.41,1.1520000000000001,throughput_performance,specjbb
29.0,0.0,2.26,0.02,0.13,0.07,0.0,0.0,31.459999999999997,43.26930232558139,0.4,9.16,0.0,0.09,0.0,40.26,4.0,10.35,39.0,18.65,4.7,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.417923413333332,0.683,43.23,2.2,0.02,0.38,1.01,0.69,3,20224,90,43554,121824,0,31,185,90.42,119543.31,187.0,12854.0,13.16,8.29,1.1776,throughput_performance,specjbb
13.38,0.0,6.87,0.06,0.21,0.08,0.0,0.0,20.54,0.0,5.42,1.81,0.16,0.05,0.0,68.97,31.11,26.22,1.96,21.0,2.65,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25924266666667,0.485,48.06,6.37,0.17,1.0,1.41,0.68,0,20224,57,57651,53143,0,20,102,316.0,52664.4,107.0,14354.0,12.19,8.17,1.1776,throughput_performance,specjbb
46.18,0.0,2.67,0.05,0.18,0.1,0.0,0.0,49.13,51.52418803418805,0.0,1.0,0.0,0.03,0.0,75.0,0.0,31.2,0.0,9.6,0.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690220373333333,1.986,28.72,0.22,0.02,0.11,0.17,0.33,0,20224,29,64038,64025,0,49,1,367.4,64046.4,1.0,16121.0,18.42,9.53,1.1776,throughput_performance,specjbb
37.47,0.0,0.82,0.04,0.15,0.1,0.0,0.0,38.54,38.542421874999995,0.8,0.6,0.04,0.02,0.0,78.57,51.0,40.0,17.0,14.33,1.92,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1157248,2.079,32.02,0.18,0.01,0.07,0.16,0.32,0,20224,24,54928,336106,0,38,0,220.4,336115.6,2.0,17136.0,29.36,11.94,1.1776,throughput_performance,specjbb
4.35,0.0,0.34,0.01,0.15,0.09,0.0,0.0,4.93,0.0,0.0,0.6,0.0,0.02,0.0,81.25,0.0,40.0,0.0,8.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6133845333333334,0.844,26.34,2.23,1.25,1.87,0.42,0.35,0,20224,26,57469,50758,0,5,0,66.0,50745.6,2.0,17361.0,27.16,11.78,1.1776,throughput_performance,specjbb
