CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.52,0,21.36,0,0.14,12.12,0,0,34.14,54.46,0,0.6,0,0.01,0,66.67,0,10.67,0,5,0.24,0,31847.12,345111.76,433932.4,431948.2,28.27,0,0,3.57,0.591884025,2.967954689,12.26151389,0.085778584,0.924029483,1,0.591884025,0,0,6,157361,215023,0,35,44,0,215118.6,49,1637,49.09,11.55,0.15234375,default,nginx_http_short
0.59,0,20.46,0,0.15,12.24,0,0,33.44,54.39,0,22.6,0,10.41,0,3.42,0,471.65,0,141.19,6.8,3.15,31916.21,345983.74,434858.4,433162,28.34,0,0,3.61,0.584949396,2.969261692,12.27363576,0.085689669,0.926404348,1,0.584949396,0,0,10659,166273,224246,0,34,40,0,224127,44,1635,56.61,13.73,0.1484375,default,nginx_http_short
0.59,0,21.85,0.15,0.15,12.13,0,0,34.72,52.96,0,84.4,0,41.73,0,0.71,0,506.27,0,476.12,33.76,40.01,31989.25,346605.55,435846.2,433753.8,28.39,0,0,3.67,0.580199304,2.982282838,12.33458387,0.086089185,0.930767251,1,0.580199304,0,0,42730,166702,216177,0,35,51,0,216380.8,50,1634,69.42,17.89,0.1484375,default,nginx_http_short
0.6,0,22.17,0,0.15,12.07,0,0,34.99,54.58,0,0.6,0,0.01,0,62.5,0,9.33,0,6,0.32,0,32215.52,349168.45,438934.8,436986.4,28.6,0,0,3.68,0.580246598,2.98157415,12.32340846,0.085746736,0.930232898,1,0.580246598,0,0,6,166435,225917,0,35,45,0,226014.2,46,1638,75.23,19.95,0.14453125,default,nginx_http_short
0.63,0,21.9,0,0.16,12.07,0,0,34.76,56.78,0,1,0,0.02,0,28.57,0,16,0,5.4,0.48,0,32078.58,347639.18,437074.6,435071.6,28.48,0,0,3.65,0.582704818,2.973234245,12.28975351,0.08567788,0.925755793,1,0.582704818,0,0,16,168951,228313,0,35,40,0,228475.2,41,1635,80.66,21.99,0.1484375,default,nginx_http_short
0.6,0,21.18,0,0.16,12.09,0,0,34.03,53.9,0,0.6,0,0,0,25,0,4,0,5,0.24,0,31889.96,345750.56,434510.4,432695,28.32,0,0,3.67,0.585301982,2.976859894,12.31178876,0.083332616,0.921493579,1,0.585301982,0,0,2,164159,228936,0,34,48,0,229280.4,46,1641,85.65,24,0.1484375,default,nginx_http_short
0.61,0,29.06,0,0.18,12.12,0,0,41.97,50,0,0.6,0,0,0,25,0,4,0,4.33,0.24,0,31620.97,342867.69,430881.8,429159,28.09,0,0,3.73,0.578475581,3.021092638,12.50573939,0.082858365,0.915510338,1,0.578475581,0,0,2,166944,234063,0,42,52,0,234156.8,52,1634,90.24,25.98,0.1484375,default,nginx_http_short
0.62,0,24.19,0,0.15,12.12,0,0,37.08,54.36,0,0.6,0,0,0,25,0,4,0,5,0.24,0,31957.01,346545.3,435460,433565.2,28.39,0,0,3.72,0.58271107,2.979140369,12.32395785,0.082536378,0.921714339,1,0.58271107,0,0,2,170920,250365,0,37,48,0,250335,47,1634,94.55,27.94,0.14453125,default,nginx_http_short
0.48,0,23.55,0.28,0.17,10.82,0,0,35.02,49.83,0,96,0,46.67,0,2.04,0,497.86,0,437.63,39.28,41.82,28604.78,309788.91,389730.2,387792.6,25.38,0,0,3.35,0.581255238,3.004201201,12.43790422,0.083136724,0.919027598,1,0.581255238,0,0,47794,155027,213337,0,35,56,0.2,213240,48,1634,97.87,29.73,0.14453125,default,nginx_http_short
0.62,0,25.57,0,0.16,12.05,0,0,38.4,54.26,0,2.8,0,0.13,0,22.22,0,47.71,0,2.43,0.24,0,31873.54,345608.34,434323.4,432491.6,28.31,0,0,3.74,0.58603899,2.990214265,12.37511411,0.082299512,0.917674133,1,0.58603899,0,0,134,171428,248260,0,39,42,0.2,248137.6,43,1633,101.56,31.63,0.1484375,default,nginx_http_short
