CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
6.95,0,5.47,0,0.76,3.08,0,0,16.26,43.14,0,0.8,0,0,0,33.33,0,5,0,5.25,0.4,0,68334.01,1198547.38,641198.4,364861,98.19,0,0,5.25,1.057888206,2.907439702,7.712652289,0.20994465,1.009622627,1,1.057888206,0,0,4,974281,131089,0,16,23,0,131247.2,28,1659,54.19,111.84,0.0859375,default,nginx_https_long
7.04,0,5.49,0,0.76,3.11,0,0,16.4,40.37,0,1,0,0.01,0,37.5,0,5.6,0,4.4,0.4,0,68336.23,1198526.43,641229.6,366420.2,98.18,0,0,5.28,1.051799922,2.912304458,7.733617033,0.209217466,1.004386262,1,1.051799922,0,0,6,977479,136871,0,16,19,0,137111.4,19,1655,51.21,110.27,0.08203125,default,nginx_https_long
6.97,0,5.51,0,0.75,3.07,0,0,16.3,41.44,0,2,0,0.01,0,23.08,0,4.8,0,3.7,0.64,0.01,68341.71,1198533.33,641306.8,363770.2,98.18,0,0,5.18,1.055916753,2.915393976,7.733362946,0.210463772,1.010168296,1,1.055916753,0,0,10,976462,135662,0,16,25,0,135632,15,1653,45.87,107.18,0.0859375,default,nginx_https_long
6.96,0,5.52,0,0.75,3.11,0,0,16.34,42.6,0,0.8,0,0,0,33.33,0,5,0,3.75,0.24,0,68333.94,1198536.5,641213.4,365581.8,98.18,0,0,5.24,1.052424244,2.900933355,7.700650028,0.210339591,1.012217307,1,1.052424244,0,0,4,977345,137023,0,16,21,0.2,136930,19,1660,43.08,105.58,0.09375,default,nginx_https_long
7,0,5.52,0,0.75,3.08,0,0,16.35,44.33,0,0.8,0,0,0,33.33,0,5,0,5.25,0.4,0,68338.41,1198526.5,641255.6,365678,98.18,0,0,5.22,1.055036433,2.918405797,7.742773282,0.211099847,1.006705413,1,1.055036433,0,0,4,972790,131446,0,16,21,0.4,131372.4,20,1655,40.83,104.08,0.08984375,default,nginx_https_long
6.89,0,5.56,0.01,0.75,3.09,0,0,16.29,44.05,0,2.2,0,0.02,0,31.25,0,9.82,0,5.36,1.12,0.01,68301.45,1197846.86,640900.8,366467,98.13,0,0,5.19,1.056787156,2.9102088,7.723463222,0.210952647,1.007284475,1,1.056787156,0,0,22,972404,130903,0,16,21,0.2,130981.2,19,1655,38.92,102.63,0.09765625,default,nginx_https_long
6.99,0,5.5,0,0.74,3.07,0,0,16.3,43.69,0,0.8,0,0,0,33.33,0,5,0,5,0.4,0,68340.41,1198538.62,641307.2,365569.6,98.18,0,0,5.21,1.055775693,2.889595472,7.664451965,0.210722559,1.00780919,1,1.055775693,0,0,4,971689,131847,0,16,20,0,131851.6,19,1655,37.56,101.29,0.09375,default,nginx_https_long
6.97,0,5.49,0,0.75,3.1,0,0,16.31,42.96,0,0.8,0,0,0,33.33,0,5,0,5.25,0.4,0,68336.32,1198524.81,641214.8,366212.8,98.18,0,0,5.23,1.054249324,2.894115979,7.680793477,0.210405285,1.007179154,1,1.054249324,0,0,4,978193,135805,0,16,15,0,135912.8,13,1655,35.68,99.84,0.09765625,default,nginx_https_long
6.93,0,5.51,0,0.74,3.11,0,0,16.29,41.73,0,0.8,0,0,0,33.33,0,5,0,6.5,0.48,0,68336.53,1198528.34,641237,365483.8,98.18,0,0,5.28,1.052866878,2.91078121,7.724861778,0.21177826,1.007134843,1,1.052866878,0,0,4,973867,133611,0,16,26,0,133634.6,25,1657,34.26,98.48,0.1015625,default,nginx_https_long
6.88,0,5.55,0,0.75,3.1,0,0,16.28,42.87,0,0.8,0,0,0,33.33,0,5,0,6.25,0.48,0,68339.06,1198519.47,641274.8,365552.2,98.18,0,0,5.25,1.055157289,2.923371747,7.761166147,0.212008171,1.008937531,1,1.055157289,0,0,4,973493,136819,0,16,19,0.4,136866.6,17,1653,32.8,97.11,0.1015625,default,nginx_https_long
