CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
70.58,0,3.17,0,0.31,2.91,0,0,76.97,98.68,0,0.8,0,0.01,0,50,0,8,0,7.5,0.48,0,61759.01,185148.17,492587.4,412357.6,15.17,0,0,6.05,2.23395433,0.442421812,0.72516442,0.011133552,0.101651349,1,2.23395433,0,0,6,168660,97305,0,77,96,0.2,97361,105,1407,44.35,65.61,0.024939696,default,nginx_https_short
70.62,0,3.07,0,0.3,2.92,0,0,76.91,98.58,0,0.4,0,0,0,50,0,8,0,6.5,0.24,0,61761.77,185126.34,492595.2,412314.4,15.17,0,0,6.05,2.234008144,0.442885896,0.725925159,0.011135198,0.101655984,1,2.234008144,0,0,3,166866,93994,0,77,98,0.4,94006.4,98,1409,49.37,66.3,0.023980477,default,nginx_https_short
70.69,0,3.09,0,0.33,2.93,0,0,77.04,98.73,0,0.4,0,0,0,33.33,0,8,0,0.5,0,0,61837.86,185407.36,493118,412942.2,15.19,0,0,6.07,2.23375649,0.443132782,0.726343875,0.011126912,0.101508411,1,2.23375649,0,0,3,167355,94539,0,77,102,0.6,94479,99,1406,53.18,66.81,0.023980477,default,nginx_https_short
70.61,0,3.11,0,0.32,2.91,0,0,76.95,98.63,0,0.4,0,0.01,0,71.43,0,14,0,9.5,0.4,0,61776.13,185214.79,492730.4,412578.8,15.17,0,0,6.06,2.233610182,0.443340594,0.726654485,0.01113649,0.101561185,1,2.233610182,0,0,6,167918,96146,0,77,98,0,96184.2,97,1410,56.37,67.25,0.023980477,default,nginx_https_short
70.64,0,3.17,0,0.31,2.92,0,0,77.04,98.74,0,0.4,0,0,0,33.33,0,6,0,7,0.24,0,61804.4,185339.12,492886,412795.2,15.18,0,0,6.06,2.233822257,0.443253433,0.726530679,0.011122119,0.101541001,1,2.233822257,0,0,2,167364,94856,0,77,96,0.2,94841.2,103,1406,59.87,67.79,0.023980477,default,nginx_https_short
70.54,0,3.17,0,0.3,2.9,0,0,76.91,98.61,0,1,0,0.01,0,28.57,0,5.6,0,3.6,0.24,0,61754.67,185234.24,492553.4,412714.2,15.17,0,0,6.05,2.233953209,0.442039772,0.724518833,0.011131093,0.101558091,1,2.233953209,0,0,6,168688,97082,0,77,103,0.2,97170.4,102,1407,63,68.31,0.023980477,default,nginx_https_short
70.54,0.01,3.18,0,0.31,2.9,0,0,76.94,98.64,0,0.6,0,0,0,0,0,4,0,1,0,0,61704.03,185076.28,491935.4,412116.4,15.16,0,0,6.06,2.23413251,0.442600661,0.725456639,0.011147892,0.10162351,1,2.23413251,0,0,2,168351,96871,0,77,103,0,96880,102,1409,66.36,68.92,0.023980477,default,nginx_https_short
70.64,0,3.13,0,0.32,2.92,0,0,77.01,98.69,0,0.4,0,0,0,50,0,8,0,8.5,0.32,0,61807.83,185327.51,493075.4,412880.6,15.18,0,0,6.06,2.233946139,0.443240903,0.726487709,0.01113513,0.101631175,1,2.233946139,0,0,3,167576,95031,0,77,103,0.2,95211.6,102,1406,68.98,69.42,0.023980477,default,nginx_https_short
70.51,0,3.23,0,0.32,2.92,0,0,76.98,98.69,0,0.4,0,0,0,33.33,0,6,0,6,0.24,0,61752.08,185211.14,492399.6,412490.4,15.17,0,0,6.06,2.233838576,0.4427772,0.725731216,0.011135063,0.101605327,1,2.233838576,0,0,2,167889,96031,0,77,101,0.2,96064,101,1406,73.47,70.36,0.023980477,default,nginx_https_short
70.55,0.01,3.19,0,0.32,2.91,0,0,76.98,98.66,0,0.6,0,0,0,40,0,8,0,7,0.32,0,61724.57,185125.15,492229.8,412350.4,15.17,0,0,6.05,2.234023437,0.442142643,0.72465442,0.011121072,0.101556984,1,2.234023437,0,0,5,167885,96090,0,77,95,0.2,96195.6,105,1407,75.28,70.79,0.023980477,default,nginx_https_short
70.68,0,3.13,0,0.3,2.92,0,0,77.03,98.71,0,0.6,0,0.01,0,62.5,0,12,0,9.67,0.4,0,61825.42,185345.9,493038,412675.8,15.18,0,0,6.07,2.233904875,0.443872243,0.727521332,0.011125144,0.101630059,1,2.233904875,0,0,7,167462,94849,0,77,101,0.2,94824,98,1406,76.7,71.16,0.023980477,default,nginx_https_short
70.58,0,3.14,0,0.32,2.94,0,0,76.98,98.67,0,0.4,0,0.01,0,71.43,0,14,0,8.5,0.32,0,61698.7,185146.97,491842,412285.4,15.17,0,0,6.05,2.233809284,0.443136821,0.726283711,0.011124684,0.101553319,1,2.233809284,0,0,6,167783,95955,0,77,97,0.2,95969,95,1406,78.8,71.68,0.023980477,default,nginx_https_short
70.65,0.01,3.11,0,0.32,2.91,0,0,77,98.69,0,0.4,0,0,0,50,0,8,0,8,0.24,0,61773.6,185293.55,492452,412793.8,15.18,0,0,6.06,2.23377667,0.442173956,0.724649791,0.011130732,0.101542634,1,2.23377667,0,0,3,167582,94935,0,77,96,0,95000,108,1407,80.74,72.2,0.023980477,default,nginx_https_short
