Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter)
Hardware-related,prefetcher,"Hardware prefetch policy. The value 0 indicates that the policy is disabled, and the value 15 indicates that the policy is enabled.",cat /sys/class/misc/prefetch/policy,echo $value > /sys/class/misc/prefetch/policy,FALSE,discrete,0; 15,int,0,15,1,,yes
,read_unique,Whether to allow cross-numa access to cache. 0--allow 1--forbid.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_nosnp_atomic_bypass_en,Whether to bypass atomic operations of CPUs. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_ro_alloc_shut_en,Whether to allow allocating readonce operation into L3. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reg_wrfull_hit_shut_en,Whether to send createE to HA when 64wu-full hit spipe M. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,req_conflict_en,Whether to enable the operation of reversing back one pat when receiving requests from both in and out of CPU. 0--disable 1--enable ,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,lower_power_en,Whether to enable CQ low power method. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,dataclean_shut_en,Whether to shield the CE bit of Taishan Core's write_no_snoop_full. 0--not shield 1--shield,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,arb_flush_shut_en,Whether to enable the reset of ARBIT scheduling pointer when CQ queue is at idle status. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,pgnt_arb_exat_shut_en,Whether to enable pgrant scheduling method in which only one grant tries at one time. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,fast_exter_shut_en,Whether to forbid data missed from extern requests to be transferred through fast access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,fast_data_shut_en,Whether to forbid data missed to be transferred through fast access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,pend_data_shut_en,Whether to forbid data missed to be transferred through pend access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,ramswap_full_shut_en,Full or partial when doing ramswap. 1--partial 0--Full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,ramfwd_shut_en,Enable ramfwd method. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,reads_upgrade_en,Enable read_shared operation status promotion. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,rdmerge_pipe_en,Whether to allow requests from Sqmerge to be hit in Cpipe5. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,spill_en,Enable spill in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,spill_shared_en,Enable spill at shared status of L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,spill_instr_en,Enable instruction spill in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,sqrdmerge_en,Use RDMERGE acceleration in SQ merge operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_drop_en,Enable the drop of prefetch in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,datapull_en,Enable the datapull in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,mkinvld_en,Enable the transformation from makelinvalid to cleinvalid. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,ramthr_en,Allow CPU to derive data back from thr channel directly in L3D. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,rsperr_en,Allow to report rsperr. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,iocapacity_limit_en,Whether to limit the io capacity of cache. 0--unlimiet 1--limit.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,force_cq_clk_en,Force to open Cache queue clock. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,sqmerge_en,Whether consecutive address access can occupy only one entry in the squeue to accelerate the merge process. 0--limit 1--merge.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,rdmerge_upgrade_en,Whether to allow the RS to merge with the preceding ReadE. 0--disabl 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetch_drop_hha_en,Whether to merge a non-prefetch operation with the previous prefetch operation. 0--allow 1--limit.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,tag_rep_alg,Choose cache line algorithm. 0--random 1--drrip 2--plru 3--random.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes
,rdnosnp_nca_shut_en,Whether to mark the readnosnp of the bypass sent by the CPU as NCA. 0--yes 1--no,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,wrfull_create_en,Whether to enable 128-byte writeunique only to obtain permission but not data from HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,cleanunique_data_en,Whether to enable the cleanunqunie to return data. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,lock_share_req_en,Whether to enable the register lock function in share mode and not to deliver operations to the HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,ddr_compress_opt_en,Optimization switch of support HHA compression access. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,atomic_monitor_en,Enable atomic_monitor. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,snpsleep_en,Whether to enable snp sleep. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,prefetchtgt_en,Whether to enable the prefetchtgt. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,sequence_shape_en,Enable to push back to the CPU for several cycles when the SQ is about to be full. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,mpam_portion_en,Enable the function of allocating MPAM based on the way. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,mpam_capacity_en,Enable the function of allocating MPAM based on capacity statistics. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
,eccchk_en,Enable ECC_CHK. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes
