Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter)
tomcat,connector.maxThreads,Maximum number of threads requested by the customer,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxThreads/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxThreads/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxThreads=\"").*(\"")#maxThreads=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,100,2000,10,,yes
,connector.minSpareThreads,Number of Socket threads created during Tomcat initialization,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/minSpareThreads/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/minSpareThreads/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(minSpareThreads=\"").*(\"")#minSpareThreads=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,10,200,5,,yes
,connector.maxConnections,The maximum number of connections that the server will accept and process,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxConnections/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxConnections/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxConnections=\"").*(\"")#maxConnections=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,8000,15000,100,,yes
,connector.enableLookups,Whether to backcheck the domain name,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/enableLookups/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/enableLookups/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(enableLookups=\"").*(\"")#enableLookups=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['true', 'false']",string,,,,,yes
,connector.acceptCount,Maximum number of listening port queues,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/acceptCount/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/acceptCount/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(acceptCount=\"").*(\"")#acceptCount=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,50,2000,50,,yes
,connector.connectionTimeout,Network connection timeout,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/connectionTimeout/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/connectionTimeout/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(connectionTimeout=\"").*(\"")#connectionTimeout=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,10000,60000,500,,yes
,connector.maxHttpHeaderSize,The maximum size of HTTP headers for requests and responses,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxHttpHeaderSize/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxHttpHeaderSize/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxHttpHeaderSize=\"").*(\"")#maxHttpHeaderSize=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,1024,102400,1024,,yes
,connector.tcpNoDelay,"If true, the server socket sets TCP_NO_DELAY","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/tcpNoDelay/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/tcpNoDelay/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(tcpNoDelay=\"").*(\"")#tcpNoDelay=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['true', 'false']",string,,,,,yes
,connector.compression,Whether to enable GZIP compression,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compression/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compression/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(compression=\"").*(\"")#compression=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['off', 'on','force']",string,,,,,yes
,connector.compressionMinSize,The minimum value of data before compression,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compressionMinSize/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compressionMinSize/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(compressionMinSize=\"").*(\"")#compressionMinSize=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,1024,25600,512,,yes
,connector.disableUploadTimeout,"This flag allows the Servlet Container to use a different, longer connection timeout when a servlet executes","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/disableUploadTimeout/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/disableUploadTimeout/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(disableUploadTimeout=\"").*(\"")#disableUploadTimeout=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['true', 'false']",string,,,,,yes
,vm.drop_caches,Releases the cache. The cache is released each time the parameter is modified.,sysctl -n vm.drop_caches,sysctl -w vm.drop_caches=$value,FALSE,discrete,"['1', '2', '3']",string,,,,,yes
,net.ipv4.tcp_tw_reuse,"The value 1 indicates that TIME-WAIT sockets can be used for new TCP connections,
      and the value 0 indicates that TIME-WAIT sockets are disabled.",sysctl -n net.ipv4.tcp_tw_reuse,sysctl -w net.ipv4.tcp_tw_reuse=$value,FALSE,discrete,"['0', '1', '2']",string,,,,,yes
,net.ipv4.tcp_fin_timeout,Maximum duration for a socket to remain in the FIN_WAIT_2 state.,sysctl -n net.ipv4.tcp_fin_timeout,sysctl -w net.ipv4.tcp_fin_timeout=$value,FALSE,discrete,,int,1,120,1,,yes
,net.ipv4.tcp_max_tw_buckets,"Reduce the number of TIME_WAIT connections to prevent excessive TIME_WAIT
      connections from occupying network resources and increasing the latency. The
      default value is 2048. You are advised to change the value to 360000.",sysctl -n net.ipv4.tcp_max_tw_buckets,sysctl -w net.ipv4.tcp_max_tw_buckets=$value,FALSE,discrete,,int,32768,1048576,32768,,yes
,net.ipv4.ip_local_port_range,"The range of available ports has been increased to prevent performance deterioration
      caused by continuous search of available ports for new connections when a large
      number of connections occupy ports.",sysctl -n net.ipv4.ip_local_port_range,sysctl -w net.ipv4.ip_local_port_range=$value,FALSE,discrete,"[32768 60999, 1024 65535, 8192 65535]",string,,,,,yes
,net.core.somaxconn,"Defines the maximum length of the listening queue of each port in the system.
      This is a global parameter. The default value is 128. You are advised to change
      the value to 1024.",sysctl -n net.core.somaxconn,sysctl -w net.core.somaxconn=$value,FALSE,discrete,,int,128,65536,128,,yes
,net.ipv4.tcp_max_syn_backlog,"Indicates the length of the SYN queue. A larger queue length can accommodate
      more network connections waiting for connections. The default value is 2048.
      You are advised to change the value to 8192.",sysctl -n net.ipv4.tcp_max_syn_backlog,sysctl -w net.ipv4.tcp_max_syn_backlog=$value,FALSE,discrete,,int,1024,262144,1024,,yes
,net.core.rmem_max,"Maximum system socket read buffer The default value is 229376. You are advised
      to change the value to 16777216.",sysctl -n net.core.rmem_max,sysctl -w net.core.rmem_max=$value,FALSE,discrete,,int,1048576,67108864,1048576,,yes
,net.core.wmem_max,"The maximum size of the system socket write buffer is increased to prevent
      buffer overflow caused by a large number of new connections. As a result, connections
      cannot be established. The default value is 229376. You are advised to change
      the value to 16777216.",sysctl -n net.core.wmem_max,sysctl -w net.core.wmem_max=$value,FALSE,discrete,,int,1048576,67108864,1048576,,yes
,ulimit.nofile,Maximum number of files that can be used by a user.,ulimit -n,ulimit -n $value,FALSE,discrete,,int,1024,10240,1,,yes
